TEE[0-10],classifier
1.691084,1.760655
1.704045,1.771312
1.689580,1.756943
1.695884,1.767855
1.667083,1.738318
1.695084,1.764911
1.689964,1.760879
1.729485,1.806321
1.701612,1.769071
1.691787,1.759438
1.662059,1.727406
1.692364,1.768816
1.666891,1.738702
1.693676,1.764335
1.687244,1.760015
1.689323,1.766383
1.693068,1.760015
1.708237,1.787312
1.710573,1.786224
1.699692,1.768463
1.687692,1.757647
1.685163,1.753390
1.703532,1.770895
1.693676,1.775344
1.662314,1.731885
1.721453,1.803857
1.695532,1.764367
1.719757,1.794033
1.691468,1.760975
1.684043,1.762319
1.665898,1.730893
1.692012,1.772591
1.660587,1.729134
1.709933,1.787696
1.685419,1.757774
1.690188,1.758767
1.696588,1.768719
1.725422,1.798161
1.699820,1.769583
1.709388,1.781648
1.697420,1.768496
1.713453,1.790033
1.676011,1.744271
1.721869,1.792912
1.712141,1.786960
1.697004,1.766319
1.695532,1.764623
1.718221,1.800849
1.676395,1.745038
1.732269,1.810801
1.677675,1.748014
1.718253,1.791472
1.675979,1.743086
1.736270,1.808241
1.669611,1.741390
1.726157,1.795920
1.675083,1.743662
1.722541,1.803985
1.694444,1.764303
1.710284,1.796304
1.672747,1.744398
1.691116,1.769519
1.702540,1.769071
1.718957,1.796337
1.671371,1.739534
1.687531,1.757807
1.708141,1.777808
1.719501,1.789264
1.673611,1.742766
1.726669,1.797104
1.697580,1.768591
1.712876,1.797008
1.692076,1.760655
1.719053,1.798353
1.672651,1.742062
1.718285,1.797264
1.710989,1.781168
1.671819,1.741294
1.679531,1.744366
1.695756,1.764943
1.663723,1.731438
1.705932,1.776527
1.716589,1.796305
1.680715,1.751534
1.702732,1.771119
1.673867,1.740942
1.690284,1.766799
1.694700,1.769679
1.677163,1.746542
1.670154,1.738861
1.657610,1.724717
1.675787,1.743310
1.696172,1.762959
1.675787,1.747342
1.705484,1.772815
1.709676,1.778831
1.704813,1.773520
1.668555,1.737006
1.696460,1.768239
1.696492,1.764975
1.674731,1.744270
1.694123,1.765071
1.678283,1.788048
1.714253,1.785264
1.677291,1.753615
1.679436,1.750095
1.700237,1.770352
1.676395,1.745262
1.671915,1.740718
1.707116,1.775503
1.705516,1.796048
1.674059,1.743758
1.677707,1.768944
1.699948,1.770255
1.657387,1.743854
1.674667,1.742830
1.700396,1.791472
1.697996,1.767535
1.694731,1.786895
1.675307,1.743310
1.719469,1.817137
1.700684,1.772400
1.720077,1.796432
1.696364,1.766127
1.717612,1.790064
1.673131,1.740174
1.694924,1.780303
1.694700,1.763375
1.718989,1.788784
1.672107,1.739790
1.696748,1.785776
1.689035,1.766095
1.720269,1.798448
1.678667,1.745774
1.719149,1.799665
1.660778,1.726125
1.722381,1.805873
1.728493,1.798992
1.757166,1.844402
1.755279,1.835410
1.693036,1.763343
1.693676,1.764111
1.699404,1.774799
1.708428,1.782159
1.723053,1.799184
1.697964,1.766639
1.722125,1.795633
1.705132,1.776272
1.710797,1.781104
1.703148,1.769199
1.714445,1.781872
1.685260,1.751983
1.689771,1.762222
1.704877,1.780336
1.708300,1.786192
1.713517,1.782032
1.679339,1.755599
1.693804,1.760879
1.716109,1.789200
1.698956,1.764911
1.710573,1.780560
1.675819,1.744942
1.702508,1.781200
1.683531,1.753774
1.701036,1.791440
1.694508,1.764655
1.713484,1.789519
1.696843,1.764398
1.709868,1.779791
1.685291,1.750318
1.680715,1.748750
1.700108,1.772175
1.711149,1.790096
1.701740,1.774192
1.721901,1.792464
1.701036,1.767438
1.716685,1.791216
1.707500,1.777711
1.712205,1.780976
1.710157,1.777295
1.688075,1.763279
1.676779,1.748302
1.696843,1.766607
1.693451,1.761038
1.715597,1.790768
1.661322,1.729389
1.747758,1.845651
1.685099,1.759022
1.703949,1.786928
1.664970,1.730861
1.713292,1.781551
1.677835,1.746478
1.693035,1.770000
1.703020,1.777392
1.726669,1.798160
1.676330,1.744781
1.722188,1.791056
1.703308,1.769999
1.687371,1.758062
1.691115,1.757742
1.696236,1.777104
1.673579,1.740142
1.719437,1.802833
1.690732,1.757711
1.699980,1.768911
1.694796,1.762671
1.704428,1.773775
1.694635,1.761966
1.721229,1.792944
1.666634,1.734285
1.679275,1.758991
1.693036,1.766255
1.718925,1.786352
1.689771,1.767247
1.685643,1.754222
1.698604,1.767599
1.713068,1.800432
1.697420,1.765455
1.713036,1.782927
1.704044,1.774543
1.692299,1.760654
1.670858,1.737805
1.723565,1.797713
1.674123,1.743182
1.689132,1.757487
1.706636,1.775183
1.693643,1.762734
1.672715,1.740462
1.712588,1.783408
1.694444,1.761327
1.728493,1.798832
1.668747,1.734638
1.729997,1.803185
1.673291,1.742350
1.682379,1.756847
1.692716,1.761743
1.718348,1.791568
1.693675,1.762510
1.706348,1.779983
1.685547,1.752302
1.729229,1.799536
1.669354,1.736365
1.722477,1.793104
1.675403,1.742798
1.727661,1.799184
1.672970,1.742958
1.692715,1.763150
1.692524,1.759311
1.724685,1.801873
1.673130,1.740173
1.690027,1.759182
1.678059,1.744302
1.689516,1.757871
1.682571,1.749678
1.715053,1.789136
1.658058,1.725485
1.691308,1.761743
1.701772,1.770735
1.729390,1.803313
1.654954,1.721741
1.703532,1.781647
1.669995,1.743726
1.724205,1.809265
1.671499,1.741134
1.717708,1.791344
1.672139,1.740622
1.722381,1.795408
1.701164,1.769519
1.710668,1.787312
1.697676,1.767919
1.697867,1.780591
1.693099,1.766798
1.683915,1.757646
1.675659,1.743598
1.717036,1.789136
1.669291,1.736974
1.717005,1.801584
1.706988,1.777231
1.710477,1.774639
1.698956,1.768463
1.702476,1.768495
1.677739,1.745358
1.674442,1.739149
1.690091,1.757774
1.718669,1.787760
1.683307,1.764975
1.719949,1.789392
1.686315,1.759406
1.681866,1.746317
1.708588,1.777167
1.695948,1.761999
1.685516,1.756655
1.684779,1.751662
1.660714,1.726925
1.720333,1.790032
1.671562,1.740557
1.684683,1.762063
1.688236,1.761199
1.705676,1.778159
1.657257,1.724140
1.706188,1.802289
1.688427,1.756270
1.716300,1.794544
1.667722,1.735437
1.716364,1.791631
1.694923,1.765966
1.720013,1.788880
1.671530,1.741037
1.708396,1.774415
1.686155,1.763887
1.672618,1.739085
1.691787,1.758126
1.705420,1.774351
1.681547,1.746861
1.687851,1.758926
1.689771,1.757134
1.700428,1.769583
1.685131,1.751278
1.691371,1.759534
1.686923,1.753102
1.727661,1.798512
1.655977,1.723916
1.712141,1.794320
1.687595,1.754990
1.689547,1.773551
1.687691,1.756302
1.718413,1.820145
1.665578,1.742830
1.718732,1.795504
1.695115,1.763278
1.703564,1.773007
1.668842,1.737613
1.700140,1.781232
1.692747,1.769070
1.683819,1.753646
1.659946,1.723469
1.714157,1.785456
1.687211,1.754670
1.718156,1.795184
1.664971,1.729069
1.715596,1.791184
1.689484,1.758159
1.693675,1.769583
1.689292,1.757327
1.707788,1.775855
1.683851,1.752174
1.703020,1.796176
1.686475,1.754254
1.686603,1.756014
1.684395,1.752878
1.707020,1.776783
1.660266,1.728333
1.668554,1.735821
1.688107,1.755278
1.682891,1.758862
1.681611,1.748750
1.711724,1.790064
1.684491,1.749262
1.712300,1.792688
1.662090,1.729517
1.698476,1.775215
1.692075,1.761038
1.691371,1.772815
1.662954,1.729261
1.706860,1.775919
1.687371,1.759534
1.700747,1.770095
1.679083,1.749902
1.685739,1.758927
1.685963,1.760206
1.734573,1.816560
1.666154,1.732781
1.708300,1.778639
1.668074,1.734221
1.673067,1.739086
1.696300,1.764015
1.711372,1.802160
1.692235,1.763662
1.709132,1.777455
1.670667,1.738318
1.712780,1.793072
1.666698,1.734541
1.689419,1.758062
1.690763,1.760814
1.694988,1.765007
1.680779,1.757966
1.711916,1.779567
1.675339,1.745070
1.713292,1.796048
1.666218,1.733645
1.689771,1.766031
1.688907,1.756686
1.705804,1.779503
1.670282,1.745486
1.686667,1.756462
1.667786,1.736013
1.703948,1.787728
1.696811,1.765774
1.718796,1.793520
1.692235,1.760270
1.709996,1.783984
1.670250,1.738093
1.675499,1.741070
1.693131,1.759214
1.700683,1.769742
1.665866,1.740973
1.678826,1.750605
1.700907,1.774671
1.716781,1.798736
1.681835,1.749934
1.687019,1.760622
1.697099,1.763182
1.721068,1.789935
1.698124,1.766319
1.724685,1.806672
1.696971,1.768910
1.712364,1.788719
1.665834,1.732589
1.700812,1.772943
1.700332,1.769679
1.692683,1.768558
1.680394,1.749421
1.716685,1.795504
1.690699,1.758222
1.706060,1.774127
1.664650,1.730125
1.729741,1.798544
1.707532,1.775599
1.723021,1.791600
1.681258,1.751885
1.695980,1.766191
1.658186,1.723853
1.689611,1.757134
1.698476,1.766223
1.717356,1.793295
1.691531,1.758510
1.719884,1.793231
1.695659,1.764462
1.682474,1.756014
1.710444,1.779375
1.723981,1.795280
1.701995,1.768174
1.695435,1.766958
1.705932,1.775215
1.696843,1.765966
1.671306,1.738541
1.694764,1.767535
1.696235,1.766926
1.724748,1.813616
1.678955,1.747214
1.685899,1.755854
1.690443,1.759342
1.710636,1.780975
1.695691,1.766159
1.744653,1.813680
1.671210,1.738157
1.713420,1.782127
1.653993,1.719500
1.664745,1.731084
1.662858,1.731949
1.714124,1.789711
1.695083,1.761998
1.661898,1.730477
1.692428,1.766927
1.696555,1.764526
1.666378,1.732269
1.667530,1.735085
1.659177,1.725516
1.734701,1.807056
1.682987,1.750798
1.743533,1.828177
1.687147,1.756398
1.692267,1.761134
1.672779,1.740814
1.687594,1.758382
1.671210,1.738733
1.695755,1.766222
1.684779,1.756398
1.726828,1.803280
1.657449,1.727468
1.726732,1.811152
1.669866,1.738573
1.684618,1.755790
1.703308,1.771055
1.725004,1.800624
1.700715,1.773806
1.673930,1.741965
1.693228,1.768111
1.697580,1.773615
1.705068,1.776879
1.729901,1.808208
1.688811,1.757166
1.728717,1.811537
1.704332,1.773551
1.721420,1.796207
1.698379,1.775919
1.726252,1.797135
1.694507,1.763918
1.694283,1.762830
1.696172,1.774959
1.728300,1.806416
1.701803,1.772366
1.729356,1.808177
1.692747,1.761230
1.697867,1.765806
1.672362,1.741837
1.727244,1.802191
1.672714,1.741613
1.703851,1.789232
1.698187,1.777518
1.716844,1.788016
1.667786,1.736013
1.710444,1.795632
1.669034,1.742637
1.678410,1.746573
1.681578,1.752717
1.684458,1.753517
1.692651,1.760974
1.677290,1.747821
1.674666,1.744622
1.690506,1.759021
1.675403,1.745838
1.694731,1.773934
1.698156,1.768015
1.715628,1.787279
1.708716,1.780719
1.642409,1.708076
1.692395,1.757614
1.685355,1.752430
1.633865,1.701484
1.683787,1.751054
1.681514,1.752685
1.660746,1.730157
1.670474,1.737869
1.715372,1.785743
1.698507,1.764398
1.653961,1.729549
1.673291,1.746958
1.696203,1.777166
1.668298,1.736141
1.675946,1.754382
1.692331,1.761550
1.708107,1.801871
1.651753,1.720108
1.717516,1.793935
1.673098,1.744525
1.712972,1.787631
1.672810,1.741549
1.713420,1.784559
1.693675,1.763182
1.699372,1.768239
1.693547,1.770895
1.713707,1.786415
1.669930,1.736237
1.697163,1.775087
1.679082,1.749037
1.693195,1.763086
1.696779,1.766798
1.728013,1.821745
1.665769,1.731116
1.711532,1.782735
1.690123,1.757774
1.710604,1.778031
1.685835,1.752270
1.722220,1.797264
1.694219,1.763054
1.696811,1.778927
1.702316,1.771343
1.699243,1.769006
1.673482,1.742989
1.717836,1.790127
1.676811,1.747278
1.692011,1.761486
1.693003,1.763534
1.700203,1.774095
1.684747,1.754862
1.710827,1.780590
1.720044,1.792079
1.720844,1.798608
1.696715,1.766862
1.720620,1.791471
1.666666,1.738573
1.705867,1.774926
1.696235,1.765390
1.702828,1.776079
1.684074,1.758317
1.690346,1.761677
1.704940,1.781103
1.725548,1.800463
1.665738,1.735277
1.702027,1.785327
1.672042,1.750670
1.713996,1.782671
1.675818,1.744461
1.693771,1.761678
1.692907,1.761166
1.673450,1.742925
1.677386,1.752174
1.675338,1.745870
1.669705,1.740620
1.697547,1.768430
1.692779,1.762670
1.700332,1.771055
1.661481,1.729964
1.670570,1.740557
1.690443,1.765934
1.668810,1.744174
1.694283,1.765070
1.674506,1.745613
1.700491,1.768686
1.671274,1.739917
1.676714,1.751470
1.697003,1.765454
1.686891,1.758030
1.698283,1.767599
1.704555,1.774478
1.678090,1.747853
1.712140,1.785231
1.692299,1.765902
1.666601,1.733228
1.675114,1.744077
1.671402,1.745453
1.712300,1.784399
1.673674,1.748269
1.703723,1.772814
1.670698,1.738797
1.687915,1.759854
1.708268,1.778639
1.685674,1.765710
1.675242,1.763693
1.695115,1.765582
1.675114,1.768334
1.678410,1.747053
1.700235,1.800527
1.711212,1.782127
1.686923,1.763598
1.658442,1.727021
1.676650,1.773198
1.671433,1.740812
1.671594,1.763310
1.707916,1.779727
1.726284,1.813520
1.704876,1.773455
1.692202,1.764782
1.683819,1.756590
1.716844,1.799695
1.698091,1.768815
1.714156,1.783247
1.710316,1.779759
1.698731,1.780079
1.672618,1.741741
1.723756,1.801712
1.714476,1.786095
1.733389,1.812113
1.694507,1.766126
1.714220,1.801200
1.696779,1.769550
1.696970,1.774703
1.705676,1.775727
1.716236,1.788239
1.701867,1.772846
1.691690,1.762381
1.674250,1.744525
1.722124,1.809488
1.696651,1.766542
1.708299,1.779310
1.698155,1.767822
1.684554,1.759181
1.697771,1.767502
1.715275,1.782862
1.663305,1.733228
1.718156,1.793552
1.705451,1.777038
1.736365,1.816849
1.693675,1.764014
1.695371,1.778734
1.692235,1.769391
1.674761,1.758189
1.655081,1.721452
1.688171,1.758382
1.659594,1.732717
1.698059,1.770478
