Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.420368,0.017889,0.202632,0.005216,0.047618,0.000544,0.191912,0.002112,0.001184,0.000384,0.897731
0.420528,0.017569,0.202408,0.005088,0.048834,0.000608,0.199272,0.002080,0.000992,0.000352,0.905347
0.416848,0.017569,0.202056,0.005056,0.048034,0.000576,0.198184,0.002176,0.000992,0.000320,0.899523
0.421169,0.017600,0.220457,0.005376,0.048034,0.000608,0.186119,0.001921,0.001088,0.000320,0.911012
0.417392,0.017537,0.205512,0.004992,0.047938,0.000544,0.201512,0.002240,0.001152,0.000352,0.908739
0.416272,0.017537,0.202376,0.005344,0.047842,0.000576,0.185511,0.002048,0.001088,0.000353,0.886691
0.416017,0.017664,0.202440,0.005185,0.047521,0.000576,0.195079,0.002080,0.001184,0.000416,0.896899
0.417008,0.017729,0.202344,0.005248,0.047554,0.000576,0.193831,0.002113,0.001088,0.000384,0.895555
0.415472,0.017537,0.202056,0.005088,0.047650,0.000576,0.193000,0.002080,0.001120,0.000384,0.894051
0.415952,0.017729,0.201992,0.005120,0.049922,0.000576,0.187911,0.002177,0.001088,0.000352,0.890947
0.415952,0.035521,0.202504,0.004961,0.048097,0.000544,0.205160,0.002144,0.001120,0.000384,0.926436
0.416593,0.017665,0.202120,0.004928,0.048354,0.000576,0.185575,0.002112,0.001056,0.000352,0.887619
0.418321,0.017761,0.202536,0.005248,0.047842,0.000576,0.193031,0.002112,0.001184,0.000320,0.897028
0.420560,0.017633,0.202184,0.005088,0.048098,0.000576,0.190663,0.002208,0.001121,0.000352,0.896643
0.416496,0.017601,0.202664,0.005184,0.047778,0.000576,0.193415,0.002176,0.001120,0.000384,0.897219
0.421360,0.017537,0.202408,0.005056,0.047746,0.000608,0.194280,0.002016,0.001088,0.000384,0.900771
0.416080,0.017345,0.201864,0.004896,0.047554,0.000544,0.190504,0.002144,0.001120,0.000352,0.890307
0.435729,0.017696,0.202664,0.004897,0.047201,0.000608,0.192712,0.002112,0.001152,0.000352,0.914115
0.419952,0.017505,0.202344,0.005312,0.047394,0.000576,0.194856,0.002048,0.001152,0.000352,0.899459
0.421648,0.017632,0.202568,0.005248,0.047426,0.000576,0.196200,0.002080,0.001056,0.000384,0.903747
0.416912,0.017729,0.202632,0.005440,0.047746,0.000576,0.193672,0.002048,0.001120,0.000352,0.896931
0.416272,0.017537,0.202760,0.005216,0.048098,0.000576,0.188679,0.002016,0.001120,0.000384,0.890979
0.416497,0.017504,0.202184,0.005376,0.047810,0.000576,0.202536,0.002080,0.001057,0.000320,0.904676
0.416433,0.017889,0.202183,0.005057,0.047266,0.000576,0.194471,0.002080,0.001120,0.000352,0.895267
0.439858,0.017600,0.202504,0.005089,0.047809,0.000608,0.188744,0.002016,0.001248,0.000384,0.915716
0.421264,0.017537,0.202120,0.004864,0.047938,0.000576,0.186791,0.001953,0.001088,0.000416,0.892099
0.420432,0.017697,0.203368,0.005120,0.047554,0.000576,0.191624,0.002208,0.001120,0.000416,0.898947
0.416624,0.017761,0.202056,0.004992,0.047874,0.000576,0.219753,0.001984,0.001120,0.000384,0.922084
0.415889,0.017664,0.202120,0.004897,0.047777,0.000576,0.189031,0.002176,0.001184,0.000384,0.889379
0.415952,0.017761,0.201992,0.005248,0.047522,0.000608,0.189351,0.002176,0.001120,0.000352,0.891202
0.416944,0.017313,0.202056,0.005280,0.047842,0.000544,0.187047,0.002176,0.001281,0.000416,0.890211
0.440721,0.017505,0.202376,0.004832,0.047618,0.000608,0.204552,0.002048,0.001184,0.000352,0.930885
0.416240,0.017601,0.201992,0.005184,0.048130,0.000576,0.221577,0.002144,0.001248,0.000352,0.923908
0.420240,0.017568,0.201928,0.005024,0.048194,0.000576,0.192104,0.002080,0.001088,0.000384,0.897539
0.421265,0.017537,0.202407,0.005088,0.064098,0.000608,0.185608,0.002176,0.001184,0.000448,0.909700
0.416176,0.017601,0.202536,0.004800,0.047522,0.000576,0.195528,0.002272,0.001248,0.000384,0.897155
0.416848,0.017729,0.203176,0.005120,0.047714,0.000576,0.197480,0.002144,0.001088,0.000384,0.900323
0.416336,0.017761,0.202952,0.005056,0.048994,0.000576,0.189159,0.002240,0.001153,0.000416,0.893155
0.431921,0.017632,0.201960,0.005088,0.048962,0.000608,0.195912,0.002112,0.001152,0.000384,0.913795
0.416464,0.017793,0.202440,0.004864,0.048290,0.000608,0.191367,0.002400,0.001248,0.000352,0.894915
0.416176,0.017505,0.201960,0.004992,0.047874,0.000608,0.190920,0.002208,0.001120,0.000384,0.891427
0.420113,0.017697,0.221832,0.005377,0.047681,0.000577,0.192487,0.002016,0.001120,0.000352,0.917764
