Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.415633,0.017632,0.202056,0.005057,0.047905,0.000576,0.184424,0.002080,0.001152,0.000352,0.884355
0.420625,0.017728,0.202344,0.005153,0.047393,0.000544,0.191080,0.001984,0.000960,0.000384,0.895939
0.416016,0.017473,0.203048,0.005056,0.047266,0.000576,0.193895,0.002080,0.001248,0.000384,0.895171
0.416336,0.017281,0.202440,0.005280,0.047586,0.000576,0.182983,0.002016,0.001088,0.000384,0.883266
0.421265,0.017697,0.202216,0.005024,0.047234,0.000608,0.184807,0.002176,0.001184,0.000384,0.890083
0.415984,0.017505,0.202056,0.004992,0.047970,0.000544,0.197384,0.002112,0.000992,0.000384,0.897667
0.415697,0.017504,0.219785,0.004992,0.047938,0.000576,0.190920,0.001984,0.001056,0.000384,0.908708
0.416592,0.017441,0.202248,0.004992,0.047202,0.000608,0.190376,0.002080,0.001152,0.000384,0.892771
0.415984,0.017665,0.202696,0.005024,0.047682,0.000576,0.190407,0.001888,0.000960,0.000384,0.890338
0.416496,0.017441,0.201960,0.005312,0.047714,0.000576,0.196616,0.001920,0.001120,0.000384,0.898051
0.416208,0.017505,0.202312,0.004960,0.047426,0.000608,0.187911,0.002113,0.001152,0.000416,0.888355
0.415665,0.017664,0.202344,0.004897,0.047457,0.000577,0.193319,0.001984,0.001056,0.000320,0.892419
0.416400,0.017569,0.202344,0.005088,0.047714,0.000576,0.201576,0.002176,0.001120,0.000352,0.903267
0.415888,0.017281,0.219209,0.005408,0.047426,0.000576,0.192135,0.002017,0.001056,0.000416,0.909988
0.416592,0.017440,0.202056,0.005120,0.047842,0.000576,0.185480,0.001984,0.001056,0.000416,0.885827
0.420145,0.017440,0.202504,0.004928,0.047938,0.000576,0.191528,0.001888,0.001024,0.000384,0.896067
0.420657,0.017761,0.202407,0.005280,0.047522,0.000576,0.197511,0.001985,0.001152,0.000352,0.903076
0.416657,0.017536,0.203080,0.005249,0.048130,0.000576,0.201735,0.002464,0.001120,0.000384,0.907524
0.416657,0.017568,0.202984,0.005025,0.047521,0.000576,0.192071,0.002240,0.001184,0.000352,0.894179
0.416785,0.017537,0.203048,0.004992,0.047554,0.000608,0.194215,0.002048,0.001184,0.000352,0.896867
0.415889,0.017505,0.221128,0.005152,0.047906,0.000608,0.194216,0.001888,0.001216,0.000320,0.914532
0.416240,0.017569,0.202248,0.005248,0.047618,0.000608,0.188391,0.002208,0.001184,0.000416,0.889859
0.420465,0.017633,0.202504,0.005280,0.047970,0.000608,0.195911,0.002145,0.001152,0.000320,0.903364
0.416048,0.017505,0.201704,0.005312,0.048162,0.000576,0.190663,0.002048,0.001056,0.000352,0.892034
0.416016,0.017761,0.202472,0.005248,0.047906,0.000576,0.190792,0.002080,0.001184,0.000416,0.892579
0.415760,0.017537,0.202568,0.005344,0.048162,0.000576,0.194664,0.002016,0.001120,0.000352,0.896995
0.416208,0.017569,0.202600,0.005056,0.047554,0.000576,0.189927,0.001920,0.001216,0.000384,0.890883
0.415856,0.035329,0.202664,0.005153,0.047714,0.000608,0.192583,0.001888,0.001184,0.000416,0.913187
0.416145,0.017505,0.202407,0.004865,0.047490,0.000544,0.189511,0.002208,0.001088,0.000416,0.890339
0.417360,0.017569,0.202056,0.005216,0.047714,0.000576,0.203432,0.002048,0.001184,0.000416,0.906307
0.420049,0.017601,0.202375,0.004992,0.047842,0.000576,0.181927,0.002048,0.001216,0.000352,0.886659
0.420144,0.017633,0.202344,0.004928,0.048002,0.000576,0.187400,0.002240,0.001152,0.000352,0.893219
0.415856,0.017377,0.202056,0.005248,0.047906,0.000576,0.193192,0.002176,0.001088,0.000384,0.894627
0.416272,0.017345,0.201928,0.005312,0.047970,0.000608,0.188455,0.002080,0.001153,0.000352,0.889795
0.444913,0.017761,0.202216,0.004992,0.047714,0.000608,0.195528,0.002112,0.001152,0.000320,0.925476
0.416145,0.017665,0.202600,0.005024,0.047714,0.000608,0.190695,0.002048,0.001024,0.000384,0.891555
0.417616,0.017665,0.202920,0.005216,0.047490,0.000576,0.192136,0.002016,0.001184,0.000320,0.895619
0.415792,0.017505,0.202696,0.005024,0.047074,0.000608,0.194216,0.002080,0.001056,0.000384,0.896067
0.416432,0.017729,0.201960,0.004896,0.047938,0.000576,0.191816,0.002048,0.001248,0.000352,0.893571
0.420625,0.017665,0.202184,0.005280,0.048802,0.000576,0.197928,0.002048,0.001120,0.000352,0.904932
0.416593,0.017569,0.202152,0.004832,0.047906,0.000576,0.190279,0.002048,0.001152,0.000320,0.892035
0.431121,0.017729,0.202376,0.005312,0.047042,0.000576,0.225417,0.001984,0.000992,0.000384,0.940773
0.416016,0.017505,0.201960,0.005248,0.047106,0.000576,0.195432,0.002048,0.001152,0.000384,0.896483
0.415600,0.017601,0.202440,0.004992,0.047042,0.000576,0.198472,0.002112,0.001024,0.000352,0.898019
0.415888,0.017473,0.202119,0.004800,0.046978,0.000576,0.207656,0.002176,0.001056,0.000352,0.907043
0.420849,0.017665,0.202088,0.005216,0.047554,0.000608,0.206408,0.002112,0.001120,0.000384,0.911876
0.420368,0.017472,0.202120,0.005248,0.047202,0.000576,0.196680,0.001952,0.001120,0.000384,0.901283
0.416656,0.017536,0.202088,0.005088,0.047106,0.000544,0.190824,0.002144,0.001120,0.000416,0.892195
0.442577,0.017761,0.202344,0.004832,0.048386,0.000576,0.198216,0.002048,0.001120,0.000416,0.926436
0.416304,0.017505,0.202152,0.005216,0.047906,0.000576,0.196104,0.002016,0.001152,0.000384,0.897027
0.415984,0.017793,0.202088,0.004992,0.047650,0.000576,0.197736,0.002080,0.001120,0.000352,0.899139
0.416016,0.017537,0.202440,0.005248,0.047906,0.000576,0.212232,0.002208,0.001152,0.000320,0.914084
0.420561,0.017537,0.202248,0.005216,0.048034,0.000544,0.203976,0.001952,0.001120,0.000352,0.909892
0.416752,0.017761,0.202920,0.004992,0.048194,0.000608,0.188999,0.001920,0.001120,0.000353,0.891235
0.420561,0.017537,0.214024,0.005120,0.048738,0.000576,0.191560,0.001888,0.001120,0.000320,0.909572
0.432209,0.017664,0.202536,0.004961,0.047841,0.000576,0.187880,0.002048,0.001056,0.000384,0.904707
0.416688,0.017601,0.202312,0.004928,0.047906,0.000576,0.187015,0.001952,0.001089,0.000352,0.888131
0.420304,0.017825,0.202504,0.004992,0.048674,0.000576,0.189511,0.002113,0.001152,0.000384,0.896419
0.417329,0.017472,0.201960,0.005313,0.066082,0.000608,0.198056,0.001984,0.001248,0.000352,0.918916
0.416112,0.017697,0.202248,0.005248,0.048034,0.000608,0.191400,0.002176,0.001120,0.000384,0.892867
0.416304,0.017793,0.202312,0.005280,0.047074,0.000608,0.196872,0.002176,0.001088,0.000384,0.897347
0.416240,0.017505,0.202184,0.005344,0.047138,0.000576,0.197864,0.002144,0.001152,0.000352,0.898467
0.440049,0.017761,0.202184,0.005024,0.048898,0.000576,0.194216,0.001984,0.001056,0.000352,0.920036
0.420784,0.017281,0.202280,0.004992,0.048322,0.000576,0.186344,0.002080,0.001152,0.000352,0.892195
0.416400,0.017729,0.202056,0.005280,0.047618,0.000576,0.186823,0.002048,0.000992,0.000384,0.888034
0.420817,0.017729,0.221512,0.005089,0.047361,0.000608,0.187656,0.001952,0.001184,0.000384,0.913220
0.415984,0.017665,0.204296,0.005312,0.047074,0.000576,0.195176,0.002016,0.001024,0.000320,0.897123
0.421169,0.017984,0.204328,0.005121,0.048482,0.000832,0.249225,0.002721,0.002208,0.000512,0.963974
0.417168,0.017728,0.202984,0.005408,0.048322,0.000768,0.201288,0.001952,0.001376,0.000384,0.906084
0.419120,0.017984,0.203400,0.005281,0.049249,0.000800,0.245321,0.002592,0.002176,0.000576,0.959141
0.417745,0.017504,0.202696,0.005313,0.047969,0.000800,0.199208,0.001984,0.001280,0.000608,0.903524
0.415664,0.017216,0.202920,0.005120,0.047426,0.000864,0.192296,0.002048,0.001056,0.000320,0.892579
0.440529,0.017473,0.203144,0.005120,0.047426,0.000576,0.189479,0.002176,0.001056,0.000672,0.915715
0.415697,0.017409,0.202887,0.005249,0.047458,0.000576,0.189735,0.002208,0.001152,0.000384,0.890115
0.416369,0.017760,0.202951,0.005313,0.049666,0.000608,0.182503,0.002016,0.001024,0.000352,0.885475
0.420529,0.017665,0.202631,0.005056,0.048290,0.000608,0.188167,0.001856,0.001120,0.000384,0.893955
0.417360,0.017569,0.202952,0.005248,0.048418,0.000768,0.190952,0.002176,0.001280,0.000384,0.895267
0.417104,0.017473,0.202920,0.005056,0.049090,0.000928,0.193896,0.002112,0.001088,0.000384,0.897795
0.416752,0.017665,0.203048,0.005312,0.048066,0.000800,0.220329,0.002016,0.001152,0.000320,0.923204
0.433137,0.017697,0.202600,0.005120,0.048418,0.000800,0.173191,0.002208,0.001088,0.000352,0.892259
0.417520,0.017633,0.203208,0.005024,0.048994,0.000576,0.182407,0.001952,0.001056,0.000384,0.885986
0.414896,0.017409,0.203304,0.005280,0.047906,0.000832,0.192904,0.001984,0.001056,0.000384,0.893187
0.416656,0.017633,0.203176,0.005088,0.048194,0.000832,0.209640,0.002080,0.001088,0.000416,0.912771
0.416465,0.017472,0.203016,0.005025,0.047457,0.000576,0.187656,0.001952,0.000992,0.000384,0.888035
0.417841,0.017216,0.202279,0.005217,0.047266,0.000768,0.184199,0.001952,0.001088,0.000608,0.885891
0.416145,0.017472,0.202504,0.005024,0.047266,0.000800,0.186792,0.002528,0.000992,0.000608,0.887587
0.436369,0.017569,0.203368,0.005024,0.047042,0.000608,0.213736,0.001952,0.000961,0.000352,0.934565
0.418481,0.017568,0.202792,0.005088,0.047617,0.000800,0.195688,0.002016,0.001088,0.000608,0.899555
0.417008,0.017633,0.203368,0.005344,0.047682,0.000832,0.195720,0.002016,0.001184,0.000576,0.898883
0.416368,0.017537,0.203368,0.005088,0.048386,0.000832,0.212073,0.002080,0.001120,0.000352,0.914820
0.420368,0.017601,0.203400,0.005024,0.047362,0.000800,0.193959,0.002177,0.001088,0.000384,0.899300
0.416273,0.017601,0.203207,0.005120,0.047426,0.000800,0.203240,0.002208,0.000992,0.000416,0.904996
0.416113,0.017504,0.202728,0.005185,0.047553,0.000576,0.197864,0.001920,0.000992,0.000384,0.898403
0.434385,0.017473,0.202792,0.005312,0.047458,0.000576,0.193703,0.001985,0.000960,0.000352,0.912420
0.416688,0.017537,0.202792,0.005056,0.048546,0.000576,0.187080,0.002016,0.001152,0.000384,0.889827
0.417361,0.017600,0.202696,0.005121,0.047105,0.000608,0.194056,0.002048,0.001056,0.000384,0.894659
0.416337,0.017537,0.202695,0.005024,0.047138,0.000576,0.194727,0.002112,0.001024,0.000640,0.910532
0.417232,0.017665,0.202856,0.005056,0.047842,0.000736,0.190055,0.002017,0.000992,0.000352,0.892195
0.416368,0.017473,0.202472,0.005280,0.047426,0.000832,0.190888,0.001984,0.001088,0.000384,0.891811
0.417137,0.017728,0.203048,0.005153,0.049730,0.000800,0.183175,0.002048,0.001120,0.000608,0.888067
0.440817,0.017665,0.202984,0.005248,0.048386,0.000800,0.190567,0.002016,0.001153,0.000640,0.918532
0.416880,0.017665,0.202792,0.005152,0.048322,0.000576,0.196424,0.002016,0.001088,0.000352,0.898883
0.416721,0.017472,0.203080,0.005441,0.047329,0.000736,0.197415,0.001856,0.001056,0.000416,0.898563
0.415504,0.017633,0.202536,0.005056,0.048322,0.000576,0.210536,0.002048,0.000992,0.000352,0.910659
0.416240,0.017633,0.202696,0.005312,0.047394,0.000576,0.190151,0.002080,0.001088,0.000352,0.891234
0.416176,0.017857,0.203144,0.005056,0.047266,0.000576,0.186663,0.002208,0.000992,0.000352,0.887490
0.416880,0.017537,0.202760,0.005248,0.049442,0.000544,0.195400,0.002144,0.001088,0.000608,0.900163
0.446450,0.017633,0.202856,0.005088,0.047618,0.000832,0.196167,0.002017,0.001024,0.000352,0.927365
0.421520,0.017504,0.202696,0.005088,0.047522,0.000544,0.188520,0.002112,0.001120,0.000384,0.894979
0.416176,0.017665,0.202600,0.005216,0.048226,0.000800,0.187336,0.001984,0.001088,0.000608,0.889123
0.416145,0.017568,0.203080,0.005281,0.047682,0.000800,0.188999,0.002112,0.000992,0.000384,0.890499
0.420496,0.017632,0.202824,0.005152,0.047458,0.000768,0.192232,0.002016,0.001152,0.000384,0.897795
0.417200,0.017537,0.202632,0.005280,0.047554,0.000768,0.196168,0.002048,0.001024,0.000384,0.897859
0.415312,0.017473,0.202088,0.005024,0.047490,0.001056,0.186727,0.001952,0.001184,0.000384,0.886178
0.437681,0.017729,0.202440,0.005216,0.048002,0.000800,0.183271,0.002080,0.000992,0.000416,0.906211
0.418352,0.017505,0.202760,0.005056,0.048194,0.000576,0.189127,0.002080,0.000960,0.000576,0.892642
0.420753,0.017632,0.202952,0.005313,0.047361,0.000800,0.192872,0.002144,0.001152,0.000608,0.900611
0.416496,0.017824,0.202504,0.005344,0.047906,0.000768,0.184968,0.002208,0.001056,0.000608,0.887619
0.418288,0.017569,0.203112,0.005024,0.048066,0.000832,0.189128,0.002144,0.001152,0.000384,0.894211
0.417041,0.017697,0.203144,0.005216,0.048450,0.000832,0.194823,0.002113,0.001056,0.000384,0.897988
0.415888,0.017473,0.202728,0.005280,0.047970,0.000736,0.194568,0.002112,0.000960,0.000608,0.895299
0.436977,0.017953,0.202920,0.005536,0.048258,0.000736,0.218952,0.001920,0.001024,0.000609,0.942725
0.416560,0.017633,0.204424,0.005120,0.047362,0.000800,0.192616,0.002304,0.001024,0.000352,0.895331
0.416720,0.017601,0.203112,0.005280,0.048386,0.000832,0.189735,0.002304,0.001057,0.000352,0.892675
0.420305,0.017632,0.203112,0.005057,0.048002,0.000576,0.194407,0.002304,0.001248,0.000416,0.919460
0.416593,0.017312,0.202696,0.005153,0.047745,0.000800,0.190536,0.001952,0.000992,0.000416,0.891139
0.418704,0.017665,0.204392,0.005408,0.049538,0.000832,0.206248,0.002240,0.001056,0.000416,0.915267
0.416784,0.017440,0.204424,0.005184,0.048322,0.000544,0.186856,0.002176,0.001088,0.000352,0.891235
0.434801,0.017536,0.203272,0.005153,0.048386,0.000576,0.190855,0.002208,0.000992,0.000352,0.912067
0.416560,0.017729,0.202920,0.005120,0.047938,0.000768,0.193896,0.002368,0.001120,0.000352,0.896195
0.416529,0.017696,0.202984,0.005281,0.047425,0.000576,0.190375,0.002528,0.001024,0.000384,0.891939
0.416240,0.017377,0.202792,0.005056,0.047042,0.000576,0.187047,0.003520,0.001568,0.000416,0.906915
0.416209,0.017600,0.203240,0.005505,0.048353,0.000545,0.182759,0.002048,0.001088,0.000544,0.885283
0.421809,0.017505,0.203528,0.005280,0.047650,0.000864,0.204584,0.002048,0.001088,0.000608,0.912388
0.417200,0.017505,0.202888,0.005024,0.048642,0.000576,0.192775,0.002049,0.001056,0.000608,0.895235
0.438033,0.017665,0.202888,0.005312,0.047522,0.000576,0.202632,0.002400,0.000992,0.000608,0.926980
0.415952,0.017697,0.203304,0.005120,0.047266,0.000992,0.216201,0.002368,0.000992,0.000576,0.919140
0.416785,0.017408,0.203336,0.005121,0.048513,0.000801,0.206792,0.002080,0.001216,0.000384,0.910660
0.417425,0.017760,0.202984,0.005057,0.047681,0.000800,0.220008,0.002304,0.001088,0.000384,0.923076
0.416241,0.017632,0.202952,0.005089,0.048258,0.000800,0.192775,0.002048,0.000992,0.000384,0.894723
0.418416,0.017473,0.203528,0.005280,0.047778,0.000800,0.198024,0.002112,0.001152,0.000384,0.902627
0.415888,0.017473,0.202472,0.005280,0.048290,0.000832,0.202088,0.002112,0.001120,0.000384,0.903587
0.428688,0.017632,0.203048,0.005024,0.047298,0.000576,0.187112,0.002048,0.001056,0.000352,0.899811
0.417425,0.017760,0.202568,0.005472,0.047682,0.000576,0.196104,0.002016,0.001152,0.000576,0.898787
0.416304,0.017569,0.202600,0.005248,0.049154,0.000576,0.196456,0.002112,0.000960,0.000416,0.898531
0.417104,0.017665,0.203080,0.005120,0.047650,0.000576,0.242313,0.002241,0.001152,0.000608,0.945285
0.416496,0.017473,0.203048,0.005024,0.047778,0.000800,0.219177,0.002208,0.001088,0.000416,0.921156
0.420944,0.017601,0.203112,0.005088,0.048642,0.000608,0.190663,0.002432,0.001184,0.000640,0.898883
0.417232,0.017793,0.202952,0.005344,0.048066,0.000576,0.185191,0.002209,0.001056,0.000384,0.887843
0.435953,0.017601,0.202536,0.005088,0.047810,0.000576,0.187335,0.002240,0.001056,0.000320,0.907908
0.420913,0.017696,0.203368,0.005665,0.047842,0.000576,0.193767,0.002208,0.001152,0.000384,0.900803
0.420560,0.017697,0.203176,0.005056,0.047874,0.000544,0.183111,0.001920,0.001088,0.000416,0.888162
0.420400,0.017729,0.202888,0.005120,0.047650,0.000608,0.211176,0.002240,0.001088,0.000384,0.916388
0.415985,0.018240,0.202504,0.005217,0.048546,0.000544,0.184423,0.002016,0.001024,0.000384,0.886019
0.417328,0.017473,0.202760,0.005056,0.048354,0.000576,0.183975,0.002112,0.001024,0.000448,0.886019
0.416240,0.017505,0.202376,0.005312,0.047458,0.000576,0.207336,0.001984,0.001120,0.000352,0.907331
0.438385,0.017793,0.202632,0.005216,0.047522,0.000768,0.199080,0.001888,0.000992,0.000384,0.921924
0.421553,0.017569,0.202888,0.005376,0.047298,0.000832,0.196551,0.002016,0.001184,0.000352,0.903748
0.415889,0.017600,0.202760,0.005025,0.047425,0.000769,0.197671,0.002048,0.000928,0.000416,0.897796
0.416624,0.017505,0.203016,0.005184,0.047586,0.000800,0.191335,0.001984,0.001024,0.000352,0.892771
0.417072,0.017601,0.203272,0.004992,0.047682,0.000736,0.195272,0.001984,0.001024,0.000416,0.897475
0.416336,0.017665,0.203272,0.005280,0.047074,0.000832,0.196616,0.001984,0.000960,0.000384,0.897475
0.415952,0.017601,0.203048,0.005056,0.047362,0.000544,0.178311,0.002208,0.001088,0.000384,0.879106
0.437553,0.017601,0.203047,0.005249,0.047266,0.000800,0.207560,0.001984,0.000992,0.000384,0.930116
0.416849,0.017697,0.203080,0.005248,0.047714,0.000832,0.186567,0.002272,0.001056,0.000384,0.889411
0.415377,0.017440,0.202760,0.005313,0.047297,0.000577,0.190247,0.002080,0.000960,0.000352,0.889699
0.420656,0.017569,0.203016,0.005152,0.047394,0.000768,0.192616,0.002240,0.001056,0.000416,0.899075
0.420336,0.017473,0.203048,0.005312,0.048322,0.000800,0.189416,0.002496,0.001088,0.000384,0.896355
0.417489,0.017633,0.203304,0.005056,0.047522,0.000576,0.213000,0.002336,0.001088,0.000352,0.915748
0.421008,0.017505,0.202920,0.005120,0.048354,0.000576,0.195112,0.002144,0.001088,0.000384,0.902403
0.438321,0.017729,0.202760,0.005280,0.048258,0.000800,0.195016,0.002144,0.000960,0.000608,0.919524
0.419985,0.017376,0.203208,0.005121,0.048065,0.000577,0.190183,0.001984,0.000960,0.000320,0.894851
0.420593,0.017408,0.203368,0.005089,0.047522,0.000576,0.200391,0.002177,0.001024,0.000384,0.905668
0.416176,0.017696,0.202888,0.005120,0.047650,0.000800,0.195976,0.001984,0.000992,0.000608,0.896611
0.416945,0.017440,0.202823,0.005121,0.047330,0.000576,0.193255,0.002112,0.001024,0.000384,0.894211
0.415568,0.017473,0.202728,0.005280,0.047746,0.000608,0.185543,0.001888,0.000992,0.000416,0.885346
0.416560,0.017729,0.202664,0.005056,0.048674,0.000800,0.209544,0.002080,0.001024,0.000352,0.912292
0.437041,0.017665,0.203080,0.005376,0.048098,0.000800,0.185863,0.002112,0.001152,0.000384,0.908931
0.416496,0.017505,0.203080,0.005152,0.047586,0.000832,0.202024,0.002144,0.000992,0.000416,0.903555
0.415601,0.017664,0.203048,0.005121,0.047297,0.000769,0.190823,0.002048,0.000960,0.000352,0.891587
0.416272,0.017537,0.203368,0.005088,0.047266,0.000800,0.196199,0.002112,0.000992,0.000416,0.897347
0.416496,0.017537,0.203112,0.005344,0.047906,0.000800,0.189447,0.002209,0.001024,0.000352,0.891587
0.421200,0.017505,0.202728,0.005312,0.047266,0.000576,0.181671,0.002144,0.001024,0.000384,0.887171
0.415952,0.017441,0.202600,0.005056,0.048514,0.000544,0.203752,0.002208,0.000928,0.000352,0.904675
0.433873,0.018177,0.202728,0.005120,0.047170,0.000544,0.192968,0.002080,0.000992,0.000352,0.911620
0.415664,0.017633,0.202824,0.005056,0.047106,0.000576,0.207560,0.001952,0.000960,0.000417,0.907044
0.417456,0.017537,0.203400,0.005024,0.047458,0.000832,0.204776,0.002016,0.000992,0.000384,0.907907
0.416432,0.017441,0.202344,0.005120,0.047810,0.000800,0.192904,0.002048,0.000960,0.000384,0.893731
0.421201,0.017697,0.202791,0.005313,0.048002,0.000576,0.192423,0.002080,0.000928,0.000384,0.898755
0.416208,0.017633,0.203048,0.005120,0.047522,0.000608,0.201128,0.002080,0.000960,0.000384,0.901923
0.421808,0.017440,0.202600,0.005024,0.048130,0.000768,0.184840,0.002144,0.001056,0.000576,0.891971
0.446642,0.017568,0.202504,0.005281,0.047329,0.000833,0.186535,0.002112,0.000992,0.000352,0.917668
0.416400,0.017633,0.202856,0.005056,0.047458,0.000608,0.196584,0.002144,0.000992,0.000384,0.897187
0.420465,0.017440,0.203848,0.005057,0.048385,0.000544,0.204392,0.001984,0.001056,0.000384,0.910532
0.416496,0.017601,0.203304,0.005056,0.047746,0.000544,0.224105,0.002144,0.001120,0.000608,0.925316
0.415600,0.017633,0.202664,0.005120,0.049346,0.000576,0.197160,0.002016,0.001024,0.000352,0.899779
0.415856,0.017697,0.202728,0.005312,0.047714,0.000608,0.183111,0.002048,0.000992,0.000416,0.883554
0.415920,0.017249,0.203368,0.005120,0.047458,0.000768,0.213672,0.002080,0.000960,0.000640,0.913763
0.434161,0.017601,0.202728,0.005280,0.048834,0.000832,0.172487,0.002048,0.001152,0.000352,0.892739
0.418833,0.017600,0.202696,0.005312,0.048386,0.000768,0.188104,0.001952,0.001120,0.000608,0.891843
0.415536,0.017569,0.203080,0.005088,0.048130,0.000800,0.191239,0.002017,0.000992,0.000384,0.892387
0.416560,0.017665,0.202984,0.005120,0.047938,0.000608,0.200552,0.001984,0.000992,0.000416,0.901891
0.416720,0.017537,0.202568,0.005312,0.048002,0.000576,0.198088,0.001984,0.000960,0.000416,0.899107
0.420944,0.017408,0.202248,0.005024,0.048258,0.000576,0.187848,0.001920,0.000960,0.000384,0.893091
0.415632,0.017505,0.202952,0.005088,0.047170,0.000576,0.214697,0.002016,0.000928,0.000416,0.913572
0.416368,0.017728,0.218921,0.005280,0.047778,0.000832,0.196584,0.002272,0.001056,0.000416,0.915588
0.416336,0.017728,0.202472,0.005312,0.047618,0.000800,0.192200,0.002144,0.001024,0.000416,0.892963
0.416080,0.017632,0.203176,0.005248,0.048674,0.000800,0.199080,0.002016,0.001056,0.000384,0.901891
0.418128,0.018145,0.204072,0.005120,0.048674,0.000832,0.196744,0.002656,0.001120,0.000576,0.904419
0.420912,0.017601,0.202728,0.005472,0.048962,0.000832,0.197832,0.002240,0.001152,0.000320,0.905347
0.417296,0.017537,0.202888,0.005056,0.047970,0.000800,0.189479,0.002241,0.001056,0.000384,0.892867
0.415856,0.017441,0.202984,0.005216,0.048290,0.000576,0.194344,0.002272,0.001344,0.000352,0.895619
0.416272,0.017665,0.221545,0.005248,0.048098,0.000576,0.204008,0.001952,0.001120,0.000384,0.924580
0.416816,0.017408,0.203656,0.005120,0.048098,0.000576,0.189992,0.002240,0.001024,0.000544,0.892131
0.420912,0.017441,0.203400,0.005344,0.048610,0.000800,0.193992,0.001952,0.001088,0.000352,0.901507
0.416816,0.017697,0.202568,0.005248,0.048386,0.000768,0.190055,0.002273,0.000992,0.000576,0.893635
0.417136,0.017697,0.202600,0.005088,0.047874,0.000864,0.196071,0.002113,0.001184,0.000416,0.898340
0.416336,0.017440,0.203336,0.005280,0.047234,0.000576,0.186920,0.002048,0.001152,0.000352,0.888355
0.416240,0.017665,0.203080,0.005056,0.047202,0.000608,0.193511,0.001952,0.001088,0.000640,0.894691
0.435185,0.017633,0.203336,0.005280,0.048610,0.000608,0.189000,0.001920,0.001056,0.000320,0.910468
0.416752,0.017505,0.203176,0.005024,0.048034,0.000768,0.190088,0.001984,0.001088,0.000384,0.892867
0.415888,0.017505,0.202600,0.005088,0.048386,0.000832,0.185223,0.002080,0.001024,0.000384,0.886434
0.416784,0.017537,0.203432,0.005056,0.048130,0.000576,0.189895,0.002016,0.001184,0.000384,0.892642
0.417264,0.017473,0.203080,0.005088,0.048002,0.001056,0.187815,0.001952,0.001088,0.000608,0.890499
0.417776,0.017664,0.203304,0.005344,0.048002,0.000800,0.193960,0.002016,0.001056,0.000640,0.898019
0.416240,0.017505,0.202952,0.005088,0.048002,0.000800,0.193543,0.002400,0.000928,0.000352,0.895299
0.454034,0.017633,0.203624,0.005248,0.048130,0.000576,0.196488,0.001984,0.001152,0.000576,0.937317
0.417521,0.017505,0.203368,0.005024,0.047330,0.000608,0.192135,0.002112,0.000928,0.000640,0.894563
0.417840,0.017729,0.203208,0.005024,0.049122,0.000960,0.199304,0.002208,0.001120,0.000384,0.903907
0.416336,0.017632,0.202504,0.005056,0.047522,0.000832,0.188136,0.002144,0.001024,0.000416,0.888675
0.420848,0.017664,0.203144,0.005312,0.049218,0.000576,0.199944,0.002240,0.001184,0.000416,0.908483
0.416144,0.017665,0.202728,0.005344,0.048098,0.000576,0.197064,0.001856,0.000928,0.000384,0.897795
0.416785,0.017536,0.202888,0.005057,0.048834,0.000576,0.198503,0.002049,0.001152,0.000384,0.901668
0.439921,0.017760,0.202824,0.005312,0.057315,0.000800,0.182119,0.002240,0.001056,0.000384,0.918052
0.420593,0.017633,0.203272,0.005088,0.047074,0.000768,0.220648,0.003168,0.001121,0.000384,0.927813
0.420656,0.017632,0.203272,0.005120,0.047330,0.000832,0.192456,0.001888,0.001024,0.000416,0.898627
0.418000,0.017665,0.202600,0.005376,0.048546,0.000832,0.184359,0.002016,0.000960,0.000320,0.888066
0.418193,0.017696,0.202888,0.005313,0.048065,0.000864,0.199400,0.002112,0.000896,0.000352,0.903108
0.421520,0.017376,0.202728,0.005248,0.048546,0.000800,0.208521,0.002016,0.001120,0.000352,0.915940
0.416752,0.017569,0.202856,0.005088,0.047906,0.000800,0.190087,0.001984,0.000864,0.000256,0.890435
0.432977,0.017505,0.203112,0.005312,0.049506,0.000576,0.194951,0.002080,0.001088,0.000352,0.915300
0.416176,0.017505,0.203176,0.005088,0.048578,0.000576,0.183879,0.002016,0.001024,0.000384,0.885474
0.420176,0.017473,0.203912,0.005248,0.047746,0.000896,0.203144,0.002208,0.001056,0.000352,0.909923
0.416401,0.017632,0.203240,0.005120,0.047298,0.000576,0.204904,0.001985,0.000960,0.000576,0.905604
0.416976,0.017473,0.202984,0.005312,0.047010,0.000576,0.197415,0.002112,0.000896,0.000416,0.898627
0.416688,0.017729,0.205800,0.005024,0.047650,0.000800,0.189992,0.002016,0.000928,0.000384,0.894659
0.415920,0.017537,0.203368,0.005024,0.047746,0.000800,0.196648,0.002112,0.000992,0.000416,0.897923
0.433585,0.017729,0.203432,0.005056,0.047874,0.000576,0.197480,0.002208,0.001152,0.000416,0.916548
0.415793,0.017472,0.203368,0.004993,0.047585,0.000832,0.184104,0.002144,0.001024,0.000352,0.885283
0.420688,0.017504,0.203464,0.005248,0.048802,0.000800,0.195176,0.002016,0.001024,0.000384,0.902883
0.417969,0.017697,0.204744,0.005088,0.048066,0.000864,0.195271,0.002401,0.001088,0.000416,0.901732
0.416528,0.017697,0.203880,0.005248,0.048130,0.000832,0.184391,0.002208,0.000928,0.000416,0.887619
0.421169,0.017664,0.202536,0.005248,0.047650,0.000576,0.200872,0.002112,0.000832,0.000576,0.906564
