Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-9],Layer[10],classifier
0.417872,0.017505,0.202248,0.004896,0.246858,0.000640,0.896227
0.431088,0.017568,0.203112,0.004864,0.252554,0.001024,0.917988
0.416113,0.017793,0.202472,0.004864,0.257386,0.000576,0.905508
0.416208,0.017313,0.202183,0.004864,0.282795,0.000576,0.929572
0.415984,0.017665,0.202856,0.004832,0.295308,0.000608,0.943845
0.416464,0.017793,0.201768,0.004832,0.239498,0.000672,0.886947
0.415856,0.017473,0.202152,0.004832,0.263210,0.000608,0.911075
0.416529,0.017825,0.202152,0.005024,0.269770,0.000704,0.917668
0.431664,0.017632,0.202728,0.004896,0.264331,0.000768,0.929380
0.416912,0.017633,0.202376,0.004928,0.262058,0.000704,0.910564
0.416720,0.017697,0.202120,0.004832,0.256714,0.000640,0.905635
0.416432,0.017793,0.221896,0.005185,0.248873,0.000640,0.917955
0.416465,0.017632,0.202920,0.004833,0.262474,0.000608,0.911268
0.415792,0.017761,0.202440,0.004896,0.240873,0.000608,0.888514
0.416209,0.017825,0.202855,0.004833,0.251402,0.000672,0.900676
0.416112,0.017409,0.203048,0.004864,0.249130,0.000608,0.897155
0.416592,0.017697,0.202952,0.004736,0.262922,0.000800,0.912259
0.416400,0.017633,0.202472,0.004832,0.246762,0.000576,0.894307
0.431697,0.017504,0.203016,0.004833,0.251337,0.000608,0.917220
0.416145,0.017632,0.203016,0.004928,0.248905,0.000736,0.897123
0.416624,0.017697,0.202824,0.004864,0.259306,0.000608,0.908547
0.415792,0.017729,0.202664,0.004864,0.281131,0.000704,0.930468
0.420913,0.017505,0.204936,0.005184,0.249066,0.000640,0.904100
0.420272,0.017441,0.202248,0.004832,0.243657,0.000768,0.895139
0.415696,0.017281,0.201896,0.005024,0.236553,0.000576,0.882754
0.432497,0.017601,0.202152,0.004832,0.250698,0.000544,0.913860
0.415376,0.017601,0.202344,0.004864,0.257482,0.000640,0.903556
0.420241,0.017440,0.203272,0.004800,0.242985,0.000576,0.894563
0.416848,0.017441,0.202056,0.004832,0.287499,0.000544,0.935044
0.421232,0.017761,0.201896,0.004864,0.264746,0.000576,0.916548
0.420144,0.017632,0.202824,0.004864,0.249002,0.000672,0.901699
0.420657,0.017440,0.203048,0.004865,0.266090,0.000768,0.919364
0.434961,0.017729,0.202920,0.004832,0.249706,0.000608,0.916388
0.415313,0.017504,0.201896,0.004832,0.244873,0.000576,0.890403
0.419920,0.017569,0.201992,0.004864,0.251274,0.000576,0.901027
0.415153,0.017472,0.202056,0.004865,0.291659,0.000672,0.937477
0.416784,0.017249,0.202632,0.004832,0.244554,0.000640,0.891779
0.420401,0.017504,0.202728,0.004801,0.256682,0.000576,0.907940
0.416272,0.017601,0.202632,0.004768,0.258250,0.000608,0.905667
0.438737,0.017889,0.202568,0.004832,0.268234,0.000992,0.939717
0.418064,0.017345,0.202728,0.004832,0.264042,0.001056,0.913924
0.423569,0.017761,0.205000,0.005056,0.273483,0.001120,0.933989
0.418224,0.017313,0.203112,0.004896,0.291436,0.000704,0.942213
0.420209,0.017600,0.203112,0.004865,0.255754,0.000608,0.908420
0.415824,0.017217,0.202632,0.004864,0.286955,0.000576,0.933796
0.420240,0.017601,0.202664,0.004832,0.262507,0.000640,0.914212
0.432785,0.017665,0.202216,0.004896,0.283723,0.000608,0.947877
0.415472,0.017473,0.202344,0.004832,0.243242,0.000608,0.889283
0.420177,0.017441,0.202343,0.004864,0.253898,0.000608,0.905060
0.415888,0.017473,0.202216,0.004800,0.260362,0.000608,0.906691
0.415440,0.017248,0.202728,0.004864,0.252586,0.000704,0.899747
0.420273,0.017729,0.203432,0.004800,0.248778,0.000608,0.903588
0.420721,0.017664,0.202504,0.004833,0.263626,0.000608,0.915620
0.433201,0.017504,0.202312,0.004800,0.261867,0.000576,0.925700
0.415728,0.017505,0.202248,0.004896,0.255626,0.000544,0.902115
0.415088,0.017697,0.202760,0.004832,0.252234,0.000608,0.898979
0.415440,0.017633,0.205224,0.004896,0.279883,0.000576,0.929252
0.420080,0.017537,0.202216,0.004896,0.241641,0.000736,0.892898
0.415472,0.017409,0.202504,0.004736,0.260490,0.000576,0.906147
0.415632,0.017601,0.202952,0.004864,0.256010,0.000640,0.903363
0.436562,0.017792,0.202376,0.004896,0.291115,0.000608,0.959142
0.416560,0.017921,0.203016,0.004768,0.269770,0.000640,0.920548
0.420593,0.017665,0.202600,0.004896,0.256714,0.000640,0.908932
0.420464,0.017537,0.203464,0.004800,0.261066,0.000576,0.913443
0.420720,0.017601,0.202312,0.004864,0.244490,0.000544,0.896131
0.420593,0.017600,0.202088,0.004833,0.257578,0.000640,0.909028
0.415281,0.017408,0.202184,0.004897,0.251593,0.000609,0.897380
0.433041,0.017505,0.202824,0.004896,0.255466,0.000704,0.920356
0.415408,0.017472,0.202120,0.004896,0.230665,0.000704,0.876322
0.419792,0.017537,0.201928,0.004800,0.254026,0.000672,0.904547
0.420624,0.017665,0.202152,0.004864,0.241673,0.000608,0.892931
0.417265,0.017824,0.205480,0.004833,0.255370,0.000768,0.908996
0.420944,0.017505,0.202664,0.004928,0.249898,0.000640,0.902371
0.420816,0.017665,0.203208,0.004864,0.249962,0.000576,0.902787
0.428913,0.017473,0.202856,0.004800,0.249418,0.000608,0.909956
0.416176,0.017505,0.202312,0.004896,0.257706,0.000576,0.904035
0.420784,0.017472,0.202760,0.004832,0.263787,0.000640,0.915556
0.420529,0.017537,0.202536,0.004832,0.245545,0.000512,0.896196
0.420273,0.017473,0.202247,0.004769,0.253066,0.000640,0.903940
0.415984,0.017505,0.202952,0.004800,0.239561,0.000512,0.888130
0.420401,0.017408,0.202120,0.004800,0.242441,0.000704,0.893475
0.434737,0.017729,0.203208,0.004832,0.268651,0.000640,0.935941
0.419600,0.017537,0.202728,0.004864,0.240234,0.000608,0.891075
0.419728,0.017632,0.202472,0.004832,0.245706,0.000544,0.896259
0.420016,0.017217,0.202408,0.004832,0.243242,0.000576,0.894083
0.416272,0.017409,0.202312,0.004832,0.272235,0.000736,0.918500
0.415921,0.017472,0.202728,0.004768,0.253386,0.000704,0.900515
0.420272,0.017313,0.202472,0.004832,0.229001,0.000768,0.880034
0.420305,0.017729,0.234537,0.005152,0.253322,0.000736,0.937413
0.420752,0.017664,0.202088,0.004832,0.260555,0.000576,0.912260
0.415889,0.017728,0.202568,0.004800,0.249034,0.000608,0.896227
0.420400,0.018049,0.202824,0.004864,0.248362,0.000768,0.902339
0.438258,0.017760,0.202472,0.004865,0.276106,0.000736,0.945765
0.415888,0.017729,0.202536,0.004832,0.249962,0.000608,0.897059
0.415120,0.017633,0.203368,0.004896,0.251882,0.000512,0.898691
0.420497,0.017441,0.226313,0.005056,0.260970,0.000576,0.936837
0.420625,0.017344,0.202984,0.004833,0.256810,0.000640,0.908644
0.420305,0.017216,0.202856,0.004865,0.238025,0.000544,0.889283
0.420272,0.017601,0.203624,0.004928,0.242250,0.000544,0.894595
0.436049,0.017761,0.202984,0.004864,0.243082,0.000704,0.911172
0.417585,0.017376,0.205512,0.004801,0.254826,0.000736,0.907524
0.419985,0.017345,0.203080,0.004832,0.235625,0.000768,0.887491
0.415633,0.017472,0.202696,0.004833,0.266666,0.000736,0.913764
0.420689,0.017761,0.202248,0.004832,0.247209,0.000704,0.899268
0.420337,0.017696,0.202280,0.004897,0.255306,0.000640,0.906596
0.420337,0.017601,0.203816,0.004864,0.241769,0.000608,0.894915
0.448850,0.017665,0.202504,0.004864,0.270858,0.000576,0.950982
0.419920,0.017985,0.203176,0.004800,0.240393,0.000577,0.892323
0.420624,0.017505,0.202888,0.004800,0.244554,0.000640,0.896515
0.416337,0.017472,0.203047,0.004865,0.268362,0.000576,0.916356
0.421233,0.017632,0.203624,0.004833,0.247913,0.000928,0.904067
0.421328,0.017473,0.202472,0.004832,0.239850,0.000576,0.892099
0.420369,0.017184,0.202312,0.004865,0.254986,0.000608,0.906148
0.440145,0.017601,0.201960,0.004832,0.246314,0.000608,0.917924
0.416080,0.017249,0.202312,0.004864,0.274218,0.000576,0.920708
0.415792,0.017568,0.202536,0.004864,0.231529,0.000641,0.878531
0.416208,0.017473,0.202312,0.004896,0.239497,0.000800,0.886786
0.420977,0.017505,0.202024,0.004800,0.249418,0.000576,0.900804
0.420593,0.017344,0.202120,0.004864,0.246090,0.000672,0.897315
0.420273,0.017473,0.203143,0.004832,0.250858,0.000832,0.902948
0.443666,0.017729,0.203624,0.004832,0.248521,0.000672,0.928261
0.420657,0.017569,0.202344,0.004896,0.246954,0.000576,0.898948
0.419953,0.017633,0.202600,0.004832,0.245609,0.000736,0.896452
0.420528,0.017536,0.203496,0.004896,0.245194,0.000640,0.897827
0.420721,0.017504,0.203207,0.004801,0.244041,0.000576,0.896227
0.415600,0.017505,0.202248,0.004832,0.254506,0.000576,0.901091
0.420433,0.017313,0.201800,0.004864,0.241769,0.000640,0.892227
0.420817,0.017441,0.219624,0.005152,0.246474,0.000704,0.916772
0.416368,0.017473,0.202216,0.004800,0.242697,0.000576,0.889346
0.420465,0.017312,0.203272,0.004801,0.247977,0.000672,0.900579
0.419985,0.017473,0.203303,0.004864,0.256810,0.000704,0.909348
0.416113,0.017408,0.202024,0.004832,0.232586,0.000640,0.879171
0.415825,0.017504,0.202728,0.004928,0.252681,0.000544,0.899523
0.420721,0.017312,0.202472,0.004928,0.232970,0.000640,0.884323
0.416305,0.017472,0.221705,0.004960,0.245546,0.000544,0.912420
0.416625,0.017696,0.202120,0.004896,0.253098,0.000640,0.900963
0.420016,0.017601,0.202600,0.004928,0.235177,0.000640,0.886403
0.416464,0.017697,0.202728,0.004800,0.254410,0.000608,0.902627
0.435569,0.017825,0.202600,0.004832,0.238858,0.000640,0.906276
0.420112,0.017665,0.202504,0.004800,0.253898,0.000576,0.905219
0.421073,0.017537,0.203528,0.004832,0.247146,0.000832,0.902500
0.419952,0.017665,0.203304,0.004832,0.273387,0.000704,0.925700
0.415568,0.017601,0.202504,0.004864,0.244969,0.000608,0.891810
0.415664,0.017473,0.202663,0.004864,0.246153,0.000576,0.892930
0.415601,0.017248,0.203144,0.004864,0.244906,0.000576,0.891779
0.437137,0.017664,0.202408,0.004833,0.246217,0.000576,0.914275
0.415697,0.017632,0.202600,0.004896,0.241514,0.000544,0.888771
0.420080,0.017313,0.202376,0.004832,0.239113,0.000641,0.890435
0.419857,0.017600,0.202440,0.004865,0.278282,0.000800,0.929221
0.420337,0.017248,0.202440,0.004897,0.255114,0.000640,0.906084
0.420017,0.017344,0.202311,0.004897,0.260042,0.000640,0.911812
0.419984,0.017281,0.203048,0.004832,0.233481,0.000576,0.884290
0.431953,0.017857,0.202376,0.004864,0.255786,0.000576,0.919044
0.415921,0.018016,0.202472,0.004800,0.238442,0.000640,0.885443
0.422161,0.017409,0.202248,0.004800,0.260778,0.000576,0.913412
0.420560,0.017697,0.202920,0.004832,0.256042,0.000736,0.908291
0.416112,0.017665,0.202184,0.004864,0.245770,0.000704,0.892643
0.415952,0.017505,0.202152,0.004864,0.249322,0.000576,0.895843
0.415728,0.017504,0.202184,0.004896,0.233738,0.000544,0.879907
0.434225,0.017633,0.202568,0.004864,0.255402,0.000544,0.920868
0.417360,0.017729,0.203624,0.004832,0.268203,0.000768,0.919524
0.416017,0.017472,0.203048,0.005153,0.257034,0.000576,0.905572
0.420304,0.017185,0.202984,0.004896,0.270122,0.000576,0.921477
0.415696,0.017153,0.203240,0.004800,0.232841,0.000544,0.879618
0.415568,0.017441,0.202600,0.004832,0.240874,0.000640,0.887587
0.420849,0.017697,0.202280,0.004864,0.238793,0.000576,0.890307
0.443985,0.017729,0.203464,0.004800,0.246154,0.000608,0.923236
0.420400,0.017632,0.203272,0.004896,0.259083,0.000864,0.911620
0.415696,0.017505,0.202632,0.004832,0.242378,0.000576,0.889955
0.421265,0.017345,0.202888,0.004768,0.240553,0.000576,0.892867
0.416177,0.017472,0.203016,0.004801,0.248457,0.000608,0.897860
0.420625,0.017537,0.202440,0.004768,0.245097,0.000609,0.896772
0.420784,0.017440,0.202536,0.004864,0.242570,0.000640,0.894083
0.415792,0.017569,0.218089,0.004896,0.269482,0.000609,0.931557
0.415504,0.017345,0.201864,0.004832,0.249002,0.000576,0.894467
0.415537,0.017536,0.202312,0.004801,0.234153,0.000640,0.879715
0.420496,0.017696,0.202216,0.004832,0.252554,0.000576,0.904099
0.420209,0.017697,0.202504,0.004800,0.248874,0.000544,0.899812
0.416144,0.017473,0.204392,0.004864,0.253322,0.000864,0.902595
0.416304,0.018049,0.201800,0.005216,0.253290,0.000768,0.901923
0.420529,0.017664,0.220456,0.004928,0.262571,0.000608,0.936261
0.419857,0.017601,0.202888,0.004736,0.252362,0.000608,0.903652
0.420048,0.017665,0.202536,0.004800,0.246378,0.000608,0.897411
0.415217,0.017600,0.201960,0.004801,0.250409,0.000704,0.896003
0.432945,0.017473,0.202184,0.004928,0.239049,0.000544,0.902595
0.419888,0.017601,0.202024,0.004832,0.274347,0.000576,0.925188
0.420241,0.017473,0.202888,0.004800,0.253194,0.000800,0.904740
0.420465,0.017537,0.221416,0.004897,0.254153,0.000640,0.925157
0.420689,0.017408,0.201864,0.004864,0.234218,0.000608,0.885507
0.501684,0.020353,0.203432,0.004768,0.267946,0.000768,1.006471
0.415856,0.017729,0.202376,0.004832,0.259210,0.000576,0.905763
0.415536,0.017185,0.202088,0.004800,0.241225,0.000832,0.887074
0.415888,0.017665,0.202152,0.004896,0.254442,0.000576,0.901219
0.415153,0.017472,0.202888,0.004801,0.250761,0.000640,0.897603
0.415440,0.017729,0.221161,0.005088,0.259402,0.000576,0.924676
0.420113,0.017408,0.202280,0.004864,0.257099,0.000608,0.908420
0.415377,0.017312,0.202408,0.004800,0.254602,0.000545,0.900196
0.415088,0.017473,0.202312,0.004800,0.251914,0.000640,0.897251
0.442833,0.017729,0.202760,0.004864,0.253162,0.000608,0.927844
0.421328,0.017664,0.201864,0.004832,0.236938,0.000704,0.889411
0.420721,0.018177,0.202856,0.004864,0.224201,0.000704,0.877251
0.420465,0.017472,0.219945,0.004960,0.253898,0.000608,0.922852
0.421745,0.017249,0.202792,0.004832,0.276651,0.000576,0.929285
0.420016,0.017409,0.202056,0.004800,0.255018,0.000576,0.905123
0.420209,0.017537,0.203016,0.004864,0.256522,0.000608,0.908612
0.434161,0.017761,0.202536,0.004928,0.264906,0.000608,0.930725
0.415408,0.017633,0.202536,0.004992,0.242826,0.000608,0.888835
0.420689,0.017473,0.201991,0.004929,0.252170,0.000544,0.903076
0.415536,0.017248,0.202728,0.004800,0.263563,0.000576,0.910084
0.416049,0.017248,0.202888,0.004801,0.246825,0.000672,0.894691
0.416048,0.017505,0.202344,0.004896,0.254858,0.000608,0.901987
0.420560,0.017313,0.202184,0.004864,0.246826,0.000704,0.898083
0.431825,0.017697,0.201928,0.004800,0.248554,0.000672,0.911684
0.416464,0.017313,0.202696,0.004800,0.274859,0.000704,0.922116
0.420593,0.017728,0.202120,0.004832,0.247657,0.000576,0.899331
0.415824,0.017441,0.202152,0.004832,0.259690,0.000608,0.905955
0.420945,0.017697,0.201960,0.004832,0.253034,0.000576,0.904644
0.416400,0.017505,0.201960,0.004832,0.252362,0.000576,0.899459
0.421296,0.017537,0.202952,0.004832,0.244202,0.000640,0.897635
0.434801,0.018241,0.204072,0.004896,0.267498,0.000640,0.937796
0.416369,0.017568,0.202312,0.004864,0.247338,0.000608,0.894691
0.420465,0.017664,0.202184,0.004897,0.252746,0.000608,0.903844
0.416880,0.017760,0.202472,0.004800,0.271723,0.000576,0.919748
0.415792,0.017505,0.202376,0.004832,0.249066,0.000832,0.896067
0.416016,0.017472,0.202952,0.004864,0.271947,0.000608,0.919172
0.420464,0.017473,0.202120,0.004832,0.252746,0.000544,0.903779
0.432369,0.017536,0.202280,0.004897,0.253929,0.000608,0.917444
0.414992,0.017665,0.202536,0.004832,0.257002,0.000544,0.903459
0.415696,0.017633,0.202280,0.004832,0.264138,0.000672,0.911556
0.418992,0.017857,0.207400,0.004864,0.308525,0.000896,0.969510
0.416144,0.018113,0.203464,0.005184,0.272235,0.000640,0.921572
0.416913,0.017761,0.203144,0.004832,0.240329,0.000672,0.890275
0.416880,0.017600,0.203304,0.004896,0.256170,0.000640,0.906980
0.436689,0.017473,0.203528,0.004832,0.241546,0.000768,0.911172
0.420848,0.017537,0.202888,0.004832,0.237449,0.000640,0.891523
0.416912,0.017505,0.202344,0.004896,0.249482,0.000608,0.897891
0.422032,0.017280,0.203016,0.004768,0.267179,0.000576,0.921444
0.420337,0.017664,0.202407,0.004801,0.252330,0.000672,0.904868
0.420016,0.017633,0.203432,0.004896,0.236585,0.000672,0.889667
0.416945,0.017728,0.203176,0.004897,0.241193,0.000736,0.891619
0.433169,0.017505,0.203080,0.004832,0.253098,0.000896,0.919300
0.416016,0.017569,0.202696,0.004864,0.249674,0.000640,0.897923
0.420880,0.017633,0.204136,0.004864,0.239113,0.000640,0.893859
0.420112,0.017664,0.202184,0.004864,0.262283,0.000832,0.914436
0.420208,0.017761,0.202760,0.004832,0.249418,0.000832,0.901891
0.416209,0.017537,0.202663,0.004865,0.247817,0.000608,0.896132
0.420400,0.017920,0.203336,0.004896,0.249706,0.000672,0.902979
0.440305,0.017504,0.202856,0.004800,0.255306,0.000704,0.927909
0.416144,0.017441,0.202600,0.004800,0.237962,0.000640,0.886019
0.420016,0.017505,0.202600,0.004864,0.244298,0.000672,0.896515
0.420560,0.017601,0.204264,0.004768,0.266251,0.000576,0.920612
0.420496,0.017601,0.202760,0.004864,0.239082,0.000608,0.891811
0.415920,0.017761,0.202472,0.004800,0.250058,0.000608,0.897571
0.416336,0.017889,0.203432,0.005216,0.249994,0.000608,0.899555
0.432401,0.017536,0.203176,0.004897,0.249737,0.000672,0.915140
0.415632,0.017473,0.202696,0.004864,0.247658,0.000608,0.895043
0.420625,0.017633,0.202600,0.004864,0.242441,0.000768,0.895075
0.416656,0.017761,0.223113,0.004928,0.241353,0.000800,0.911139
0.416625,0.017344,0.203528,0.004832,0.257899,0.000608,0.906628
0.420561,0.017473,0.202951,0.004832,0.254442,0.000704,0.907716
0.416240,0.017665,0.202920,0.004864,0.241513,0.000736,0.889890
0.420720,0.017761,0.202344,0.004864,0.263403,0.000800,0.915940
0.421104,0.017793,0.203080,0.004768,0.233449,0.000832,0.887234
0.421008,0.017281,0.203464,0.004832,0.240554,0.000832,0.894243
0.417360,0.017473,0.218248,0.004961,0.260042,0.000640,0.925220
0.420912,0.017761,0.202088,0.004832,0.245354,0.000640,0.897923
0.416496,0.017248,0.202408,0.004896,0.248586,0.000704,0.895971
0.418225,0.017793,0.202279,0.004865,0.243529,0.000672,0.893795
0.414832,0.017921,0.202600,0.004832,0.239562,0.000896,0.887043
0.416816,0.017569,0.203176,0.004864,0.270795,0.000768,0.921284
0.420464,0.017504,0.202504,0.005216,0.238250,0.000736,0.890851
0.420304,0.017569,0.224585,0.005248,0.264842,0.000704,0.941060
0.420816,0.017761,0.202792,0.005280,0.252906,0.000672,0.906211
0.416272,0.017697,0.202472,0.004864,0.239497,0.000704,0.887938
0.415440,0.017537,0.202472,0.004832,0.257130,0.000736,0.903619
0.416080,0.017697,0.202792,0.004768,0.270570,0.000641,0.918052
0.421041,0.017729,0.202728,0.004864,0.245001,0.000577,0.897316
0.420464,0.017473,0.202504,0.004992,0.228041,0.000608,0.879810
0.420305,0.017344,0.219337,0.005152,0.250986,0.000576,0.919332
0.416401,0.017696,0.202439,0.004801,0.244713,0.000704,0.892835
0.420464,0.017473,0.202376,0.004832,0.245962,0.000608,0.896995
0.421232,0.017473,0.202088,0.004832,0.253130,0.000640,0.904579
0.420528,0.017473,0.202472,0.004864,0.278891,0.000640,0.929988
0.421008,0.017473,0.203048,0.004896,0.242538,0.000576,0.895011
0.420304,0.017921,0.202664,0.004832,0.274827,0.000608,0.926468
0.420817,0.017281,0.220264,0.005249,0.254378,0.000672,0.924741
0.420113,0.017312,0.202184,0.004800,0.229897,0.000576,0.880387
0.420784,0.017505,0.202696,0.004800,0.243914,0.000576,0.896163
0.416561,0.017696,0.203944,0.004897,0.260138,0.000672,0.909636
0.420753,0.017568,0.202760,0.004864,0.263051,0.000832,0.915076
0.416144,0.017473,0.202344,0.004800,0.240650,0.000576,0.887299
0.419857,0.017696,0.201800,0.004832,0.261547,0.000544,0.911044
0.419697,0.017921,0.224200,0.004993,0.255882,0.000736,0.929861
0.423440,0.017281,0.203784,0.004832,0.247114,0.000608,0.902979
0.420912,0.017248,0.202728,0.004864,0.238954,0.000544,0.890883
0.421008,0.017697,0.203560,0.004896,0.246346,0.000544,0.899907
0.432913,0.017601,0.202376,0.004800,0.233129,0.000576,0.897187
0.420464,0.017601,0.202920,0.004896,0.245226,0.000544,0.897283
0.420368,0.017473,0.204168,0.005024,0.243370,0.000704,0.897795
0.416560,0.017409,0.203528,0.004896,0.300012,0.000672,0.948933
0.416400,0.017505,0.202632,0.005280,0.254154,0.000608,0.902115
0.420720,0.017441,0.202920,0.004800,0.251946,0.000544,0.903972
0.416304,0.017601,0.203080,0.004800,0.270986,0.000576,0.919300
0.431728,0.017600,0.202376,0.004832,0.259531,0.000544,0.922500
0.416016,0.017505,0.203304,0.004800,0.258314,0.000576,0.906243
0.421617,0.017761,0.202664,0.004864,0.252266,0.000576,0.905220
0.416304,0.017505,0.220328,0.005185,0.250409,0.000608,0.916547
0.415696,0.017537,0.202504,0.004960,0.232329,0.000672,0.879906
0.416592,0.017473,0.203560,0.004864,0.239338,0.000576,0.889315
0.416176,0.017185,0.202376,0.004896,0.227625,0.000768,0.874818
0.432657,0.017632,0.202952,0.004801,0.283819,0.000832,0.948325
0.416049,0.017536,0.202088,0.004832,0.247402,0.000544,0.893731
0.415376,0.017313,0.201928,0.004896,0.283851,0.000576,0.929540
0.420368,0.017792,0.203336,0.004864,0.269515,0.000544,0.922052
0.420624,0.017729,0.202504,0.004928,0.247274,0.000704,0.899459
0.416368,0.017632,0.202120,0.004864,0.232009,0.000577,0.878947
0.416049,0.017472,0.202344,0.004864,0.250282,0.000736,0.897155
0.433297,0.017633,0.202151,0.004832,0.243017,0.000544,0.907043
0.415856,0.017632,0.203240,0.004896,0.268522,0.000704,0.918692
0.417937,0.017761,0.202280,0.004832,0.243369,0.000800,0.893731
0.416176,0.017537,0.202088,0.004896,0.274699,0.000704,0.922148
0.421296,0.017985,0.202856,0.004832,0.244010,0.000576,0.897443
0.420752,0.017793,0.202696,0.004864,0.255722,0.000608,0.908675
0.417264,0.017601,0.202632,0.004832,0.240458,0.000544,0.889091
0.438033,0.017793,0.202312,0.004832,0.244970,0.000640,0.914852
0.416048,0.017697,0.202216,0.005152,0.256234,0.000640,0.904515
0.420464,0.017473,0.202568,0.004928,0.272523,0.000672,0.924932
0.422801,0.017633,0.202663,0.004865,0.283595,0.000608,0.939877
0.417264,0.017825,0.203240,0.004800,0.273547,0.001088,0.924484
0.420625,0.017729,0.202504,0.004768,0.258154,0.000704,0.911876
0.420144,0.017729,0.202120,0.004896,0.253610,0.000640,0.905667
0.432049,0.017473,0.202760,0.004864,0.267370,0.000736,0.932261
0.420560,0.017537,0.202568,0.004864,0.256010,0.000608,0.908579
0.420592,0.017665,0.202024,0.004864,0.238633,0.000608,0.890658
0.420529,0.017664,0.219273,0.005280,0.245450,0.000608,0.915300
0.420624,0.017536,0.202312,0.004768,0.289068,0.000640,0.941637
0.420817,0.017376,0.203016,0.004993,0.259978,0.000704,0.913220
0.421265,0.017504,0.202536,0.004800,0.260587,0.000672,0.913412
0.416624,0.017473,0.202568,0.005280,0.267691,0.000736,0.918500
0.416528,0.017601,0.202856,0.004832,0.248682,0.000800,0.898403
0.416688,0.017601,0.202632,0.004864,0.247977,0.000640,0.896675
0.416433,0.017568,0.221033,0.005344,0.250922,0.000736,0.918788
0.420305,0.017504,0.202664,0.004832,0.249962,0.000672,0.902595
0.421873,0.017408,0.202728,0.004833,0.246185,0.000672,0.900131
0.420113,0.017633,0.202824,0.004832,0.248682,0.000608,0.901156
0.415280,0.017313,0.203720,0.004992,0.262634,0.000800,0.911363
0.420337,0.017505,0.202728,0.004896,0.249417,0.000704,0.902500
0.420560,0.017793,0.202248,0.004928,0.252426,0.000832,0.905411
0.420337,0.017696,0.221225,0.005152,0.263947,0.000768,0.937061
0.416048,0.017409,0.202216,0.004992,0.254826,0.000768,0.902787
0.425457,0.017824,0.202824,0.004897,0.252521,0.000609,0.911076
0.414993,0.017632,0.202856,0.004865,0.239369,0.000800,0.887235
0.421489,0.017280,0.202984,0.005281,0.238985,0.000608,0.893091
0.420176,0.017473,0.202472,0.005024,0.259722,0.000576,0.912643
0.420880,0.017857,0.202088,0.004960,0.252298,0.000640,0.905475
0.440017,0.017633,0.203848,0.004832,0.255370,0.000640,0.928868
0.422225,0.017473,0.202504,0.004864,0.278891,0.000704,0.932965
0.420913,0.017504,0.202632,0.004833,0.251625,0.000672,0.904484
0.421745,0.017633,0.203624,0.004864,0.259530,0.000832,0.917124
0.420753,0.017665,0.202792,0.005088,0.243369,0.000704,0.897123
0.421777,0.017409,0.202728,0.004992,0.248234,0.000640,0.902468
0.415952,0.017473,0.202344,0.004832,0.247754,0.000608,0.895203
0.438577,0.017697,0.202440,0.004896,0.260074,0.000704,0.930757
0.420848,0.017409,0.202536,0.004832,0.251626,0.000768,0.904131
0.420209,0.017760,0.202472,0.005281,0.259754,0.000736,0.912548
0.420753,0.017472,0.203144,0.004833,0.283403,0.000736,0.936517
0.416913,0.017472,0.202216,0.004864,0.245002,0.000608,0.893379
0.420561,0.018144,0.202600,0.004833,0.257994,0.000608,0.910820
0.419377,0.017632,0.205608,0.004865,0.247433,0.000704,0.903043
0.438737,0.017953,0.203976,0.004928,0.246026,0.000800,0.918820
0.421296,0.017409,0.203080,0.004896,0.258346,0.000640,0.912388
0.419441,0.017441,0.202951,0.004833,0.284491,0.000896,0.936517
0.420529,0.017568,0.203592,0.004801,0.299147,0.000800,0.953477
0.415697,0.017216,0.202888,0.004833,0.248233,0.000576,0.895267
0.420848,0.017793,0.203368,0.004832,0.259626,0.000512,0.912931
0.421361,0.017248,0.202248,0.004800,0.250730,0.000608,0.902787
0.432977,0.017473,0.201992,0.004928,0.268842,0.000832,0.933349
0.417200,0.017569,0.202536,0.004992,0.253898,0.000544,0.903043
0.420208,0.017665,0.202760,0.004896,0.257898,0.000608,0.910307
0.420817,0.017824,0.203336,0.005184,0.279019,0.000608,0.932965
0.420657,0.017248,0.202024,0.005440,0.256266,0.000576,0.908196
0.415984,0.017473,0.202344,0.004800,0.240521,0.000768,0.888706
0.420848,0.017249,0.202856,0.004864,0.255114,0.000704,0.907459
0.437649,0.017441,0.202632,0.004832,0.256650,0.000576,0.925412
0.420304,0.017377,0.202120,0.004832,0.253034,0.000576,0.903875
0.420912,0.017441,0.203080,0.004896,0.239146,0.000608,0.892355
0.420752,0.017665,0.203336,0.004896,0.294539,0.000672,0.947845
0.424976,0.017665,0.205032,0.004832,0.266987,0.000704,0.926884
0.418096,0.017760,0.204072,0.004800,0.253994,0.000832,0.905092
0.416305,0.017697,0.203304,0.005056,0.240553,0.000672,0.889731
0.436849,0.017537,0.203688,0.004864,0.239593,0.000640,0.909155
0.415824,0.017249,0.202824,0.004864,0.245001,0.000736,0.892451
0.421137,0.017696,0.203080,0.004865,0.244393,0.000736,0.899971
0.416080,0.017697,0.202760,0.004800,0.310252,0.000800,0.959557
0.421009,0.017665,0.203112,0.004800,0.251306,0.000672,0.905924
0.421264,0.017633,0.203400,0.004768,0.239242,0.000704,0.893187
0.415984,0.017281,0.202216,0.004896,0.256138,0.000768,0.904771
0.432561,0.017504,0.202824,0.004833,0.262378,0.000832,0.927748
