Layer[0],TEE[1-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421586,0.784865,0.000896,0.014976,0.000416,0.001473,0.001088,0.000352,1.232660
0.420914,0.751296,0.000864,0.014464,0.000320,0.001536,0.001184,0.000576,1.198643
0.416177,0.748096,0.000992,0.014496,0.000608,0.001600,0.001024,0.000384,1.190578
0.420657,0.788417,0.000864,0.014368,0.000384,0.001568,0.001088,0.000609,1.235604
0.416369,0.764352,0.000864,0.015041,0.000320,0.001472,0.001120,0.000576,1.207378
0.416594,0.796609,0.000992,0.014529,0.000320,0.001600,0.001184,0.000576,1.240884
0.440626,0.774080,0.000928,0.014465,0.000320,0.001536,0.001152,0.000608,1.242036
0.416178,0.757760,0.000992,0.014400,0.000576,0.001601,0.001120,0.000576,1.200723
0.416945,0.765728,0.000864,0.014657,0.000352,0.001536,0.001248,0.000608,1.209490
0.416754,0.768160,0.000992,0.014785,0.000384,0.001600,0.001056,0.000384,1.211763
0.416049,0.761696,0.000992,0.014401,0.000416,0.001504,0.001184,0.000384,1.203986
0.420210,0.787937,0.001024,0.014401,0.000320,0.001536,0.001216,0.000352,1.234164
0.416369,0.762432,0.000832,0.014401,0.000352,0.001472,0.001152,0.000608,1.204882
0.420594,0.756959,0.000864,0.014401,0.000384,0.001664,0.001120,0.000608,1.203954
0.421298,0.828739,0.000928,0.014912,0.000384,0.001536,0.001056,0.000384,1.276597
0.421298,0.763840,0.000896,0.014337,0.000608,0.001600,0.001248,0.000576,1.213203
0.416721,0.755392,0.001024,0.015073,0.000416,0.001536,0.001088,0.000576,1.200466
0.433874,0.769600,0.000993,0.014336,0.000448,0.001472,0.001184,0.000608,1.229683
0.416721,0.760672,0.000896,0.014305,0.000608,0.001696,0.001088,0.000576,1.203922
0.417105,0.835491,0.000864,0.014465,0.000608,0.001568,0.001120,0.000576,1.279381
0.415858,0.780737,0.000832,0.014336,0.000352,0.001601,0.001120,0.000608,1.223220
0.420434,0.776352,0.000768,0.014273,0.000320,0.001472,0.001120,0.000352,1.222259
0.415666,0.784193,0.001184,0.015040,0.000352,0.001568,0.001120,0.000384,1.226708
0.420818,0.761632,0.000832,0.014432,0.000384,0.001536,0.000928,0.000385,1.207571
0.416082,0.777120,0.000800,0.014273,0.000640,0.001600,0.001056,0.000352,1.218579
0.437810,0.766368,0.000800,0.015937,0.000352,0.001568,0.001056,0.000352,1.233107
0.421394,0.755807,0.000768,0.014273,0.000352,0.001568,0.001184,0.000384,1.202962
0.420882,0.752447,0.000736,0.014337,0.000416,0.001472,0.001088,0.000352,1.198322
0.420497,0.756128,0.000704,0.014593,0.000384,0.001664,0.001024,0.000384,1.202258
0.420370,0.748415,0.000704,0.014113,0.000320,0.001472,0.001120,0.000832,1.194226
0.420529,0.766880,0.000865,0.014080,0.000352,0.001504,0.001088,0.000352,1.212274
0.420625,0.780289,0.001120,0.015393,0.000352,0.001504,0.000928,0.000800,1.227667
0.415730,0.755615,0.000736,0.014112,0.000608,0.001568,0.001152,0.000640,1.197874
0.416273,0.782529,0.000832,0.014433,0.000384,0.001536,0.001024,0.000608,1.224787
0.420305,0.749855,0.000864,0.014337,0.000640,0.001536,0.001120,0.000608,1.196306
0.415666,0.769600,0.000800,0.014465,0.000352,0.001600,0.001056,0.000352,1.212979
0.436882,0.794817,0.000832,0.014241,0.000608,0.001600,0.001120,0.000352,1.258388
0.419762,0.788001,0.000736,0.014305,0.000608,0.001504,0.001088,0.000576,1.233204
0.416017,0.761984,0.000736,0.014273,0.000576,0.001504,0.001088,0.000384,1.203282
0.420210,0.738975,0.000736,0.014400,0.000352,0.001472,0.001024,0.000385,1.185490
0.420433,0.794849,0.000800,0.016929,0.000608,0.001440,0.001024,0.000352,1.243700
0.415985,0.783905,0.000768,0.014849,0.000576,0.001504,0.001120,0.000608,1.226899
0.420881,0.760608,0.000928,0.016129,0.000640,0.001504,0.000992,0.000384,1.208274
0.420402,0.762112,0.000800,0.014209,0.000608,0.001472,0.001024,0.000608,1.208147
0.420018,0.776736,0.000800,0.014656,0.000640,0.001504,0.000960,0.000384,1.223635
0.416402,0.741919,0.000768,0.014305,0.000416,0.002176,0.001152,0.000416,1.185010
0.420753,0.766464,0.000928,0.014368,0.000352,0.001504,0.001088,0.000417,1.213075
0.440691,0.748575,0.000832,0.014209,0.000352,0.001536,0.001088,0.000416,1.214099
0.419697,0.740255,0.000800,0.014081,0.000352,0.001408,0.000928,0.000416,1.184689
0.420177,0.763744,0.000800,0.014017,0.000608,0.001536,0.000896,0.000384,1.208658
0.415986,0.796001,0.000800,0.013921,0.000608,0.001504,0.001088,0.000640,1.237940
0.415665,0.756928,0.000704,0.014080,0.000384,0.001505,0.000896,0.000320,1.197170
0.422226,0.794081,0.001216,0.014849,0.000352,0.001536,0.001184,0.000384,1.243380
0.421042,0.768000,0.000864,0.014305,0.000352,0.001504,0.001056,0.000384,1.214835
0.420817,0.769728,0.000928,0.014528,0.000384,0.001536,0.000960,0.000384,1.217874
0.415601,0.768609,0.000800,0.014432,0.000416,0.001536,0.001056,0.000416,1.210387
0.420497,0.763871,0.000864,0.014368,0.000576,0.001504,0.000992,0.000608,1.210322
0.421361,0.752704,0.000736,0.014273,0.000384,0.001536,0.000960,0.000608,1.199346
0.437650,0.764448,0.000800,0.014209,0.000352,0.001536,0.000896,0.000576,1.227187
0.420722,0.768384,0.000736,0.014785,0.000416,0.001472,0.000992,0.000352,1.215027
0.421105,0.764096,0.000768,0.014336,0.000576,0.001536,0.000864,0.000352,1.211219
0.419953,0.760000,0.000736,0.014593,0.000384,0.001504,0.000992,0.000416,1.205202
0.419826,0.779201,0.000768,0.013984,0.000320,0.001537,0.001056,0.000384,1.223700
0.415762,0.790337,0.000704,0.014272,0.000352,0.001537,0.000992,0.000800,1.230932
0.420466,0.760512,0.001216,0.014529,0.000608,0.001568,0.000896,0.000608,1.209043
0.421105,0.769217,0.001312,0.015264,0.000352,0.001601,0.001344,0.000352,1.220339
0.419986,0.787105,0.000896,0.014816,0.000640,0.001504,0.000992,0.000576,1.233588
0.416273,0.781697,0.000800,0.014401,0.000640,0.001568,0.000928,0.000384,1.224179
0.420017,0.770208,0.000864,0.014721,0.000608,0.001536,0.000992,0.000416,1.217043
0.438611,0.776448,0.000832,0.014337,0.000608,0.001536,0.000896,0.000544,1.241588
0.416209,0.772672,0.001024,0.014913,0.000576,0.001536,0.000896,0.000416,1.216531
0.421585,0.828227,0.000896,0.014433,0.000384,0.001536,0.000992,0.000352,1.276949
0.421042,0.759647,0.000768,0.014368,0.000608,0.001504,0.000928,0.000576,1.206578
0.415729,0.758624,0.000832,0.014721,0.000608,0.001600,0.000800,0.000608,1.201106
0.420050,0.798945,0.000928,0.014400,0.000416,0.001504,0.000960,0.000352,1.245940
0.420498,0.730655,0.000896,0.014240,0.000608,0.001601,0.001024,0.000320,1.178322
0.420146,0.779168,0.001024,0.014112,0.000320,0.001536,0.000928,0.000352,1.227283
0.443762,0.770688,0.001377,0.014976,0.000608,0.001472,0.000928,0.000384,1.241972
0.415634,0.799169,0.000896,0.014657,0.000416,0.001568,0.000992,0.000320,1.240756
0.420241,0.766560,0.001024,0.014433,0.000608,0.001472,0.000960,0.000384,1.212754
0.415762,0.755391,0.000992,0.014464,0.000608,0.001536,0.001120,0.000576,1.198802
0.420850,0.786849,0.000768,0.014208,0.000608,0.001505,0.001120,0.000352,1.234132
0.420145,0.772960,0.000832,0.014337,0.000640,0.001440,0.001024,0.000352,1.219283
0.420050,0.784321,0.001216,0.014624,0.000640,0.001441,0.000928,0.000608,1.232148
