Layer[0],TEE[1-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415409,0.752544,0.000832,0.014209,0.000320,0.001408,0.000896,0.000384,1.192626
0.442258,0.775008,0.001120,0.014497,0.000352,0.001472,0.001024,0.000608,1.245364
0.420305,0.767264,0.001120,0.014369,0.000352,0.001824,0.000992,0.000320,1.214450
0.422097,0.766400,0.001120,0.014689,0.000352,0.001472,0.000960,0.000416,1.214930
0.420754,0.765888,0.001024,0.014401,0.000352,0.001440,0.000992,0.000416,1.212211
0.419825,0.794914,0.000832,0.014624,0.000640,0.001472,0.001185,0.000384,1.241460
0.419922,0.824226,0.001152,0.015393,0.000352,0.002016,0.001024,0.000384,1.272437
0.420273,0.760576,0.000800,0.014049,0.000352,0.001440,0.000992,0.000352,1.205714
0.420369,0.744351,0.000928,0.014337,0.000320,0.001792,0.000992,0.000576,1.190353
0.420562,0.788449,0.000864,0.014272,0.000352,0.001504,0.000993,0.000320,1.234036
0.420082,0.789249,0.000832,0.014144,0.000608,0.002304,0.001057,0.000384,1.236148
0.420369,0.784800,0.000864,0.014336,0.000384,0.001472,0.000864,0.000384,1.231891
0.437426,0.775329,0.000832,0.014304,0.000320,0.002177,0.001088,0.000384,1.238964
0.420305,0.760032,0.000736,0.014273,0.000320,0.001472,0.000992,0.000352,1.205362
0.420241,0.769953,0.000768,0.014400,0.000416,0.001536,0.000896,0.000576,1.216723
0.415185,0.756351,0.000800,0.014433,0.000576,0.001472,0.001056,0.000416,1.198994
0.420722,0.790145,0.000896,0.014561,0.000608,0.001568,0.001024,0.000352,1.237172
0.420049,0.778337,0.000864,0.014240,0.000640,0.001568,0.001088,0.000416,1.223411
0.420210,0.743583,0.000768,0.014176,0.000353,0.001472,0.000960,0.000416,1.188882
0.420562,0.735327,0.000864,0.014144,0.000352,0.001536,0.000864,0.000576,1.181073
0.415409,0.798593,0.001088,0.013985,0.000352,0.001440,0.000864,0.000352,1.238836
0.420241,0.757759,0.000832,0.014625,0.000352,0.001536,0.000864,0.000352,1.204114
0.419953,0.785313,0.000800,0.014177,0.000608,0.001472,0.000992,0.000416,1.231059
0.447890,0.762272,0.000864,0.014177,0.000384,0.001504,0.001024,0.000608,1.237491
0.416625,0.755584,0.000832,0.014081,0.000352,0.001440,0.000832,0.000320,1.196370
0.420018,0.750943,0.000832,0.014209,0.000576,0.001408,0.001120,0.000352,1.197682
0.420114,0.764992,0.000800,0.014272,0.000353,0.001376,0.000960,0.000320,1.210451
0.420306,0.746879,0.000800,0.014433,0.000608,0.001536,0.000992,0.000352,1.192978
0.420082,0.772288,0.000832,0.014049,0.000352,0.001408,0.000992,0.000384,1.218003
0.419538,0.759360,0.000800,0.014368,0.000353,0.001440,0.000928,0.000384,1.204115
0.420241,0.772097,0.001152,0.014976,0.000352,0.001408,0.000928,0.000416,1.219059
0.416241,0.826179,0.001120,0.015264,0.000640,0.001568,0.000960,0.000576,1.271861
0.420402,0.743103,0.000832,0.014208,0.000352,0.001440,0.000961,0.000384,1.188818
0.420274,0.767744,0.001152,0.014817,0.000384,0.001440,0.000928,0.000384,1.214963
0.438930,0.787489,0.000832,0.014273,0.000608,0.001440,0.001120,0.000416,1.251956
0.420306,0.787585,0.000832,0.014464,0.000352,0.001761,0.001024,0.000352,1.235284
0.416050,0.805922,0.001312,0.015264,0.000352,0.001376,0.001025,0.000384,1.250677
0.416241,0.755744,0.000832,0.014497,0.000352,0.001888,0.001216,0.000384,1.199314
0.420370,0.770240,0.000736,0.014401,0.000608,0.001792,0.001248,0.000352,1.218579
0.415858,0.792321,0.000832,0.014529,0.000608,0.001408,0.001024,0.000416,1.235316
0.415793,0.772993,0.000832,0.014944,0.000385,0.001536,0.001024,0.000384,1.216371
0.421362,0.766880,0.000800,0.014465,0.000576,0.001472,0.000992,0.000384,1.214899
0.436850,0.760544,0.001120,0.014400,0.000384,0.001504,0.000992,0.000577,1.223507
0.419857,0.755712,0.000896,0.015233,0.000608,0.001536,0.000896,0.000320,1.201778
0.420850,0.802721,0.001025,0.014784,0.000352,0.001472,0.000864,0.000608,1.252532
0.419986,0.724734,0.000928,0.015105,0.000352,0.001408,0.000928,0.000384,1.172017
0.420401,0.758656,0.000864,0.015041,0.000384,0.001472,0.000896,0.000576,1.204914
0.415345,0.799553,0.000736,0.014049,0.000608,0.002048,0.001056,0.000384,1.239987
0.415825,0.781857,0.000864,0.014273,0.000608,0.001472,0.000960,0.000576,1.223507
0.419314,0.751199,0.000864,0.014209,0.000384,0.001504,0.000992,0.000416,1.195282
0.415217,0.763359,0.000833,0.014144,0.000352,0.001856,0.001024,0.000384,1.203858
0.419473,0.741791,0.000832,0.014144,0.000608,0.001504,0.000992,0.000576,1.186545
0.420241,0.746688,0.000896,0.014368,0.000384,0.001536,0.000992,0.000384,1.192657
0.453811,0.764896,0.000800,0.014080,0.000352,0.001408,0.000832,0.000832,1.242707
0.416882,0.783680,0.000801,0.014176,0.000384,0.001440,0.000992,0.000416,1.226835
0.415793,0.762975,0.000960,0.014816,0.000384,0.001504,0.000896,0.000384,1.205426
0.420082,0.760031,0.000800,0.014177,0.000352,0.001408,0.000992,0.000608,1.204786
0.420337,0.756608,0.000896,0.014273,0.000672,0.001440,0.000928,0.000832,1.204786
0.419793,0.779776,0.000960,0.015105,0.000576,0.001440,0.000896,0.000352,1.225843
0.420497,0.756448,0.000672,0.014144,0.000352,0.001472,0.000992,0.000384,1.201266
0.420210,0.728894,0.000768,0.013985,0.000608,0.001504,0.000960,0.000352,1.173777
0.420050,0.804993,0.000960,0.014464,0.000320,0.001888,0.001024,0.000352,1.253268
0.420402,0.790945,0.000832,0.014529,0.000576,0.001504,0.000992,0.000576,1.238356
0.420242,0.754943,0.000768,0.014337,0.000384,0.001824,0.001152,0.000384,1.200594
0.439122,0.787873,0.001088,0.014721,0.000352,0.001440,0.001088,0.000352,1.253908
0.420114,0.739039,0.001056,0.015041,0.000576,0.001472,0.001120,0.000608,1.187666
0.421522,0.755231,0.001152,0.014497,0.000576,0.001504,0.000992,0.000576,1.203442
0.420497,0.755904,0.000704,0.014465,0.000416,0.001472,0.001088,0.000480,1.200786
0.420530,0.779392,0.000672,0.014305,0.000352,0.001824,0.001184,0.000608,1.226355
0.415249,0.745727,0.000736,0.015488,0.000320,0.001537,0.000992,0.000544,1.186994
0.415729,0.755264,0.000672,0.014368,0.000352,0.001537,0.000896,0.000384,1.195346
0.415569,0.726366,0.000704,0.014081,0.000608,0.001472,0.000960,0.000352,1.166256
0.415153,0.759552,0.000928,0.015009,0.000448,0.001568,0.001024,0.000352,1.200722
0.415153,0.776641,0.000768,0.014080,0.000416,0.001472,0.000864,0.000352,1.215538
0.415985,0.729791,0.000864,0.015265,0.000416,0.001408,0.000960,0.000512,1.172081
0.420465,0.759616,0.000864,0.014465,0.000416,0.001472,0.000864,0.000448,1.204850
0.421297,0.786401,0.000800,0.014273,0.000384,0.001504,0.000864,0.000608,1.232115
0.421682,0.738815,0.000736,0.014176,0.000352,0.001440,0.000896,0.000608,1.186066
0.429650,0.707485,0.000736,0.014305,0.000352,0.001472,0.000928,0.000576,1.161520
0.415313,0.738079,0.000640,0.014081,0.000384,0.001376,0.000800,0.000512,1.177137
0.415857,0.771361,0.001216,0.014240,0.000320,0.001440,0.000864,0.000385,1.213363
0.416433,0.804737,0.000736,0.014401,0.000608,0.001472,0.000864,0.000384,1.246452
0.415505,0.769920,0.001504,0.015392,0.000608,0.001440,0.000864,0.000320,1.212818
0.422162,0.757887,0.001024,0.014337,0.000352,0.001504,0.001088,0.000352,1.205778
0.416178,0.756639,0.001441,0.014688,0.000352,0.001408,0.000832,0.000384,1.199154
0.421042,0.773280,0.000960,0.014561,0.000352,0.001536,0.000864,0.000352,1.221363
0.416274,0.761599,0.000929,0.014528,0.000640,0.001472,0.000896,0.000384,1.203442
0.416241,0.745504,0.000896,0.014816,0.000608,0.001504,0.000993,0.000352,1.188402
0.418321,0.777152,0.000832,0.014657,0.000384,0.001568,0.001120,0.000608,1.223443
0.435154,0.797410,0.000832,0.014432,0.000640,0.001600,0.001217,0.000384,1.261557
0.420753,0.746880,0.000960,0.014208,0.000352,0.001600,0.001088,0.000609,1.195026
0.421010,0.763328,0.000864,0.014273,0.000352,0.001536,0.001120,0.000832,1.211987
0.416530,0.768096,0.000960,0.014465,0.000608,0.001568,0.001088,0.000608,1.212467
0.420626,0.767200,0.000800,0.014241,0.000384,0.001600,0.001088,0.000384,1.214259
0.420658,0.806562,0.000896,0.014688,0.000576,0.001568,0.001152,0.000576,1.255861
0.416689,0.750240,0.000992,0.014977,0.000608,0.001728,0.001152,0.000384,1.195346
0.419794,0.765312,0.000896,0.014368,0.000352,0.001504,0.001088,0.000320,1.211091
0.420465,0.787137,0.000896,0.014785,0.000384,0.001600,0.001088,0.000608,1.235635
0.420658,0.796993,0.000928,0.014273,0.000608,0.001632,0.001248,0.000352,1.244788
0.420017,0.748735,0.000928,0.014144,0.000352,0.001696,0.001184,0.000352,1.195473
0.435858,0.789441,0.000928,0.014656,0.000384,0.001472,0.001280,0.000576,1.252372
0.416018,0.746783,0.000928,0.014593,0.000416,0.001632,0.001280,0.000384,1.189746
0.420402,0.831010,0.001280,0.015169,0.000384,0.001600,0.001344,0.000352,1.280021
0.415762,0.763040,0.000928,0.014464,0.000352,0.001568,0.001217,0.000384,1.205139
0.416721,0.760384,0.000960,0.014304,0.000384,0.001729,0.001280,0.000416,1.204114
0.420593,0.785409,0.001440,0.014817,0.000416,0.001504,0.001312,0.000576,1.234355
0.420498,0.791201,0.001216,0.014560,0.000384,0.002561,0.001248,0.000352,1.239988
0.420081,0.750816,0.000928,0.014497,0.000384,0.001632,0.001216,0.000384,1.198066
0.434642,0.768160,0.001344,0.015457,0.000608,0.001600,0.001248,0.000608,1.231283
0.420721,0.788001,0.000768,0.014561,0.000320,0.001696,0.001216,0.000352,1.236083
0.420593,0.792577,0.001248,0.035522,0.000800,0.001536,0.001216,0.000576,1.262933
0.420594,0.763648,0.000864,0.014593,0.000320,0.001568,0.001536,0.000352,1.211891
0.420338,0.766592,0.000832,0.014209,0.000608,0.001632,0.001152,0.000576,1.213235
0.420465,0.783169,0.000960,0.014753,0.000416,0.001600,0.001280,0.000576,1.232275
0.420722,0.764896,0.000832,0.014368,0.000609,0.001600,0.001376,0.000352,1.213491
0.420529,0.763424,0.000896,0.014913,0.000352,0.001600,0.001280,0.000384,1.211187
0.434962,0.761856,0.000864,0.014689,0.000352,0.001568,0.001280,0.000352,1.223475
0.420209,0.755839,0.000960,0.014305,0.000384,0.001472,0.001376,0.000384,1.202994
0.421329,0.770976,0.000864,0.014624,0.000384,0.001664,0.001280,0.000416,1.218706
0.418161,0.772864,0.000960,0.014944,0.000608,0.002688,0.001184,0.000385,1.219379
0.416561,0.765344,0.000768,0.014945,0.000640,0.001568,0.001216,0.000544,1.209522
0.416274,0.782848,0.000928,0.014368,0.000352,0.001536,0.001312,0.000384,1.226483
0.420209,0.750880,0.000864,0.014400,0.000384,0.001568,0.001120,0.000352,1.198098
0.416274,0.770624,0.000960,0.014945,0.000608,0.001568,0.001088,0.000608,1.215635
0.420146,0.817442,0.000832,0.015489,0.000640,0.001664,0.001152,0.000384,1.266741
0.420657,0.766079,0.000928,0.015168,0.000640,0.001664,0.001152,0.000608,1.214706
0.420210,0.766624,0.001024,0.015041,0.000640,0.001664,0.001120,0.000608,1.215219
0.437714,0.769568,0.000864,0.014721,0.000384,0.001632,0.001088,0.000608,1.236115
0.415442,0.757823,0.001184,0.015265,0.000640,0.001600,0.001088,0.000352,1.202130
0.415890,0.747135,0.001312,0.015104,0.000352,0.001601,0.001056,0.000384,1.206323
0.415761,0.738238,0.000928,0.014913,0.000672,0.001696,0.001024,0.000640,1.180945
0.420145,0.757440,0.000960,0.014688,0.000608,0.001633,0.001120,0.000384,1.204466
0.416529,0.770816,0.001344,0.014560,0.000608,0.001536,0.001024,0.000384,1.215027
0.415857,0.797122,0.000896,0.014752,0.000416,0.001632,0.001025,0.000480,1.240052
0.416146,0.793665,0.000704,0.014913,0.000384,0.001536,0.000992,0.000608,1.236308
0.416466,0.765216,0.001184,0.015040,0.000640,0.001665,0.001088,0.000608,1.209043
0.416210,0.741855,0.001152,0.014880,0.000384,0.001568,0.000929,0.000640,1.184626
0.416273,0.748671,0.001504,0.015072,0.000384,0.001504,0.001088,0.000384,1.192594
0.428050,0.748575,0.001184,0.014785,0.000384,0.001472,0.000864,0.000352,1.202482
0.415890,0.737342,0.001217,0.015104,0.000352,0.001600,0.001024,0.000384,1.180177
0.416305,0.734431,0.001088,0.014592,0.000384,0.001408,0.001056,0.000384,1.176433
0.415537,0.738718,0.000896,0.014241,0.000384,0.001472,0.000800,0.000224,1.178929
0.416049,0.745759,0.001088,0.014593,0.000576,0.001408,0.001024,0.000832,1.188401
0.415825,0.776833,0.001120,0.014689,0.000384,0.001440,0.000992,0.000288,1.219475
0.421937,0.781440,0.001088,0.016833,0.000608,0.001696,0.001824,0.000576,1.236627
0.416433,0.746623,0.001312,0.015649,0.000608,0.001696,0.000928,0.000384,1.191857
0.420369,0.810305,0.001248,0.015937,0.000384,0.001728,0.001056,0.000672,1.260148
0.420625,0.752639,0.001152,0.015201,0.000384,0.001824,0.001088,0.000608,1.201650
0.420689,0.758624,0.001376,0.015905,0.000640,0.001696,0.000896,0.000352,1.207730
0.437842,0.763808,0.001088,0.014721,0.000384,0.001792,0.001088,0.000384,1.229619
0.416850,0.779072,0.001376,0.014465,0.000352,0.001536,0.001056,0.000512,1.222547
0.416178,0.763903,0.000864,0.014944,0.000416,0.001568,0.000928,0.000288,1.206642
0.420241,0.757568,0.000800,0.014849,0.000608,0.001536,0.001056,0.000384,1.204882
0.416113,0.753824,0.000960,0.014304,0.000321,0.001536,0.001152,0.000576,1.197074
0.420914,0.790209,0.000992,0.014400,0.000640,0.001664,0.001056,0.000576,1.238164
0.416561,0.759360,0.000896,0.014465,0.000608,0.001568,0.001120,0.000352,1.202738
0.421106,0.753952,0.001184,0.014976,0.000608,0.001600,0.000960,0.000384,1.202515
0.420209,0.813857,0.000928,0.014656,0.000608,0.001568,0.000992,0.000416,1.261620
0.420594,0.746431,0.000960,0.014753,0.000608,0.001504,0.001056,0.000576,1.194834
0.420369,0.760768,0.000960,0.014273,0.000352,0.001440,0.000992,0.000352,1.206866
0.436338,0.757439,0.000896,0.015073,0.000608,0.001568,0.001056,0.000608,1.220978
0.420369,0.746111,0.001216,0.014209,0.000608,0.001504,0.000992,0.000384,1.192369
0.420210,0.758688,0.000928,0.034657,0.000544,0.001664,0.001056,0.000640,1.226740
0.416337,0.763360,0.000896,0.014337,0.000352,0.002176,0.001152,0.000448,1.207506
0.420721,0.752319,0.001536,0.014753,0.000384,0.001856,0.000992,0.000576,1.202098
0.420497,0.776129,0.000864,0.014400,0.000608,0.001504,0.001056,0.000384,1.222482
0.420753,0.796737,0.000800,0.014400,0.000640,0.001504,0.001184,0.000576,1.244179
0.421681,0.751391,0.000960,0.014369,0.000384,0.001536,0.001152,0.000352,1.199410
0.417266,0.804929,0.001025,0.014976,0.000832,0.001504,0.001088,0.000384,1.249940
0.420561,0.787809,0.001088,0.014913,0.000352,0.001568,0.000960,0.000576,1.234899
0.423218,0.756832,0.000960,0.014304,0.000608,0.001536,0.000864,0.000417,1.206835
0.420722,0.811682,0.001120,0.014593,0.000352,0.001472,0.000960,0.000384,1.259445
0.418737,0.754239,0.000864,0.014497,0.000384,0.001920,0.001056,0.000384,1.198866
0.422961,0.774241,0.000800,0.014560,0.000352,0.001505,0.000992,0.000448,1.223315
0.416274,0.756959,0.000736,0.014369,0.000384,0.001472,0.001120,0.000352,1.198994
0.422322,0.754815,0.000928,0.014657,0.000384,0.001536,0.001056,0.000416,1.203058
0.421489,0.807393,0.001216,0.015297,0.000384,0.001504,0.001088,0.000416,1.255668
0.420914,0.754943,0.000833,0.014432,0.000384,0.001472,0.000992,0.000352,1.201138
0.421202,0.749471,0.000928,0.014273,0.000608,0.001504,0.001184,0.000320,1.196242
0.436978,0.788224,0.000896,0.015168,0.000384,0.001600,0.001376,0.000384,1.255541
0.419026,0.762175,0.000896,0.014752,0.000352,0.001632,0.001152,0.000352,1.207698
0.418514,0.755391,0.000896,0.014688,0.000352,0.001568,0.001088,0.000384,1.200690
0.416689,0.754816,0.001184,0.014625,0.000320,0.001504,0.001152,0.000416,1.197746
0.421681,0.758047,0.000800,0.014273,0.000576,0.001568,0.001280,0.000320,1.207666
0.421330,0.786208,0.000832,0.015008,0.000352,0.001600,0.001184,0.000416,1.235283
0.416369,0.787713,0.000928,0.014721,0.000416,0.001536,0.001184,0.000352,1.230035
0.420305,0.763776,0.000896,0.014465,0.000640,0.001664,0.001344,0.000416,1.211506
0.416178,0.785185,0.001152,0.015328,0.000640,0.001536,0.001313,0.000608,1.229812
0.418034,0.803105,0.001152,0.014337,0.000672,0.001568,0.001216,0.000384,1.247316
0.416817,0.760767,0.001248,0.014977,0.000640,0.001600,0.000896,0.000384,1.203890
0.433010,0.754175,0.001088,0.014240,0.000416,0.001600,0.001120,0.000384,1.213042
0.418929,0.755040,0.001184,0.014528,0.000448,0.001536,0.001217,0.000384,1.200018
0.419378,0.822594,0.000832,0.014753,0.000384,0.001536,0.001248,0.000352,1.269141
0.416145,0.770048,0.000960,0.014816,0.000352,0.001697,0.001184,0.000448,1.214835
0.420497,0.768288,0.000832,0.014753,0.000384,0.001824,0.001152,0.000352,1.215218
0.424850,0.817090,0.000704,0.014688,0.000353,0.001504,0.000992,0.000416,1.267861
0.415985,0.760415,0.000768,0.014945,0.000608,0.001760,0.001376,0.000352,1.202898
0.417010,0.769344,0.000832,0.014913,0.000416,0.001568,0.001120,0.000384,1.213043
0.439731,0.738463,0.000768,0.014496,0.000608,0.001760,0.001184,0.000385,1.204563
0.416817,0.749824,0.000960,0.014496,0.000352,0.001440,0.001088,0.000416,1.192082
0.415825,0.745119,0.000832,0.014113,0.000352,0.001568,0.001088,0.000576,1.186481
0.433330,0.769376,0.001056,0.014880,0.000352,0.001440,0.000961,0.000352,1.229204
0.420466,0.758688,0.001088,0.014496,0.000384,0.001536,0.001121,0.000384,1.206803
0.416209,0.775840,0.000928,0.014817,0.000352,0.001472,0.001120,0.000352,1.219155
0.418354,0.753183,0.000896,0.014209,0.000608,0.001536,0.001056,0.000384,1.197426
0.416849,0.761984,0.000800,0.014848,0.000608,0.001537,0.000960,0.000352,1.204786
0.416817,0.791937,0.000864,0.014496,0.000608,0.001536,0.001216,0.000384,1.236019
0.422001,0.779649,0.001024,0.014849,0.000384,0.001632,0.001184,0.000384,1.229427
0.420626,0.750975,0.001024,0.014529,0.000352,0.001664,0.001152,0.000384,1.199122
0.440114,0.748447,0.000864,0.014561,0.000384,0.001568,0.000992,0.000352,1.214866
0.421329,0.795105,0.001184,0.014817,0.000608,0.001568,0.001152,0.000352,1.244211
0.421618,0.788769,0.000928,0.014432,0.000352,0.001537,0.001216,0.000448,1.237076
0.416753,0.781185,0.000768,0.015936,0.000384,0.001632,0.001312,0.000352,1.227091
0.418481,0.782753,0.001184,0.014369,0.000384,0.001600,0.001088,0.000416,1.228819
0.420594,0.797249,0.001152,0.014465,0.000384,0.001632,0.000832,0.000512,1.244532
0.416689,0.765312,0.001088,0.014561,0.000640,0.001568,0.000992,0.000576,1.208914
0.421265,0.770304,0.000992,0.014465,0.000416,0.001632,0.001216,0.000448,1.219378
0.420273,0.783393,0.000992,0.014689,0.000608,0.001632,0.001152,0.000416,1.231091
0.420818,0.795585,0.000768,0.015041,0.000352,0.001600,0.001088,0.000416,1.243700
0.421073,0.758464,0.000928,0.014561,0.000384,0.001472,0.001024,0.000640,1.205618
0.452562,0.777312,0.000832,0.014401,0.000608,0.001664,0.000992,0.000800,1.257364
0.420978,0.774112,0.000800,0.014433,0.000576,0.001600,0.000960,0.000576,1.222419
0.416081,0.792353,0.000960,0.014657,0.000608,0.001728,0.001088,0.000640,1.236499
0.420530,0.766240,0.000896,0.014848,0.000352,0.001664,0.000992,0.000384,1.214195
0.416241,0.766272,0.000992,0.014273,0.000352,0.001664,0.001056,0.000352,1.208562
0.415953,0.769312,0.000832,0.014401,0.000608,0.001920,0.001184,0.000608,1.213298
0.421073,0.761535,0.000928,0.015649,0.000352,0.001664,0.001152,0.000352,1.210290
0.416529,0.756160,0.000928,0.014945,0.000352,0.001536,0.000928,0.000320,1.200018
0.437746,0.771361,0.001152,0.014624,0.000384,0.001600,0.001056,0.000577,1.236884
0.416369,0.788032,0.001025,0.014368,0.000448,0.001632,0.000992,0.000608,1.231379
0.420433,0.785569,0.001024,0.014625,0.000352,0.001632,0.000992,0.000608,1.233011
0.419826,0.766208,0.001280,0.014561,0.000352,0.001568,0.000960,0.000576,1.213683
0.420882,0.773216,0.000896,0.014273,0.000608,0.001632,0.000960,0.000416,1.221075
0.420722,0.777568,0.000864,0.014561,0.000608,0.001600,0.000896,0.000608,1.224627
0.420305,0.750463,0.000864,0.015649,0.000320,0.001536,0.000992,0.000384,1.198386
0.420497,0.767584,0.000992,0.014337,0.000608,0.001600,0.001248,0.000576,1.214770
0.422898,0.792257,0.001248,0.014881,0.000384,0.001504,0.000992,0.000384,1.242132
0.421298,0.751327,0.000864,0.015009,0.000608,0.001632,0.000992,0.000576,1.200338
0.421041,0.747232,0.000896,0.014560,0.000352,0.002016,0.001280,0.000608,1.195922
0.432562,0.774240,0.000832,0.014433,0.000672,0.001536,0.001120,0.000352,1.233875
0.422802,0.772128,0.000896,0.014529,0.000608,0.001568,0.000960,0.000384,1.222419
0.416273,0.764448,0.000864,0.032098,0.000704,0.001664,0.001312,0.000384,1.225811
0.422386,0.766336,0.000928,0.014336,0.000384,0.001984,0.001120,0.000384,1.216435
0.417170,0.771200,0.001120,0.014561,0.000608,0.001920,0.001088,0.000384,1.216595
0.417585,0.764800,0.000832,0.015681,0.000608,0.001536,0.001056,0.000352,1.210098
0.416497,0.762656,0.000832,0.015777,0.000416,0.001472,0.000960,0.000352,1.206546
0.422897,0.769728,0.000832,0.015904,0.000384,0.001600,0.001120,0.000352,1.221458
0.421234,0.813698,0.000992,0.016448,0.000640,0.001440,0.000992,0.000384,1.262485
0.422193,0.767328,0.000864,0.016033,0.000352,0.001504,0.000992,0.000416,1.217938
0.423121,0.753472,0.000896,0.014752,0.000608,0.001537,0.001152,0.000448,1.204146
0.420401,0.801857,0.000864,0.015008,0.000576,0.001504,0.001024,0.000384,1.249396
0.416370,0.767520,0.000736,0.014945,0.000576,0.001568,0.001088,0.000352,1.210803
0.420594,0.794209,0.001088,0.015169,0.000320,0.001472,0.001312,0.000352,1.243124
0.422801,0.765247,0.001121,0.014976,0.000384,0.001920,0.001120,0.000384,1.215826
0.420689,0.766720,0.000832,0.015105,0.000352,0.001600,0.001088,0.000576,1.215090
0.422738,0.789889,0.000960,0.014465,0.000352,0.001664,0.001248,0.000416,1.239924
0.420658,0.765344,0.000800,0.014624,0.000416,0.002016,0.001344,0.000416,1.213843
0.420689,0.764512,0.000832,0.016321,0.000832,0.001632,0.001184,0.000384,1.214226
0.441458,0.790561,0.000864,0.016096,0.000320,0.001440,0.001344,0.000385,1.261045
0.420978,0.767744,0.000896,0.014720,0.000672,0.001728,0.001217,0.000416,1.216115
0.421394,0.765728,0.000864,0.014721,0.000416,0.001440,0.001312,0.000352,1.213555
0.416114,0.800513,0.000768,0.014561,0.000352,0.001568,0.001408,0.000416,1.244212
0.422033,0.797761,0.000864,0.014560,0.000384,0.001952,0.001248,0.000384,1.247796
0.421522,0.787297,0.000736,0.015680,0.000384,0.001760,0.001248,0.000352,1.235924
0.418065,0.790113,0.000928,0.014465,0.000640,0.001664,0.001344,0.000352,1.234355
0.420081,0.755168,0.000768,0.014240,0.000320,0.001504,0.001216,0.000352,1.200049
0.437010,0.773344,0.000736,0.014240,0.000576,0.001472,0.001248,0.000384,1.236147
0.417393,0.757056,0.000736,0.014304,0.000352,0.001472,0.001248,0.000320,1.199569
0.421298,0.752991,0.000800,0.015617,0.000640,0.001568,0.001216,0.000384,1.200946
0.448339,0.761248,0.000864,0.015264,0.000384,0.001440,0.001024,0.000385,1.236148
0.420402,0.764384,0.000800,0.014048,0.000608,0.001632,0.001408,0.000384,1.210610
0.421137,0.784065,0.000704,0.014272,0.000577,0.001632,0.001408,0.000384,1.231091
0.420625,0.765375,0.001184,0.014528,0.000416,0.001536,0.001088,0.000384,1.213362
0.420690,0.761215,0.000832,0.016032,0.000608,0.001504,0.001120,0.000352,1.209202
0.420850,0.819362,0.000896,0.014401,0.000384,0.001536,0.001248,0.000320,1.266197
0.415505,0.759872,0.000800,0.014209,0.000608,0.001536,0.001344,0.000576,1.201458
0.422418,0.776000,0.000832,0.014337,0.000448,0.001568,0.001120,0.000352,1.223379
0.437874,0.764992,0.000736,0.014209,0.000384,0.001536,0.000992,0.000384,1.228595
0.420626,0.753759,0.000704,0.014273,0.000608,0.001504,0.001024,0.000352,1.199794
0.421649,0.789121,0.001056,0.014849,0.000352,0.001664,0.002432,0.000544,1.245076
0.415858,0.763392,0.000800,0.015744,0.000352,0.001536,0.001793,0.000384,1.208915
0.417457,0.809794,0.001312,0.015425,0.000384,0.001984,0.002816,0.000576,1.262004
0.417522,0.811394,0.001024,0.016257,0.000384,0.001760,0.001632,0.000640,1.258997
0.415826,0.761791,0.000992,0.015168,0.000576,0.001536,0.001088,0.000320,1.203730
0.416530,0.769984,0.000864,0.015072,0.000352,0.001505,0.001024,0.000384,1.213171
0.433234,0.758111,0.000864,0.014561,0.000640,0.001536,0.001120,0.000576,1.218386
0.422193,0.761120,0.001088,0.015873,0.000576,0.001536,0.001120,0.000384,1.211474
0.420561,0.767488,0.001056,0.014433,0.000608,0.001632,0.000992,0.000416,1.216114
0.436370,0.759199,0.000865,0.015264,0.000384,0.001472,0.001024,0.000384,1.223154
0.419921,0.766111,0.001152,0.015456,0.000384,0.001504,0.001088,0.000608,1.214450
0.420529,0.787681,0.000832,0.014369,0.000384,0.001472,0.000896,0.000640,1.234515
0.420498,0.769536,0.000864,0.014433,0.000576,0.001600,0.000864,0.000352,1.216915
0.416690,0.765920,0.000704,0.016384,0.000352,0.001504,0.000929,0.000608,1.210643
0.420049,0.791201,0.000896,0.014529,0.000352,0.001504,0.000864,0.000384,1.236147
0.420754,0.759807,0.000672,0.014465,0.000640,0.001472,0.001280,0.000640,1.206354
0.419986,0.755775,0.000992,0.014657,0.000384,0.001568,0.000928,0.000416,1.202898
0.439922,0.735519,0.000704,0.014368,0.000320,0.001504,0.000992,0.000352,1.200242
0.420082,0.750975,0.000704,0.014465,0.000320,0.001472,0.000896,0.000352,1.196562
0.420369,0.787169,0.000736,0.014401,0.000640,0.001472,0.001056,0.000416,1.232755
0.416050,0.768480,0.000672,0.014240,0.000352,0.001440,0.000960,0.000352,1.209843
0.415313,0.750111,0.000768,0.014113,0.000608,0.001440,0.000928,0.000416,1.190001
0.420145,0.790432,0.000864,0.014400,0.000352,0.001536,0.001024,0.000352,1.236979
0.415697,0.758911,0.000736,0.014721,0.000576,0.001472,0.001120,0.000576,1.200978
0.415249,0.784000,0.000800,0.015681,0.000608,0.001600,0.001024,0.000320,1.226035
0.415442,0.774528,0.000832,0.014305,0.000384,0.001504,0.000928,0.000544,1.215507
0.416370,0.740767,0.000800,0.014336,0.000640,0.001504,0.001088,0.000320,1.182961
0.419826,0.749087,0.000768,0.014241,0.000352,0.001536,0.000992,0.000608,1.194226
0.438962,0.772128,0.000865,0.014624,0.000416,0.001536,0.001056,0.000352,1.240147
0.416177,0.760000,0.000736,0.014625,0.000384,0.001664,0.001088,0.000384,1.202514
