Layer[0],Layer[1],Layer[2],TEE[3-9],Layer[10],classifier
0.420208,0.017537,0.203016,0.255050,0.000640,0.903075
0.421104,0.018529,0.202728,0.256970,0.000704,0.906147
0.421264,0.017537,0.203112,0.259146,0.000800,0.908099
0.421232,0.017793,0.203016,0.264906,0.000704,0.914595
0.416016,0.017697,0.203208,0.258602,0.001024,0.903811
0.421648,0.017857,0.221513,0.259434,0.000704,0.927556
0.417136,0.017473,0.202728,0.257386,0.000704,0.901475
0.420944,0.017761,0.202632,0.256394,0.000672,0.904579
0.421936,0.017729,0.203496,0.263882,0.000800,0.914147
0.420849,0.017569,0.202952,0.259850,0.000576,0.908644
0.417968,0.017537,0.202856,0.271498,0.000608,0.916899
0.420240,0.017729,0.202280,0.252682,0.000672,0.899619
0.448177,0.017601,0.202504,0.262474,0.000673,0.938181
0.415664,0.017729,0.203432,0.256906,0.000736,0.903075
0.420496,0.017697,0.202216,0.263402,0.000800,0.910755
0.420401,0.017569,0.202568,0.256298,0.000672,0.903780
0.418929,0.017760,0.202088,0.247754,0.000608,0.892931
0.418640,0.017761,0.202216,0.266282,0.000576,0.912291
0.420656,0.017633,0.202536,0.262090,0.000576,0.909443
0.450993,0.017504,0.202312,0.273707,0.000544,0.951909
0.414672,0.017536,0.202120,0.247274,0.000672,0.888483
0.420625,0.017505,0.202536,0.262602,0.000608,0.909700
0.420337,0.017760,0.202856,0.281163,0.000704,0.931141
0.415568,0.017441,0.202440,0.258922,0.000704,0.901539
0.420305,0.017409,0.202440,0.263466,0.000832,0.911524
0.415344,0.017729,0.202696,0.265162,0.000768,0.908356
0.440145,0.017665,0.204424,0.273643,0.000960,0.943365
0.419952,0.017601,0.202632,0.264778,0.000928,0.913539
0.420017,0.017505,0.203144,0.263690,0.000832,0.912292
0.416336,0.017697,0.202728,0.292748,0.000832,0.937957
0.415536,0.017665,0.203208,0.261514,0.000769,0.906180
0.420273,0.017569,0.203464,0.263914,0.000896,0.913092
0.419985,0.017760,0.203496,0.265451,0.000608,0.914628
0.433457,0.017760,0.202824,0.255434,0.000769,0.917924
0.416145,0.017664,0.202696,0.265291,0.000800,0.909892
0.420464,0.017889,0.202472,0.265003,0.000960,0.914276
0.415665,0.017760,0.225609,0.256554,0.000672,0.923428
0.420209,0.017697,0.202440,0.251113,0.000864,0.898788
0.419825,0.017761,0.203111,0.277930,0.000704,0.925733
0.415985,0.017729,0.202087,0.264394,0.000800,0.907844
0.421776,0.017569,0.202728,0.260842,0.000800,0.910339
0.416048,0.017921,0.203624,0.262890,0.000768,0.908579
0.419793,0.017697,0.202120,0.259658,0.000736,0.907812
0.441393,0.018113,0.203624,0.264842,0.000896,0.938148
0.415313,0.017600,0.202664,0.258410,0.000768,0.902468
0.420112,0.017761,0.202568,0.264426,0.000832,0.913827
0.420209,0.017665,0.203848,0.285163,0.000704,0.934853
0.420689,0.017665,0.202536,0.260810,0.000640,0.909764
0.420304,0.017568,0.202984,0.263531,0.000768,0.912356
0.419760,0.017537,0.202664,0.262186,0.000736,0.910211
0.432817,0.018016,0.202920,0.270315,0.000768,0.932613
0.415728,0.017665,0.204296,0.262090,0.000576,0.907459
0.420273,0.017504,0.203560,0.250666,0.000736,0.899779
0.420497,0.017505,0.203624,0.281899,0.000800,0.931877
0.420177,0.017600,0.202952,0.262603,0.000640,0.911524
0.415984,0.017825,0.202376,0.251178,0.000672,0.894851
0.420208,0.017697,0.202728,0.259722,0.000704,0.907971
0.435889,0.017665,0.202504,0.264106,0.000768,0.928164
0.415249,0.018081,0.202632,0.271978,0.000704,0.915940
0.415248,0.017696,0.202632,0.256618,0.000672,0.900259
0.420625,0.017601,0.220744,0.266315,0.000704,0.932965
0.420337,0.017793,0.202792,0.256234,0.000800,0.904964
0.415312,0.017633,0.202728,0.252586,0.000800,0.895587
0.416848,0.017601,0.202216,0.260330,0.000672,0.906019
0.415409,0.017760,0.202568,0.261547,0.000736,0.905572
0.420528,0.017793,0.202344,0.256234,0.000704,0.904451
0.420432,0.017537,0.202472,0.256042,0.000608,0.903939
0.443089,0.017601,0.202984,0.259210,0.000992,0.930564
0.420560,0.017760,0.202408,0.255370,0.000608,0.903683
0.420497,0.017953,0.202695,0.263530,0.000992,0.913412
0.415440,0.017729,0.202504,0.278251,0.000832,0.921348
0.419569,0.017729,0.202472,0.254698,0.000704,0.901636
0.419921,0.017793,0.202792,0.257738,0.000768,0.905924
0.416625,0.017664,0.202984,0.266123,0.000800,0.911908
0.432817,0.017921,0.203432,0.271019,0.000704,0.933413
0.420272,0.017505,0.202600,0.261002,0.000832,0.909539
0.417841,0.017440,0.202600,0.264683,0.000864,0.910020
0.420624,0.017537,0.202408,0.295980,0.000800,0.945765
0.420400,0.017505,0.202504,0.257322,0.000960,0.905603
0.420305,0.017857,0.202856,0.262378,0.000864,0.910948
0.420368,0.017665,0.202248,0.270858,0.000704,0.919588
0.432017,0.017825,0.202568,0.260618,0.000864,0.921924
0.420465,0.017472,0.203048,0.274219,0.000704,0.924516
0.420113,0.017793,0.202984,0.259178,0.000640,0.908420
0.420048,0.017761,0.216681,0.257226,0.000800,0.919332
0.420016,0.017537,0.202568,0.257258,0.001056,0.905731
0.420176,0.017601,0.202568,0.269003,0.000896,0.917188
0.420465,0.017409,0.202216,0.269386,0.000992,0.917124
0.420976,0.017633,0.202600,0.262378,0.000640,0.911651
0.415952,0.017440,0.202728,0.261034,0.000672,0.907460
0.421361,0.017600,0.202632,0.264107,0.000768,0.913348
0.438545,0.017633,0.203336,0.274923,0.000736,0.941765
0.420145,0.017505,0.202856,0.252906,0.000672,0.900292
0.416976,0.017537,0.202984,0.274827,0.000768,0.920356
0.415793,0.017537,0.201895,0.276107,0.000704,0.918052
0.415568,0.017665,0.202600,0.288651,0.001088,0.932260
0.420144,0.017536,0.202568,0.262410,0.000832,0.908996
0.415376,0.017601,0.202184,0.283723,0.000768,0.926212
0.446545,0.017505,0.202024,0.266699,0.000736,0.940197
0.415376,0.017505,0.202312,0.262922,0.000800,0.905059
0.420272,0.017569,0.202856,0.268490,0.000865,0.916708
0.420017,0.017569,0.202216,0.280331,0.000672,0.926501
0.415344,0.017665,0.201736,0.270091,0.000672,0.912420
0.420592,0.017536,0.202024,0.268235,0.000608,0.916740
0.420080,0.017601,0.203496,0.262506,0.000672,0.910275
0.433585,0.017761,0.202567,0.260683,0.000864,0.922916
0.419953,0.017473,0.201896,0.256202,0.000896,0.903428
0.415312,0.017473,0.202376,0.271434,0.001120,0.915171
0.421008,0.017505,0.202376,0.301324,0.000672,0.949990
0.415409,0.017504,0.202312,0.268203,0.000896,0.912068
0.415920,0.017473,0.202344,0.272330,0.000640,0.915843
0.420433,0.017697,0.202024,0.270122,0.000608,0.917284
0.415408,0.017921,0.203304,0.271531,0.000704,0.917028
0.420912,0.017537,0.202440,0.264106,0.000832,0.912932
0.415825,0.017633,0.202247,0.257451,0.000736,0.900388
0.420209,0.017569,0.219912,0.277035,0.000640,0.942949
0.420144,0.017664,0.202024,0.266411,0.000704,0.913092
0.420017,0.017505,0.202312,0.259722,0.000704,0.906692
0.419984,0.017921,0.202248,0.266570,0.000704,0.913347
0.415793,0.017600,0.202408,0.259243,0.000704,0.902084
0.419664,0.017984,0.201544,0.255658,0.000704,0.901635
0.415632,0.017793,0.201800,0.264586,0.000704,0.907747
0.440433,0.017696,0.202408,0.273163,0.000832,0.941989
0.415760,0.017761,0.202664,0.262858,0.000704,0.906467
0.420145,0.017985,0.202152,0.273226,0.000704,0.922052
0.415280,0.017473,0.202344,0.321516,0.000736,0.965413
0.415217,0.017728,0.202055,0.263979,0.000864,0.907876
0.420849,0.017472,0.202856,0.262059,0.000672,0.910884
0.421584,0.017696,0.204008,0.267147,0.000832,0.918340
0.438577,0.017953,0.202248,0.282251,0.000704,0.948485
0.421104,0.017601,0.202792,0.266827,0.000864,0.916068
0.420176,0.017504,0.202184,0.276203,0.000608,0.923108
0.415632,0.017601,0.219593,0.263882,0.000736,0.924100
0.415632,0.017761,0.202248,0.266218,0.000768,0.909347
0.414736,0.017633,0.202824,0.252746,0.000672,0.894467
0.416177,0.017633,0.202440,0.256010,0.000768,0.898564
0.420304,0.017473,0.203208,0.264586,0.000640,0.912195
0.415825,0.017472,0.202951,0.251786,0.000672,0.894659
0.415345,0.017632,0.202024,0.257450,0.000672,0.899523
0.415600,0.017697,0.220009,0.276331,0.000672,0.936997
0.420432,0.017505,0.202216,0.264298,0.000768,0.910755
0.415056,0.017665,0.202152,0.262826,0.000672,0.904195
0.415216,0.017696,0.202568,0.263371,0.000736,0.906596
0.415441,0.017569,0.202344,0.257898,0.000640,0.900036
0.416912,0.017953,0.201672,0.268042,0.000640,0.911363
0.420720,0.017504,0.204040,0.272363,0.000672,0.922564
0.438673,0.017696,0.203016,0.292556,0.000672,0.960038
0.420400,0.017473,0.202632,0.261226,0.000800,0.909059
0.422096,0.017889,0.203880,0.275339,0.001056,0.927812
0.420529,0.017728,0.203048,0.293228,0.000640,0.942693
0.420848,0.018049,0.204232,0.269675,0.000768,0.920964
0.420208,0.017729,0.202920,0.265738,0.000672,0.914915
0.420336,0.017472,0.202536,0.273931,0.000672,0.922692
0.431025,0.017729,0.202376,0.270282,0.000800,0.929700
0.422417,0.017953,0.202760,0.277835,0.000768,0.928837
0.420305,0.017473,0.202696,0.264202,0.000800,0.912580
0.420913,0.017536,0.201960,0.282379,0.000800,0.930693
0.416336,0.017537,0.202024,0.268106,0.000672,0.912035
0.420720,0.017793,0.202440,0.275467,0.000672,0.924548
0.420368,0.017537,0.202504,0.274315,0.000672,0.922820
0.419952,0.017601,0.202568,0.266442,0.000704,0.914563
0.419761,0.017569,0.202952,0.278539,0.000704,0.926789
0.420368,0.017473,0.203336,0.267211,0.000832,0.917156
0.438225,0.017761,0.202888,0.255978,0.000736,0.923108
0.420176,0.017792,0.202504,0.257642,0.000736,0.906148
0.415793,0.017760,0.202408,0.263211,0.000928,0.907556
0.420560,0.017729,0.202216,0.285771,0.000800,0.934340
0.420592,0.017760,0.202568,0.251690,0.000864,0.900899
0.416336,0.017632,0.202408,0.274859,0.000800,0.919588
0.420945,0.017728,0.203144,0.273035,0.000800,0.922980
0.437489,0.017825,0.202920,0.269451,0.000800,0.935653
0.416432,0.017505,0.203656,0.268202,0.000672,0.913412
0.421169,0.017857,0.202568,0.273387,0.000800,0.923813
0.427473,0.017825,0.221385,0.271274,0.000800,0.947333
0.421776,0.017568,0.202472,0.266443,0.000800,0.916036
0.420240,0.017984,0.203368,0.266539,0.000640,0.915972
0.416464,0.017473,0.202536,0.272618,0.000864,0.917123
0.415504,0.017889,0.202984,0.290924,0.000704,0.935141
0.416209,0.017792,0.202696,0.272459,0.000640,0.916548
0.421168,0.017632,0.202280,0.260490,0.000769,0.909380
0.438513,0.017665,0.203208,0.268107,0.000672,0.935173
0.420209,0.017632,0.202088,0.254538,0.000736,0.902339
0.420656,0.017760,0.203368,0.261835,0.000768,0.912292
0.416560,0.017921,0.202408,0.276491,0.000640,0.921444
0.420017,0.017696,0.201736,0.296620,0.001024,0.944357
0.420016,0.017537,0.203144,0.274507,0.000608,0.922788
0.415633,0.017696,0.202344,0.258987,0.000640,0.902308
0.436722,0.017760,0.202152,0.284588,0.000864,0.949734
0.420912,0.017632,0.202344,0.264939,0.000704,0.915076
0.420144,0.017921,0.202184,0.255722,0.000640,0.903171
0.420016,0.017473,0.202312,0.282987,0.000736,0.930372
0.420144,0.017537,0.201800,0.241929,0.000608,0.887555
0.418544,0.017633,0.202440,0.266346,0.000928,0.913315
0.420240,0.017921,0.202376,0.268650,0.000608,0.916003
0.436337,0.017504,0.202056,0.253866,0.000672,0.916963
0.420016,0.017697,0.203336,0.266507,0.000640,0.913860
0.421137,0.017921,0.202344,0.269738,0.000640,0.917444
0.415921,0.017696,0.202600,0.295404,0.000704,0.940005
0.420401,0.017984,0.202728,0.266251,0.000704,0.914500
0.421201,0.017729,0.202984,0.252106,0.000768,0.901060
0.420336,0.017441,0.202088,0.253930,0.000640,0.900675
0.439857,0.017473,0.202408,0.268554,0.000768,0.936869
0.421041,0.017697,0.202536,0.269482,0.000768,0.917988
0.415665,0.017632,0.201800,0.243210,0.000704,0.885923
0.420144,0.017921,0.202760,0.297292,0.000704,0.946661
0.415665,0.017728,0.202376,0.248938,0.000672,0.890307
0.420017,0.018017,0.202951,0.252810,0.000608,0.900484
0.415152,0.018465,0.202056,0.265514,0.000800,0.907971
0.440881,0.017504,0.203400,0.273259,0.000704,0.942245
0.420721,0.017505,0.201831,0.266154,0.000736,0.913444
0.415888,0.017633,0.202184,0.262826,0.000864,0.904963
0.415952,0.017537,0.202568,0.290475,0.000640,0.934436
0.420752,0.017536,0.202536,0.267851,0.000704,0.916004
0.420433,0.018017,0.202376,0.259242,0.000832,0.907524
0.420784,0.017697,0.202888,0.291532,0.000640,0.940165
0.432401,0.017537,0.201960,0.271722,0.000608,0.929988
0.415921,0.017504,0.202344,0.253514,0.000608,0.895907
0.419889,0.017504,0.202280,0.261259,0.000640,0.906308
0.419792,0.017761,0.219433,0.268714,0.000576,0.932676
0.415632,0.017633,0.202088,0.262922,0.000640,0.904483
0.419248,0.017697,0.202280,0.250986,0.000768,0.896771
0.419793,0.017664,0.203176,0.268299,0.000736,0.917444
0.435249,0.017889,0.202632,0.260362,0.000640,0.923684
0.420337,0.017697,0.202824,0.287179,0.000800,0.935173
0.419600,0.017792,0.202120,0.261835,0.000864,0.908868
0.419824,0.017409,0.219785,0.245129,0.000640,0.908643
0.421456,0.017761,0.202152,0.263690,0.000768,0.911972
0.420753,0.017792,0.202472,0.265291,0.000704,0.913028
0.419664,0.017633,0.202696,0.265323,0.000704,0.911972
0.436913,0.017569,0.201896,0.264682,0.000640,0.928165
0.420881,0.017729,0.202984,0.254890,0.000672,0.902628
0.420080,0.017825,0.202472,0.263018,0.000672,0.911011
0.420816,0.017953,0.220617,0.255722,0.000672,0.922180
0.416176,0.017473,0.201928,0.265162,0.000608,0.907171
0.419761,0.017728,0.202024,0.250058,0.000576,0.896035
0.419664,0.017728,0.202696,0.268907,0.000608,0.915236
0.422705,0.017632,0.201992,0.263915,0.000608,0.913124
0.419857,0.017441,0.202344,0.255434,0.000608,0.901796
0.420176,0.017601,0.202536,0.264330,0.000672,0.910980
0.420721,0.017473,0.217896,0.286732,0.000736,0.950758
0.419568,0.017473,0.201768,0.255178,0.000640,0.900867
0.420080,0.017537,0.202792,0.266763,0.000704,0.914628
0.420240,0.017600,0.202280,0.260362,0.000608,0.906531
0.419729,0.017472,0.202983,0.248330,0.000736,0.895587
0.415536,0.017504,0.202216,0.261578,0.000704,0.903236
0.419696,0.017729,0.202472,0.270891,0.000544,0.916964
0.415376,0.017505,0.233897,0.269387,0.000768,0.943973
0.419664,0.017473,0.202120,0.284939,0.000640,0.930724
0.420272,0.017665,0.202376,0.261002,0.000608,0.908995
0.415665,0.017505,0.202376,0.252905,0.000801,0.895268
0.415344,0.017793,0.202760,0.258474,0.000704,0.900323
0.416016,0.017921,0.202696,0.256042,0.000640,0.899267
0.416112,0.017761,0.202440,0.253258,0.000672,0.896003
0.420977,0.017825,0.218216,0.253066,0.000768,0.916644
0.419889,0.017728,0.202984,0.253386,0.000736,0.900035
0.415120,0.017697,0.201704,0.246730,0.000768,0.887427
0.415345,0.017920,0.202696,0.240426,0.000672,0.882083
0.429169,0.017952,0.201799,0.277067,0.000608,0.933988
0.415280,0.018145,0.202760,0.258602,0.000704,0.901251
0.415760,0.017729,0.202664,0.275595,0.000736,0.919364
0.415952,0.017665,0.215912,0.246602,0.000864,0.903171
0.415249,0.017633,0.202823,0.256907,0.000640,0.899524
0.415761,0.017184,0.202248,0.265355,0.000672,0.907940
0.415153,0.017600,0.201640,0.245930,0.000640,0.886403
0.426992,0.017793,0.201800,0.266474,0.000736,0.919204
0.415984,0.017728,0.201832,0.245706,0.000704,0.887075
0.416528,0.018401,0.202216,0.245033,0.000736,0.888162
0.419889,0.017889,0.202632,0.284363,0.000768,0.933253
0.415632,0.017505,0.202184,0.261450,0.000672,0.902947
0.415505,0.017665,0.202536,0.254185,0.000704,0.896260
0.419920,0.017569,0.202216,0.265098,0.000672,0.910979
0.434737,0.017568,0.202504,0.268843,0.001120,0.932357
0.415248,0.017633,0.202472,0.253450,0.000640,0.895555
0.420145,0.017505,0.204264,0.261834,0.000672,0.911044
0.420080,0.017921,0.202408,0.266090,0.000640,0.912739
0.416208,0.017505,0.202472,0.251561,0.000800,0.895555
0.420944,0.017409,0.202952,0.268235,0.000768,0.916676
0.419792,0.017568,0.202888,0.264459,0.000736,0.912196
0.433585,0.017665,0.202216,0.261578,0.000576,0.921604
0.420049,0.017664,0.203464,0.267595,0.000832,0.916548
0.415856,0.017761,0.202344,0.264490,0.000704,0.908003
0.416017,0.017729,0.202792,0.288267,0.000800,0.932709
0.416177,0.017504,0.202376,0.262091,0.000736,0.904292
0.415121,0.017600,0.202440,0.259722,0.000864,0.902372
0.419568,0.017440,0.203080,0.269163,0.000704,0.915812
0.437233,0.017601,0.202728,0.257546,0.000608,0.922116
0.415952,0.017505,0.203272,0.286187,0.000576,0.928804
0.415472,0.017601,0.203016,0.261866,0.000672,0.904931
0.419664,0.017281,0.219848,0.265835,0.000640,0.929284
0.419440,0.017505,0.202728,0.250730,0.000704,0.896131
0.420145,0.017665,0.201927,0.253738,0.000608,0.899428
0.416113,0.017569,0.202408,0.246185,0.000736,0.890083
0.433873,0.017825,0.202760,0.260394,0.000672,0.921604
0.415408,0.017857,0.202216,0.266859,0.000608,0.910404
0.420336,0.017697,0.203112,0.259082,0.000640,0.908099
0.420016,0.017473,0.221129,0.294635,0.000672,0.961093
0.420080,0.017697,0.201992,0.265322,0.000864,0.913091
0.419665,0.017760,0.202856,0.275819,0.000960,0.923876
0.415569,0.017568,0.202536,0.263659,0.000768,0.907076
0.420016,0.017696,0.202088,0.257738,0.000928,0.905155
0.419536,0.018048,0.202312,0.264331,0.000704,0.911684
0.416049,0.017537,0.202247,0.297003,0.000864,0.941541
0.438642,0.017728,0.202664,0.249194,0.000800,0.917060
0.419600,0.017793,0.203208,0.245514,0.000576,0.893571
0.420017,0.017792,0.201768,0.277771,0.000640,0.924580
0.419920,0.017761,0.202984,0.311276,0.000960,0.960421
0.420113,0.017793,0.202696,0.276651,0.000608,0.925093
0.420401,0.018113,0.202920,0.256842,0.000608,0.905860
0.419824,0.017760,0.202728,0.276011,0.000768,0.924132
0.435889,0.017697,0.202856,0.281003,0.000544,0.944997
0.415888,0.017505,0.202568,0.273322,0.000832,0.917700
0.420496,0.017537,0.203496,0.265706,0.000800,0.915588
0.415824,0.017665,0.220713,0.290027,0.000640,0.953317
0.419632,0.017761,0.202216,0.258154,0.000672,0.905059
0.419952,0.017473,0.202056,0.269610,0.000640,0.916356
0.419664,0.017536,0.202216,0.273163,0.000736,0.920868
0.419216,0.017825,0.202376,0.266858,0.000672,0.915587
0.419312,0.017632,0.202280,0.268875,0.000640,0.916100
0.420272,0.017729,0.201960,0.273387,0.000672,0.921220
0.435377,0.017760,0.202632,0.267275,0.001024,0.931749
0.420305,0.017568,0.203080,0.276587,0.000608,0.926532
0.415888,0.017889,0.202664,0.275787,0.000896,0.921220
0.415121,0.017537,0.202343,0.299628,0.000768,0.944773
0.420272,0.017696,0.202664,0.266443,0.000768,0.915716
0.419920,0.017729,0.202408,0.265322,0.000672,0.913091
0.420656,0.017472,0.202216,0.265259,0.000704,0.913348
0.437553,0.017569,0.202824,0.261386,0.000672,0.927205
0.414608,0.017536,0.201992,0.272363,0.000736,0.914436
0.418641,0.017665,0.201608,0.272106,0.000672,0.917060
0.419856,0.017473,0.221641,0.275402,0.000736,0.942084
0.416400,0.017633,0.201800,0.277547,0.000736,0.921572
0.420145,0.017792,0.203431,0.272587,0.000736,0.921892
0.415920,0.017953,0.202728,0.276139,0.000864,0.921124
0.415825,0.017473,0.202472,0.269770,0.000704,0.913060
0.419312,0.017665,0.202056,0.262762,0.000832,0.909123
0.419792,0.017665,0.202440,0.261770,0.000896,0.909059
0.420624,0.017633,0.203944,0.268138,0.000896,0.936388
0.416336,0.017505,0.201640,0.249450,0.000672,0.891715
0.415344,0.017633,0.202152,0.267082,0.000608,0.909187
0.415792,0.017825,0.202472,0.263146,0.000640,0.905283
0.416272,0.017537,0.201512,0.267466,0.000736,0.910179
0.421456,0.017569,0.201896,0.268298,0.000928,0.916099
0.415953,0.017505,0.201800,0.265802,0.000608,0.908004
0.435505,0.017793,0.202120,0.264874,0.000768,0.928517
0.421745,0.017473,0.201896,0.261354,0.000640,0.909412
0.420240,0.017569,0.202152,0.261642,0.000640,0.907875
0.419953,0.017696,0.202312,0.251690,0.000736,0.898947
0.420081,0.017472,0.201864,0.269067,0.000672,0.914628
0.420432,0.017409,0.202088,0.254666,0.000608,0.901251
0.415920,0.017601,0.202664,0.266058,0.000704,0.909123
0.444913,0.017985,0.202344,0.272778,0.000832,0.946341
0.416080,0.018049,0.202632,0.261898,0.000640,0.905923
0.416528,0.017920,0.202216,0.257226,0.000736,0.901315
0.416465,0.017696,0.202792,0.250570,0.000640,0.894403
0.420624,0.017760,0.202632,0.244778,0.000576,0.892675
0.416848,0.017728,0.201896,0.271115,0.000672,0.914244
0.415984,0.017921,0.202376,0.258890,0.000736,0.901827
0.440465,0.017473,0.202472,0.272427,0.000640,0.939429
0.416816,0.017761,0.202056,0.262506,0.000544,0.905859
0.419089,0.017312,0.202568,0.270475,0.000800,0.917476
0.420944,0.017537,0.202568,0.253994,0.000704,0.903011
0.419952,0.017793,0.202568,0.253514,0.000672,0.900771
0.421905,0.018016,0.202344,0.267307,0.000672,0.917700
0.420625,0.017569,0.202439,0.261867,0.000576,0.909956
0.434001,0.017985,0.202152,0.273162,0.000833,0.935429
0.420912,0.018240,0.202856,0.253066,0.000608,0.902691
0.415825,0.017504,0.202120,0.254058,0.000768,0.896419
0.421425,0.017761,0.202216,0.276490,0.000672,0.924900
0.420817,0.017761,0.202279,0.260235,0.000960,0.908388
0.415856,0.017889,0.202408,0.262954,0.001152,0.906083
0.420944,0.017504,0.202312,0.265323,0.000928,0.916068
0.430545,0.017793,0.202728,0.267178,0.000608,0.925412
0.419057,0.017825,0.203112,0.270602,0.000736,0.918500
0.416464,0.017664,0.202568,0.266187,0.000576,0.910212
0.416048,0.017473,0.202728,0.280651,0.000576,0.923780
0.421168,0.017505,0.202472,0.259018,0.000736,0.906851
0.420528,0.017985,0.202984,0.258666,0.000640,0.907363
0.419569,0.017697,0.202856,0.267434,0.001088,0.915396
0.438193,0.017825,0.201864,0.277259,0.000704,0.941765
0.420880,0.017761,0.203272,0.262250,0.000608,0.911555
0.416784,0.017889,0.204424,0.282155,0.000768,0.930148
0.420657,0.017952,0.202632,0.275819,0.000768,0.924676
0.420624,0.017792,0.202792,0.277227,0.000832,0.925860
0.416368,0.017569,0.203240,0.254474,0.000832,0.898915
0.420177,0.017569,0.202216,0.254090,0.000832,0.902116
0.438801,0.017825,0.203528,0.257930,0.000640,0.926468
0.416272,0.017761,0.202152,0.264586,0.000608,0.908004
0.420625,0.017504,0.202407,0.269515,0.000864,0.917796
0.422673,0.018177,0.219176,0.300716,0.000736,0.969894
0.417616,0.017729,0.202472,0.267691,0.000704,0.913252
0.420528,0.017569,0.202760,0.262442,0.000608,0.911523
0.415696,0.017729,0.202856,0.251306,0.000608,0.895107
0.420721,0.018048,0.202792,0.257995,0.000704,0.906788
0.420977,0.017728,0.202440,0.283243,0.000704,0.932997
0.420209,0.017536,0.202248,0.270283,0.000864,0.918180
0.434353,0.018049,0.202696,0.265323,0.000704,0.929701
0.415473,0.017888,0.202408,0.259467,0.000736,0.902820
0.415761,0.018272,0.202440,0.276619,0.000640,0.920644
0.415664,0.017729,0.202504,0.299884,0.000736,0.944069
0.420753,0.017761,0.202920,0.270346,0.000864,0.920004
0.420561,0.017729,0.202472,0.267274,0.000768,0.916964
0.416432,0.018049,0.202280,0.271082,0.000768,0.916228
0.420529,0.017888,0.202120,0.273547,0.000832,0.922148
0.420624,0.017825,0.202696,0.253418,0.000672,0.902115
0.420593,0.017537,0.202408,0.268010,0.000800,0.916516
0.416401,0.017792,0.219784,0.278475,0.000640,0.940837
0.415633,0.017536,0.202952,0.274123,0.000672,0.917540
0.420945,0.017761,0.202727,0.267914,0.000864,0.917700
0.420880,0.018049,0.202152,0.270314,0.000704,0.919716
0.420880,0.017569,0.203208,0.271883,0.000640,0.922116
0.416752,0.017761,0.202792,0.267178,0.000769,0.913380
0.417680,0.017857,0.202728,0.258666,0.000608,0.904611
0.433617,0.017536,0.202088,0.270219,0.000800,0.931844
0.421296,0.017793,0.203016,0.258986,0.000800,0.908643
0.415505,0.017889,0.202664,0.268874,0.000864,0.912996
0.416176,0.017952,0.203176,0.334221,0.000704,0.978887
0.420112,0.017696,0.202120,0.266155,0.000704,0.913444
0.420657,0.017505,0.202184,0.256522,0.000704,0.904772
0.420529,0.017729,0.202504,0.268298,0.000704,0.916196
0.436945,0.017793,0.202888,0.266826,0.000672,0.932676
0.416433,0.017760,0.202728,0.264715,0.000672,0.909444
0.421457,0.017824,0.203400,0.275083,0.000640,0.925956
0.417360,0.017536,0.219209,0.270410,0.000673,0.932421
0.416528,0.017825,0.201992,0.274603,0.000672,0.918244
0.416273,0.017728,0.202728,0.254634,0.000672,0.898787
0.419921,0.017729,0.202280,0.250697,0.000769,0.899812
0.420081,0.017984,0.203048,0.274731,0.000704,0.922884
0.420432,0.017473,0.202312,0.277099,0.000864,0.924932
0.420305,0.017473,0.202472,0.261866,0.000768,0.909604
0.431729,0.017536,0.202248,0.273515,0.000704,0.933380
0.415729,0.017536,0.202824,0.263787,0.000960,0.908420
0.419921,0.017633,0.202312,0.268906,0.000800,0.917156
0.421520,0.017953,0.202280,0.265546,0.000736,0.914947
0.419824,0.017825,0.202280,0.258442,0.000800,0.905507
0.420112,0.017921,0.202600,0.253994,0.000640,0.902115
0.420305,0.017697,0.202120,0.263146,0.000768,0.910884
0.434706,0.017760,0.201992,0.267371,0.000864,0.928325
0.415568,0.017697,0.201831,0.238153,0.000672,0.879202
0.415184,0.021217,0.202056,0.266314,0.000672,0.911395
0.415408,0.018209,0.201832,0.263210,0.000768,0.906147
0.416433,0.017472,0.202248,0.253898,0.000736,0.896227
0.415601,0.017696,0.201736,0.264523,0.000736,0.906148
0.415152,0.021089,0.201544,0.266986,0.000640,0.910563
0.415537,0.035393,0.202760,0.271211,0.000704,0.930693
0.415376,0.017761,0.202600,0.231369,0.000768,0.875042
0.415281,0.017664,0.201992,0.252970,0.000672,0.895011
0.420177,0.018369,0.202024,0.267914,0.000672,0.915076
0.415216,0.017633,0.202792,0.256170,0.000704,0.897283
0.415120,0.017633,0.202568,0.262218,0.000608,0.904132
0.415760,0.017953,0.202248,0.261226,0.000640,0.904387
0.415216,0.017697,0.215912,0.250537,0.000800,0.906339
0.415121,0.017697,0.202887,0.244554,0.000768,0.888195
0.415632,0.017985,0.201896,0.239945,0.000640,0.881698
0.415248,0.017729,0.202504,0.237769,0.000672,0.878658
0.441233,0.017697,0.202216,0.240553,0.000608,0.908323
0.417457,0.017377,0.202439,0.233706,0.000704,0.876675
0.415569,0.017473,0.201991,0.268651,0.000512,0.909732
0.416496,0.017569,0.202312,0.266538,0.000736,0.908451
0.415569,0.017632,0.202152,0.232649,0.000672,0.874211
0.415888,0.017729,0.201768,0.247401,0.000641,0.891235
0.415344,0.017505,0.201800,0.238057,0.000736,0.879266
0.434609,0.017633,0.201672,0.287595,0.000768,0.948037
0.421745,0.018016,0.205064,0.262635,0.000640,0.915364
0.417553,0.017792,0.204040,0.263883,0.000832,0.912292
0.420784,0.018433,0.203080,0.275339,0.000800,0.925700
