Layer[0],Layer[1],TEE[2-8],Layer[9],Layer[10],classifier
0.418033,0.017280,0.742014,0.001504,0.000352,1.185807
0.421744,0.017377,0.760638,0.001504,0.000384,1.208239
0.422737,0.017505,0.795999,0.001344,0.000352,1.244145
0.421521,0.017376,0.741982,0.001536,0.000416,1.188271
0.433841,0.017441,0.750397,0.001472,0.000384,1.209584
0.423281,0.017313,0.749053,0.001377,0.000320,1.198544
0.423217,0.017472,0.735517,0.001280,0.000352,1.183438
0.420784,0.017377,0.739229,0.001312,0.000416,1.185134
0.415825,0.017504,0.743166,0.001248,0.000352,1.184431
0.424209,0.017248,0.770271,0.001216,0.000384,1.218640
0.418513,0.017313,0.745245,0.001312,0.000352,1.188687
0.422544,0.017280,0.730493,0.001408,0.000384,1.178158
0.418161,0.017281,0.772446,0.001440,0.000352,1.216880
0.419569,0.017473,0.747165,0.001504,0.000416,1.192623
0.417425,0.017472,0.741150,0.001344,0.000384,1.183919
0.439186,0.017569,0.749917,0.001280,0.000384,1.215184
0.420624,0.017537,0.741661,0.001408,0.000384,1.187566
0.422256,0.017344,0.743869,0.001216,0.000320,1.190671
0.434161,0.017377,0.732893,0.001248,0.000352,1.191727
0.422480,0.017377,0.741821,0.001280,0.000352,1.188942
0.416945,0.017504,0.745374,0.001376,0.000352,1.187023
0.419312,0.017313,0.742077,0.001248,0.000352,1.185902
0.418449,0.017472,0.734205,0.001344,0.000352,1.178094
0.422513,0.017217,0.772606,0.001216,0.000320,1.219312
0.422801,0.017505,0.734205,0.001312,0.000416,1.182671
0.422544,0.017568,0.764670,0.001408,0.000352,1.213199
0.418033,0.017280,0.755646,0.001472,0.000384,1.198863
0.418416,0.017409,0.747133,0.001216,0.000384,1.190767
0.421712,0.017281,0.746846,0.001440,0.000384,1.193583
0.423600,0.039041,0.740061,0.001408,0.000320,1.210991
0.422288,0.017345,0.729917,0.001216,0.000288,1.175694
0.421936,0.017536,0.738333,0.001216,0.000288,1.184558
0.435633,0.017409,0.753022,0.001440,0.000384,1.215184
0.422320,0.017472,0.746046,0.001216,0.000384,1.193263
0.417713,0.017441,0.738301,0.001152,0.000384,1.180143
0.417840,0.017505,0.746045,0.001312,0.000320,1.189262
0.420817,0.017249,0.742205,0.001248,0.000352,1.187151
0.422480,0.017345,0.762046,0.001216,0.000320,1.208879
0.422640,0.017473,0.743773,0.001248,0.000352,1.191790
0.422512,0.017281,0.747294,0.001280,0.000384,1.194991
0.422480,0.017313,0.758334,0.001376,0.000384,1.206095
0.421296,0.017504,0.756062,0.001440,0.000352,1.203695
0.423249,0.017473,0.741565,0.001376,0.000416,1.191599
0.434161,0.017409,0.749181,0.001344,0.000352,1.208143
0.418224,0.017441,0.748093,0.001248,0.000352,1.191310
0.422576,0.017280,0.734877,0.001472,0.000352,1.182638
0.430961,0.017345,0.743453,0.001280,0.000480,1.199855
0.422513,0.017376,0.744030,0.001344,0.000416,1.191119
0.416144,0.017409,0.784863,0.001216,0.000320,1.226384
0.419888,0.017441,0.731421,0.001344,0.000352,1.177070
0.421105,0.017408,0.749310,0.001280,0.000352,1.195503
0.421489,0.018016,0.750622,0.001312,0.000352,1.197743
0.420976,0.017344,0.736797,0.001536,0.000352,1.184526
0.417425,0.017312,0.749822,0.001280,0.000384,1.191823
0.419025,0.017344,0.763134,0.001440,0.000320,1.207792
0.423409,0.017504,0.749886,0.001312,0.000352,1.199215
0.420977,0.017505,0.742365,0.001344,0.000384,1.189327
0.442802,0.017408,0.751102,0.001408,0.000416,1.219024
0.416560,0.017441,0.743261,0.001312,0.000384,1.184846
0.423505,0.017473,0.744893,0.001440,0.000352,1.193615
0.420113,0.017504,0.743774,0.001408,0.000352,1.189711
0.422033,0.017441,0.744317,0.001312,0.000384,1.191599
0.418128,0.017441,0.779326,0.001568,0.000416,1.223280
0.422353,0.017248,0.739453,0.001184,0.000352,1.185775
0.422801,0.017760,0.774847,0.002240,0.000736,1.227504
0.422993,0.018433,0.823232,0.002784,0.000736,1.278418
0.421137,0.017888,0.798207,0.003648,0.000704,1.250737
0.418672,0.017697,0.751966,0.001600,0.000384,1.196751
0.435441,0.017633,0.752573,0.001344,0.000384,1.213743
0.422769,0.017569,0.750717,0.001408,0.000384,1.198959
0.420272,0.017761,0.746397,0.001344,0.000384,1.192207
0.423120,0.017953,0.756510,0.001536,0.000384,1.206767
0.423409,0.017601,0.751869,0.001568,0.000416,1.201647
0.422225,0.017473,0.762558,0.001600,0.000352,1.210672
0.422768,0.017569,0.737277,0.001376,0.000384,1.185774
0.418321,0.017633,0.738141,0.001376,0.000384,1.182223
0.423793,0.017536,0.768671,0.001312,0.000352,1.217776
0.422385,0.017665,0.751837,0.001472,0.000384,1.199664
0.421200,0.017729,0.738397,0.001344,0.000288,1.184175
0.439569,0.017473,0.753278,0.001408,0.000352,1.217936
0.417777,0.017633,0.736669,0.001216,0.000384,1.178927
0.421041,0.017537,0.745725,0.001184,0.000416,1.191919
0.422705,0.017472,0.741501,0.001184,0.000512,1.189167
0.416945,0.018241,0.760381,0.001120,0.000384,1.202960
0.420112,0.017664,0.765470,0.001441,0.000416,1.211760
0.415824,0.017536,0.741821,0.001377,0.000384,1.182703
0.422417,0.017569,0.729404,0.001440,0.000384,1.176878
0.422640,0.017664,0.752094,0.001312,0.000352,1.200719
0.423056,0.017633,0.760222,0.001280,0.000416,1.208111
0.423601,0.017600,0.746398,0.001536,0.000352,1.195599
0.417969,0.017696,0.751582,0.001344,0.000384,1.194607
0.420432,0.017473,0.737821,0.001312,0.000384,1.184014
0.418033,0.017473,0.732540,0.001280,0.000384,1.175278
0.434193,0.017633,0.752286,0.001248,0.000352,1.211248
0.419441,0.018241,0.747709,0.001248,0.000352,1.193519
0.423024,0.017600,0.733501,0.001184,0.000352,1.181518
0.422832,0.017632,0.743070,0.001216,0.000416,1.190895
0.419888,0.017537,0.728477,0.001280,0.000416,1.173102
0.422448,0.017633,0.753918,0.001504,0.000416,1.201615
0.422481,0.017568,0.760062,0.001280,0.000384,1.207407
0.423121,0.017601,0.734717,0.001280,0.000384,1.182863
0.418160,0.017505,0.767230,0.001280,0.000416,1.211247
0.421200,0.017505,0.744541,0.001248,0.000352,1.189999
0.423441,0.017728,0.740061,0.001217,0.000352,1.188847
0.417360,0.017664,0.776639,0.001408,0.000384,1.220848
0.418320,0.017729,0.741277,0.001504,0.000416,1.185902
0.424625,0.017728,0.748158,0.001568,0.000352,1.198479
0.434961,0.017600,0.748542,0.001312,0.000352,1.209712
0.420817,0.017569,0.754557,0.001440,0.000384,1.201007
0.422704,0.017440,0.748446,0.001344,0.000352,1.196751
0.418065,0.017504,0.745310,0.001344,0.000320,1.188687
0.419504,0.017440,0.755006,0.001472,0.000384,1.201135
0.423441,0.017569,0.752861,0.001472,0.000384,1.202415
0.423312,0.017792,0.747902,0.001280,0.000352,1.197071
0.419377,0.017760,0.751678,0.001440,0.000384,1.197455
0.422384,0.017760,0.769151,0.001408,0.000384,1.217232
0.420241,0.017633,0.740221,0.001312,0.000320,1.186287
0.418448,0.017761,0.739869,0.001504,0.000352,1.183790
0.441937,0.017601,0.744925,0.001312,0.000352,1.212015
0.422640,0.017664,0.744638,0.001440,0.000352,1.193071
0.423280,0.017633,0.743133,0.001472,0.000384,1.191470
0.438673,0.017761,0.743645,0.001569,0.000352,1.208976
0.422736,0.017409,0.741693,0.001633,0.000416,1.190767
0.417872,0.017473,0.767550,0.001728,0.000512,1.212943
0.420080,0.017728,0.749758,0.001728,0.000320,1.196879
0.423505,0.017601,0.756669,0.001601,0.000384,1.205744
0.419505,0.017729,0.757054,0.001376,0.000384,1.202160
0.423217,0.017601,0.746237,0.001344,0.000256,1.195183
0.422001,0.017697,0.750237,0.001568,0.000320,1.198799
0.423153,0.017504,0.753629,0.001280,0.000352,1.203119
0.423857,0.017729,0.746685,0.001344,0.000416,1.196751
0.423697,0.017568,0.750942,0.001408,0.000384,1.201679
0.440369,0.017793,0.743293,0.001440,0.000352,1.209647
0.418224,0.017760,0.743645,0.001408,0.000384,1.187855
0.418032,0.017633,0.751710,0.001408,0.000384,1.196431
0.417073,0.017537,0.747869,0.001248,0.000384,1.190479
0.417584,0.017696,0.751454,0.001376,0.000384,1.195247
0.420624,0.017761,0.771070,0.001312,0.000320,1.217680
0.418833,0.017537,0.750333,0.001664,0.000352,1.195055
0.423409,0.017601,0.735293,0.001280,0.000352,1.184623
0.423825,0.017793,0.769758,0.001408,0.000384,1.220336
0.422801,0.017536,0.737533,0.001216,0.000320,1.186351
0.421009,0.017664,0.732957,0.001312,0.000320,1.179630
0.453298,0.017601,0.741821,0.001184,0.000352,1.221392
0.419856,0.017569,0.730909,0.001280,0.000384,1.176046
0.420240,0.017537,0.732893,0.001248,0.000288,1.178510
0.415921,0.017697,0.775262,0.001504,0.000352,1.217552
0.415696,0.017729,0.748254,0.001344,0.000480,1.189967
0.424017,0.017729,0.755166,0.001472,0.000384,1.205424
0.423825,0.017505,0.735420,0.001248,0.000384,1.184655
0.422865,0.017569,0.743933,0.001440,0.000352,1.192783
0.419153,0.017440,0.790687,0.001376,0.000352,1.234833
0.416688,0.017696,0.739965,0.001441,0.000352,1.182703
0.424753,0.017665,0.751165,0.001312,0.000384,1.201839
0.449650,0.017665,0.778398,0.001632,0.000352,1.253713
0.424657,0.017568,0.731357,0.001408,0.000416,1.180814
0.420528,0.017761,0.723740,0.001504,0.000352,1.169389
0.438321,0.017536,0.736989,0.001568,0.000320,1.200975
0.423793,0.017729,0.732508,0.001312,0.000384,1.181231
0.423089,0.017505,0.740157,0.001184,0.000384,1.187471
0.418160,0.017441,0.740509,0.001344,0.000352,1.184366
0.420369,0.017601,0.727836,0.001280,0.000320,1.172430
0.422384,0.017761,0.764478,0.001248,0.000384,1.211503
0.421425,0.017728,0.740605,0.001280,0.000352,1.186735
0.422385,0.017697,0.738045,0.001248,0.000352,1.185167
0.422705,0.017601,0.776670,0.001344,0.000384,1.224081
0.422897,0.017568,0.742910,0.001216,0.000384,1.190543
0.417488,0.017729,0.743229,0.001184,0.000384,1.185166
0.421905,0.017569,0.750877,0.001216,0.000352,1.197199
0.417776,0.017633,0.736797,0.001120,0.000320,1.178990
0.423568,0.017761,0.736701,0.001440,0.000320,1.186446
0.436625,0.017537,0.748957,0.001248,0.000416,1.209487
0.417744,0.017729,0.746493,0.001184,0.000352,1.188750
0.421073,0.017729,0.742141,0.001312,0.000352,1.188815
0.417712,0.017537,0.746845,0.001280,0.000352,1.189263
0.423312,0.017601,0.740957,0.001280,0.000384,1.190607
0.423568,0.017729,0.759134,0.001344,0.000352,1.208975
0.423153,0.017729,0.739165,0.001504,0.000384,1.187759
0.422640,0.017632,0.739325,0.001216,0.000352,1.186478
0.422769,0.017697,0.761950,0.001152,0.000480,1.209616
0.418192,0.017473,0.747677,0.001345,0.000416,1.191535
0.421744,0.017536,0.730749,0.001312,0.000352,1.177838
0.423120,0.017377,0.776991,0.001440,0.000448,1.225392
0.422992,0.017729,0.740061,0.001088,0.000384,1.188078
0.420432,0.017569,0.728605,0.001184,0.000480,1.173550
0.437841,0.017761,0.777183,0.001248,0.000384,1.239633
0.422161,0.017600,0.725629,0.001216,0.000384,1.172526
0.423377,0.017729,0.733564,0.001184,0.000256,1.180943
0.422192,0.017441,0.759582,0.001120,0.000384,1.205423
0.422577,0.017504,0.739549,0.001217,0.000320,1.186991
0.424337,0.017408,0.757758,0.001216,0.000352,1.207919
0.418032,0.017601,0.741053,0.001152,0.000352,1.184206
0.422257,0.017537,0.744477,0.001120,0.000416,1.190895
0.422225,0.017505,0.758270,0.001312,0.000320,1.205168
0.422416,0.017633,0.742461,0.001216,0.000416,1.188846
0.422576,0.017440,0.742205,0.001313,0.000384,1.189423
0.416848,0.017569,0.776318,0.001536,0.000449,1.218480
0.417552,0.017505,0.748637,0.001280,0.000320,1.192302
0.418736,0.017441,0.749214,0.001440,0.000384,1.193711
0.436017,0.017473,0.734013,0.001280,0.000352,1.195535
0.423889,0.017473,0.746813,0.001280,0.000416,1.197007
0.422449,0.017473,0.731900,0.001280,0.000384,1.179150
0.419952,0.017345,0.748221,0.001312,0.000384,1.192622
0.417777,0.017473,0.751293,0.001344,0.000416,1.193647
0.423409,0.017920,0.758622,0.001280,0.000672,1.207951
0.418224,0.017761,0.737245,0.001120,0.000384,1.179758
0.422065,0.017473,0.724284,0.001312,0.000384,1.171311
0.420625,0.017313,0.767038,0.001248,0.000320,1.211632
0.417968,0.017697,0.735165,0.001408,0.000416,1.178222
0.417136,0.017729,0.738077,0.001312,0.000416,1.179790
0.422001,0.017825,0.767230,0.001376,0.000416,1.215472
0.420561,0.017440,0.734557,0.001312,0.000384,1.179502
0.423312,0.017601,0.723709,0.001376,0.000384,1.171278
0.433969,0.017761,0.740189,0.001216,0.000352,1.200623
0.419856,0.017185,0.722492,0.001088,0.000352,1.165678
0.422736,0.017472,0.745630,0.001696,0.000384,1.194447
0.421521,0.017409,0.743581,0.001280,0.000352,1.189839
0.420944,0.017601,0.745821,0.001312,0.000384,1.192878
0.420945,0.017600,0.756094,0.001440,0.000448,1.202479
0.420880,0.017792,0.745406,0.001312,0.000384,1.191631
0.421776,0.017857,0.738685,0.001312,0.000384,1.187054
0.421712,0.017697,0.778751,0.001472,0.000416,1.227376
0.420496,0.018305,0.738397,0.001472,0.000384,1.186030
0.421680,0.017569,0.737789,0.001408,0.000384,1.184686
0.439313,0.017793,0.744893,0.001376,0.000384,1.209327
0.421264,0.017601,0.734941,0.001248,0.000352,1.180846
0.420752,0.017441,0.748318,0.001312,0.000416,1.193583
0.433937,0.017504,0.753534,0.001440,0.000384,1.212399
0.421392,0.017665,0.765278,0.001280,0.000352,1.211407
0.416369,0.017824,0.766239,0.001216,0.000352,1.208432
0.420624,0.017761,0.746942,0.001184,0.000416,1.193231
0.416112,0.017601,0.744573,0.001248,0.000320,1.185134
0.415633,0.017600,0.768063,0.001280,0.000416,1.209616
0.421745,0.017569,0.757758,0.001472,0.000416,1.206288
0.421137,0.017601,0.755357,0.001537,0.000384,1.202480
0.421809,0.036322,0.735452,0.001344,0.000384,1.201552
0.423313,0.017569,0.745661,0.001312,0.000384,1.193551
0.420753,0.017761,0.756317,0.001312,0.000384,1.201808
0.436369,0.017729,0.742941,0.001345,0.000352,1.204304
0.416209,0.017568,0.741726,0.001248,0.000352,1.183439
0.416656,0.017633,0.745949,0.001248,0.000352,1.187598
0.416945,0.017728,0.762398,0.001377,0.000640,1.206832
0.417873,0.017601,0.753661,0.001376,0.000384,1.197999
0.422384,0.017729,0.768254,0.001345,0.000416,1.216592
0.421169,0.017568,0.740669,0.001344,0.000384,1.186895
0.418416,0.017505,0.746557,0.001280,0.000384,1.189582
0.416977,0.017920,0.790336,0.001248,0.000384,1.231377
0.416785,0.017760,0.770591,0.001248,0.000352,1.211696
0.418481,0.017728,0.734557,0.001344,0.000448,1.177678
0.430321,0.017569,0.748093,0.001408,0.000416,1.204559
0.417328,0.017568,0.731549,0.001312,0.000288,1.173486
0.419441,0.017504,0.735741,0.001344,0.000448,1.181038
0.430193,0.018369,0.734045,0.001216,0.000320,1.189615
0.422993,0.017633,0.750141,0.001312,0.000385,1.199472
0.415665,0.017632,0.765758,0.001121,0.000352,1.206512
0.416496,0.017728,0.765406,0.001120,0.000352,1.205904
0.418160,0.017569,0.762750,0.001024,0.000384,1.204399
0.417169,0.017505,0.772062,0.001216,0.000320,1.214000
0.417168,0.017633,0.744573,0.000928,0.000320,1.185454
0.416561,0.017536,0.734972,0.001216,0.000288,1.175631
0.418512,0.017697,0.775166,0.001376,0.000320,1.217744
0.416304,0.017729,0.736509,0.001120,0.000320,1.176462
0.416369,0.017632,0.720733,0.001184,0.000288,1.161806
0.418161,0.017536,0.766526,0.001440,0.000320,1.209008
0.418384,0.017729,0.722684,0.001056,0.000288,1.164653
0.416240,0.017345,0.712476,0.001056,0.000288,1.151725
0.432689,0.017600,0.726397,0.000928,0.000256,1.182606
0.417104,0.017632,0.760862,0.001216,0.000352,1.201519
0.418641,0.017568,0.719581,0.000896,0.000320,1.161486
0.429297,0.017633,0.727708,0.001184,0.000352,1.182478
0.417808,0.017569,0.736285,0.001120,0.000352,1.177934
0.416048,0.017504,0.728157,0.001184,0.000352,1.167694
0.418321,0.017504,0.730396,0.001216,0.000384,1.173742
0.416369,0.017760,0.721021,0.001184,0.000352,1.161358
0.419248,0.018017,0.765054,0.001408,0.000384,1.231184
0.417553,0.017537,0.741757,0.001216,0.000384,1.184559
0.419760,0.017953,0.761726,0.001120,0.000320,1.206415
0.418129,0.017728,0.769407,0.001280,0.000352,1.213200
0.419153,0.017729,0.749469,0.001536,0.000448,1.193519
0.417392,0.017441,0.735901,0.001408,0.000384,1.179118
0.418608,0.017569,0.808288,0.001568,0.000416,1.252305
0.417456,0.017537,0.734461,0.001472,0.000352,1.176814
0.421712,0.017505,0.749789,0.001409,0.000320,1.197487
0.442257,0.017633,0.742461,0.001344,0.000352,1.210383
0.419217,0.017665,0.745821,0.001600,0.000352,1.190767
0.418352,0.017633,0.742205,0.001280,0.000320,1.185358
0.420593,0.017569,0.747645,0.001376,0.000320,1.193071
0.425169,0.017568,0.747646,0.001248,0.000320,1.198767
0.422416,0.017473,0.761758,0.001312,0.000416,1.210127
0.424017,0.017504,0.745341,0.001504,0.000352,1.195407
0.418032,0.017697,0.748317,0.001281,0.000384,1.191855
0.424113,0.017377,0.763838,0.001280,0.000352,1.212592
0.418065,0.017504,0.740990,0.001408,0.000352,1.183503
0.422672,0.017409,0.738877,0.001440,0.000416,1.185678
0.423088,0.017505,0.749821,0.001280,0.000352,1.197071
0.424529,0.017537,0.746173,0.001184,0.000320,1.194927
0.419953,0.017953,0.821312,0.003264,0.000832,1.274194
0.436113,0.017857,0.730717,0.001920,0.000352,1.192815
0.416208,0.017409,0.737821,0.001280,0.000384,1.178446
0.421777,0.017537,0.742205,0.001312,0.000352,1.190351
0.423249,0.017665,0.745949,0.001536,0.000416,1.194671
0.420752,0.017569,0.752126,0.001440,0.000384,1.199119
0.423441,0.017504,0.754557,0.001216,0.000384,1.203727
0.420113,0.017600,0.722877,0.001344,0.000352,1.168078
0.425201,0.017505,0.733181,0.001248,0.000384,1.183279
0.418417,0.017569,0.753149,0.001184,0.000352,1.196463
0.420241,0.017665,0.718844,0.001152,0.000352,1.164686
0.417456,0.017472,0.743005,0.001345,0.000416,1.185359
0.439793,0.017760,0.745694,0.001152,0.000352,1.211056
0.424113,0.017505,0.736253,0.001088,0.000352,1.184367
0.416528,0.017761,0.743229,0.001280,0.000353,1.183695
0.437137,0.017665,0.749566,0.001376,0.000384,1.213008
0.415505,0.017728,0.737309,0.001376,0.000353,1.178031
0.423696,0.017633,0.747998,0.001248,0.000352,1.196655
0.420561,0.017504,0.746110,0.001248,0.000352,1.191471
0.418737,0.017664,0.737533,0.001344,0.000384,1.181838
0.417489,0.017697,0.758974,0.001184,0.000384,1.201424
0.422929,0.017696,0.748734,0.001280,0.000352,1.197167
0.423921,0.017697,0.748477,0.001248,0.000320,1.197679
0.417745,0.018113,0.760861,0.001280,0.000384,1.205552
0.416336,0.017697,0.751869,0.001376,0.000320,1.193519
0.421393,0.017601,0.751005,0.001248,0.000384,1.198415
0.442034,0.017761,0.754557,0.001248,0.000384,1.222288
0.416945,0.017664,0.738365,0.001217,0.000384,1.180399
0.415953,0.017441,0.755229,0.001088,0.000384,1.195343
0.436305,0.017537,0.752478,0.001312,0.000384,1.213904
0.422448,0.017537,0.745277,0.001120,0.000481,1.192687
0.422641,0.017633,0.762238,0.001376,0.000384,1.210288
0.423601,0.017569,0.747325,0.001312,0.000384,1.197327
0.422352,0.017473,0.760446,0.001248,0.000384,1.207215
0.421008,0.017569,0.779199,0.001248,0.000384,1.225584
0.420752,0.017537,0.743485,0.001248,0.000416,1.189710
0.418897,0.017536,0.748414,0.001280,0.000416,1.192687
0.416080,0.017537,0.763518,0.001472,0.000416,1.205327
0.416016,0.017537,0.744861,0.001152,0.000352,1.185646
0.421169,0.017248,0.726589,0.001184,0.000352,1.172302
0.434033,0.017601,0.730365,0.001088,0.000384,1.189295
0.424048,0.017665,0.741501,0.001248,0.000416,1.190191
0.421265,0.017441,0.746557,0.001280,0.000416,1.194479
0.418321,0.017569,0.742877,0.001184,0.000352,1.186127
0.423409,0.017761,0.728156,0.001057,0.000416,1.176207
0.423793,0.017665,0.772830,0.001376,0.000384,1.222928
0.419793,0.017665,0.739805,0.001248,0.000416,1.184559
0.418096,0.017633,0.735069,0.001216,0.000384,1.178286
0.419280,0.017601,0.757374,0.001312,0.000384,1.200591
0.423664,0.017504,0.748990,0.001344,0.000320,1.197039
0.422641,0.017441,0.719772,0.000992,0.000352,1.166222
0.423345,0.017569,0.755006,0.001152,0.000352,1.202480
0.426576,0.017729,0.755390,0.001312,0.000352,1.208816
0.423664,0.017665,0.729597,0.001184,0.000416,1.177934
0.445713,0.017537,0.747678,0.001408,0.000352,1.218544
0.419888,0.017697,0.738397,0.001344,0.000352,1.183022
0.423665,0.017441,0.741885,0.001248,0.000352,1.189551
0.422096,0.017569,0.737021,0.001504,0.000352,1.184174
0.422896,0.017473,0.737277,0.001184,0.000384,1.184174
0.424433,0.017697,0.765758,0.001184,0.000416,1.215184
0.424881,0.017345,0.744701,0.001184,0.000384,1.193903
0.415728,0.017601,0.732957,0.001248,0.000384,1.173678
0.418000,0.017664,0.766462,0.001249,0.000384,1.210352
0.422417,0.017505,0.748445,0.001408,0.000352,1.196175
0.418417,0.017472,0.747710,0.001184,0.000352,1.191023
0.417521,0.017504,0.764447,0.001280,0.000416,1.208080
0.424273,0.017793,0.733629,0.001184,0.000352,1.182415
0.423696,0.018433,0.742045,0.001088,0.000384,1.190670
0.439345,0.017569,0.749405,0.001280,0.000352,1.214447
0.424369,0.018464,0.743006,0.001152,0.000416,1.192303
0.416624,0.017825,0.745693,0.001216,0.000384,1.187598
0.422385,0.017537,0.743997,0.001280,0.000384,1.191311
0.421584,0.017761,0.736445,0.001184,0.000416,1.184494
0.421456,0.017537,0.761246,0.001152,0.000384,1.207375
0.418193,0.018369,0.733341,0.001056,0.000352,1.176943
0.421873,0.018241,0.752029,0.001152,0.000320,1.199983
0.417616,0.017505,0.783807,0.001312,0.000384,1.226640
0.421777,0.017473,0.728444,0.001184,0.000384,1.175214
0.422384,0.017537,0.759326,0.001152,0.000384,1.205295
0.419025,0.017377,0.754205,0.001120,0.000352,1.196976
0.422033,0.017441,0.734269,0.001120,0.000352,1.181679
0.417392,0.019105,0.727549,0.001312,0.000320,1.172206
0.439729,0.017889,0.747805,0.001312,0.000384,1.214351
0.420401,0.017665,0.730236,0.001312,0.000417,1.175791
0.422577,0.017633,0.747613,0.001248,0.000320,1.196143
0.420401,0.017761,0.743261,0.001280,0.000384,1.188751
0.423633,0.017537,0.741853,0.001280,0.000352,1.190287
0.418097,0.017505,0.761918,0.001376,0.000384,1.204592
0.422224,0.017728,0.745374,0.002048,0.000384,1.195695
0.420400,0.017697,0.746525,0.001408,0.000384,1.192750
0.422801,0.017696,0.757886,0.001216,0.000352,1.206063
0.418384,0.017473,0.742045,0.001472,0.000416,1.186126
0.422256,0.017569,0.749437,0.001409,0.000320,1.196975
0.425072,0.017505,0.765406,0.001344,0.000352,1.215183
0.423216,0.017632,0.744606,0.001312,0.000352,1.193711
0.418097,0.017697,0.740957,0.001216,0.000416,1.183983
0.438545,0.017569,0.738429,0.000960,0.000352,1.200879
0.418384,0.017697,0.746205,0.001248,0.000352,1.189454
0.418065,0.017536,0.744734,0.001344,0.000384,1.187375
0.419249,0.017633,0.744349,0.001248,0.000384,1.189423
0.417840,0.017633,0.740765,0.001440,0.000416,1.183182
0.422384,0.017504,0.748446,0.001280,0.000416,1.196943
0.418768,0.017728,0.733277,0.001280,0.000352,1.177486
0.422065,0.017729,0.740253,0.001280,0.000352,1.187375
0.422320,0.017697,0.772958,0.001312,0.000641,1.220656
0.423889,0.017345,0.746525,0.001440,0.000352,1.195855
0.423984,0.017761,0.740957,0.001504,0.000352,1.190670
0.417392,0.017761,0.776830,0.001216,0.000352,1.219056
0.417104,0.017504,0.745854,0.001248,0.000352,1.188015
0.418321,0.017761,0.741821,0.001280,0.000416,1.185391
0.433329,0.017536,0.735869,0.001152,0.000352,1.194094
0.422480,0.017472,0.745598,0.001280,0.000480,1.194767
0.423120,0.017920,0.742430,0.001248,0.000352,1.192047
0.422705,0.017665,0.749021,0.001280,0.000416,1.196687
0.421169,0.017473,0.753245,0.001344,0.000352,1.201968
0.417584,0.017505,0.766206,0.001472,0.000384,1.210639
0.421713,0.017792,0.745662,0.001344,0.000384,1.192879
0.421969,0.017633,0.727548,0.001248,0.000384,1.174926
0.416912,0.017505,0.758270,0.001408,0.000384,1.201135
0.420145,0.017569,0.747325,0.001376,0.000352,1.192527
0.422321,0.017536,0.742302,0.001248,0.000352,1.189679
0.438705,0.017889,0.732156,0.001249,0.000352,1.197775
0.423441,0.017473,0.743453,0.001408,0.000384,1.193071
0.422705,0.017665,0.743485,0.001312,0.000384,1.191887
0.441682,0.017761,0.739389,0.001248,0.000352,1.206832
0.423185,0.017728,0.735549,0.001312,0.000384,1.183758
0.422769,0.017633,0.743293,0.001024,0.000384,1.190383
0.423089,0.017537,0.746365,0.001088,0.000352,1.193167
0.416976,0.017281,0.742429,0.001216,0.000352,1.182798
0.417681,0.017857,0.765214,0.001216,0.000448,1.207920
0.421553,0.017537,0.741725,0.001088,0.000352,1.186895
0.417841,0.017537,0.734749,0.001248,0.000352,1.177807
0.420432,0.017665,0.759550,0.001216,0.000256,1.204751
0.422704,0.017825,0.756446,0.001408,0.000352,1.205551
0.423056,0.018433,0.740221,0.001280,0.000352,1.190446
0.436593,0.017729,0.742525,0.001056,0.000288,1.203311
0.422864,0.017505,0.741917,0.001120,0.000352,1.190062
0.417905,0.017632,0.737853,0.001248,0.000384,1.180847
0.432657,0.017761,0.746429,0.001184,0.000416,1.204560
0.421936,0.017505,0.738685,0.001280,0.000384,1.185678
0.423280,0.017537,0.743037,0.001088,0.000352,1.189966
0.416017,0.017537,0.748701,0.001376,0.000384,1.190287
0.422545,0.017793,0.751805,0.001248,0.000384,1.199887
0.417489,0.017504,0.770879,0.001440,0.000384,1.214384
0.420849,0.017696,0.748254,0.001376,0.000384,1.194575
0.421777,0.017633,0.740701,0.001088,0.000352,1.187183
0.422033,0.017537,0.771902,0.001344,0.000384,1.219248
0.420656,0.017377,0.743741,0.001184,0.000352,1.189134
0.418352,0.017568,0.728285,0.001376,0.000384,1.171662
0.438194,0.017568,0.772479,0.001344,0.000384,1.236497
0.419825,0.017632,0.742782,0.001408,0.000448,1.188335
0.422097,0.017536,0.747934,0.001280,0.000416,1.196399
0.420273,0.017600,0.738717,0.001344,0.000352,1.183471
0.423761,0.017760,0.751486,0.001280,0.000352,1.201647
0.415920,0.017569,0.753374,0.001088,0.000320,1.193743
0.418833,0.017568,0.745918,0.001376,0.000352,1.190223
0.418161,0.017664,0.735517,0.001344,0.000416,1.178990
0.415889,0.017536,0.751902,0.001216,0.000384,1.192047
0.417872,0.017825,0.718268,0.001280,0.000352,1.160429
0.415856,0.017633,0.726813,0.001152,0.000352,1.166414
0.419440,0.017761,0.769758,0.001312,0.000385,1.215472
0.420624,0.017793,0.743165,0.001312,0.000480,1.190478
0.421328,0.017793,0.747357,0.001344,0.000384,1.194223
0.435441,0.017601,0.749309,0.001248,0.000416,1.211119
0.419953,0.017632,0.744254,0.001376,0.000416,1.189487
0.420752,0.017697,0.742685,0.001248,0.000352,1.188943
0.422224,0.017761,0.748958,0.001312,0.000384,1.197679
0.421296,0.017537,0.748222,0.001344,0.000352,1.194767
0.416016,0.017857,0.767038,0.001216,0.000352,1.208463
