Layer[0],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415025,0.700862,0.048610,0.000608,0.013569,0.000416,0.001504,0.001024,0.000384,1.189650
0.415570,0.699229,0.047938,0.000608,0.013440,0.000352,0.001472,0.000832,0.000384,1.187346
0.431666,0.692829,0.048034,0.000608,0.013504,0.000416,0.001472,0.000928,0.000352,1.197170
0.415154,0.703582,0.047874,0.000672,0.013473,0.000352,0.001504,0.001056,0.000320,1.191603
0.415986,0.690493,0.048578,0.000608,0.013441,0.000352,0.001440,0.000896,0.000352,1.180210
0.429010,0.704382,0.047650,0.000672,0.013633,0.000352,0.001440,0.000992,0.000320,1.206131
0.415089,0.686589,0.048770,0.000672,0.013537,0.000352,0.001376,0.000864,0.000256,1.174961
0.416561,0.691774,0.047394,0.000608,0.013472,0.000384,0.001536,0.000992,0.000320,1.180626
0.415473,0.706622,0.047970,0.000704,0.013793,0.000384,0.001504,0.000928,0.000352,1.196722
0.415698,0.705630,0.048258,0.000640,0.013504,0.000352,0.001536,0.001184,0.000417,1.195475
0.415698,0.721663,0.048930,0.000704,0.013536,0.000384,0.001472,0.001089,0.000384,1.212660
0.415698,0.696829,0.048290,0.000640,0.013441,0.000352,0.001408,0.000992,0.000352,1.185234
0.417137,0.712702,0.048098,0.000800,0.013537,0.000384,0.001504,0.001024,0.000320,1.204211
0.416337,0.749184,0.048098,0.000640,0.013537,0.000384,0.001472,0.000960,0.000416,1.238644
0.416946,0.702845,0.048931,0.000800,0.013504,0.000352,0.001408,0.000896,0.000320,1.194162
0.415858,0.714078,0.048418,0.000640,0.013505,0.000352,0.001376,0.001024,0.000352,1.202707
0.432179,0.711806,0.048258,0.000800,0.013665,0.000352,0.001472,0.001088,0.000320,1.218388
0.416978,0.693981,0.048162,0.000800,0.013569,0.000416,0.001536,0.000960,0.000416,1.184882
0.416338,0.707038,0.048098,0.000608,0.013537,0.000384,0.001568,0.001024,0.000352,1.198163
0.417201,0.696542,0.049282,0.000800,0.013537,0.000320,0.001504,0.001056,0.000384,1.189362
0.415826,0.700253,0.048611,0.000640,0.013440,0.000352,0.001504,0.001120,0.000352,1.190450
0.416561,0.710815,0.047938,0.000640,0.013408,0.000416,0.001440,0.000960,0.000320,1.200146
0.415729,0.683101,0.048290,0.000704,0.013409,0.000352,0.001408,0.000960,0.000352,1.171441
0.415121,0.687549,0.048195,0.000672,0.013600,0.000416,0.001376,0.001024,0.000352,1.176017
0.416018,0.743295,0.047586,0.000864,0.013472,0.000416,0.001440,0.000992,0.000320,1.233012
0.415922,0.687005,0.047426,0.000576,0.013441,0.000352,0.001440,0.000896,0.000352,1.175602
0.416722,0.701309,0.047426,0.000640,0.013441,0.000416,0.001408,0.000960,0.000352,1.190130
0.415185,0.709758,0.047554,0.000640,0.013472,0.000416,0.001376,0.001024,0.000352,1.197266
0.415378,0.707230,0.048162,0.000672,0.013697,0.000416,0.001440,0.001088,0.000352,1.197203
0.415986,0.694301,0.048162,0.000608,0.013505,0.000352,0.001568,0.001184,0.000384,1.184210
0.433266,0.728927,0.048898,0.000800,0.013505,0.000384,0.001504,0.000928,0.000320,1.236052
0.414002,0.704862,0.048546,0.000672,0.013473,0.000352,0.001472,0.000928,0.000320,1.191987
0.415857,0.704157,0.047682,0.000609,0.013504,0.000352,0.001440,0.000992,0.000352,1.192914
0.417073,0.697086,0.047490,0.000608,0.013377,0.000384,0.001504,0.001056,0.000224,1.186066
0.416050,0.705822,0.048546,0.000800,0.013633,0.000384,0.001504,0.001280,0.000352,1.197875
0.416306,0.762144,0.050082,0.000864,0.014817,0.000608,0.001568,0.001664,0.000384,1.255861
0.415602,0.696221,0.048130,0.000640,0.013665,0.000576,0.001472,0.001056,0.000384,1.185426
0.415922,0.713566,0.048674,0.000640,0.013633,0.000352,0.001504,0.001056,0.000320,1.205523
0.415954,0.744288,0.048034,0.000832,0.013536,0.000384,0.001504,0.001025,0.000320,1.233941
0.416370,0.680637,0.048162,0.000640,0.013568,0.000416,0.001440,0.001472,0.000352,1.171954
0.416145,0.700958,0.048578,0.000608,0.013505,0.000352,0.001472,0.001056,0.000352,1.190803
0.433779,0.701694,0.048450,0.000608,0.013504,0.000320,0.001440,0.001025,0.000320,1.208724
0.415377,0.701278,0.048418,0.000672,0.013697,0.000320,0.001472,0.000960,0.000352,1.189842
0.415154,0.700446,0.047458,0.000608,0.013568,0.000352,0.001472,0.000896,0.000320,1.188082
0.415410,0.697181,0.048898,0.000641,0.013472,0.000384,0.001472,0.000992,0.000352,1.187282
0.415249,0.698781,0.047938,0.000640,0.013441,0.000352,0.001472,0.001024,0.000352,1.187026
0.415698,0.730783,0.050594,0.000640,0.013569,0.000352,0.001440,0.001056,0.000352,1.223380
0.415666,0.692125,0.047970,0.000640,0.013505,0.000384,0.001472,0.000960,0.000352,1.182034
0.415986,0.699070,0.048738,0.000576,0.013504,0.000384,0.001472,0.001152,0.000320,1.188723
0.417842,0.768032,0.048674,0.000833,0.013792,0.000384,0.001568,0.001696,0.000352,1.262293
0.415282,0.703934,0.048194,0.000608,0.013473,0.000352,0.001536,0.000960,0.000352,1.192083
0.415953,0.692414,0.049314,0.000640,0.013440,0.000384,0.001504,0.000960,0.000352,1.182674
0.439506,0.708286,0.047746,0.000609,0.013504,0.000384,0.001472,0.000992,0.000352,1.219859
0.415570,0.707038,0.047618,0.000608,0.013473,0.000416,0.001440,0.000992,0.000352,1.195827
0.415825,0.703390,0.047778,0.000608,0.013473,0.000416,0.001472,0.000864,0.000288,1.192498
0.433842,0.714399,0.048354,0.000512,0.013440,0.000384,0.001440,0.000928,0.000289,1.221652
0.415761,0.702397,0.047906,0.000608,0.013473,0.000384,0.001440,0.000896,0.000352,1.190706
0.415666,0.695325,0.048259,0.000608,0.013504,0.000384,0.001440,0.001056,0.031618,1.217556
0.414962,0.699357,0.048066,0.000608,0.013473,0.000384,0.001472,0.001056,0.000352,1.186930
0.415826,0.702526,0.048770,0.000608,0.013473,0.000416,0.001536,0.001088,0.000352,1.193427
0.415409,0.727487,0.048130,0.000672,0.013665,0.000352,0.001472,0.001056,0.000352,1.216211
0.415378,0.734431,0.048098,0.000640,0.013441,0.000384,0.001440,0.000864,0.000320,1.223380
0.415601,0.692094,0.047778,0.000864,0.013440,0.000416,0.001473,0.000960,0.000448,1.180946
0.415442,0.723198,0.047714,0.000608,0.013505,0.000416,0.001440,0.001024,0.000352,1.212147
0.415538,0.703966,0.047522,0.000672,0.013441,0.000384,0.001504,0.001152,0.000352,1.192211
0.415570,0.699741,0.047490,0.000704,0.013537,0.000352,0.001440,0.000992,0.000352,1.187890
0.431282,0.709534,0.047810,0.000512,0.013569,0.000352,0.001472,0.001152,0.000288,1.213395
0.415313,0.696029,0.047586,0.000512,0.013409,0.000384,0.001536,0.001056,0.000224,1.184818
0.415154,0.707998,0.048674,0.000736,0.013536,0.000353,0.001568,0.001120,0.000416,1.196243
0.415441,0.701981,0.049506,0.000640,0.013473,0.000384,0.001536,0.001280,0.000352,1.193810
0.416466,0.694557,0.049122,0.000641,0.013408,0.000384,0.001472,0.001056,0.000352,1.185298
0.415442,0.770145,0.048098,0.000640,0.013696,0.000384,0.001441,0.001024,0.000352,1.259958
0.415825,0.704190,0.048034,0.000768,0.013441,0.000384,0.001472,0.001024,0.000352,1.193874
0.415761,0.690526,0.048834,0.000800,0.013376,0.000416,0.001601,0.001056,0.000352,1.180946
0.415250,0.712606,0.048386,0.000608,0.013473,0.000352,0.001600,0.000992,0.000288,1.201139
0.416402,0.700798,0.048514,0.000640,0.013504,0.000384,0.001568,0.001089,0.000352,1.191507
0.415985,0.705629,0.048194,0.000800,0.013472,0.000384,0.001504,0.001024,0.000320,1.195986
0.449331,0.714718,0.048674,0.000608,0.013473,0.000352,0.001568,0.001216,0.000320,1.240116
0.416881,0.692446,0.048386,0.000576,0.013760,0.000352,0.001504,0.001281,0.000352,1.185010
0.415282,0.705246,0.048290,0.000608,0.013473,0.000320,0.001472,0.001120,0.000320,1.193875
0.430930,0.734015,0.048706,0.000576,0.013537,0.000352,0.001536,0.001056,0.000320,1.238900
0.416274,0.734911,0.051714,0.000576,0.013537,0.000416,0.001568,0.000992,0.000352,1.227540
0.415377,0.720766,0.047970,0.000672,0.013473,0.000384,0.001568,0.001216,0.000320,1.209395
0.415761,0.688829,0.048226,0.000640,0.013568,0.000384,0.001536,0.000992,0.000320,1.177841
0.415793,0.700894,0.047778,0.000640,0.013601,0.000352,0.001440,0.000928,0.000224,1.188626
0.414642,0.713086,0.047522,0.000640,0.013441,0.000384,0.001440,0.001120,0.000320,1.200563
0.415122,0.689789,0.047362,0.000608,0.013441,0.000416,0.001472,0.001024,0.000416,1.176850
0.417201,0.703390,0.047586,0.000640,0.013729,0.000384,0.001504,0.001056,0.000352,1.194610
0.415570,0.696445,0.048226,0.000672,0.013665,0.000416,0.001504,0.001152,0.000352,1.186386
0.415570,0.706334,0.048706,0.000640,0.013472,0.000384,0.001504,0.001056,0.000384,1.194867
0.415825,0.698398,0.048450,0.000512,0.013441,0.000384,0.001536,0.000992,0.000288,1.186866
0.435155,0.698909,0.048034,0.000576,0.013601,0.000384,0.001440,0.001024,0.000352,1.206835
0.415377,0.720895,0.047554,0.000576,0.013696,0.000352,0.001409,0.000896,0.000352,1.208307
0.415473,0.720766,0.047618,0.000640,0.013985,0.000352,0.001536,0.001056,0.000352,1.209971
0.415634,0.721311,0.047586,0.000608,0.013376,0.000384,0.001472,0.000960,0.000320,1.209075
0.415378,0.733087,0.047618,0.000672,0.013408,0.000416,0.001441,0.000992,0.000352,1.220564
0.418706,0.738943,0.048034,0.000640,0.013601,0.000384,0.001536,0.001056,0.000320,1.231540
0.415794,0.705598,0.048098,0.000608,0.013441,0.000416,0.001536,0.001024,0.000384,1.196051
0.417073,0.688253,0.048354,0.000800,0.013696,0.000352,0.001504,0.001120,0.000352,1.180401
0.416145,0.725790,0.048674,0.000864,0.013889,0.000480,0.001536,0.001088,0.000384,1.217171
0.415665,0.703166,0.048514,0.000704,0.013601,0.000384,0.001504,0.001152,0.000352,1.193491
0.416402,0.706910,0.048450,0.000832,0.013409,0.000352,0.001504,0.001120,0.000352,1.197139
0.434835,0.693661,0.048354,0.000608,0.013409,0.000384,0.001440,0.000960,0.000320,1.203187
0.415729,0.705917,0.048674,0.000576,0.013376,0.000352,0.001536,0.001120,0.000352,1.196114
0.417330,0.705374,0.048802,0.000640,0.013312,0.000384,0.001440,0.000929,0.000352,1.196083
0.415026,0.730815,0.049218,0.000704,0.013537,0.000416,0.001408,0.001120,0.000352,1.221908
0.416370,0.705886,0.048610,0.000640,0.013472,0.000384,0.001473,0.000992,0.000352,1.196499
0.416465,0.736576,0.048386,0.000800,0.013632,0.000416,0.001536,0.000993,0.000384,1.228852
0.416018,0.683357,0.048546,0.000800,0.013505,0.000384,0.001504,0.001248,0.000320,1.174578
0.414962,0.707966,0.048546,0.000608,0.013537,0.000352,0.001472,0.001120,0.000352,1.196947
0.416178,0.723583,0.048546,0.000736,0.013568,0.000416,0.001504,0.001120,0.000384,1.214804
0.416081,0.689757,0.048354,0.000832,0.013440,0.000384,0.001600,0.001024,0.000384,1.179953
0.416337,0.703037,0.048418,0.000864,0.013728,0.000384,0.001504,0.001024,0.000352,1.193746
0.435154,0.724671,0.048994,0.000608,0.013473,0.000384,0.001472,0.001024,0.000352,1.234388
0.415954,0.692637,0.048194,0.000704,0.013473,0.000384,0.001536,0.000960,0.000320,1.181714
0.415186,0.701757,0.048963,0.000640,0.013536,0.000384,0.001472,0.000960,0.000320,1.191442
0.429106,0.708157,0.049282,0.000576,0.013504,0.000416,0.001440,0.001056,0.000352,1.212755
0.416753,0.727327,0.048290,0.000608,0.013505,0.000448,0.001504,0.000992,0.000320,1.217811
0.416402,0.677884,0.068354,0.000705,0.013728,0.000608,0.001504,0.001152,0.000352,1.190194
0.415857,0.688189,0.048194,0.000640,0.013537,0.000384,0.001472,0.001120,0.000352,1.177393
0.416274,0.703262,0.048706,0.000608,0.013472,0.000384,0.001537,0.001088,0.000320,1.193203
0.416946,0.724543,0.048802,0.000608,0.013376,0.000352,0.001472,0.001088,0.000385,1.215860
0.416146,0.703486,0.048066,0.000608,0.013473,0.000416,0.001504,0.001184,0.000384,1.193523
0.415538,0.703038,0.048706,0.000608,0.013473,0.000352,0.001440,0.001056,0.000288,1.193235
0.415506,0.717118,0.048130,0.000672,0.013409,0.000320,0.001440,0.000928,0.000384,1.206323
0.415570,0.694877,0.048450,0.000608,0.013505,0.000384,0.001440,0.001024,0.000352,1.183826
0.416498,0.709150,0.048418,0.000576,0.013537,0.000384,0.001536,0.001120,0.000320,1.200659
0.431634,0.693406,0.048834,0.000800,0.013504,0.000384,0.001504,0.001024,0.000352,1.199347
0.417714,0.702365,0.048770,0.000896,0.013792,0.000384,0.001472,0.001120,0.000320,1.195890
0.415346,0.740607,0.048130,0.000640,0.013505,0.000384,0.001440,0.000960,0.000320,1.230484
0.415314,0.706846,0.048930,0.000640,0.013568,0.000416,0.001505,0.000992,0.000352,1.196563
0.415825,0.704381,0.049058,0.000832,0.013440,0.000384,0.001504,0.001088,0.000384,1.194930
0.416113,0.722431,0.048258,0.000640,0.013505,0.000384,0.001504,0.001024,0.000320,1.212659
0.416369,0.690269,0.048258,0.000704,0.013568,0.000384,0.001504,0.000960,0.000352,1.180433
0.415697,0.742752,0.048866,0.000608,0.013505,0.000384,0.001504,0.000928,0.000320,1.232660
0.415313,0.729503,0.048738,0.000608,0.013505,0.000352,0.001440,0.001024,0.000352,1.219219
0.424018,0.769281,0.049794,0.000864,0.014305,0.000352,0.002080,0.002560,0.000544,1.276502
0.418482,0.722911,0.049026,0.000832,0.014337,0.000352,0.001600,0.000864,0.000640,1.218964
0.437907,0.771872,0.049827,0.000896,0.014176,0.000640,0.001728,0.002625,0.000544,1.291735
0.416913,0.720031,0.048834,0.000864,0.014209,0.000384,0.001728,0.000928,0.000352,1.212179
0.415793,0.733471,0.048738,0.000864,0.014048,0.000416,0.001504,0.000960,0.000352,1.224051
0.416242,0.706462,0.048482,0.000832,0.013857,0.000352,0.001408,0.001120,0.000352,1.196883
0.415953,0.701790,0.048674,0.000832,0.013857,0.000384,0.001440,0.000960,0.000352,1.191538
0.415761,0.715934,0.049250,0.000992,0.013793,0.000384,0.001472,0.000960,0.000352,1.206419
0.416146,0.729983,0.049538,0.000800,0.013633,0.000384,0.001504,0.000928,0.000352,1.220500
0.416658,0.694685,0.051587,0.000832,0.013632,0.000416,0.001472,0.000928,0.000320,1.188242
0.415793,0.714366,0.049314,0.000832,0.013664,0.000384,0.001472,0.001120,0.000384,1.206131
0.416146,0.713182,0.048386,0.000865,0.013856,0.000352,0.001568,0.001184,0.000352,1.204563
0.415697,0.692414,0.048546,0.000800,0.013408,0.000384,0.001536,0.000960,0.000416,1.182482
0.429618,0.701886,0.048930,0.000640,0.013440,0.000385,0.001504,0.000928,0.000384,1.205427
0.415793,0.696222,0.048578,0.000672,0.013568,0.000384,0.001505,0.000896,0.000352,1.185362
0.414961,0.719199,0.048162,0.000672,0.013376,0.000384,0.001376,0.001024,0.000320,1.207699
0.415986,0.704894,0.047810,0.000608,0.013473,0.000416,0.001408,0.000928,0.000320,1.194067
0.415826,0.692541,0.047714,0.000608,0.013569,0.000384,0.001376,0.000800,0.000320,1.181266
0.415346,0.699518,0.047714,0.000608,0.013504,0.000352,0.001440,0.000929,0.000320,1.187731
0.415890,0.733855,0.047618,0.000512,0.013504,0.000320,0.001409,0.000832,0.000384,1.222580
0.416849,0.708317,0.048706,0.000608,0.013408,0.000384,0.001440,0.000992,0.000352,1.200467
0.418033,0.711902,0.049186,0.000800,0.013600,0.000480,0.001504,0.001344,0.000384,1.205843
0.416018,0.702590,0.048290,0.000800,0.013376,0.000384,0.001504,0.001089,0.000320,1.193139
0.416370,0.711134,0.048290,0.000576,0.013409,0.000320,0.001472,0.000896,0.000352,1.201011
0.416913,0.709630,0.048930,0.000800,0.013409,0.000384,0.001504,0.001248,0.000352,1.200978
0.415313,0.674012,0.048962,0.000544,0.013409,0.000384,0.001600,0.001056,0.000384,1.163473
0.415313,0.682685,0.048162,0.000608,0.013409,0.000384,0.001472,0.000960,0.000352,1.170545
0.429266,0.723102,0.048834,0.000544,0.013440,0.000416,0.001408,0.000832,0.000224,1.225875
0.415442,0.699870,0.048514,0.000576,0.013408,0.000384,0.001504,0.000832,0.000352,1.188051
0.416114,0.700766,0.047938,0.000800,0.013376,0.000352,0.001472,0.001024,0.000384,1.189779
0.415410,0.708190,0.048194,0.000608,0.013473,0.000320,0.001568,0.001024,0.000256,1.198003
0.417585,0.707390,0.047970,0.000832,0.013569,0.000352,0.001568,0.001152,0.000320,1.199858
0.416113,0.732479,0.049122,0.000800,0.013409,0.000384,0.001408,0.000896,0.000384,1.222163
0.415090,0.699901,0.048418,0.000801,0.013536,0.000384,0.001472,0.000928,0.000320,1.188562
0.415826,0.728095,0.048066,0.000608,0.013376,0.000352,0.001472,0.000864,0.000352,1.216276
0.415058,0.693757,0.047490,0.000544,0.013409,0.000352,0.001408,0.000832,0.000352,1.181074
0.416881,0.689597,0.048322,0.000736,0.013344,0.000352,0.001376,0.000864,0.000352,1.179633
0.415474,0.687741,0.047522,0.000768,0.013376,0.000352,0.001440,0.000865,0.000384,1.175346
0.416338,0.706910,0.047586,0.000736,0.013377,0.000352,0.001568,0.000960,0.000320,1.195955
0.415378,0.722847,0.047714,0.000704,0.013408,0.000384,0.001408,0.000864,0.000224,1.210195
0.415729,0.713438,0.047874,0.000768,0.013568,0.000384,0.001504,0.000992,0.000416,1.202002
0.436050,0.692989,0.048610,0.000832,0.014016,0.000320,0.001856,0.001216,0.000385,1.205203
0.416274,0.699005,0.048002,0.000769,0.013600,0.000416,0.001536,0.001088,0.000352,1.189298
0.415665,0.695294,0.048162,0.000576,0.013313,0.000384,0.001600,0.000928,0.000352,1.184178
0.429938,0.720991,0.048578,0.000640,0.013537,0.000384,0.001728,0.000928,0.000320,1.224916
0.415602,0.734655,0.048450,0.000608,0.013441,0.000384,0.001440,0.000960,0.000352,1.222964
0.415986,0.733791,0.064578,0.000704,0.013440,0.000352,0.001472,0.001056,0.000256,1.239924
0.415857,0.689917,0.047747,0.000608,0.013376,0.000384,0.001408,0.000928,0.000320,1.177649
0.415505,0.715583,0.047554,0.000640,0.013440,0.000384,0.001408,0.000928,0.000352,1.202994
0.415602,0.739519,0.048418,0.000608,0.013377,0.000384,0.001408,0.000960,0.000352,1.228020
0.418193,0.694270,0.048514,0.000800,0.013984,0.000384,0.001409,0.000864,0.000416,1.187378
0.416274,0.674428,0.048322,0.000768,0.013889,0.000352,0.001376,0.001184,0.000352,1.165361
0.416658,0.744064,0.048642,0.000864,0.014016,0.000352,0.001472,0.001184,0.000352,1.234901
0.416882,0.706046,0.048770,0.000640,0.013696,0.000416,0.001376,0.000961,0.000352,1.195891
0.416434,0.714974,0.048290,0.000608,0.013409,0.000352,0.001408,0.000928,0.000352,1.203571
0.431794,0.715134,0.048162,0.000896,0.014016,0.000352,0.001376,0.000896,0.000352,1.220052
0.415602,0.683421,0.048354,0.000800,0.013665,0.000320,0.001440,0.001216,0.000320,1.172146
0.416434,0.722974,0.048098,0.000544,0.013569,0.000384,0.001824,0.001248,0.000352,1.212499
0.427378,0.691421,0.047810,0.000576,0.013697,0.000352,0.001408,0.000960,0.000320,1.191218
0.415826,0.698557,0.048066,0.000896,0.014017,0.000352,0.001536,0.000928,0.000352,1.188338
0.416722,0.681341,0.047682,0.000768,0.013857,0.000352,0.001792,0.000992,0.000384,1.170770
0.419858,0.700766,0.047458,0.000800,0.013537,0.000384,0.001536,0.001088,0.000384,1.194515
0.416914,0.707134,0.048002,0.000832,0.014241,0.000352,0.001440,0.001152,0.000352,1.198355
0.416562,0.713822,0.047842,0.000800,0.013857,0.000352,0.001440,0.000704,0.000256,1.203283
0.417265,0.706750,0.047874,0.000928,0.013665,0.000352,0.001440,0.000864,0.000320,1.196626
0.419153,0.699454,0.048130,0.000768,0.013953,0.000416,0.001504,0.000832,0.000352,1.191506
0.416113,0.755263,0.047747,0.000736,0.013344,0.000384,0.001472,0.000800,0.000224,1.242836
0.415762,0.730527,0.047970,0.000736,0.013376,0.000416,0.001472,0.000928,0.000353,1.218356
0.416018,0.699389,0.047746,0.000769,0.013536,0.000352,0.001376,0.000800,0.000352,1.187890
0.448883,0.700286,0.047650,0.000832,0.013825,0.000384,0.001472,0.001152,0.000384,1.223540
0.416402,0.704158,0.048610,0.000768,0.013440,0.000384,0.001472,0.001057,0.000352,1.194867
0.417266,0.718334,0.048514,0.000800,0.013537,0.000384,0.001472,0.001184,0.000384,1.210387
0.416081,0.704030,0.048610,0.000800,0.013537,0.000416,0.001408,0.000960,0.000352,1.193650
0.414994,0.727935,0.048578,0.000800,0.013568,0.000416,0.001440,0.000960,0.000352,1.216308
0.416273,0.720574,0.048514,0.000832,0.013665,0.000384,0.001536,0.001088,0.000256,1.210867
0.416338,0.736287,0.047938,0.000640,0.013473,0.000352,0.001472,0.000864,0.000320,1.225364
0.416145,0.727071,0.048482,0.000640,0.013473,0.000352,0.001440,0.001088,0.000224,1.216691
0.415409,0.728703,0.048098,0.000832,0.013601,0.000416,0.001440,0.000960,0.000320,1.217203
0.415473,0.700446,0.047362,0.000832,0.013344,0.000384,0.001345,0.000960,0.000384,1.188403
0.416626,0.700094,0.047778,0.000768,0.013408,0.000416,0.001473,0.000896,0.000352,1.190163
0.432626,0.734271,0.047938,0.000896,0.013569,0.000384,0.001472,0.001056,0.000384,1.240980
0.416337,0.697758,0.048578,0.000832,0.013665,0.000416,0.001504,0.001088,0.000320,1.188946
0.415313,0.693662,0.047714,0.000608,0.013408,0.000384,0.001376,0.001088,0.000352,1.181713
0.433331,0.699741,0.048034,0.000608,0.013473,0.000352,0.001344,0.001024,0.000320,1.205427
0.415761,0.707230,0.048002,0.000832,0.013537,0.000416,0.001440,0.000928,0.000352,1.196338
0.415793,0.699613,0.064675,0.000832,0.013569,0.000384,0.001440,0.000928,0.000352,1.205747
0.415025,0.687037,0.047426,0.000832,0.013600,0.000416,0.001376,0.000960,0.000320,1.174481
0.415250,0.703485,0.047554,0.000832,0.013600,0.000384,0.001472,0.000800,0.000320,1.190610
0.416338,0.717022,0.047650,0.000832,0.013505,0.000384,0.001472,0.000928,0.000352,1.205939
0.415826,0.699037,0.048034,0.000800,0.013536,0.000416,0.001376,0.001024,0.000384,1.189426
0.415633,0.719583,0.048386,0.000896,0.013537,0.000384,0.001504,0.001088,0.000352,1.210131
0.415666,0.715006,0.048770,0.000800,0.013569,0.000416,0.001408,0.000960,0.000352,1.204371
0.416370,0.696477,0.048194,0.000832,0.013441,0.000416,0.001440,0.000832,0.000320,1.185266
0.416658,0.714910,0.048162,0.000800,0.013569,0.000352,0.001344,0.000864,0.000384,1.204819
0.434994,0.705565,0.047970,0.000832,0.013408,0.000416,0.001408,0.000960,0.000352,1.213459
0.415858,0.728671,0.047682,0.000832,0.013504,0.000352,0.001472,0.000928,0.000320,1.216980
0.415697,0.700317,0.047618,0.000832,0.013441,0.000352,0.001472,0.000928,0.000384,1.188338
0.415442,0.696157,0.047426,0.000800,0.013376,0.000384,0.001504,0.001024,0.000320,1.183794
0.415537,0.699197,0.047426,0.000832,0.013409,0.000416,0.001504,0.000992,0.000384,1.187058
0.415922,0.745951,0.048002,0.001056,0.013728,0.000384,0.001440,0.000992,0.000352,1.237620
0.418706,0.724254,0.049026,0.000800,0.013409,0.000608,0.001472,0.001216,0.000384,1.218291
0.415953,0.689245,0.048226,0.000832,0.013473,0.000352,0.001440,0.000928,0.000320,1.178129
0.415953,0.714078,0.047746,0.000800,0.013760,0.000320,0.001409,0.000992,0.000320,1.203251
0.415410,0.697085,0.048354,0.000832,0.013408,0.000384,0.001376,0.001024,0.000352,1.185906
0.415057,0.688093,0.048162,0.000800,0.013441,0.000384,0.001408,0.000992,0.000352,1.176273
0.436403,0.704381,0.047906,0.000800,0.013504,0.000416,0.001472,0.000832,0.000352,1.213107
0.416081,0.702622,0.048482,0.000800,0.013441,0.000416,0.001408,0.000864,0.000352,1.192082
0.415441,0.697790,0.047650,0.000896,0.013408,0.000384,0.001537,0.001056,0.000320,1.185874
0.432307,0.687133,0.048002,0.000832,0.013344,0.000352,0.001504,0.000928,0.000352,1.192627
0.416402,0.698621,0.048034,0.000864,0.013472,0.000384,0.001408,0.000992,0.000384,1.189874
0.417298,0.707838,0.048514,0.000832,0.013728,0.000384,0.001537,0.001248,0.000416,1.200883
0.415633,0.690302,0.048706,0.000832,0.013504,0.000384,0.001536,0.000992,0.000384,1.181042
0.415409,0.704766,0.048162,0.000864,0.013441,0.000448,0.001536,0.000992,0.000352,1.193619
0.415217,0.719295,0.049122,0.000832,0.013472,0.000384,0.001536,0.001056,0.000352,1.209715
0.418386,0.704030,0.048642,0.000832,0.014017,0.000352,0.001952,0.001024,0.000320,1.197427
0.416306,0.705630,0.048738,0.000736,0.013824,0.000352,0.001472,0.000960,0.000352,1.196115
0.419121,0.723358,0.048194,0.000832,0.014305,0.000416,0.001536,0.001056,0.000352,1.217171
0.417009,0.693854,0.048578,0.001024,0.014432,0.000416,0.001600,0.001120,0.000320,1.186418
0.417297,0.699581,0.048802,0.000800,0.014593,0.000352,0.001632,0.001024,0.000352,1.192082
0.435411,0.709150,0.048738,0.000832,0.014113,0.000352,0.001632,0.001152,0.000352,1.220884
0.418065,0.687645,0.048930,0.000897,0.014400,0.000416,0.002112,0.001440,0.000352,1.182737
0.417426,0.733599,0.047714,0.000832,0.013984,0.000352,0.001440,0.001153,0.000352,1.225172
0.418001,0.695774,0.048898,0.000800,0.014081,0.000384,0.001504,0.001280,0.000352,1.189010
0.415538,0.704478,0.048130,0.000800,0.014144,0.000416,0.001505,0.001280,0.000352,1.194835
0.418450,0.722046,0.048450,0.000768,0.013857,0.000352,0.001408,0.001216,0.000384,1.215123
0.416402,0.708542,0.047970,0.000800,0.013825,0.000416,0.001408,0.001184,0.000384,1.198995
0.417298,0.690525,0.048770,0.000800,0.013633,0.000384,0.001472,0.001184,0.000384,1.182610
0.417649,0.712574,0.049122,0.000832,0.013696,0.000320,0.001536,0.001152,0.000320,1.205427
0.417169,0.700862,0.049986,0.000864,0.013729,0.000352,0.001408,0.001632,0.000384,1.194418
0.417041,0.706333,0.048130,0.000865,0.013728,0.000384,0.001504,0.001088,0.000352,1.199058
0.434674,0.688445,0.048002,0.000800,0.013857,0.000416,0.001504,0.001216,0.000384,1.197906
0.417521,0.702973,0.048834,0.000896,0.013953,0.000416,0.001504,0.001088,0.000384,1.195730
0.417746,0.701598,0.048098,0.000864,0.013857,0.000352,0.001728,0.001056,0.000320,1.193619
0.432339,0.684445,0.048450,0.000992,0.013952,0.000352,0.001536,0.000993,0.000320,1.191539
0.417906,0.702814,0.048802,0.000864,0.013729,0.000384,0.001504,0.000992,0.000384,1.195347
0.417937,0.703742,0.067587,0.000800,0.013793,0.000384,0.001504,0.000992,0.000352,1.215444
0.416881,0.700221,0.048354,0.000800,0.013505,0.000352,0.001472,0.000992,0.000352,1.191090
0.416850,0.726271,0.048002,0.000896,0.013696,0.000384,0.001504,0.001024,0.000288,1.217043
0.419378,0.728958,0.048418,0.000832,0.013792,0.000384,0.001664,0.001280,0.000385,1.224340
0.417426,0.692509,0.048098,0.000832,0.013793,0.000352,0.001504,0.000960,0.000416,1.183474
0.416914,0.720158,0.048930,0.000929,0.014656,0.000608,0.001504,0.001408,0.000416,1.213939
0.435314,0.696350,0.048514,0.000832,0.013984,0.000352,0.001440,0.001056,0.000352,1.205619
