Layer[0],TEE[1-7],Layer[8],Layer[9],Layer[10],classifier
0.421425,0.762399,0.002432,0.001088,0.000352,1.194160
0.433201,0.772159,0.003200,0.001184,0.000320,1.217201
0.420497,0.754335,0.002400,0.001056,0.000320,1.185232
0.416241,0.761023,0.003424,0.001184,0.000352,1.189104
0.415409,0.775328,0.002656,0.001184,0.000352,1.202673
0.420145,0.759422,0.002593,0.001120,0.000320,1.190609
0.420177,0.773760,0.002496,0.001152,0.000352,1.204753
0.419665,0.760671,0.002560,0.001088,0.000320,1.190449
0.420913,0.764640,0.002336,0.000960,0.000320,1.196049
0.420209,0.821250,0.002432,0.001120,0.000352,1.251859
0.420433,0.768863,0.002304,0.001056,0.000320,1.198929
0.421233,0.770336,0.002432,0.001056,0.000320,1.201905
0.435186,0.768799,0.002560,0.000992,0.000320,1.214417
0.420369,0.776256,0.002528,0.000992,0.000352,1.207729
0.420529,0.774336,0.002496,0.001120,0.000384,1.206769
0.421393,0.769535,0.002496,0.001120,0.000352,1.201713
0.420273,0.756511,0.002464,0.001184,0.000320,1.187568
0.420177,0.787296,0.003200,0.001216,0.000320,1.219186
0.416080,0.767743,0.002368,0.001088,0.000320,1.194192
0.420401,0.751839,0.002368,0.000992,0.000352,1.182864
0.420721,0.834594,0.002784,0.001024,0.000320,1.266483
0.420625,0.767295,0.002496,0.001152,0.000320,1.198608
0.420497,0.750847,0.002592,0.001088,0.000352,1.182480
0.433778,0.772511,0.002528,0.001152,0.000352,1.217458
0.420401,0.774720,0.002560,0.001216,0.000352,1.207249
0.419889,0.772960,0.003392,0.001152,0.000352,1.204977
0.419985,0.764031,0.002529,0.001056,0.000352,1.194865
0.420689,0.774207,0.002529,0.001248,0.000384,1.204849
0.420945,0.786688,0.002400,0.001152,0.000384,1.218321
0.415473,0.765919,0.002496,0.001089,0.000320,1.191601
0.419953,0.755295,0.002656,0.001088,0.000384,1.185808
0.420657,0.784287,0.003328,0.001184,0.000384,1.216690
0.416593,0.763519,0.002560,0.001216,0.000384,1.191920
0.420434,0.776831,0.002400,0.001088,0.000320,1.207857
0.448115,0.776383,0.002752,0.000993,0.000352,1.235763
