Layer[0],TEE[1-7],Layer[8],Layer[9],Layer[10],classifier
0.420689,0.772127,0.002176,0.001088,0.000384,1.202481
0.415313,0.829410,0.002336,0.001120,0.000320,1.255443
0.415889,0.792864,0.002369,0.001120,0.000320,1.219538
0.416465,0.804544,0.003616,0.001472,0.000352,1.233490
0.420721,0.806305,0.002688,0.001120,0.000352,1.239602
0.420721,0.782943,0.002337,0.001088,0.000352,1.213233
0.420273,0.758718,0.002432,0.001344,0.000352,1.190064
0.438321,0.778335,0.003840,0.001376,0.000416,1.229009
0.422641,0.782559,0.003681,0.001184,0.000416,1.216978
0.416913,0.768223,0.003360,0.001088,0.000320,1.197008
0.420017,0.780288,0.002464,0.001024,0.000352,1.210961
0.415281,0.773887,0.002464,0.001056,0.000320,1.199729
0.420913,0.786304,0.002496,0.001152,0.000352,1.218001
0.420369,0.785984,0.002496,0.001056,0.000320,1.218897
0.420817,0.760319,0.002496,0.001344,0.000384,1.192944
0.416593,0.817634,0.002368,0.001120,0.000384,1.245203
0.420561,0.756959,0.003584,0.001184,0.000352,1.188560
0.415409,0.761631,0.003520,0.001184,0.000416,1.188944
0.441266,0.757279,0.002464,0.001344,0.000352,1.209489
0.420145,0.788096,0.003488,0.001152,0.000384,1.219249
0.420177,0.760383,0.003168,0.001280,0.000320,1.191024
0.420049,0.768255,0.002304,0.001024,0.000352,1.197776
0.420113,0.792192,0.002176,0.001056,0.000384,1.221265
0.415921,0.821377,0.003520,0.001184,0.000384,1.249811
0.421041,0.775967,0.002336,0.001184,0.000384,1.207761
0.420337,0.747807,0.003008,0.001504,0.000416,1.179504
0.415345,0.787968,0.003264,0.001088,0.000384,1.213489
0.415825,0.763871,0.002176,0.001056,0.000320,1.189488
0.415696,0.754302,0.002208,0.001056,0.000352,1.179247
0.438514,0.751902,0.003489,0.001312,0.000352,1.202385
0.419825,0.766239,0.002528,0.000928,0.000352,1.195824
0.420753,0.754687,0.002272,0.001088,0.000320,1.184048
0.415921,0.791392,0.003457,0.000992,0.000384,1.218834
0.420081,0.765663,0.003168,0.001153,0.000352,1.196529
0.420145,0.786048,0.003328,0.001248,0.000416,1.218289
0.426354,0.885732,0.003264,0.001184,0.000352,1.323510
0.421745,0.763455,0.002208,0.001120,0.000352,1.194544
0.416401,0.801665,0.003424,0.001152,0.000416,1.230674
0.416433,0.767327,0.002432,0.001056,0.000416,1.194321
0.420209,0.773439,0.002528,0.001344,0.000352,1.204209
0.435090,0.780351,0.003297,0.001248,0.000384,1.227058
0.416529,0.759871,0.002528,0.001088,0.000352,1.186576
0.421265,0.802209,0.003296,0.001440,0.000352,1.235986
0.416433,0.773471,0.002464,0.001120,0.000384,1.201040
0.420690,0.776383,0.002656,0.001152,0.000352,1.209073
0.419985,0.789312,0.003680,0.001280,0.000385,1.221586
0.417040,0.774655,0.002336,0.001024,0.000352,1.201264
0.416177,0.758463,0.003200,0.001184,0.000384,1.186512
0.416913,0.798881,0.002560,0.001184,0.000384,1.225266
0.415889,0.758495,0.002784,0.001152,0.000384,1.185456
0.421426,0.773183,0.002432,0.001024,0.000384,1.204145
0.436081,0.774239,0.002400,0.001280,0.000384,1.220753
0.417105,0.762367,0.003264,0.001216,0.000352,1.191824
0.420209,0.759870,0.002176,0.001057,0.000352,1.190097
0.434610,0.784480,0.003392,0.001568,0.000416,1.232274
0.415697,0.780512,0.002400,0.001120,0.000384,1.206865
0.416560,0.821729,0.003456,0.001472,0.000384,1.251538
0.415888,0.804096,0.003616,0.000992,0.000320,1.231601
0.416145,0.758335,0.003200,0.001280,0.000384,1.185808
0.417169,0.801568,0.003616,0.001408,0.000384,1.231250
0.416048,0.777631,0.003456,0.001056,0.000384,1.204336
0.417553,0.767359,0.003328,0.001248,0.000384,1.196496
0.434866,0.761695,0.002528,0.001024,0.000384,1.207889
0.418192,0.815489,0.004160,0.002464,0.000576,1.249842
0.421009,0.778911,0.002784,0.002016,0.000384,1.213745
0.425489,0.867235,0.004065,0.003360,0.000576,1.313109
0.417393,0.776575,0.003072,0.001632,0.000640,1.206865
0.421777,0.782688,0.002624,0.001088,0.000416,1.214801
0.415985,0.760863,0.003072,0.001408,0.000384,1.188080
0.420466,0.782463,0.002625,0.001088,0.000384,1.213778
0.437073,0.762335,0.002752,0.001088,0.000320,1.209745
0.420657,0.765599,0.002560,0.001056,0.000352,1.197360
0.420881,0.766527,0.002432,0.001249,0.000320,1.198449
0.421137,0.775295,0.002496,0.001216,0.000352,1.207473
0.416721,0.791776,0.003713,0.001216,0.000576,1.222002
0.417809,0.863843,0.002464,0.001088,0.000352,1.292308
0.416817,0.787328,0.003296,0.001216,0.000352,1.216657
0.416241,0.770688,0.002752,0.001088,0.000288,1.197777
0.416657,0.795520,0.002720,0.001376,0.000352,1.224114
0.420753,0.779520,0.002816,0.001216,0.000384,1.211665
0.421329,0.786688,0.002688,0.001536,0.000384,1.219249
0.434545,0.790464,0.002465,0.001280,0.000320,1.235890
0.421169,0.783264,0.002656,0.001504,0.000384,1.216113
0.420689,0.803009,0.003584,0.001312,0.000416,1.237650
0.420721,0.781952,0.003328,0.001312,0.000608,1.215601
0.416145,0.808193,0.003520,0.001344,0.000576,1.236946
0.420817,0.802560,0.003104,0.001312,0.000640,1.235506
0.421681,0.776191,0.002592,0.001249,0.000576,1.209201
0.419217,0.778879,0.002464,0.001248,0.000576,1.209521
0.437554,0.782176,0.003424,0.001312,0.000640,1.232274
0.417200,0.768287,0.002688,0.001536,0.000416,1.197393
0.420273,0.780544,0.003360,0.001280,0.000352,1.213457
0.421073,0.784672,0.002400,0.001536,0.000352,1.217393
0.416721,0.782111,0.002625,0.001280,0.000352,1.211313
0.421457,0.801025,0.003168,0.001248,0.000352,1.234354
0.420913,0.784416,0.002432,0.001440,0.000320,1.215665
0.415409,0.806976,0.002689,0.001536,0.000320,1.233778
0.420210,0.800640,0.003616,0.001344,0.000416,1.232690
0.420593,0.770111,0.002657,0.001184,0.000352,1.201489
0.420401,0.783904,0.002624,0.001376,0.000352,1.215729
0.433137,0.788512,0.003392,0.001216,0.000352,1.233394
0.416817,0.806177,0.002496,0.001248,0.000352,1.233394
0.416689,0.805505,0.003072,0.001312,0.000384,1.235602
0.423505,0.784544,0.002656,0.001312,0.000576,1.219633
0.416945,0.763167,0.002560,0.001441,0.000320,1.191313
0.421778,0.792800,0.002528,0.001280,0.000352,1.226162
0.421041,0.771231,0.002528,0.001312,0.000320,1.203088
0.419921,0.761503,0.002464,0.001536,0.000384,1.192240
0.440690,0.806465,0.002688,0.001280,0.000384,1.258259
0.420593,0.777120,0.003264,0.001504,0.000352,1.209489
0.420785,0.776095,0.002496,0.001184,0.000352,1.207185
0.420689,0.743870,0.002560,0.001248,0.000352,1.175631
0.421233,0.773599,0.003488,0.001216,0.000384,1.206513
0.420529,0.784384,0.003296,0.001280,0.000384,1.216946
0.416817,0.775072,0.002496,0.001344,0.000352,1.202577
0.420369,0.767839,0.002208,0.001248,0.000352,1.198000
0.420881,0.792064,0.003072,0.001440,0.000384,1.223474
0.420881,0.795168,0.002304,0.000992,0.000320,1.225490
0.420401,0.775967,0.002336,0.000992,0.000384,1.205200
0.440625,0.771680,0.002688,0.001120,0.000416,1.222642
0.416369,0.793857,0.002272,0.001024,0.000352,1.219314
0.415889,0.736766,0.002848,0.001280,0.000384,1.164591
0.450098,0.764799,0.002368,0.001216,0.000320,1.224977
0.419761,0.766239,0.002336,0.001248,0.000320,1.197425
0.421297,0.811169,0.002880,0.001344,0.000384,1.243634
0.425073,0.774399,0.002496,0.001088,0.000352,1.210321
0.420017,0.773023,0.002400,0.000992,0.000352,1.201936
0.417905,0.800064,0.002880,0.001024,0.000384,1.228914
0.419857,0.752574,0.002208,0.001056,0.000352,1.181776
0.415953,0.792352,0.002912,0.001120,0.000384,1.218513
0.419889,0.821089,0.002848,0.001056,0.000352,1.251090
0.420497,0.770720,0.002464,0.001344,0.000352,1.202001
0.416337,0.768415,0.002176,0.000896,0.000288,1.194032
0.433361,0.803521,0.003008,0.001152,0.000384,1.249074
0.416593,0.774431,0.002208,0.001216,0.000416,1.200912
0.417456,0.817409,0.002912,0.001184,0.000384,1.245682
0.416336,0.752959,0.002272,0.001152,0.000384,1.178799
0.420690,0.745150,0.002080,0.001120,0.000352,1.175376
0.416017,0.793536,0.002720,0.001152,0.000352,1.219441
0.415537,0.760735,0.002336,0.001120,0.000288,1.185520
0.415792,0.752415,0.002336,0.001056,0.000384,1.177167
0.421361,0.799585,0.002848,0.001152,0.000416,1.231762
0.420945,0.773919,0.002208,0.001344,0.000352,1.204912
0.421745,0.764767,0.002944,0.001280,0.000576,1.198672
0.434610,0.769183,0.003105,0.001280,0.000416,1.215186
0.418129,0.773951,0.002240,0.001344,0.000352,1.202608
0.420433,0.798848,0.002528,0.001056,0.000384,1.229330
0.419089,0.746015,0.003328,0.001280,0.000352,1.175728
0.416145,0.749342,0.002304,0.000992,0.000384,1.174703
0.416401,0.795424,0.003073,0.000992,0.000320,1.221138
0.416209,0.776959,0.002017,0.001088,0.000352,1.201713
0.416241,0.799937,0.002432,0.001184,0.000352,1.226418
0.416049,0.811169,0.002432,0.001120,0.000320,1.237298
0.416305,0.760927,0.002624,0.001024,0.000384,1.189712
0.415153,0.777376,0.002432,0.001120,0.000352,1.202225
0.434034,0.763071,0.002336,0.000960,0.000352,1.206737
0.415473,0.795136,0.002496,0.001120,0.000320,1.220529
0.416945,0.737374,0.002400,0.001248,0.000352,1.163599
0.416529,0.762047,0.002240,0.001088,0.000352,1.188624
0.416177,0.754622,0.002400,0.000992,0.000352,1.180208
0.416305,0.797568,0.003648,0.001184,0.000384,1.224977
0.416560,0.763551,0.002688,0.001248,0.000384,1.191152
0.417489,0.761151,0.002560,0.001248,0.000416,1.190000
0.416561,0.841762,0.002880,0.001248,0.000416,1.270931
0.417201,0.781408,0.002400,0.001568,0.000384,1.210289
0.416304,0.784095,0.002528,0.001472,0.000320,1.211665
0.434962,0.815073,0.002880,0.001312,0.000352,1.261555
0.421361,0.781568,0.002592,0.001504,0.000352,1.214321
0.420305,0.782143,0.002625,0.001280,0.000352,1.213457
0.421361,0.785216,0.002592,0.001472,0.000384,1.218033
0.420817,0.780576,0.002624,0.001216,0.000288,1.212689
0.420113,0.802112,0.003424,0.001248,0.000320,1.234866
0.420753,0.778591,0.003360,0.001312,0.000352,1.211729
0.420881,0.782559,0.003457,0.001312,0.000352,1.216113
0.421393,0.847842,0.003488,0.001344,0.000384,1.281428
0.420401,0.764799,0.002817,0.001216,0.000352,1.196177
0.419953,0.776063,0.002624,0.001184,0.000384,1.207185
0.439506,0.781568,0.003072,0.001248,0.000352,1.232882
0.416657,0.777343,0.002944,0.001472,0.000352,1.205777
0.415825,0.809761,0.002816,0.001216,0.000416,1.236562
0.420849,0.758494,0.003360,0.001408,0.000416,1.191377
0.416529,0.770655,0.002656,0.001248,0.000384,1.199088
0.416657,0.808193,0.002976,0.001600,0.000384,1.237714
0.417201,0.764447,0.002912,0.001280,0.000384,1.193296
0.415185,0.778463,0.002528,0.001184,0.000320,1.204273
0.434002,0.819297,0.003328,0.001312,0.000416,1.265267
0.416049,0.781536,0.003232,0.001472,0.000384,1.209489
0.416753,0.783903,0.003585,0.001312,0.000352,1.212945
0.418193,0.781247,0.002625,0.001472,0.000352,1.210705
0.416912,0.781343,0.002528,0.001504,0.000352,1.209616
0.417233,0.776640,0.002976,0.001312,0.000352,1.205937
0.416145,0.812833,0.002304,0.001505,0.000384,1.240691
0.420593,0.790944,0.002784,0.001248,0.000576,1.223826
0.420465,0.799585,0.003040,0.001280,0.000384,1.232114
0.422193,0.768063,0.002656,0.001216,0.000352,1.201681
0.417073,0.768095,0.002720,0.001280,0.000352,1.196176
0.434577,0.777983,0.002496,0.001280,0.000384,1.223505
0.420241,0.780959,0.002528,0.001216,0.000352,1.212017
0.420561,0.796608,0.003009,0.001280,0.000384,1.228786
0.420337,0.780511,0.002464,0.001280,0.000352,1.211761
0.415921,0.772352,0.002848,0.001312,0.000352,1.200273
0.419921,0.803265,0.003424,0.001312,0.000384,1.235602
0.421361,0.786688,0.003392,0.001249,0.000608,1.221426
0.419921,0.833474,0.003072,0.001760,0.000640,1.268083
0.438322,0.794496,0.002752,0.001568,0.000352,1.245074
0.416400,0.773791,0.002400,0.001440,0.000384,1.201328
0.421329,0.768799,0.003041,0.001344,0.000416,1.201969
0.421201,0.778368,0.003232,0.001504,0.000608,1.211377
0.420497,0.772352,0.003328,0.001568,0.000384,1.204305
0.416529,0.793344,0.003329,0.001536,0.000384,1.222994
0.420465,0.777279,0.003009,0.001536,0.000384,1.210609
0.416497,0.754303,0.002464,0.001120,0.000384,1.180432
0.419473,0.801792,0.003136,0.001312,0.000352,1.232914
0.416273,0.790752,0.002688,0.000992,0.000320,1.217393
0.416305,0.791968,0.003648,0.001088,0.000320,1.219409
0.429842,0.759103,0.003584,0.001056,0.000384,1.200177
0.420113,0.773343,0.002528,0.001280,0.000352,1.204529
0.420465,0.772256,0.003264,0.001568,0.000352,1.204945
0.415569,0.782816,0.002976,0.001312,0.000384,1.209777
0.420433,0.782432,0.002848,0.001312,0.000352,1.214193
0.422929,0.841282,0.004769,0.001632,0.000672,1.280180
0.422705,0.835522,0.004032,0.003041,0.000608,1.275924
0.419505,0.794176,0.003424,0.001824,0.000352,1.230130
0.437298,0.781568,0.002944,0.001088,0.000384,1.231026
0.418577,0.772512,0.002656,0.001152,0.000416,1.201169
0.421073,0.792384,0.002657,0.001024,0.000384,1.223250
0.416017,0.789632,0.002400,0.001056,0.000384,1.215761
0.420849,0.773568,0.003328,0.001216,0.000384,1.204817
0.420177,0.794624,0.003360,0.001184,0.000672,1.227122
0.421201,0.801568,0.002560,0.001024,0.000352,1.232594
0.420465,0.766687,0.002688,0.001152,0.000384,1.198128
0.421329,0.787008,0.002624,0.001120,0.000352,1.218769
0.416625,0.768575,0.002496,0.001120,0.000352,1.195761
0.417073,0.760606,0.002433,0.000992,0.000320,1.187152
0.439058,0.763647,0.002368,0.000992,0.000320,1.212273
0.420721,0.761278,0.002304,0.001216,0.000352,1.191792
0.420305,0.771743,0.002305,0.000960,0.000320,1.201361
0.417361,0.766015,0.002624,0.001056,0.000384,1.193168
0.416208,0.765791,0.002337,0.000992,0.000384,1.191281
0.420145,0.817986,0.002496,0.001024,0.000320,1.247635
0.420529,0.759871,0.002592,0.001024,0.000352,1.191728
0.421041,0.780800,0.002432,0.000960,0.000640,1.213873
0.439762,0.765887,0.002560,0.001280,0.000384,1.215761
0.415441,0.785183,0.002400,0.001280,0.000352,1.210897
0.417073,0.777600,0.002368,0.000992,0.000352,1.203793
0.417425,0.765375,0.002208,0.000992,0.000352,1.191825
0.415696,0.762142,0.002337,0.001216,0.000352,1.187600
0.418385,0.778687,0.002464,0.000992,0.000320,1.206737
0.417905,0.771711,0.002336,0.001216,0.000352,1.199472
0.415633,0.768607,0.002560,0.001184,0.000352,1.193393
0.420881,0.784287,0.002400,0.001184,0.000384,1.218993
0.422353,0.770335,0.002752,0.001248,0.000320,1.205712
0.421169,0.773440,0.002464,0.001152,0.000352,1.205617
0.421201,0.779136,0.002432,0.001152,0.000352,1.210801
0.420721,0.777887,0.002880,0.001441,0.000352,1.210769
0.417873,0.782176,0.003264,0.001248,0.000384,1.212497
0.439825,0.789504,0.002688,0.001120,0.000416,1.240754
0.415953,0.758975,0.002656,0.001376,0.000352,1.186384
0.415985,0.836994,0.002688,0.001088,0.000320,1.264019
0.421746,0.779519,0.002848,0.000864,0.000352,1.212978
0.421073,0.796544,0.003456,0.001312,0.000608,1.231794
0.416849,0.816161,0.002720,0.001440,0.000352,1.245202
0.416784,0.774783,0.002656,0.001120,0.000416,1.203280
0.416241,0.770431,0.002560,0.001056,0.000352,1.197712
0.429937,0.796897,0.002432,0.001088,0.000352,1.238578
0.416113,0.768895,0.002464,0.001088,0.000352,1.195696
0.416049,0.802336,0.002432,0.001088,0.000352,1.229042
0.420977,0.810497,0.002560,0.001184,0.000352,1.242674
0.420721,0.777951,0.002688,0.001344,0.000320,1.210385
0.421361,0.816865,0.002849,0.001120,0.000384,1.249939
0.421105,0.779007,0.002528,0.001057,0.000416,1.211121
0.417040,0.773087,0.002784,0.001408,0.000320,1.203120
0.416689,0.801408,0.002592,0.001121,0.000416,1.229330
0.421137,0.771039,0.002560,0.001088,0.000384,1.203728
0.421969,0.779680,0.002944,0.001408,0.000640,1.214641
0.434866,0.812097,0.002496,0.000960,0.000576,1.257811
0.417008,0.773343,0.002432,0.001056,0.000384,1.201072
0.418961,0.790176,0.002464,0.001057,0.000384,1.220050
0.416465,0.776992,0.002432,0.001088,0.000352,1.203793
0.422001,0.790624,0.002496,0.001217,0.000352,1.224050
0.421393,0.819873,0.003232,0.001280,0.000352,1.253106
0.421265,0.785728,0.002720,0.001280,0.000384,1.220113
0.421137,0.823457,0.002657,0.001088,0.000288,1.255859
0.439730,0.783744,0.002368,0.001120,0.000416,1.234002
0.422481,0.773343,0.003008,0.001184,0.000352,1.207217
0.421777,0.789376,0.003168,0.001120,0.000608,1.223377
0.416817,0.770912,0.002592,0.001120,0.000384,1.199281
0.421841,0.782816,0.002272,0.001344,0.000576,1.215729
0.421457,0.788863,0.002464,0.001120,0.000640,1.221810
0.418481,0.782912,0.002496,0.001408,0.000608,1.213553
0.417841,0.773119,0.002656,0.001120,0.000352,1.202416
0.416977,0.812321,0.003360,0.001216,0.000608,1.242674
0.417041,0.782175,0.002784,0.001153,0.000320,1.210193
0.418417,0.786048,0.002496,0.001024,0.000352,1.215473
0.435185,0.810593,0.002720,0.000992,0.000352,1.256178
0.415953,0.779648,0.003328,0.001120,0.000352,1.207153
0.417488,0.811936,0.022465,0.001376,0.000384,1.261299
0.417937,0.804737,0.002496,0.001184,0.000352,1.233714
0.417873,0.770527,0.002624,0.001153,0.000384,1.200081
0.417713,0.840034,0.003776,0.001184,0.000320,1.271795
0.415952,0.775424,0.002592,0.001504,0.000320,1.202864
0.416913,0.783328,0.002528,0.001120,0.000384,1.211793
0.435890,0.786688,0.002784,0.001184,0.000384,1.234162
0.417617,0.775488,0.002560,0.000992,0.000352,1.204337
0.417457,0.773823,0.002337,0.001120,0.000384,1.202161
0.421169,0.780703,0.002561,0.001056,0.000352,1.212305
0.416592,0.779871,0.002848,0.001088,0.000320,1.207408
0.420882,0.810944,0.003681,0.001184,0.000416,1.244115
0.421393,0.782784,0.002656,0.001056,0.000352,1.215761
0.421009,0.775968,0.002656,0.001120,0.000384,1.207153
0.422353,0.858595,0.003392,0.001152,0.000352,1.294068
0.420497,0.769759,0.002496,0.000992,0.000352,1.201649
0.421937,0.787008,0.002848,0.001024,0.000384,1.219697
0.439666,0.776288,0.002656,0.000992,0.000320,1.226898
0.422001,0.785760,0.002688,0.001120,0.000352,1.218673
0.422673,0.777408,0.002560,0.000992,0.000608,1.211505
0.416593,0.822786,0.002560,0.000960,0.000352,1.249555
0.417777,0.803776,0.002528,0.001024,0.000352,1.231025
0.421137,0.783871,0.002561,0.001152,0.000384,1.215857
0.418001,0.777919,0.003233,0.001088,0.000384,1.207409
0.421713,0.788352,0.002688,0.001184,0.000576,1.222162
0.433169,0.776800,0.003584,0.001248,0.000416,1.222257
0.417009,0.778432,0.002528,0.001088,0.000320,1.205969
0.417553,0.769311,0.002560,0.001024,0.000352,1.197137
0.434994,0.766399,0.002528,0.001088,0.000352,1.211633
0.418065,0.795168,0.002560,0.001248,0.000352,1.224882
0.420625,0.778560,0.003488,0.001056,0.000288,1.211505
0.417233,0.766559,0.002496,0.001057,0.000352,1.194321
0.421137,0.815521,0.002656,0.001120,0.000320,1.248307
0.422513,0.789567,0.002688,0.001184,0.000320,1.223922
0.417329,0.772383,0.002657,0.001120,0.000384,1.201233
0.418993,0.769439,0.002592,0.001024,0.000384,1.199409
0.434610,0.773919,0.002976,0.001184,0.000320,1.219441
0.416721,0.782016,0.003264,0.001184,0.000320,1.210577
0.418193,0.759039,0.002432,0.001088,0.000320,1.187664
0.429809,0.779840,0.002624,0.001152,0.000352,1.219665
0.416913,0.806625,0.002688,0.001280,0.000352,1.234066
0.417809,0.791552,0.003136,0.001184,0.000352,1.220593
0.417777,0.808481,0.002720,0.001056,0.000384,1.237394
0.416721,0.806816,0.002625,0.001024,0.000416,1.233618
0.416817,0.796192,0.002624,0.001248,0.000416,1.224945
0.417265,0.771999,0.003296,0.001152,0.000672,1.201809
0.417233,0.786208,0.003232,0.001120,0.000385,1.214930
0.437585,0.785023,0.002496,0.001089,0.000576,1.234002
0.417200,0.774719,0.002688,0.001024,0.000320,1.202480
0.418225,0.809889,0.003648,0.001216,0.000384,1.240050
0.420945,0.771647,0.002624,0.001088,0.000352,1.203408
0.421841,0.777343,0.002656,0.001088,0.000608,1.210769
0.417585,0.832578,0.002752,0.001024,0.000640,1.262675
0.420817,0.788192,0.002528,0.001184,0.000352,1.221137
0.417297,0.787360,0.003552,0.001120,0.000416,1.217393
0.417201,0.803552,0.002560,0.001056,0.000320,1.231697
0.416785,0.778143,0.002624,0.001152,0.000320,1.205457
0.417297,0.776255,0.003296,0.001248,0.000352,1.205201
0.434801,0.770624,0.002464,0.001152,0.000352,1.216049
0.416881,0.780416,0.002528,0.001120,0.000320,1.207761
0.421617,0.760351,0.002592,0.001024,0.000352,1.192624
0.421009,0.778975,0.002432,0.000992,0.000352,1.210256
0.421265,0.796864,0.002592,0.001153,0.000384,1.229970
0.421585,0.830402,0.002848,0.001120,0.000352,1.262995
0.417552,0.766943,0.002752,0.001184,0.000384,1.196240
0.418769,0.785728,0.003200,0.001120,0.000352,1.216369
0.416848,0.849186,0.003552,0.001024,0.000384,1.278227
0.417969,0.777343,0.002656,0.001024,0.000352,1.206833
0.415889,0.770783,0.002592,0.001056,0.000320,1.197936
0.436497,0.766463,0.003712,0.001216,0.000448,1.217649
0.416657,0.782207,0.003200,0.001121,0.000320,1.210705
0.417233,0.780735,0.003328,0.001121,0.000416,1.209969
0.416529,0.769631,0.003488,0.001152,0.000608,1.198704
0.416817,0.784864,0.002528,0.001184,0.000320,1.212401
0.421073,0.812993,0.003392,0.001408,0.000448,1.248562
0.422161,0.786912,0.002592,0.001216,0.000416,1.220177
0.423569,0.781216,0.002688,0.001440,0.000320,1.215281
0.442546,0.789536,0.003072,0.001504,0.000384,1.244914
0.417521,0.776159,0.002945,0.001248,0.000352,1.204497
0.421585,0.784800,0.002560,0.001344,0.000352,1.217905
0.417073,0.784096,0.002752,0.001248,0.000384,1.212433
0.421937,0.783104,0.002688,0.001248,0.000320,1.215889
0.422033,0.812609,0.003520,0.001344,0.000384,1.248018
0.421874,0.770975,0.002784,0.001312,0.000384,1.204625
0.421137,0.823873,0.002720,0.001312,0.000608,1.257074
0.421458,0.805600,0.002848,0.001344,0.000577,1.238931
0.421265,0.778047,0.003552,0.001312,0.000416,1.210833
0.420177,0.810305,0.002720,0.001472,0.000576,1.242194
0.437970,0.785056,0.002752,0.001088,0.000576,1.235026
0.420337,0.785439,0.002752,0.001184,0.000576,1.216977
0.420913,0.843746,0.002816,0.001280,0.000384,1.276019
0.419953,0.784416,0.002784,0.001440,0.000576,1.216369
0.416593,0.793824,0.002400,0.001312,0.000384,1.221873
0.421329,0.833026,0.002624,0.001344,0.000640,1.267091
0.421393,0.778368,0.002720,0.001536,0.000384,1.210961
0.421873,0.783456,0.002624,0.001152,0.000576,1.217137
0.436977,0.767519,0.002657,0.001216,0.000352,1.215729
0.421649,0.769439,0.002720,0.001280,0.000384,1.202416
0.421649,0.774464,0.002592,0.001248,0.000384,1.206897
0.421393,0.787136,0.003520,0.001408,0.000416,1.220881
0.420529,0.788768,0.003456,0.001216,0.000576,1.221073
0.421329,0.820289,0.002688,0.001216,0.000608,1.252818
0.417105,0.780512,0.002816,0.001440,0.000416,1.209553
0.416465,0.772416,0.002784,0.001280,0.000448,1.201105
0.421809,0.803969,0.005824,0.001408,0.000352,1.240658
0.421393,0.768959,0.002817,0.001120,0.000320,1.201489
0.420625,0.787584,0.002656,0.000993,0.000352,1.219154
0.437585,0.786912,0.002752,0.001473,0.000320,1.235762
0.420561,0.779136,0.002816,0.001440,0.000352,1.210801
0.421777,0.835426,0.002624,0.001184,0.000384,1.267955
0.422577,0.784608,0.002528,0.001280,0.000352,1.217265
0.421777,0.792192,0.002880,0.001536,0.000352,1.226033
0.416913,0.805921,0.002880,0.001376,0.000576,1.235442
0.421009,0.772543,0.002688,0.001312,0.000384,1.206609
0.421137,0.789472,0.002848,0.001536,0.000608,1.223282
0.440465,0.794048,0.002560,0.001184,0.000352,1.245138
0.421745,0.781599,0.002656,0.001280,0.000320,1.215121
0.418193,0.837281,0.002977,0.001344,0.000416,1.267316
0.417905,0.768159,0.002816,0.001472,0.000352,1.197777
0.417617,0.776352,0.002528,0.001472,0.000384,1.204561
0.417457,0.801248,0.002880,0.001216,0.000352,1.230130
0.420145,0.767359,0.002721,0.001280,0.000384,1.199921
0.420433,0.821890,0.002496,0.001216,0.000576,1.253491
0.441298,0.778976,0.002656,0.001280,0.000608,1.233586
0.421201,0.784576,0.002592,0.001344,0.000352,1.217105
0.420721,0.815809,0.002592,0.001344,0.000640,1.248690
0.421297,0.783200,0.002624,0.001344,0.000352,1.216145
0.416913,0.778880,0.002752,0.001504,0.000576,1.207313
0.421073,0.806080,0.002689,0.001248,0.000320,1.238162
0.420817,0.785152,0.002688,0.001248,0.000640,1.216593
0.422769,0.785312,0.002752,0.001504,0.000576,1.219921
0.421681,0.766911,0.003712,0.001568,0.000608,1.202320
0.421553,0.805217,0.003072,0.001280,0.000416,1.238546
0.421457,0.769631,0.002656,0.001312,0.000672,1.203441
0.433490,0.788736,0.002912,0.001504,0.000384,1.233874
0.421169,0.783008,0.002560,0.001248,0.000640,1.215729
0.421233,0.794944,0.002689,0.001280,0.000384,1.227282
0.421041,0.774656,0.002656,0.001216,0.000352,1.206353
0.420849,0.818785,0.002592,0.001568,0.000448,1.251026
0.420625,0.779328,0.003552,0.001312,0.000416,1.212209
0.421041,0.780192,0.002880,0.001312,0.000608,1.212721
0.420561,0.774975,0.002720,0.001408,0.000576,1.206608
0.452306,0.786527,0.003585,0.001344,0.000608,1.251379
0.420817,0.790144,0.002656,0.001280,0.000352,1.222994
0.420721,0.766783,0.002528,0.001280,0.000416,1.197872
0.416465,0.767199,0.003201,0.001312,0.000672,1.195473
0.422257,0.784224,0.003296,0.001504,0.000640,1.218737
0.420145,0.804192,0.002592,0.001312,0.000352,1.235602
0.421233,0.808960,0.003521,0.001216,0.000416,1.242066
0.420785,0.784191,0.003392,0.001216,0.000384,1.216881
0.416657,0.811937,0.003808,0.001184,0.000385,1.241011
0.420913,0.776383,0.002784,0.001184,0.000320,1.208913
0.416625,0.780927,0.003585,0.001472,0.000352,1.210513
0.437138,0.792640,0.004192,0.001216,0.000416,1.243954
0.421073,0.786464,0.002560,0.001504,0.000352,1.218865
0.422065,0.799456,0.002816,0.001217,0.000352,1.233074
0.420945,0.788639,0.002561,0.001376,0.000320,1.221394
0.421137,0.778624,0.002752,0.001184,0.000352,1.210801
0.420913,0.837986,0.003744,0.001024,0.000320,1.271123
0.420881,0.813825,0.002656,0.001120,0.000352,1.245362
0.421457,0.811329,0.003520,0.001472,0.000352,1.245202
0.440785,0.777823,0.002848,0.001120,0.000352,1.230801
0.421873,0.790496,0.002752,0.001120,0.000416,1.223601
0.420913,0.835618,0.002688,0.001344,0.000608,1.269075
0.422673,0.814209,0.002496,0.001376,0.000352,1.248402
0.420881,0.783007,0.002688,0.001248,0.000352,1.214545
0.422417,0.834978,0.002720,0.001088,0.000384,1.268243
0.417841,0.771839,0.002592,0.001216,0.000352,1.200688
0.421521,0.784063,0.002592,0.001184,0.000384,1.216306
