Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-9],Layer[10],classifier
0.416400,0.017345,0.202408,0.005024,0.064899,0.212616,0.000704,0.925828
0.417904,0.017697,0.203400,0.004992,0.047810,0.189863,0.000609,0.888739
0.420465,0.017504,0.202728,0.004801,0.047489,0.184295,0.000576,0.884131
0.417361,0.017345,0.202375,0.004865,0.047266,0.189991,0.000544,0.885155
0.461586,0.018337,0.205416,0.005280,0.050082,0.261802,0.001216,1.013799
0.421232,0.017665,0.203304,0.005056,0.049602,0.213961,0.000960,0.918948
0.417904,0.017728,0.203656,0.005056,0.049378,0.215817,0.001248,0.918500
0.415184,0.017601,0.223496,0.005312,0.048994,0.206888,0.000800,0.925508
0.420016,0.017761,0.202792,0.005024,0.048194,0.196296,0.000576,0.897187
0.420400,0.017313,0.202344,0.005280,0.048258,0.195560,0.000576,0.896419
0.420496,0.017601,0.202088,0.005216,0.047970,0.200200,0.000704,0.901251
0.421040,0.017569,0.202664,0.005024,0.048034,0.196648,0.000608,0.897763
0.417681,0.017888,0.202952,0.005313,0.048065,0.192520,0.000608,0.891235
0.416144,0.017697,0.202856,0.005184,0.047682,0.198344,0.000736,0.895747
0.417168,0.017792,0.233609,0.005537,0.048002,0.194311,0.000640,0.924004
0.416240,0.017313,0.202408,0.005312,0.048002,0.198600,0.000736,0.895683
0.417617,0.017537,0.201960,0.005056,0.048930,0.198055,0.000705,0.896164
0.417233,0.017568,0.202152,0.005217,0.048546,0.235305,0.000640,0.932325
0.415568,0.017601,0.202344,0.005088,0.047618,0.193511,0.000640,0.889026
0.416496,0.017665,0.201864,0.005056,0.048578,0.198343,0.000608,0.895171
0.415440,0.017409,0.201927,0.005281,0.048258,0.190983,0.000576,0.885730
0.417104,0.017505,0.221192,0.005409,0.049185,0.199816,0.000736,0.917411
0.417232,0.017569,0.202760,0.005056,0.048578,0.200200,0.000672,0.898275
0.420304,0.017440,0.202120,0.004992,0.048290,0.189544,0.000576,0.889763
0.421840,0.017313,0.202792,0.004992,0.047778,0.201384,0.000704,0.903619
0.421232,0.017505,0.202152,0.005056,0.048290,0.198856,0.000576,0.900355
0.419888,0.017729,0.202088,0.004832,0.047394,0.192839,0.000640,0.891202
0.417648,0.017633,0.202120,0.005248,0.048130,0.196840,0.000640,0.894051
0.418992,0.017857,0.222504,0.005345,0.047650,0.191015,0.000576,0.911395
0.422865,0.017665,0.202823,0.005281,0.048290,0.199911,0.000833,0.904996
0.421616,0.017633,0.202760,0.005248,0.048482,0.204360,0.000576,0.906307
0.420528,0.017569,0.202792,0.005216,0.048290,0.198632,0.000576,0.899683
0.415216,0.017569,0.202632,0.005024,0.048802,0.186183,0.000544,0.882018
0.420048,0.017793,0.202824,0.005056,0.048482,0.200392,0.000608,0.901859
0.423888,0.017537,0.202888,0.005312,0.048226,0.200712,0.000576,0.905955
0.415920,0.017665,0.222921,0.005344,0.048226,0.206216,0.000672,0.923652
0.416240,0.017857,0.202088,0.005280,0.048450,0.192391,0.000576,0.888738
0.420496,0.017472,0.202216,0.005056,0.047554,0.189096,0.000576,0.888931
0.417584,0.017761,0.202952,0.005184,0.048994,0.186823,0.000608,0.886883
0.421201,0.017632,0.202120,0.005057,0.047873,0.199400,0.000672,0.900739
0.416273,0.017376,0.202664,0.004769,0.048322,0.195783,0.000640,0.891779
0.420624,0.017473,0.203080,0.004832,0.049250,0.187816,0.000544,0.890019
0.420145,0.017696,0.220457,0.005280,0.048290,0.192296,0.000704,0.912164
0.421457,0.017472,0.202696,0.005088,0.047521,0.193000,0.000608,0.894659
0.420464,0.017696,0.202344,0.005024,0.047842,0.201512,0.000544,0.902435
0.421200,0.017761,0.202728,0.005024,0.049090,0.204328,0.000544,0.907971
0.423568,0.017825,0.202440,0.004864,0.048450,0.200776,0.000608,0.905059
0.418384,0.017633,0.202568,0.005088,0.048610,0.202792,0.000544,0.902115
0.419633,0.017601,0.204392,0.005248,0.049474,0.198952,0.000576,0.903268
0.421072,0.017633,0.220744,0.005152,0.048994,0.203080,0.000608,0.924420
0.417008,0.017601,0.203624,0.004800,0.048706,0.201448,0.000544,0.899875
0.419121,0.017760,0.202568,0.005025,0.047809,0.195783,0.000576,0.895459
0.418160,0.017729,0.202760,0.005024,0.049218,0.198120,0.000608,0.897827
0.416977,0.017761,0.202824,0.005120,0.048034,0.214824,0.000608,0.912996
0.416752,0.017857,0.202344,0.005024,0.048738,0.207880,0.000640,0.906339
0.421937,0.017760,0.202728,0.004993,0.048705,0.200392,0.000640,0.903779
0.423089,0.034049,0.202568,0.005056,0.048641,0.212777,0.000640,0.934021
0.419121,0.017696,0.201863,0.005057,0.050562,0.210600,0.000576,0.911940
0.415824,0.017633,0.202632,0.005312,0.048034,0.205704,0.000640,0.903043
0.418064,0.017729,0.202664,0.004992,0.048674,0.199688,0.000608,0.898659
0.417425,0.017600,0.203048,0.004832,0.049602,0.193864,0.000544,0.893091
0.416432,0.017729,0.202120,0.004864,0.049218,0.194600,0.000576,0.892035
0.417649,0.017313,0.202343,0.005120,0.050050,0.192679,0.000672,0.891651
0.433009,0.017665,0.202888,0.005408,0.049314,0.202504,0.000608,0.918468
0.421393,0.017505,0.202824,0.005088,0.048770,0.198088,0.000576,0.901028
0.415792,0.017569,0.202248,0.005312,0.048258,0.190631,0.000576,0.886978
0.422704,0.017601,0.202408,0.005024,0.048194,0.196392,0.000576,0.899235
0.420817,0.017408,0.202216,0.005312,0.048865,0.209641,0.000608,0.911108
0.417680,0.017633,0.203688,0.005088,0.049986,0.195720,0.000608,0.897059
0.417296,0.017569,0.203048,0.005056,0.048962,0.187271,0.000576,0.886210
0.438833,0.017665,0.202184,0.004864,0.048706,0.211592,0.000576,0.930917
0.416784,0.017857,0.202312,0.004928,0.049186,0.194600,0.000512,0.892547
0.419888,0.017441,0.203432,0.005024,0.048290,0.199400,0.000672,0.900131
0.420081,0.017793,0.202503,0.004961,0.049666,0.200616,0.000576,0.902308
0.421072,0.017633,0.202568,0.004992,0.048738,0.202632,0.000640,0.904707
0.416816,0.017569,0.202568,0.004992,0.048130,0.199208,0.000576,0.896547
0.423184,0.017536,0.203016,0.004992,0.049282,0.196712,0.000608,0.901411
0.437393,0.017312,0.203112,0.004961,0.049122,0.202855,0.000608,0.921892
0.420497,0.017601,0.204072,0.005248,0.048034,0.197000,0.000608,0.900292
0.417745,0.017473,0.202727,0.005056,0.050754,0.190375,0.000640,0.891139
0.417648,0.017665,0.203080,0.005280,0.049538,0.213160,0.000736,0.913443
0.417136,0.017728,0.202568,0.005088,0.048386,0.203880,0.000640,0.901923
0.417553,0.017536,0.203400,0.004993,0.048193,0.202664,0.000673,0.901476
0.417489,0.017568,0.202632,0.005025,0.049154,0.203912,0.000672,0.902692
0.435697,0.017761,0.203496,0.005216,0.050562,0.198408,0.000704,0.919428
0.422224,0.017537,0.202568,0.005280,0.048098,0.206376,0.000736,0.911363
0.416625,0.017536,0.202568,0.005089,0.048545,0.197992,0.000640,0.894979
0.417840,0.017665,0.202856,0.004832,0.048482,0.220937,0.000576,0.919940
0.416145,0.017761,0.202119,0.005249,0.048322,0.196551,0.000576,0.893955
0.417649,0.017760,0.202024,0.005057,0.048801,0.197288,0.000640,0.895747
0.422384,0.017376,0.202504,0.004992,0.047554,0.191976,0.000608,0.893987
0.434161,0.017632,0.202184,0.004768,0.048641,0.204328,0.000577,0.919332
0.417680,0.017537,0.202440,0.005024,0.048450,0.206024,0.000544,0.904515
0.418064,0.017569,0.202792,0.005056,0.048290,0.209960,0.000640,0.909571
0.418608,0.017505,0.202632,0.005056,0.048994,0.224073,0.000800,0.925508
0.422449,0.017761,0.202472,0.005120,0.049090,0.194951,0.000608,0.899012
0.417232,0.017697,0.204936,0.005248,0.048610,0.194216,0.000640,0.895779
0.421361,0.017504,0.202440,0.004801,0.049601,0.209288,0.000608,0.911940
0.435441,0.017921,0.203624,0.005056,0.048642,0.221705,0.000704,0.941093
0.418512,0.018337,0.202632,0.005344,0.048066,0.211784,0.000641,0.911684
0.417937,0.017504,0.202216,0.005249,0.048481,0.202536,0.000576,0.900708
0.418033,0.017536,0.202119,0.005249,0.064290,0.206568,0.000608,0.921732
0.417616,0.017920,0.202024,0.004992,0.048546,0.197448,0.000704,0.896067
0.419569,0.017633,0.201992,0.005024,0.048898,0.191207,0.000576,0.891523
0.422801,0.017889,0.202056,0.004992,0.049026,0.201640,0.000640,0.906340
0.437778,0.017728,0.201960,0.004993,0.049153,0.199880,0.000608,0.918628
0.417617,0.017505,0.202280,0.005120,0.049122,0.198823,0.000832,0.898244
0.414512,0.017537,0.202503,0.005281,0.048994,0.196167,0.000608,0.892579
0.418832,0.017473,0.219849,0.005152,0.049282,0.198856,0.000832,0.917572
0.421136,0.017697,0.201992,0.004992,0.049090,0.195144,0.000736,0.897155
0.420688,0.017793,0.203720,0.005248,0.048834,0.193928,0.000736,0.897347
0.416400,0.017729,0.202152,0.005088,0.049794,0.198568,0.000608,0.896931
0.417104,0.017633,0.201800,0.005056,0.049058,0.199016,0.000608,0.897763
0.416784,0.017696,0.202696,0.004800,0.049634,0.197224,0.000672,0.895971
0.417232,0.017600,0.202024,0.005120,0.049154,0.200776,0.000576,0.899523
0.420881,0.017569,0.218536,0.005217,0.048865,0.209705,0.000544,0.928549
0.421936,0.017600,0.203976,0.005248,0.049313,0.208553,0.000704,0.913924
0.417488,0.017537,0.202280,0.004768,0.048514,0.210504,0.000704,0.908931
0.416304,0.017568,0.202248,0.005056,0.048802,0.199112,0.000640,0.896227
0.420017,0.017760,0.202120,0.005089,0.047969,0.197448,0.000640,0.897891
0.420241,0.017472,0.202600,0.005024,0.047681,0.198824,0.000608,0.899139
0.420656,0.017536,0.201800,0.005408,0.047586,0.193608,0.000544,0.893667
0.420529,0.017473,0.221672,0.005153,0.048066,0.199175,0.000576,0.919812
0.421104,0.017728,0.202184,0.005312,0.048770,0.200744,0.000640,0.903619
0.416976,0.017569,0.202152,0.005312,0.047906,0.195528,0.000608,0.893443
0.416368,0.017697,0.202312,0.005248,0.048386,0.188999,0.000576,0.886018
0.417616,0.017408,0.202216,0.005280,0.047522,0.199176,0.000864,0.896899
0.422000,0.017696,0.204008,0.005248,0.048898,0.197320,0.000672,0.902467
0.421425,0.017601,0.203048,0.005216,0.047106,0.201064,0.000832,0.903460
0.443505,0.017697,0.202760,0.004832,0.048290,0.203400,0.000608,0.928004
0.417521,0.017280,0.202696,0.004993,0.049089,0.202151,0.000608,0.901316
0.416176,0.017569,0.202824,0.005088,0.048482,0.203048,0.000736,0.900547
0.420657,0.017537,0.202727,0.005025,0.048290,0.215688,0.000608,0.917028
0.420848,0.017537,0.202888,0.005056,0.047490,0.200488,0.000576,0.901475
0.416977,0.017697,0.203016,0.005280,0.048802,0.193415,0.000544,0.892739
0.418961,0.017761,0.204968,0.005280,0.048258,0.209832,0.000832,0.912868
0.437905,0.017665,0.202920,0.004992,0.048834,0.202344,0.000992,0.922852
0.416272,0.017665,0.202728,0.005248,0.048002,0.196200,0.000640,0.894307
0.418640,0.017568,0.203176,0.005056,0.049058,0.204488,0.000576,0.905507
0.421264,0.017601,0.202824,0.004832,0.048066,0.228073,0.000608,0.930212
0.421424,0.017505,0.202504,0.005024,0.047746,0.194792,0.000608,0.896515
0.422609,0.017536,0.202119,0.004801,0.049218,0.196967,0.000544,0.900931
0.421169,0.017761,0.202888,0.004960,0.048450,0.200328,0.000640,0.903268
0.451858,0.017600,0.202472,0.004832,0.048642,0.203752,0.000800,0.938117
0.420208,0.018017,0.202824,0.005280,0.049058,0.208296,0.000768,0.911843
0.420432,0.017632,0.203208,0.005056,0.048770,0.208392,0.000672,0.910948
0.421168,0.017537,0.222793,0.005248,0.049186,0.205960,0.000704,0.930884
0.416656,0.017857,0.202312,0.005056,0.049314,0.203048,0.000608,0.902019
0.415952,0.017537,0.202440,0.005120,0.048130,0.209992,0.000544,0.907139
0.420848,0.017761,0.202888,0.005088,0.048802,0.200744,0.000704,0.903619
0.419953,0.017504,0.202504,0.005057,0.048033,0.198632,0.000608,0.900355
0.415952,0.017505,0.201928,0.005088,0.049922,0.198248,0.000608,0.895235
0.420752,0.017633,0.201896,0.005024,0.049250,0.198216,0.000672,0.902180
0.415408,0.017729,0.222153,0.005184,0.049442,0.210728,0.000736,0.929092
0.420048,0.017537,0.202536,0.005344,0.047746,0.200072,0.000640,0.901443
0.420688,0.017793,0.202120,0.004960,0.047714,0.200840,0.000576,0.901091
0.420465,0.017728,0.202280,0.005057,0.048065,0.199176,0.000736,0.900451
0.417104,0.017537,0.202472,0.005056,0.048226,0.201256,0.000576,0.900483
0.417168,0.017377,0.203528,0.004832,0.047810,0.190344,0.000672,0.888227
0.415984,0.017377,0.201992,0.005088,0.048706,0.185895,0.000704,0.881666
0.416208,0.017281,0.217513,0.004896,0.048514,0.191687,0.000608,0.904323
0.416048,0.017185,0.202024,0.004832,0.047682,0.182375,0.000672,0.876450
0.415441,0.017472,0.201832,0.005025,0.048161,0.182632,0.000768,0.877891
0.415697,0.017312,0.202472,0.004800,0.047202,0.186056,0.000608,0.880611
0.432369,0.017473,0.202024,0.005024,0.048962,0.192263,0.000576,0.905476
0.419856,0.018273,0.202056,0.004992,0.047906,0.203592,0.000608,0.903427
0.416496,0.017409,0.202120,0.004960,0.047842,0.214664,0.000640,0.910403
0.422032,0.017985,0.221865,0.005152,0.047618,0.209928,0.000640,0.932869
0.419824,0.017665,0.202216,0.005024,0.047106,0.188551,0.000576,0.887202
0.422128,0.017825,0.202728,0.005216,0.047426,0.189511,0.000576,0.891202
0.420721,0.017536,0.202056,0.005248,0.047298,0.195912,0.000736,0.896931
0.437714,0.017472,0.203272,0.004833,0.047265,0.199688,0.000576,0.916772
0.421457,0.017537,0.202152,0.005056,0.047362,0.193351,0.000544,0.894019
0.416497,0.017696,0.201960,0.005217,0.048002,0.189351,0.000544,0.885859
0.419857,0.017536,0.202024,0.005281,0.047329,0.209097,0.000576,0.907268
0.420561,0.017536,0.202440,0.005280,0.047778,0.203400,0.000544,0.903715
0.420977,0.017632,0.202087,0.004801,0.047585,0.191271,0.000576,0.890819
0.417200,0.017569,0.202760,0.005248,0.047618,0.192136,0.000640,0.891555
0.436273,0.017473,0.202408,0.004768,0.047650,0.202376,0.000704,0.918724
0.415313,0.017505,0.202087,0.005057,0.048642,0.210600,0.000576,0.905860
0.419505,0.017761,0.202184,0.005056,0.048386,0.185831,0.000608,0.885731
0.421136,0.017569,0.203528,0.005056,0.048738,0.226825,0.000672,0.929892
0.420337,0.017665,0.201960,0.005024,0.048418,0.194791,0.000544,0.895459
0.420336,0.017665,0.202824,0.005088,0.047938,0.192584,0.000608,0.894307
0.422385,0.017568,0.202600,0.005025,0.048674,0.194567,0.000672,0.897603
0.435121,0.017569,0.202312,0.004960,0.048002,0.191816,0.000608,0.906436
0.417456,0.018177,0.202024,0.005248,0.047970,0.213929,0.000640,0.912132
0.417201,0.018081,0.203464,0.005248,0.048130,0.202440,0.000672,0.902692
0.420337,0.017537,0.204200,0.005024,0.048354,0.215720,0.000736,0.919076
0.420976,0.017473,0.202440,0.005280,0.047970,0.200456,0.000640,0.901987
0.420176,0.017473,0.202248,0.005056,0.047874,0.185031,0.000608,0.885026
0.417360,0.017473,0.202472,0.005440,0.047714,0.196295,0.000608,0.894051
0.450610,0.017664,0.202472,0.004992,0.048802,0.192904,0.000544,0.923908
0.417649,0.017600,0.202472,0.005025,0.048833,0.200328,0.000576,0.899491
0.417680,0.017505,0.202152,0.005248,0.048482,0.195560,0.000736,0.894691
0.414992,0.017505,0.202376,0.005216,0.048450,0.214920,0.000608,0.910436
0.416752,0.017473,0.202792,0.005248,0.048898,0.198408,0.000608,0.896547
0.418000,0.018017,0.203368,0.005024,0.048866,0.208360,0.000672,0.910659
0.423889,0.017633,0.202343,0.005056,0.047778,0.195047,0.000608,0.898787
0.436625,0.017889,0.202536,0.005056,0.047970,0.213928,0.000608,0.933060
0.417585,0.017728,0.204071,0.005248,0.047746,0.200135,0.000577,0.899204
0.416272,0.017313,0.202568,0.005120,0.047778,0.199144,0.000672,0.895555
0.415696,0.017697,0.202408,0.004992,0.047458,0.241897,0.000768,0.937860
0.420273,0.017729,0.201992,0.004832,0.048226,0.197639,0.000672,0.899140
0.417361,0.017408,0.201928,0.005024,0.048065,0.193480,0.000768,0.890275
0.415633,0.017472,0.202888,0.005249,0.047873,0.190152,0.000864,0.886691
0.429681,0.017761,0.203944,0.004992,0.048194,0.205224,0.000672,0.917348
0.417072,0.017473,0.202824,0.005184,0.048066,0.209352,0.000640,0.909475
0.416369,0.017760,0.202216,0.004993,0.048321,0.198824,0.000576,0.895203
0.415856,0.017633,0.202728,0.005280,0.067267,0.194503,0.000576,0.910916
0.415792,0.017633,0.202568,0.005056,0.050370,0.197320,0.000640,0.895779
0.415921,0.017537,0.202503,0.004833,0.048610,0.207944,0.000608,0.904868
0.415633,0.017472,0.202536,0.004993,0.048161,0.193032,0.000608,0.888611
0.434641,0.017729,0.202824,0.005280,0.047874,0.217449,0.000640,0.934181
0.415760,0.017984,0.202312,0.004800,0.047970,0.190664,0.000608,0.886179
0.415249,0.017568,0.203335,0.004833,0.047874,0.203496,0.000608,0.899556
0.418001,0.017856,0.203880,0.005249,0.063810,0.205928,0.000736,0.923332
0.420753,0.017825,0.203016,0.005312,0.047842,0.200264,0.000576,0.902628
0.416241,0.017664,0.202536,0.004864,0.048002,0.195688,0.000608,0.891555
0.415088,0.017409,0.202824,0.004832,0.048290,0.197768,0.000576,0.894051
0.431537,0.017729,0.202248,0.004832,0.047810,0.199240,0.000608,0.910116
0.417649,0.017824,0.202760,0.005025,0.048865,0.199431,0.000608,0.899427
0.419984,0.017441,0.202632,0.005056,0.049410,0.204968,0.000640,0.906595
0.416144,0.017441,0.202888,0.022817,0.050114,0.195559,0.000576,0.912900
0.415920,0.017921,0.202248,0.004864,0.048226,0.191400,0.000640,0.886851
0.420849,0.017664,0.203048,0.005056,0.047746,0.193896,0.000608,0.895203
0.417873,0.018017,0.202440,0.005280,0.047810,0.196647,0.000640,0.896003
0.438930,0.017760,0.203240,0.005057,0.047937,0.195176,0.000800,0.916100
0.417105,0.017409,0.203048,0.005056,0.048738,0.192039,0.000576,0.889923
0.420912,0.017313,0.202696,0.005088,0.048002,0.209608,0.000832,0.911587
0.416688,0.017601,0.202856,0.005056,0.069187,0.207912,0.000736,0.926692
0.421776,0.017441,0.202568,0.005120,0.048226,0.195656,0.000576,0.897443
0.415473,0.017376,0.202344,0.004992,0.048289,0.194792,0.000896,0.890211
0.417681,0.017504,0.202920,0.004993,0.047873,0.191304,0.000832,0.889699
0.440785,0.017537,0.203304,0.005248,0.049026,0.202760,0.000864,0.926084
0.417521,0.017633,0.202311,0.005025,0.047682,0.216360,0.000704,0.913444
0.417360,0.017760,0.202568,0.005120,0.048290,0.200040,0.000640,0.898595
0.417520,0.017825,0.202536,0.005152,0.065507,0.201320,0.000576,0.917604
0.415920,0.017665,0.202312,0.005248,0.047362,0.199367,0.000576,0.894851
0.419729,0.017408,0.202600,0.005024,0.048897,0.193416,0.000768,0.893443
0.415952,0.017729,0.202952,0.005056,0.048482,0.192391,0.000544,0.888578
0.440689,0.017728,0.201800,0.004992,0.047682,0.200040,0.000672,0.920292
0.420656,0.017729,0.202280,0.005248,0.048674,0.211752,0.000672,0.912675
0.420049,0.017696,0.202184,0.005280,0.048450,0.199656,0.000608,0.900643
0.420944,0.017793,0.223369,0.005216,0.048898,0.221225,0.000672,0.945061
0.416753,0.017728,0.202376,0.005025,0.048609,0.211497,0.000704,0.909092
0.417009,0.017697,0.202823,0.005057,0.048130,0.197767,0.000640,0.896771
0.415856,0.017665,0.203240,0.004832,0.048098,0.194247,0.000608,0.891555
0.437649,0.017536,0.203240,0.004801,0.048546,0.223432,0.000640,0.941924
0.420688,0.017281,0.202344,0.005056,0.047906,0.196552,0.000608,0.896899
0.419729,0.017473,0.202023,0.005025,0.047938,0.190279,0.000512,0.888771
0.420721,0.017633,0.218760,0.005312,0.047778,0.203976,0.000608,0.922373
0.420752,0.017537,0.202376,0.005024,0.047778,0.192840,0.000736,0.894051
0.420368,0.017441,0.202184,0.005024,0.047234,0.188359,0.000544,0.887906
0.419633,0.017537,0.202120,0.005056,0.047042,0.198311,0.000608,0.896324
0.435089,0.017504,0.202088,0.005025,0.047009,0.195464,0.000704,0.908867
0.417424,0.017921,0.203880,0.005088,0.048034,0.201192,0.000672,0.901603
0.420592,0.017825,0.202728,0.005024,0.047266,0.194279,0.000576,0.894371
0.420208,0.017665,0.218665,0.005056,0.047714,0.230825,0.000608,0.947461
0.415409,0.017633,0.202983,0.004769,0.047042,0.204808,0.000608,0.899908
0.415696,0.017569,0.202376,0.004992,0.047138,0.193128,0.000544,0.887683
0.420081,0.017601,0.202087,0.004961,0.046946,0.198343,0.000576,0.896995
0.437873,0.017441,0.203016,0.005248,0.047298,0.203688,0.000608,0.921348
0.420881,0.017600,0.202152,0.004993,0.046977,0.191752,0.000640,0.890883
0.420753,0.017728,0.203080,0.005025,0.046977,0.192104,0.000544,0.891779
0.419824,0.017633,0.221321,0.005376,0.047042,0.197800,0.000736,0.916164
0.421232,0.017633,0.202600,0.004832,0.047074,0.210312,0.000608,0.910947
0.420849,0.017504,0.202440,0.005312,0.046978,0.194888,0.000640,0.895331
0.419921,0.017696,0.202568,0.005281,0.047010,0.187431,0.000576,0.886275
0.436849,0.017473,0.203912,0.004800,0.047650,0.204456,0.000576,0.922628
0.422800,0.017505,0.201896,0.004832,0.047106,0.194728,0.000544,0.895139
0.421489,0.017696,0.202184,0.005280,0.047650,0.190472,0.000544,0.891363
0.421904,0.017313,0.202344,0.005088,0.068483,0.194375,0.000640,0.917188
0.422033,0.017793,0.202440,0.004832,0.047490,0.208904,0.000800,0.911300
0.421649,0.017601,0.202824,0.005056,0.047842,0.194791,0.000736,0.896707
0.421776,0.017984,0.202504,0.005088,0.047586,0.194792,0.000768,0.896675
0.436785,0.017633,0.202824,0.005024,0.047874,0.202024,0.000672,0.920292
0.421008,0.017761,0.202280,0.004832,0.047906,0.193544,0.000608,0.893923
0.417201,0.017312,0.202408,0.004801,0.047681,0.187720,0.000576,0.884195
0.420240,0.017697,0.202440,0.005024,0.067235,0.195143,0.000576,0.915364
0.421552,0.017665,0.201992,0.005024,0.047458,0.180295,0.000544,0.880354
0.420976,0.017569,0.201736,0.004864,0.048226,0.194152,0.000576,0.894051
0.423601,0.017632,0.202248,0.004993,0.047521,0.210344,0.000704,0.914596
0.436081,0.017633,0.201960,0.004800,0.047810,0.198088,0.000544,0.912932
0.422320,0.017504,0.202696,0.005024,0.047618,0.239530,0.000640,0.941797
0.414704,0.017761,0.202408,0.004800,0.047522,0.187527,0.000576,0.881154
0.417136,0.017633,0.202408,0.004864,0.066787,0.217672,0.000576,0.934852
0.420880,0.017601,0.202408,0.005056,0.047874,0.193768,0.000640,0.894499
0.416976,0.017505,0.202376,0.005216,0.048290,0.198120,0.000608,0.895075
0.421040,0.017441,0.202280,0.005056,0.047490,0.193160,0.000544,0.893027
0.432497,0.017569,0.203016,0.004800,0.047842,0.200808,0.000672,0.913444
0.418448,0.017249,0.201960,0.004768,0.047074,0.191815,0.000576,0.888194
0.422704,0.017505,0.202312,0.005024,0.047074,0.200072,0.000768,0.902947
0.416976,0.017313,0.202632,0.005024,0.047842,0.210568,0.000640,0.907299
0.421104,0.017441,0.201768,0.005088,0.048098,0.184935,0.000640,0.885506
0.422608,0.017505,0.201800,0.005088,0.047714,0.196520,0.000608,0.897667
0.421841,0.017985,0.203400,0.005248,0.047298,0.206312,0.000832,0.910404
0.430320,0.017760,0.202568,0.004800,0.047746,0.207816,0.000673,0.918564
0.422096,0.017633,0.202536,0.005312,0.047618,0.194888,0.000576,0.896867
0.420497,0.017312,0.202952,0.004769,0.047745,0.195304,0.000608,0.895587
0.421712,0.017601,0.202312,0.005088,0.047650,0.217672,0.000672,0.918787
0.420528,0.017824,0.203144,0.004832,0.048514,0.192168,0.000640,0.894051
0.422129,0.017601,0.202120,0.004832,0.047330,0.199720,0.000608,0.900580
0.420400,0.017505,0.202088,0.005248,0.047874,0.192872,0.000576,0.892835
0.439186,0.017472,0.202408,0.005025,0.046913,0.206825,0.000672,0.924709
0.419825,0.017472,0.202088,0.005024,0.047650,0.190888,0.000640,0.889603
0.417680,0.017601,0.202408,0.004832,0.047842,0.196936,0.000640,0.895427
0.418544,0.017505,0.202536,0.004768,0.047170,0.223657,0.000576,0.921092
0.421552,0.017472,0.202856,0.004832,0.048130,0.197064,0.000608,0.898659
0.416785,0.017472,0.201992,0.004769,0.047745,0.204648,0.000608,0.899780
0.420848,0.018144,0.201960,0.005056,0.046914,0.183207,0.000544,0.882499
0.439889,0.017697,0.201959,0.004801,0.047906,0.221064,0.000608,0.940580
0.421680,0.017473,0.202536,0.005024,0.046946,0.199400,0.000608,0.900195
0.420721,0.017472,0.202440,0.005025,0.047553,0.209097,0.000544,0.908740
0.416656,0.017697,0.201960,0.005056,0.047618,0.224137,0.000672,0.920164
0.421297,0.017793,0.203976,0.004992,0.047042,0.188871,0.000608,0.891715
0.415824,0.017409,0.202024,0.005280,0.047490,0.195816,0.000608,0.890403
0.416528,0.017601,0.202120,0.004992,0.047682,0.187207,0.000640,0.882978
0.438577,0.017793,0.202088,0.005120,0.047746,0.195400,0.000672,0.913732
0.421072,0.017600,0.202024,0.004800,0.047650,0.191496,0.000640,0.891363
0.416368,0.017249,0.202280,0.005024,0.047458,0.198728,0.000576,0.893923
0.422961,0.017504,0.201895,0.005057,0.048162,0.230217,0.000800,0.934405
0.421616,0.017152,0.202248,0.005280,0.047650,0.194728,0.000544,0.895395
0.417040,0.017281,0.201800,0.004832,0.048386,0.210696,0.000608,0.906595
0.421840,0.017313,0.201960,0.004832,0.047362,0.186759,0.000608,0.887010
0.439089,0.017281,0.202440,0.004864,0.047522,0.200520,0.000640,0.918756
0.419825,0.017280,0.202472,0.004800,0.048418,0.196072,0.000640,0.895491
0.417808,0.017472,0.202344,0.005056,0.047970,0.189896,0.000608,0.887427
0.420081,0.017248,0.202280,0.004864,0.047778,0.209737,0.000608,0.908804
0.418320,0.017537,0.202664,0.004800,0.047810,0.193384,0.000576,0.890947
0.419441,0.017504,0.201864,0.004864,0.047842,0.192584,0.000672,0.891171
0.417776,0.017856,0.201896,0.005024,0.047522,0.197320,0.000544,0.893891
0.442098,0.017760,0.202184,0.004865,0.047041,0.228905,0.000704,0.949798
0.419504,0.017537,0.202216,0.005216,0.047042,0.193768,0.000544,0.891875
0.415248,0.017473,0.202088,0.005024,0.047010,0.197160,0.000608,0.890691
0.417425,0.017601,0.204712,0.005344,0.046978,0.197063,0.000608,0.896579
0.416944,0.017633,0.203144,0.005312,0.047330,0.186695,0.000704,0.884738
0.416112,0.017729,0.202248,0.004864,0.046978,0.205288,0.000640,0.899747
0.421201,0.017505,0.202664,0.005280,0.048098,0.207400,0.000576,0.909444
0.439346,0.017728,0.202696,0.004865,0.047777,0.197352,0.000704,0.917636
0.416241,0.017697,0.202727,0.005312,0.047778,0.187655,0.000640,0.884163
0.421553,0.018081,0.202792,0.004864,0.048162,0.196680,0.000608,0.899172
0.421040,0.017440,0.203080,0.005376,0.047458,0.198632,0.000576,0.899587
0.420785,0.017408,0.202248,0.005056,0.047778,0.192392,0.000608,0.892227
0.422416,0.017504,0.202920,0.005184,0.047074,0.191112,0.000544,0.892867
0.417296,0.017792,0.204328,0.005377,0.046977,0.188744,0.000608,0.887939
0.441521,0.017761,0.204200,0.004864,0.046978,0.207816,0.000608,0.930404
0.420817,0.017408,0.204104,0.005281,0.047714,0.195079,0.000576,0.897059
