Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-9],Layer[10],classifier
0.415024,0.017537,0.202440,0.005056,0.048226,0.201000,0.000640,0.895715
0.420081,0.017665,0.202408,0.004992,0.049314,0.197224,0.000544,0.899044
0.419664,0.017281,0.202824,0.005024,0.048226,0.189384,0.000576,0.888579
0.420240,0.017249,0.202280,0.004768,0.047650,0.186279,0.000609,0.885219
0.419920,0.017536,0.201896,0.004800,0.047842,0.194600,0.000576,0.893347
0.439249,0.017665,0.202279,0.005057,0.048002,0.212808,0.000640,0.933060
0.420400,0.017441,0.202792,0.004832,0.048066,0.193927,0.000640,0.895107
0.420368,0.017760,0.202536,0.005056,0.047778,0.201864,0.000576,0.902563
0.420080,0.017601,0.202248,0.004960,0.048034,0.194664,0.000608,0.894307
0.420113,0.017344,0.202344,0.005056,0.047554,0.205192,0.000640,0.905347
0.419792,0.017217,0.203720,0.005088,0.047490,0.200680,0.000576,0.900387
0.419505,0.017601,0.202056,0.004896,0.047554,0.203400,0.000640,0.902436
0.435985,0.017601,0.202472,0.005120,0.048706,0.188871,0.000736,0.907140
0.420112,0.017441,0.202856,0.005088,0.047842,0.191784,0.000608,0.892003
0.421840,0.017729,0.203272,0.005024,0.048354,0.202632,0.000704,0.906051
0.416145,0.017664,0.202472,0.004769,0.048001,0.229737,0.000704,0.927045
0.415216,0.017729,0.203752,0.005024,0.048066,0.189448,0.000640,0.886595
0.415505,0.017664,0.202184,0.004832,0.047841,0.196968,0.000640,0.891427
0.415440,0.017665,0.202280,0.004832,0.047714,0.196168,0.000640,0.891235
0.415152,0.017441,0.217320,0.004928,0.047938,0.205896,0.000704,0.916196
0.416272,0.017441,0.202728,0.004832,0.047810,0.196712,0.000544,0.892995
0.420496,0.017633,0.203304,0.004832,0.048770,0.195624,0.000544,0.898211
0.417104,0.017377,0.202696,0.004992,0.048738,0.208008,0.000736,0.906307
0.416304,0.017569,0.202280,0.004992,0.047874,0.201480,0.000640,0.897891
0.420720,0.017633,0.202088,0.004768,0.048834,0.203176,0.000672,0.904963
0.420177,0.017472,0.201960,0.004865,0.047809,0.206665,0.000672,0.906596
0.437137,0.017793,0.203208,0.005056,0.047810,0.202824,0.000704,0.921988
0.420528,0.017537,0.202184,0.004992,0.048098,0.204104,0.000704,0.905347
0.419760,0.017792,0.202408,0.005024,0.047778,0.200616,0.000672,0.901379
0.416560,0.017537,0.202440,0.004800,0.048290,0.222729,0.000608,0.920388
0.419921,0.017568,0.202536,0.005025,0.048225,0.194184,0.000640,0.894691
0.420272,0.017761,0.202504,0.005024,0.047394,0.204008,0.000608,0.905124
0.420081,0.017760,0.202344,0.004896,0.048258,0.195560,0.000640,0.896035
0.433329,0.017569,0.202216,0.004992,0.047874,0.201288,0.000608,0.915460
0.420112,0.017633,0.202568,0.004992,0.048322,0.200104,0.000608,0.901123
0.417009,0.017729,0.202440,0.005120,0.047394,0.229577,0.000992,0.930853
0.419536,0.017569,0.202600,0.005024,0.070691,0.202120,0.000608,0.925156
0.418064,0.017697,0.202536,0.004768,0.048098,0.196583,0.000609,0.895043
0.418353,0.017729,0.202664,0.004864,0.047906,0.195111,0.000608,0.893955
0.419856,0.017537,0.202376,0.005056,0.047650,0.213640,0.000608,0.913444
0.438097,0.017569,0.203112,0.004864,0.047906,0.195016,0.000608,0.913732
0.419984,0.017505,0.202440,0.004800,0.049986,0.207400,0.000576,0.909411
0.420272,0.017633,0.201960,0.004864,0.047458,0.193319,0.000544,0.892515
0.420688,0.017473,0.223145,0.005344,0.048162,0.202952,0.000672,0.925700
0.416528,0.017793,0.202472,0.005216,0.048194,0.201256,0.000576,0.898563
0.420145,0.017665,0.202184,0.004864,0.047906,0.203784,0.000576,0.903972
0.421840,0.017601,0.203400,0.005024,0.048098,0.202056,0.000640,0.905123
0.416176,0.017537,0.202888,0.005056,0.047938,0.199976,0.000640,0.896963
0.420721,0.017473,0.203080,0.004800,0.049506,0.194279,0.000576,0.897060
0.419984,0.017985,0.202504,0.005056,0.047650,0.203624,0.000608,0.903875
0.416465,0.017568,0.224457,0.005280,0.047906,0.196392,0.000672,0.915556
0.419857,0.017697,0.202280,0.004896,0.049634,0.197512,0.000640,0.899140
0.415856,0.017601,0.202408,0.005216,0.048162,0.203080,0.000640,0.899299
0.420080,0.017536,0.202600,0.004832,0.048162,0.196840,0.000608,0.897475
0.416400,0.017536,0.202504,0.004832,0.048258,0.201992,0.000544,0.899139
0.420433,0.017633,0.202439,0.005088,0.047842,0.195847,0.000544,0.896515
0.420689,0.017601,0.202215,0.005025,0.049026,0.193863,0.000640,0.895363
0.416272,0.017633,0.220553,0.004928,0.048258,0.198664,0.000672,0.913220
0.415920,0.017633,0.202248,0.005056,0.048226,0.202152,0.000576,0.899363
0.420272,0.017633,0.202056,0.005216,0.047778,0.187623,0.000576,0.887426
0.416304,0.017921,0.202472,0.004768,0.047970,0.193351,0.000608,0.890274
0.416112,0.017729,0.202920,0.005280,0.048866,0.188423,0.000576,0.885890
0.416464,0.017665,0.202120,0.004864,0.048226,0.194344,0.000576,0.890211
0.420401,0.017536,0.202183,0.004769,0.047457,0.192807,0.000576,0.892323
0.420496,0.017793,0.220585,0.005216,0.048354,0.205832,0.000704,0.927332
0.420497,0.017569,0.202471,0.004801,0.047458,0.209160,0.000640,0.909156
0.420305,0.017473,0.202439,0.004993,0.047618,0.200263,0.000544,0.899172
0.420912,0.017409,0.201864,0.005248,0.047618,0.208040,0.000640,0.908803
0.420112,0.018177,0.202184,0.005312,0.048034,0.197224,0.000640,0.898659
0.416209,0.017344,0.202280,0.005184,0.047234,0.208937,0.000608,0.903300
0.420208,0.017665,0.201832,0.005056,0.048642,0.195464,0.000576,0.895011
0.415184,0.017441,0.217672,0.005121,0.047906,0.204872,0.000608,0.915940
0.419600,0.017441,0.202184,0.004832,0.048226,0.189671,0.000577,0.888451
0.420529,0.017376,0.201800,0.004800,0.047746,0.206536,0.000480,0.905123
0.415664,0.017601,0.202088,0.004800,0.047874,0.204168,0.000832,0.900323
0.419920,0.017281,0.202312,0.005344,0.047298,0.187368,0.000640,0.886627
