Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],TEE[9-10],classifier
0.417552,0.017473,0.202536,0.005024,0.046914,0.000768,0.013504,0.000352,0.001440,0.111940,0.886114
0.416720,0.017248,0.202728,0.005024,0.048226,0.000576,0.013473,0.000320,0.001376,0.108484,0.880579
0.433521,0.017472,0.203176,0.005024,0.046914,0.000576,0.013409,0.000352,0.001472,0.106628,0.898212
0.416400,0.017281,0.202728,0.005056,0.048130,0.000992,0.013505,0.000352,0.001408,0.108868,0.885826
0.416688,0.017729,0.204104,0.005216,0.047138,0.000576,0.013536,0.000384,0.001408,0.116997,0.896867
0.416337,0.017664,0.222025,0.005056,0.047746,0.000736,0.013473,0.000352,0.001408,0.112996,0.904932
0.416176,0.017473,0.202248,0.005312,0.046946,0.000608,0.013793,0.000384,0.001408,0.114628,0.892963
0.416432,0.017697,0.202216,0.005056,0.047522,0.000768,0.013569,0.000384,0.001344,0.109572,0.884322
0.416784,0.017505,0.202696,0.005024,0.047906,0.000576,0.013984,0.000352,0.001376,0.108837,0.881730
0.437329,0.017505,0.202632,0.004800,0.047746,0.000576,0.013761,0.000320,0.001472,0.114756,0.912004
0.416432,0.017345,0.202792,0.005024,0.048162,0.001024,0.013377,0.000384,0.001440,0.109604,0.883939
0.416112,0.017601,0.202216,0.005056,0.047906,0.000576,0.013345,0.000352,0.001344,0.108740,0.884067
0.415280,0.017665,0.202088,0.004992,0.046946,0.000608,0.013632,0.000352,0.001376,0.131366,0.908099
0.416529,0.017632,0.202632,0.005088,0.047681,0.000576,0.013761,0.000352,0.001376,0.108676,0.886115
0.416368,0.017697,0.202952,0.004832,0.046914,0.000608,0.013536,0.000384,0.001376,0.112741,0.884418
0.416656,0.017537,0.203720,0.004992,0.047714,0.000832,0.013472,0.000416,0.001376,0.107237,0.883650
0.426897,0.017376,0.202472,0.005025,0.047553,0.000736,0.013729,0.000320,0.001344,0.111620,0.899427
0.416496,0.017249,0.202184,0.005024,0.047554,0.000800,0.013569,0.000352,0.001408,0.109156,0.885731
0.415728,0.017665,0.202504,0.005024,0.046914,0.000576,0.013504,0.000384,0.001376,0.112133,0.887010
0.415857,0.017568,0.202408,0.005249,0.046881,0.000608,0.013568,0.000384,0.001408,0.108868,0.883171
0.415856,0.017537,0.202472,0.005280,0.046946,0.001024,0.013441,0.000352,0.001376,0.110660,0.884931
0.417680,0.017409,0.202536,0.004800,0.047362,0.000544,0.013728,0.000384,0.001440,0.113477,0.890754
0.415761,0.017184,0.203112,0.004833,0.046977,0.000576,0.013409,0.000384,0.001440,0.102052,0.870882
0.416112,0.034689,0.204232,0.005185,0.047137,0.000577,0.013440,0.000320,0.001536,0.115557,0.911235
0.417073,0.017761,0.203304,0.005056,0.047554,0.000576,0.013792,0.000352,0.001440,0.117637,0.891235
0.417361,0.017664,0.203528,0.004993,0.047681,0.001024,0.013472,0.000416,0.001408,0.109348,0.894819
0.416784,0.017505,0.203560,0.005088,0.048002,0.000800,0.013537,0.000384,0.001376,0.114532,0.893283
0.416336,0.017440,0.202440,0.005056,0.049346,0.000768,0.013633,0.000320,0.001440,0.112100,0.889859
0.416976,0.017697,0.202984,0.004992,0.049026,0.000768,0.013537,0.000320,0.001408,0.112996,0.891011
0.417296,0.017665,0.202696,0.005120,0.049506,0.000576,0.013921,0.000352,0.001376,0.113060,0.897411
0.418129,0.017729,0.219560,0.005120,0.047682,0.000640,0.013825,0.000352,0.001408,0.112804,0.905956
0.416465,0.017696,0.202920,0.005249,0.047777,0.000577,0.013696,0.000352,0.001408,0.113381,0.895491
0.415888,0.018017,0.203144,0.005184,0.048930,0.000576,0.013729,0.000352,0.001440,0.112324,0.895043
0.417328,0.017633,0.203112,0.005024,0.049122,0.000832,0.013760,0.000352,0.001408,0.114213,0.890178
0.417137,0.017632,0.204712,0.004865,0.048962,0.000896,0.013664,0.000352,0.001440,0.112005,0.894531
0.417137,0.017472,0.204072,0.005057,0.047969,0.000800,0.013633,0.000352,0.001408,0.112549,0.897475
0.417200,0.017633,0.203368,0.005248,0.049026,0.000896,0.013568,0.000320,0.001505,0.114692,0.892194
0.416144,0.017537,0.220520,0.005153,0.047586,0.000800,0.013664,0.000384,0.001440,0.116453,0.910467
0.418160,0.017505,0.204456,0.005216,0.048898,0.000800,0.014240,0.000352,0.001377,0.117892,0.901891
0.416945,0.017857,0.203016,0.005088,0.048290,0.000928,0.013536,0.000352,0.001440,0.108069,0.883715
0.418705,0.017536,0.203368,0.005057,0.048609,0.000736,0.013825,0.000384,0.001440,0.107524,0.892323
0.417297,0.017472,0.203079,0.005025,0.049122,0.000832,0.013696,0.000352,0.001472,0.110117,0.895203
0.416241,0.017536,0.203400,0.005024,0.047938,0.001056,0.013857,0.000384,0.001376,0.103620,0.880419
0.415728,0.017824,0.202792,0.005056,0.048002,0.000992,0.013537,0.000352,0.001408,0.104068,0.878051
0.417457,0.017504,0.203208,0.021537,0.050210,0.001056,0.013537,0.000320,0.001408,0.119813,0.925188
0.416272,0.017537,0.203368,0.005056,0.047778,0.001024,0.013505,0.000352,0.001408,0.119172,0.899235
0.416976,0.017793,0.203112,0.005024,0.048386,0.000608,0.013665,0.000384,0.001440,0.117284,0.897315
0.416880,0.017473,0.202952,0.005088,0.048898,0.000800,0.013729,0.000352,0.001472,0.121476,0.901923
0.435121,0.017632,0.203944,0.005025,0.049922,0.000832,0.014080,0.000384,0.001504,0.117061,0.919204
0.416848,0.017281,0.203144,0.005024,0.047458,0.000576,0.013729,0.000384,0.001440,0.126117,0.908195
0.417328,0.017441,0.203048,0.005280,0.049122,0.000800,0.013729,0.000384,0.001504,0.117572,0.905667
0.417521,0.017729,0.214824,0.005152,0.048322,0.000576,0.013537,0.000352,0.001408,0.142821,0.937509
0.416944,0.017505,0.203528,0.005056,0.048162,0.000800,0.013729,0.000384,0.001440,0.116548,0.895171
0.415952,0.017280,0.201864,0.004864,0.047266,0.000608,0.013697,0.000384,0.001472,0.116036,0.893699
0.415920,0.017505,0.205544,0.005216,0.047554,0.000576,0.013761,0.000352,0.001504,0.116452,0.895459
0.416048,0.017537,0.202600,0.005024,0.048194,0.000800,0.014337,0.000352,0.001472,0.117604,0.896291
0.415312,0.017729,0.202824,0.005216,0.048834,0.000800,0.014496,0.000384,0.001505,0.116164,0.896131
0.416561,0.017472,0.203208,0.005025,0.048417,0.000832,0.013632,0.000384,0.001536,0.120965,0.906820
0.416944,0.017441,0.221481,0.005312,0.049282,0.000768,0.014112,0.000320,0.001537,0.116004,0.915300
0.416400,0.017281,0.202760,0.005088,0.048834,0.000768,0.014336,0.000384,0.001537,0.116452,0.898019
0.416656,0.017633,0.202376,0.004832,0.049698,0.000576,0.013920,0.000352,0.001440,0.114629,0.893443
0.416049,0.017633,0.202471,0.004993,0.048322,0.000800,0.013760,0.000384,0.001536,0.114181,0.892707
0.416624,0.017728,0.202824,0.004992,0.048898,0.000576,0.013857,0.000352,0.001440,0.112580,0.887139
0.416752,0.017697,0.202248,0.005056,0.047010,0.000576,0.013633,0.000352,0.001536,0.112388,0.887747
0.418513,0.017920,0.203912,0.004993,0.048001,0.000768,0.013729,0.000352,0.001472,0.115205,0.892259
0.417712,0.017409,0.223464,0.005280,0.048002,0.000864,0.013600,0.000384,0.001536,0.116485,0.918467
0.416337,0.017760,0.202311,0.004801,0.047778,0.000768,0.013760,0.000352,0.001408,0.110853,0.888707
0.416465,0.017696,0.202727,0.005057,0.048098,0.000768,0.013856,0.000352,0.001504,0.112869,0.892259
0.416177,0.017760,0.202632,0.004993,0.048545,0.000801,0.013888,0.000352,0.001408,0.108676,0.884931
0.418128,0.017569,0.205096,0.004832,0.048226,0.000608,0.013665,0.000384,0.001440,0.115268,0.900195
0.417040,0.017536,0.203368,0.005024,0.048194,0.000768,0.013537,0.000352,0.001440,0.114564,0.893507
0.417168,0.017569,0.203368,0.004992,0.047746,0.000608,0.013537,0.000320,0.001440,0.116420,0.890723
0.416400,0.017569,0.222921,0.005088,0.048002,0.000768,0.013473,0.000352,0.001440,0.113156,0.918084
0.416368,0.017793,0.202632,0.005024,0.047266,0.000576,0.013505,0.000384,0.001472,0.111492,0.895107
0.416401,0.017600,0.206153,0.004992,0.047202,0.000576,0.013792,0.000352,0.001472,0.114821,0.894755
0.416432,0.017825,0.202920,0.005024,0.048258,0.000800,0.013825,0.000352,0.001504,0.114884,0.893859
0.416944,0.017729,0.202952,0.004832,0.046978,0.000576,0.013888,0.000384,0.001504,0.112069,0.889442
0.418128,0.017857,0.203656,0.005024,0.048002,0.000608,0.013633,0.000384,0.001472,0.114596,0.891203
0.417392,0.017665,0.202728,0.004832,0.048258,0.000576,0.013504,0.000384,0.001472,0.105285,0.880290
0.416752,0.017793,0.223689,0.005184,0.048386,0.000832,0.013696,0.000352,0.001408,0.119429,0.920228
0.416464,0.017505,0.203112,0.005024,0.048674,0.000768,0.013440,0.000320,0.001409,0.112260,0.889602
0.418096,0.017633,0.202600,0.004960,0.049026,0.000832,0.014369,0.000352,0.001504,0.115300,0.906531
0.415824,0.017473,0.202824,0.004960,0.049122,0.000576,0.013440,0.000352,0.001409,0.111172,0.885730
0.433297,0.017665,0.202600,0.004832,0.047938,0.000576,0.013440,0.000352,0.001505,0.112740,0.909604
0.418384,0.017633,0.203688,0.004992,0.048194,0.000576,0.013825,0.000352,0.001536,0.113732,0.893891
0.417200,0.017729,0.204360,0.004992,0.047714,0.001088,0.014081,0.000352,0.001440,0.110980,0.889475
0.414513,0.017792,0.226025,0.005184,0.047714,0.000576,0.013793,0.000352,0.001472,0.113636,0.911012
0.416016,0.017601,0.201896,0.004864,0.048930,0.000544,0.013536,0.000352,0.001472,0.112229,0.892354
0.415729,0.017504,0.202855,0.005281,0.048802,0.000736,0.013856,0.000352,0.001536,0.111877,0.890947
0.416208,0.017440,0.202184,0.005248,0.048482,0.000576,0.013473,0.000320,0.001408,0.117669,0.898531
0.431953,0.017377,0.202568,0.005024,0.048002,0.000576,0.013664,0.000384,0.001408,0.114565,0.904835
0.416176,0.017633,0.203432,0.005024,0.047522,0.000608,0.013664,0.000384,0.001472,0.138534,0.918628
0.416784,0.017537,0.204264,0.005280,0.047778,0.000576,0.013665,0.000352,0.001408,0.114660,0.894659
0.415921,0.017472,0.222921,0.005056,0.048482,0.000832,0.013697,0.000384,0.001472,0.118245,0.917348
0.416561,0.017409,0.203592,0.004800,0.048354,0.000800,0.013504,0.000384,0.001472,0.112485,0.890339
0.415536,0.017793,0.202952,0.005280,0.048130,0.000576,0.013537,0.000320,0.001472,0.114980,0.898211
0.416881,0.017505,0.203144,0.005216,0.048674,0.000768,0.013888,0.000352,0.001440,0.113893,0.900068
0.433169,0.017472,0.202664,0.005024,0.047586,0.000608,0.013665,0.000352,0.001408,0.116260,0.910148
0.417264,0.017664,0.203016,0.004960,0.049858,0.000768,0.013473,0.000352,0.001408,0.108804,0.887171
0.415696,0.017633,0.202408,0.005056,0.048962,0.000736,0.013920,0.000384,0.001408,0.111748,0.897187
0.416369,0.017792,0.220457,0.005280,0.048290,0.000736,0.013537,0.000352,0.001536,0.118116,0.914020
0.417009,0.017664,0.203656,0.004993,0.048962,0.000768,0.013664,0.000352,0.001408,0.113093,0.893987
0.416369,0.017409,0.203880,0.005056,0.048354,0.000800,0.013792,0.000352,0.001440,0.112901,0.895331
0.417265,0.017696,0.202888,0.004961,0.049858,0.000736,0.013824,0.000352,0.001344,0.114629,0.904708
0.433649,0.017345,0.203688,0.005024,0.047810,0.000864,0.013729,0.000352,0.001440,0.114084,0.910628
0.416208,0.017281,0.202984,0.005088,0.047906,0.000768,0.013601,0.000352,0.001472,0.117348,0.896195
0.416208,0.017505,0.201896,0.005088,0.049122,0.000544,0.013377,0.000352,0.001408,0.115876,0.894947
0.416400,0.017409,0.203144,0.005056,0.067363,0.001056,0.013729,0.000384,0.001472,0.115492,0.918756
0.416464,0.017601,0.203272,0.005056,0.048130,0.000992,0.013441,0.000352,0.001408,0.110212,0.886274
0.416208,0.017248,0.202376,0.005056,0.047458,0.000704,0.013441,0.000352,0.001408,0.109540,0.882243
0.416881,0.017440,0.202312,0.005088,0.047617,0.000576,0.013441,0.000320,0.001440,0.111652,0.889987
0.432625,0.017569,0.202472,0.005312,0.047778,0.000800,0.013440,0.000352,0.001345,0.111396,0.906020
0.416529,0.017472,0.202024,0.004993,0.047521,0.000544,0.013505,0.000320,0.001376,0.108804,0.885859
0.415632,0.017441,0.202600,0.005088,0.046946,0.000576,0.013792,0.000352,0.001472,0.113284,0.889315
0.416881,0.017824,0.202376,0.004833,0.047618,0.000608,0.013696,0.000384,0.001408,0.124549,0.902820
0.416081,0.017504,0.203656,0.004992,0.047714,0.000768,0.013537,0.000384,0.001376,0.113060,0.892931
0.416368,0.017505,0.201864,0.005088,0.047554,0.000576,0.013793,0.000352,0.001472,0.109188,0.882947
0.415729,0.017472,0.202056,0.005089,0.048994,0.000736,0.013568,0.000384,0.001536,0.113925,0.888515
0.433553,0.017632,0.202536,0.005024,0.047714,0.000608,0.013505,0.000352,0.001440,0.108164,0.898884
0.416817,0.017504,0.202280,0.004993,0.047649,0.000736,0.013697,0.000384,0.001408,0.112965,0.889635
0.416976,0.017665,0.202312,0.004960,0.047906,0.000608,0.013569,0.000352,0.001376,0.110244,0.888963
0.416528,0.017441,0.202664,0.005024,0.047746,0.000736,0.013569,0.000352,0.001376,0.111140,0.889987
0.418000,0.017665,0.202280,0.005024,0.047714,0.000768,0.013441,0.000320,0.001376,0.111780,0.897347
0.415952,0.017569,0.204264,0.005216,0.047362,0.000576,0.013793,0.000320,0.001472,0.114116,0.890755
0.416177,0.017504,0.202248,0.004768,0.048322,0.000576,0.013729,0.000384,0.001504,0.111172,0.893123
0.416816,0.049186,0.203592,0.004992,0.048258,0.000800,0.013569,0.000352,0.001536,0.116516,0.928644
0.416720,0.017601,0.203208,0.005024,0.048354,0.000928,0.013729,0.000384,0.001472,0.111556,0.890819
0.416016,0.017633,0.203048,0.004896,0.047778,0.000960,0.013664,0.000384,0.001441,0.109700,0.891747
0.415632,0.017665,0.202376,0.005440,0.047650,0.000992,0.013601,0.000320,0.001408,0.111940,0.897475
0.416689,0.017760,0.203272,0.005025,0.046913,0.000577,0.013472,0.000320,0.001440,0.110884,0.897955
0.417040,0.017473,0.202312,0.005024,0.047106,0.000608,0.013664,0.000352,0.001504,0.110661,0.887266
0.415920,0.017441,0.203272,0.005056,0.047554,0.000576,0.013633,0.000352,0.001440,0.111620,0.888323
0.415504,0.017473,0.220201,0.005280,0.046978,0.000576,0.013665,0.000352,0.001440,0.112708,0.903940
0.416016,0.017409,0.203848,0.004992,0.047298,0.000832,0.013568,0.000352,0.001440,0.109189,0.884674
0.416880,0.017409,0.205448,0.005024,0.047106,0.000576,0.013536,0.000384,0.001472,0.113637,0.895907
0.416081,0.017568,0.203816,0.005121,0.047458,0.000992,0.013536,0.000384,0.001472,0.115589,0.894499
0.416336,0.017665,0.203528,0.005056,0.048322,0.000768,0.013921,0.000352,0.001504,0.111140,0.891587
0.416272,0.017217,0.203080,0.004992,0.048002,0.000576,0.013440,0.000384,0.001440,0.110629,0.889250
0.417616,0.017601,0.204904,0.004832,0.047650,0.000608,0.013633,0.000416,0.001536,0.116900,0.905667
0.417265,0.017632,0.225225,0.004992,0.047554,0.000768,0.013793,0.000320,0.001472,0.115045,0.920324
0.417584,0.017825,0.202280,0.004832,0.047970,0.000576,0.013856,0.000352,0.001505,0.110692,0.892995
0.416528,0.017857,0.202792,0.005152,0.048898,0.000800,0.014177,0.000352,0.001408,0.112292,0.895043
0.417361,0.017568,0.203112,0.005057,0.049474,0.000608,0.014112,0.000352,0.001536,0.115045,0.895171
0.418385,0.017824,0.202952,0.005024,0.048162,0.000576,0.014049,0.000352,0.001536,0.110084,0.890787
0.417617,0.017664,0.201960,0.005089,0.048641,0.000832,0.013792,0.000352,0.001472,0.110212,0.886659
0.417265,0.017472,0.202952,0.005088,0.048482,0.000896,0.013793,0.000384,0.001504,0.112517,0.890819
0.416304,0.017505,0.217289,0.005280,0.049026,0.000832,0.013632,0.000384,0.001440,0.115205,0.915492
0.417872,0.017537,0.203080,0.004992,0.049986,0.000576,0.013953,0.000352,0.001440,0.111076,0.896227
0.418385,0.018080,0.202536,0.004993,0.048289,0.000800,0.013601,0.000352,0.001472,0.111556,0.891235
0.417041,0.017504,0.203624,0.004993,0.048386,0.000576,0.013696,0.000352,0.001472,0.113285,0.898083
0.432433,0.017665,0.203752,0.005024,0.047298,0.000608,0.013792,0.000352,0.001504,0.120133,0.913156
0.417072,0.017697,0.202600,0.004992,0.048546,0.000768,0.013696,0.000320,0.001441,0.112260,0.891011
0.417425,0.017601,0.202856,0.005056,0.048258,0.000544,0.013760,0.000352,0.001440,0.111685,0.887203
0.417104,0.017505,0.202888,0.005056,0.066947,0.000896,0.013824,0.000353,0.001440,0.115588,0.913188
0.417008,0.017761,0.202440,0.005216,0.049154,0.000576,0.013889,0.000320,0.001376,0.119140,0.899331
0.416241,0.017696,0.202472,0.005057,0.049506,0.000832,0.014080,0.000320,0.001376,0.112101,0.890243
0.417008,0.017665,0.203176,0.005024,0.048034,0.000576,0.013633,0.000352,0.001536,0.111108,0.885891
0.439249,0.017569,0.202952,0.004832,0.049250,0.000800,0.013792,0.000352,0.001440,0.112325,0.911107
0.415665,0.017376,0.202664,0.005249,0.048257,0.000576,0.013664,0.000384,0.001536,0.113221,0.888739
0.415536,0.017441,0.202536,0.004800,0.047106,0.000576,0.013728,0.000352,0.001473,0.111620,0.883458
0.415472,0.017473,0.201896,0.005248,0.046946,0.000576,0.013728,0.000352,0.001504,0.133254,0.911203
0.416400,0.017473,0.202120,0.004992,0.047298,0.000608,0.013696,0.000384,0.001440,0.104420,0.887426
0.415793,0.017536,0.202248,0.005024,0.046945,0.000608,0.013697,0.000416,0.001504,0.109796,0.883651
0.415760,0.017729,0.202376,0.005056,0.047554,0.000576,0.013569,0.000384,0.001408,0.110948,0.887171
0.435377,0.017537,0.205896,0.004832,0.046946,0.000992,0.013536,0.000416,0.001441,0.119524,0.919716
0.417008,0.017633,0.203080,0.004992,0.047970,0.000864,0.013441,0.000352,0.001504,0.112100,0.890467
0.416496,0.017569,0.202952,0.004800,0.048130,0.000608,0.013505,0.000384,0.001472,0.110500,0.890019
0.416240,0.017697,0.202824,0.004832,0.047938,0.000544,0.013760,0.000384,0.001473,0.129989,0.919524
0.415696,0.017569,0.203400,0.005024,0.047330,0.000576,0.013440,0.000321,0.001472,0.110788,0.897059
0.416848,0.017601,0.204328,0.004896,0.047362,0.000608,0.013473,0.000352,0.001472,0.109572,0.888259
0.416080,0.017633,0.203528,0.004832,0.047874,0.000768,0.013440,0.000384,0.001440,0.116037,0.899300
0.433361,0.017761,0.203272,0.004832,0.047234,0.000800,0.013504,0.000352,0.001472,0.110437,0.911588
0.415664,0.017696,0.202408,0.004864,0.047458,0.000640,0.013569,0.000352,0.001472,0.118149,0.896067
0.415857,0.017600,0.202664,0.005281,0.047809,0.000577,0.013696,0.000384,0.001472,0.119205,0.903300
0.417072,0.017473,0.204392,0.005056,0.048994,0.000800,0.013824,0.000352,0.001440,0.189287,0.981126
0.416240,0.017537,0.202952,0.005056,0.048450,0.000768,0.013633,0.000352,0.001376,0.115620,0.894051
0.416272,0.017569,0.202504,0.005056,0.048674,0.000832,0.013792,0.000320,0.001408,0.117253,0.894467
0.419025,0.017665,0.203752,0.005248,0.048834,0.000800,0.013824,0.000384,0.001504,0.120165,0.906052
0.432913,0.018241,0.203176,0.005024,0.048290,0.000800,0.013728,0.000320,0.001408,0.119205,0.917924
0.416496,0.017569,0.203592,0.004992,0.048610,0.000736,0.013888,0.000320,0.001408,0.112933,0.894499
0.417425,0.017633,0.203048,0.004992,0.049186,0.000800,0.013888,0.000320,0.001440,0.117381,0.898980
0.417168,0.017569,0.220104,0.005217,0.049186,0.000832,0.013472,0.000384,0.001504,0.118437,0.917892
0.416433,0.017504,0.202248,0.005088,0.048034,0.000576,0.013441,0.000384,0.001376,0.123781,0.904004
0.417072,0.017440,0.203656,0.004992,0.047586,0.000800,0.013601,0.000352,0.001440,0.115557,0.894051
0.417329,0.017697,0.204200,0.005312,0.048482,0.000768,0.014176,0.000384,0.001472,0.115237,0.900772
0.417104,0.017601,0.203176,0.005024,0.049218,0.000800,0.013953,0.000320,0.001472,0.117092,0.896675
0.416945,0.017664,0.203912,0.005057,0.047362,0.000576,0.013696,0.000352,0.001440,0.116293,0.896163
0.417744,0.017761,0.202472,0.005056,0.048258,0.000832,0.013793,0.000352,0.001440,0.112740,0.887747
0.417776,0.017665,0.222856,0.005281,0.047266,0.000608,0.013760,0.000352,0.001504,0.121221,0.920708
0.416688,0.017665,0.203304,0.005056,0.048418,0.000736,0.013793,0.000352,0.001440,0.118532,0.897763
0.417201,0.017440,0.202600,0.004992,0.049633,0.000769,0.013440,0.000352,0.001376,0.117797,0.894851
0.416976,0.017537,0.203368,0.005056,0.048706,0.000992,0.013633,0.000352,0.001408,0.119076,0.900739
0.417424,0.017505,0.203624,0.004992,0.048002,0.001056,0.013505,0.000384,0.001440,0.118821,0.895747
0.416689,0.017728,0.203176,0.004993,0.048770,0.000768,0.013728,0.000384,0.001344,0.113925,0.892355
0.416305,0.017440,0.203976,0.005121,0.049730,0.000608,0.014048,0.000416,0.001504,0.122117,0.901668
0.450354,0.017569,0.204808,0.005056,0.048514,0.001024,0.014016,0.000320,0.001473,0.117220,0.933381
0.416401,0.017632,0.202184,0.004929,0.047585,0.000961,0.014048,0.000352,0.001504,0.114853,0.889539
0.416400,0.017569,0.203560,0.004992,0.046978,0.000576,0.013984,0.000320,0.001472,0.114501,0.890690
0.416049,0.017216,0.203368,0.005056,0.048129,0.000576,0.014017,0.000320,0.001472,0.113765,0.893315
0.416433,0.017696,0.204904,0.005025,0.047458,0.000576,0.014336,0.000352,0.001472,0.115109,0.896387
0.415888,0.017697,0.202664,0.005024,0.047682,0.000608,0.014529,0.000352,0.001472,0.113476,0.890499
0.416081,0.017601,0.202568,0.005056,0.047522,0.000608,0.013952,0.000352,0.001536,0.114789,0.891235
0.432145,0.017600,0.202472,0.005249,0.048225,0.000896,0.013921,0.000352,0.001440,0.123205,0.919076
0.416945,0.017760,0.203080,0.004865,0.048545,0.000865,0.013888,0.000352,0.001408,0.114853,0.893731
0.417360,0.017697,0.203080,0.004992,0.048578,0.000736,0.013921,0.000352,0.001472,0.120100,0.902947
0.416592,0.017473,0.203816,0.004992,0.048930,0.000768,0.013729,0.000352,0.001440,0.112900,0.892035
0.417008,0.017601,0.203112,0.005152,0.048578,0.000768,0.013793,0.000384,0.001536,0.118597,0.899459
0.416720,0.017665,0.202984,0.005024,0.049826,0.000768,0.013568,0.000352,0.001409,0.116580,0.902947
0.416688,0.017761,0.203752,0.005216,0.048130,0.000768,0.013825,0.000384,0.001504,0.119012,0.897635
0.432177,0.017569,0.203528,0.005024,0.047554,0.000800,0.013664,0.000352,0.001409,0.112612,0.905891
0.416240,0.017761,0.202696,0.004800,0.047618,0.000736,0.013793,0.000384,0.001440,0.115428,0.893571
0.416881,0.017728,0.203272,0.005057,0.048225,0.000800,0.013697,0.000384,0.001472,0.117573,0.896867
0.416784,0.017441,0.203432,0.005056,0.047842,0.000704,0.013697,0.000384,0.001440,0.104580,0.900803
0.416848,0.017505,0.203912,0.005056,0.047650,0.000704,0.013952,0.000384,0.001408,0.125861,0.917443
0.417872,0.017473,0.202792,0.004992,0.048546,0.000768,0.013537,0.000352,0.001440,0.103844,0.880258
0.415920,0.017601,0.202792,0.005024,0.048226,0.000832,0.013537,0.000320,0.001408,0.105796,0.879170
0.432177,0.018208,0.203560,0.005089,0.047201,0.000512,0.013600,0.000352,0.001504,0.103268,0.901987
0.416785,0.017504,0.202376,0.005089,0.048513,0.000544,0.013632,0.000384,0.001440,0.105924,0.887203
0.417424,0.017505,0.202824,0.004832,0.048546,0.000576,0.013536,0.000352,0.001376,0.101540,0.877378
0.417937,0.017697,0.203880,0.005152,0.050466,0.000800,0.014080,0.000384,0.001441,0.123268,0.909220
0.417168,0.018080,0.203112,0.005024,0.048578,0.000832,0.013505,0.000384,0.001472,0.108548,0.895235
0.415824,0.017633,0.202184,0.005024,0.049122,0.000640,0.013697,0.000384,0.001376,0.110532,0.891203
0.416272,0.017857,0.203272,0.005056,0.049314,0.000704,0.014016,0.000384,0.001344,0.116389,0.893827
0.415920,0.017729,0.217064,0.005185,0.048290,0.000800,0.013440,0.000352,0.001408,0.121125,0.912036
0.418064,0.017537,0.203208,0.005024,0.047170,0.000608,0.013729,0.000416,0.001376,0.112036,0.896291
0.416048,0.017505,0.202920,0.004864,0.047426,0.000576,0.013440,0.000352,0.001440,0.098820,0.877794
0.416016,0.017824,0.202088,0.004800,0.047522,0.000736,0.013409,0.000352,0.001312,0.097060,0.869954
0.429329,0.017441,0.203208,0.004992,0.047458,0.000512,0.013376,0.000352,0.001408,0.105508,0.901795
0.417008,0.017377,0.202760,0.005024,0.047682,0.000576,0.013376,0.000384,0.001376,0.104324,0.884898
0.416048,0.017409,0.202375,0.004865,0.047394,0.000768,0.013376,0.000384,0.001376,0.103236,0.876482
0.416720,0.017793,0.203560,0.004928,0.048162,0.000544,0.013536,0.000384,0.001441,0.108772,0.910403
0.417040,0.017697,0.204104,0.004896,0.047970,0.000832,0.013697,0.000384,0.001440,0.112900,0.888387
0.415824,0.017409,0.203016,0.005088,0.047714,0.000800,0.013857,0.000352,0.001440,0.115140,0.890947
0.416336,0.017281,0.203208,0.005056,0.047618,0.000992,0.013408,0.000352,0.001440,0.100100,0.878210
0.441553,0.017696,0.203272,0.005248,0.047426,0.000992,0.013665,0.000384,0.001408,0.110884,0.910404
0.417681,0.017152,0.203336,0.005057,0.047265,0.000705,0.013408,0.000352,0.001376,0.100900,0.880291
0.417008,0.017345,0.203432,0.005088,0.047266,0.000992,0.013377,0.000352,0.001440,0.102116,0.872546
0.416657,0.017312,0.204200,0.005024,0.047490,0.000480,0.013440,0.000320,0.001408,0.105892,0.876355
0.416561,0.017376,0.202536,0.004897,0.047329,0.000544,0.013473,0.000352,0.001344,0.104004,0.876387
0.415792,0.017441,0.203080,0.004800,0.046946,0.000576,0.013409,0.000384,0.001408,0.105380,0.876866
0.417201,0.017728,0.202920,0.004961,0.046849,0.000833,0.013632,0.000384,0.001376,0.113381,0.884291
0.415888,0.017505,0.204072,0.005056,0.060706,0.000641,0.013408,0.000320,0.001376,0.106148,0.893795
0.416976,0.017568,0.203368,0.005088,0.049058,0.000672,0.013729,0.000352,0.001440,0.105956,0.881827
0.416529,0.017408,0.202311,0.005057,0.048962,0.000832,0.013728,0.000352,0.001376,0.105220,0.884259
0.418097,0.017696,0.203496,0.004993,0.048065,0.000736,0.013728,0.000320,0.001440,0.115909,0.895043
0.430641,0.017889,0.203464,0.004992,0.048482,0.000672,0.014113,0.000320,0.001440,0.110212,0.901316
0.416881,0.017344,0.201960,0.005121,0.048673,0.000800,0.013792,0.000352,0.001440,0.104100,0.877891
0.416369,0.017568,0.203208,0.005057,0.049665,0.000769,0.013504,0.000352,0.001504,0.102532,0.881859
0.418225,0.017504,0.203496,0.005024,0.047618,0.001056,0.013697,0.000320,0.001440,0.107748,0.898755
0.415984,0.017729,0.202568,0.005120,0.048322,0.000768,0.013537,0.000352,0.001408,0.101188,0.870914
0.418289,0.017505,0.203144,0.005056,0.048674,0.000832,0.013600,0.000320,0.001344,0.103428,0.881251
0.416144,0.017665,0.203368,0.005088,0.048290,0.000928,0.013376,0.000352,0.001440,0.102340,0.873890
0.419665,0.017633,0.216616,0.005056,0.047938,0.000896,0.013729,0.000352,0.001408,0.112932,0.904420
