Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],TEE[9-10],classifier
0.417617,0.017856,0.202024,0.005088,0.048546,0.000576,0.014081,0.000384,0.001568,0.118981,0.896323
0.416016,0.017505,0.202408,0.004864,0.047938,0.000800,0.013600,0.000352,0.001536,0.114629,0.889314
0.416720,0.017537,0.201992,0.005120,0.049026,0.000576,0.013569,0.000384,0.001472,0.116484,0.893507
0.438097,0.017601,0.202280,0.004992,0.048642,0.000640,0.013697,0.000320,0.001472,0.112964,0.909220
0.417424,0.017505,0.202280,0.004800,0.050466,0.000576,0.014241,0.000352,0.001568,0.112452,0.891907
0.417745,0.017729,0.202632,0.005024,0.048738,0.000544,0.013600,0.000384,0.001440,0.112677,0.891555
0.416368,0.017633,0.201928,0.005088,0.048194,0.000608,0.013440,0.000352,0.001440,0.113829,0.888898
0.415728,0.017537,0.202376,0.004832,0.048034,0.001024,0.013441,0.000320,0.001440,0.109316,0.884131
0.417297,0.017632,0.201928,0.004769,0.047521,0.000608,0.013441,0.000384,0.001504,0.109828,0.882179
0.415696,0.017761,0.202024,0.004960,0.047234,0.000608,0.013505,0.000352,0.001440,0.119300,0.894499
0.416976,0.035937,0.203431,0.004832,0.047010,0.000992,0.013440,0.000352,0.001440,0.116069,0.911203
0.417168,0.017825,0.202056,0.005088,0.047202,0.000608,0.013568,0.000384,0.001472,0.112837,0.895523
0.416880,0.017600,0.202344,0.004896,0.048322,0.000608,0.013505,0.000352,0.001408,0.107876,0.883203
0.416496,0.018465,0.202376,0.004768,0.048258,0.000576,0.013409,0.000352,0.001376,0.108260,0.883714
0.416080,0.017505,0.202760,0.004800,0.050818,0.000608,0.013537,0.000352,0.001440,0.111588,0.894339
0.416720,0.017505,0.202504,0.004832,0.048290,0.000608,0.013409,0.000384,0.001472,0.112260,0.888483
0.417424,0.017601,0.202408,0.004800,0.048706,0.000544,0.013793,0.000352,0.001472,0.125605,0.913156
0.416784,0.017473,0.217288,0.004865,0.048386,0.000736,0.014304,0.000352,0.001568,0.113637,0.903587
0.417648,0.017825,0.204008,0.004896,0.048546,0.000800,0.014337,0.000352,0.001440,0.116772,0.901283
0.416113,0.017440,0.202056,0.004800,0.048450,0.000576,0.013921,0.000352,0.001504,0.116005,0.890563
0.416849,0.017665,0.201959,0.004801,0.048834,0.000544,0.013664,0.000352,0.001504,0.118053,0.902372
0.416368,0.017505,0.201896,0.004864,0.049186,0.000544,0.013729,0.000384,0.001472,0.119941,0.900867
0.417296,0.017569,0.202408,0.004832,0.049602,0.000544,0.013568,0.000385,0.001376,0.112836,0.894435
0.417232,0.017569,0.201992,0.004768,0.049186,0.000544,0.013441,0.000384,0.001504,0.117637,0.896835
0.417232,0.017729,0.231049,0.005088,0.048354,0.000576,0.013473,0.000384,0.001504,0.114820,0.926948
0.416369,0.017441,0.202407,0.004769,0.048034,0.000992,0.013408,0.000320,0.001376,0.113285,0.890115
0.417393,0.017280,0.202951,0.004865,0.048194,0.000608,0.013504,0.000352,0.001440,0.119333,0.897923
0.416976,0.017665,0.201832,0.004800,0.047074,0.000608,0.013440,0.000384,0.001408,0.118404,0.895075
0.418480,0.017344,0.202600,0.004800,0.047234,0.000544,0.013441,0.000384,0.001472,0.112932,0.890723
0.416657,0.017504,0.202920,0.004833,0.047105,0.000544,0.013440,0.000384,0.001472,0.108932,0.884131
0.416081,0.017505,0.202792,0.004864,0.046946,0.000608,0.013408,0.000352,0.001440,0.113221,0.886627
0.452018,0.017888,0.203176,0.004769,0.047361,0.000992,0.013440,0.000384,0.001408,0.123045,0.937573
0.416752,0.017761,0.201960,0.004896,0.049026,0.000544,0.013409,0.000352,0.001408,0.114436,0.892707
0.416368,0.017281,0.202888,0.004864,0.048738,0.000608,0.013472,0.000384,0.001472,0.116293,0.898499
0.415664,0.017696,0.202088,0.004864,0.048066,0.000576,0.013377,0.000320,0.001472,0.115685,0.891491
0.415729,0.017696,0.201992,0.004768,0.047650,0.000608,0.013441,0.000352,0.001408,0.113092,0.893667
0.416432,0.017281,0.202120,0.004800,0.047170,0.000576,0.013440,0.000384,0.001504,0.117349,0.892099
0.415536,0.017536,0.202088,0.004832,0.046914,0.000608,0.013441,0.000352,0.001440,0.114436,0.889539
0.434161,0.017344,0.205320,0.004801,0.047138,0.000992,0.013408,0.000384,0.001440,0.117157,0.915875
0.416081,0.017440,0.202600,0.004768,0.048673,0.000576,0.013569,0.000416,0.001536,0.116389,0.895043
0.416752,0.017601,0.202248,0.004896,0.049250,0.000576,0.013505,0.000384,0.001536,0.116836,0.894531
0.415633,0.017696,0.202248,0.005025,0.049986,0.000768,0.013792,0.000352,0.001536,0.114917,0.894275
0.415888,0.017184,0.202056,0.004896,0.048674,0.000576,0.013569,0.000320,0.001472,0.113924,0.890083
0.415824,0.017441,0.202024,0.005216,0.049154,0.000576,0.014016,0.000352,0.001504,0.113668,0.896067
0.417008,0.017601,0.201896,0.005216,0.051106,0.000576,0.013825,0.000320,0.001504,0.116772,0.897955
0.435377,0.017601,0.202311,0.005313,0.048930,0.000576,0.013568,0.000352,0.001504,0.114757,0.915715
0.416208,0.017473,0.202920,0.004800,0.050306,0.000736,0.014208,0.000320,0.001473,0.118180,0.902083
0.417616,0.017537,0.202248,0.004768,0.048866,0.000768,0.013665,0.000384,0.001472,0.113924,0.895203
0.417168,0.017537,0.201896,0.004800,0.048834,0.000736,0.013729,0.000384,0.001440,0.138853,0.916996
0.416177,0.017312,0.202120,0.005025,0.049058,0.000576,0.013760,0.000384,0.001504,0.116613,0.895011
0.415793,0.017345,0.202216,0.005312,0.049762,0.000736,0.014304,0.000352,0.001472,0.120037,0.897988
0.415696,0.017313,0.202120,0.004800,0.050370,0.000768,0.014049,0.000384,0.001536,0.115364,0.889987
0.435857,0.017345,0.202600,0.004832,0.048770,0.000800,0.013473,0.000352,0.001472,0.117733,0.913636
0.415984,0.017473,0.202056,0.004832,0.048546,0.000576,0.013472,0.000352,0.001536,0.115493,0.895811
0.415792,0.017249,0.201992,0.004832,0.049858,0.000608,0.014209,0.000320,0.001408,0.119172,0.895363
0.415793,0.017536,0.201992,0.004864,0.048226,0.000576,0.013633,0.000352,0.001408,0.130981,0.905476
0.415568,0.017281,0.202120,0.004832,0.047554,0.000608,0.013537,0.000384,0.001408,0.117444,0.895107
0.416049,0.017344,0.201960,0.004801,0.047233,0.000576,0.013472,0.000384,0.001504,0.115237,0.889699
0.415824,0.017505,0.202376,0.004864,0.049986,0.000640,0.013537,0.000352,0.001504,0.115172,0.892163
0.433713,0.017344,0.202664,0.004768,0.048386,0.000576,0.013793,0.000384,0.001472,0.115493,0.906756
0.415344,0.017441,0.202632,0.004832,0.050050,0.000768,0.013633,0.000352,0.001536,0.120484,0.899651
0.415984,0.017185,0.202088,0.005024,0.048066,0.000576,0.013409,0.000352,0.001472,0.117732,0.893475
0.416496,0.017697,0.202728,0.004832,0.068931,0.000640,0.013632,0.000352,0.001440,0.120549,0.920580
