Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.415985,0.017536,0.202408,0.005185,0.066850,0.000896,0.013633,0.165350,0.002208,0.001088,0.000385,0.899684
0.416144,0.017601,0.202632,0.005280,0.048578,0.000832,0.013505,0.172006,0.002304,0.000960,0.000352,0.889443
0.416241,0.017536,0.202215,0.005249,0.047586,0.000992,0.013440,0.170215,0.002176,0.000896,0.000384,0.884227
0.416432,0.017441,0.202120,0.005312,0.048002,0.000832,0.013312,0.172295,0.002240,0.000928,0.000352,0.887618
0.435473,0.017729,0.202696,0.005280,0.048098,0.000800,0.013376,0.171367,0.002336,0.000960,0.000384,0.906883
0.416144,0.017569,0.202568,0.005024,0.047522,0.000800,0.013408,0.165511,0.002144,0.001056,0.000672,0.880354
0.416240,0.017793,0.202120,0.004992,0.048578,0.000832,0.013472,0.172679,0.002176,0.000992,0.000576,0.888482
0.416304,0.017697,0.202600,0.005248,0.047490,0.000800,0.013345,0.191751,0.002240,0.000960,0.000384,0.906851
0.416529,0.017376,0.202056,0.005025,0.047457,0.000769,0.013600,0.171495,0.002176,0.000896,0.000544,0.885635
0.416048,0.017473,0.202504,0.005184,0.047202,0.000992,0.013345,0.178279,0.002080,0.000928,0.000576,0.891939
0.418352,0.017569,0.201800,0.005216,0.047074,0.001024,0.013345,0.167846,0.002048,0.000992,0.000352,0.883170
0.433169,0.017568,0.203368,0.005248,0.046946,0.000864,0.013409,0.173415,0.002336,0.000992,0.000384,0.906276
0.416656,0.017697,0.201928,0.005472,0.047778,0.000832,0.013441,0.162310,0.002112,0.000864,0.000384,0.876770
0.416753,0.017696,0.201992,0.005089,0.047521,0.000800,0.013408,0.174087,0.002048,0.001024,0.000416,0.888387
0.416016,0.017601,0.203240,0.005216,0.046946,0.001024,0.013345,0.209896,0.002336,0.001120,0.000384,0.925636
0.415920,0.017409,0.201959,0.005281,0.046882,0.001024,0.013344,0.171879,0.001984,0.000832,0.000352,0.884451
0.417329,0.017600,0.202152,0.004993,0.047425,0.000800,0.013376,0.169863,0.002144,0.000896,0.000384,0.884803
0.415633,0.017440,0.202376,0.004960,0.047041,0.001024,0.013345,0.167911,0.001952,0.000896,0.000352,0.880355
0.435089,0.017313,0.202728,0.005312,0.046978,0.000864,0.013313,0.176743,0.002112,0.000896,0.000384,0.909508
0.416944,0.017249,0.201992,0.004992,0.047170,0.000864,0.013344,0.167975,0.001952,0.001024,0.000384,0.880354
0.415888,0.017600,0.201960,0.005056,0.047266,0.000864,0.013313,0.152966,0.002272,0.000960,0.000608,0.866306
0.416849,0.017248,0.201992,0.005281,0.047137,0.000992,0.013377,0.169543,0.002944,0.001056,0.000384,0.885443
0.416304,0.017345,0.201960,0.005248,0.046946,0.000768,0.013473,0.174982,0.002336,0.000896,0.000384,0.887875
0.417008,0.017377,0.202728,0.005216,0.046882,0.000992,0.013377,0.175271,0.002112,0.000992,0.000608,0.890595
0.415408,0.017697,0.202344,0.005120,0.047298,0.000800,0.013345,0.159590,0.002304,0.000928,0.000320,0.872386
0.449586,0.018336,0.202440,0.005281,0.046817,0.001024,0.013345,0.175879,0.002048,0.000992,0.000352,0.923940
0.416112,0.017825,0.201960,0.005120,0.047330,0.000768,0.013377,0.167814,0.002144,0.000896,0.000352,0.881123
0.416689,0.017568,0.202248,0.004993,0.046817,0.000800,0.013313,0.163366,0.002400,0.000960,0.000352,0.876963
0.415408,0.017665,0.202504,0.005504,0.047362,0.000608,0.013344,0.169639,0.003488,0.001056,0.000352,0.884450
0.415664,0.017249,0.202184,0.004960,0.046722,0.000576,0.013312,0.153510,0.002176,0.001088,0.000352,0.865410
0.417360,0.017952,0.204072,0.005024,0.047202,0.000896,0.013537,0.171623,0.002368,0.001024,0.000352,0.889699
0.417616,0.017760,0.203496,0.005056,0.047810,0.000800,0.013793,0.188199,0.002496,0.001024,0.000416,0.907620
0.416272,0.017633,0.220265,0.005184,0.047586,0.000800,0.013408,0.174951,0.002144,0.001089,0.000384,0.908004
0.417232,0.017793,0.202280,0.005280,0.047458,0.000992,0.013473,0.177671,0.002208,0.001056,0.000352,0.894979
0.416048,0.017761,0.202792,0.005088,0.047682,0.000832,0.013441,0.174598,0.002145,0.001088,0.000320,0.890499
0.416240,0.017536,0.202824,0.005024,0.048930,0.000800,0.013633,0.171303,0.002176,0.001184,0.000384,0.888931
0.416144,0.017473,0.202408,0.005024,0.048450,0.000800,0.013696,0.173543,0.002432,0.001088,0.000352,0.889890
0.416752,0.017665,0.202568,0.005024,0.048226,0.000800,0.013472,0.172903,0.002336,0.001344,0.000448,0.890050
0.416785,0.017729,0.202312,0.005088,0.048738,0.000768,0.013664,0.173927,0.002240,0.001088,0.000352,0.890787
0.416912,0.017729,0.219496,0.004929,0.049793,0.000833,0.013504,0.177991,0.002208,0.001056,0.000352,0.913059
0.416624,0.017665,0.202568,0.005312,0.049026,0.000832,0.013505,0.172134,0.002497,0.000960,0.000352,0.889763
0.416080,0.017601,0.202824,0.005184,0.047458,0.000960,0.013440,0.169863,0.002624,0.000992,0.000384,0.886562
0.416753,0.017953,0.202439,0.004993,0.047970,0.000832,0.013440,0.185127,0.002465,0.000960,0.000384,0.901796
0.417872,0.017825,0.203624,0.005344,0.048290,0.000800,0.013537,0.173607,0.002272,0.001120,0.000352,0.892963
0.417168,0.017505,0.202760,0.005248,0.048418,0.000800,0.013889,0.176454,0.002240,0.000960,0.000320,0.894659
0.416849,0.017633,0.202215,0.005025,0.047650,0.000864,0.013472,0.180423,0.002368,0.001152,0.000384,0.896420
0.437489,0.017825,0.202055,0.005025,0.047554,0.000800,0.013920,0.193192,0.002240,0.001120,0.000352,0.930500
0.416912,0.017473,0.202504,0.005280,0.048002,0.000800,0.013824,0.167943,0.002272,0.000992,0.000352,0.884546
0.416592,0.017665,0.203304,0.005184,0.048162,0.000800,0.013409,0.174150,0.002337,0.000896,0.000352,0.890979
0.416432,0.017729,0.202344,0.005056,0.049762,0.000864,0.013761,0.177831,0.002240,0.001088,0.000352,0.895075
0.417552,0.017792,0.203304,0.004992,0.048514,0.000800,0.013441,0.165734,0.002145,0.001024,0.000384,0.883811
0.416688,0.017569,0.203144,0.005024,0.048066,0.000864,0.013537,0.171910,0.002368,0.000960,0.000384,0.888515
0.416337,0.017696,0.202600,0.005121,0.047489,0.000897,0.013344,0.159686,0.002336,0.001153,0.000352,0.875171
