Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.434385,0.017889,0.202568,0.005088,0.048322,0.000800,0.014273,0.178183,0.002880,0.001344,0.000608,0.914756
0.416337,0.017601,0.202471,0.005024,0.048610,0.000768,0.013920,0.183335,0.002401,0.001408,0.000352,0.900132
0.416848,0.017761,0.202440,0.005120,0.049154,0.000992,0.013697,0.181095,0.002432,0.001600,0.000384,0.899715
0.417297,0.017825,0.223720,0.005409,0.047425,0.000768,0.013473,0.177927,0.002848,0.001216,0.000416,0.918212
0.416465,0.017440,0.202248,0.005281,0.048002,0.000800,0.013440,0.173543,0.002432,0.001088,0.000416,0.889283
0.417297,0.017760,0.202024,0.005249,0.048385,0.000800,0.013440,0.177191,0.002944,0.001120,0.000352,0.894659
0.417585,0.017729,0.201960,0.005184,0.047426,0.000832,0.013472,0.170887,0.002624,0.000960,0.000384,0.887075
0.415921,0.017504,0.203048,0.005185,0.047649,0.000768,0.013472,0.184487,0.002368,0.001313,0.000384,0.900260
0.416496,0.017761,0.202280,0.005024,0.049026,0.000800,0.013472,0.181575,0.002528,0.001088,0.000352,0.898467
0.416816,0.017665,0.202152,0.005024,0.047810,0.000864,0.013344,0.177127,0.002689,0.001120,0.000352,0.892643
0.416113,0.017760,0.222665,0.005120,0.048354,0.000800,0.013441,0.176135,0.002464,0.000992,0.000352,0.912196
0.416145,0.017505,0.202759,0.005376,0.047266,0.000768,0.013568,0.167303,0.002432,0.001024,0.000320,0.882563
0.416400,0.017473,0.202952,0.005120,0.047170,0.000832,0.013441,0.177671,0.002624,0.001024,0.000384,0.892771
0.416209,0.017633,0.202184,0.005216,0.047266,0.001024,0.013376,0.172359,0.002784,0.001536,0.000352,0.889027
0.416753,0.017665,0.202119,0.005313,0.047554,0.000928,0.013376,0.170215,0.002528,0.001152,0.000320,0.885923
0.416432,0.017696,0.202952,0.005344,0.047618,0.000832,0.013377,0.178471,0.002368,0.000960,0.000384,0.894307
0.417200,0.017761,0.202600,0.005312,0.048418,0.000576,0.013568,0.178343,0.002752,0.001089,0.000384,0.896003
0.417360,0.017633,0.233737,0.005152,0.047810,0.000832,0.013921,0.182727,0.002592,0.000960,0.000384,0.931748
0.417456,0.017729,0.202088,0.005024,0.047618,0.000832,0.013504,0.179527,0.002817,0.001024,0.000384,0.895651
0.416977,0.017697,0.202279,0.005121,0.048098,0.001056,0.013408,0.182279,0.002752,0.001121,0.000384,0.899364
0.416945,0.017760,0.202920,0.005249,0.048642,0.000832,0.013504,0.176551,0.002624,0.001056,0.000384,0.894467
0.418096,0.017409,0.202504,0.005024,0.047682,0.000800,0.013473,0.181351,0.002656,0.001120,0.000416,0.898947
0.416656,0.017440,0.202792,0.005344,0.048194,0.000768,0.013409,0.174183,0.002720,0.001056,0.000576,0.891043
0.416176,0.017601,0.202568,0.005024,0.047842,0.000832,0.013409,0.167910,0.002592,0.001184,0.000352,0.884354
0.431921,0.017600,0.202312,0.005216,0.048290,0.000800,0.013473,0.167495,0.002688,0.001184,0.000608,0.899907
0.415952,0.017825,0.202216,0.004992,0.048642,0.000800,0.014561,0.174982,0.002657,0.001120,0.000384,0.892291
0.416849,0.017856,0.201928,0.005216,0.047682,0.000832,0.013505,0.163014,0.002528,0.001025,0.000384,0.878819
0.415696,0.017441,0.202536,0.005024,0.047650,0.000800,0.013504,0.172679,0.002368,0.001152,0.000352,0.887426
0.417553,0.017729,0.202151,0.005185,0.047938,0.000768,0.013472,0.169095,0.002624,0.001152,0.000352,0.885955
0.416656,0.017952,0.201896,0.005280,0.048674,0.000864,0.013345,0.170631,0.002752,0.001184,0.000352,0.887715
0.416400,0.017665,0.202024,0.005024,0.048546,0.000800,0.013408,0.176263,0.002689,0.001152,0.000320,0.892323
0.432401,0.017601,0.202536,0.005312,0.047650,0.000832,0.013441,0.167494,0.002464,0.001056,0.000352,0.899395
0.416816,0.017505,0.202120,0.005248,0.048354,0.000768,0.013633,0.167302,0.002624,0.001056,0.000352,0.883522
0.416656,0.017792,0.202344,0.005056,0.047586,0.000832,0.013601,0.173671,0.002432,0.001152,0.000384,0.891491
0.417233,0.017664,0.202216,0.005088,0.047938,0.000800,0.013409,0.176231,0.002784,0.000992,0.000608,0.893251
0.416272,0.017665,0.203176,0.005088,0.047970,0.000800,0.013761,0.168070,0.002752,0.001088,0.000320,0.885475
0.416017,0.017760,0.203207,0.005345,0.049250,0.001024,0.014176,0.164903,0.002720,0.001120,0.000640,0.884323
0.416240,0.017857,0.202664,0.005120,0.048354,0.000576,0.013473,0.173446,0.002784,0.001120,0.000544,0.890115
0.436593,0.017633,0.202536,0.005280,0.048386,0.000832,0.013377,0.171910,0.003137,0.001024,0.000608,0.909572
0.418128,0.017825,0.204680,0.005056,0.047394,0.000800,0.013440,0.182664,0.002528,0.001248,0.000384,0.902947
0.417776,0.017569,0.202664,0.005280,0.048386,0.000832,0.013505,0.178055,0.002784,0.000992,0.000576,0.896963
0.417424,0.017761,0.203272,0.005312,0.047746,0.000768,0.013409,0.202439,0.005888,0.001184,0.000384,0.924644
0.416753,0.017760,0.202664,0.005025,0.049058,0.000864,0.013440,0.166183,0.002400,0.000960,0.000608,0.883907
0.416336,0.017729,0.202408,0.005280,0.047650,0.000992,0.013472,0.178695,0.002753,0.001056,0.000352,0.895523
0.417456,0.017985,0.202792,0.005184,0.048226,0.000768,0.014016,0.172167,0.002432,0.001088,0.000576,0.890850
0.429521,0.017793,0.202824,0.005056,0.049154,0.000832,0.013952,0.181704,0.002784,0.001088,0.000320,0.913604
0.416656,0.017889,0.202536,0.005024,0.048354,0.000864,0.013472,0.180327,0.002497,0.001088,0.000320,0.897251
0.416048,0.017665,0.202792,0.005248,0.047874,0.000800,0.013889,0.174791,0.002560,0.001184,0.000320,0.891715
0.416592,0.017537,0.202536,0.005216,0.050562,0.000832,0.013633,0.200744,0.002848,0.001056,0.000352,0.920068
0.417136,0.017569,0.203464,0.004960,0.048674,0.000800,0.013473,0.167270,0.002912,0.001024,0.000320,0.886210
0.416496,0.017633,0.202824,0.004896,0.047842,0.000800,0.013440,0.182375,0.002465,0.000992,0.000384,0.898723
0.416080,0.017761,0.202440,0.005024,0.047522,0.000992,0.013472,0.170439,0.002496,0.001088,0.000384,0.886082
0.432177,0.017729,0.202344,0.005280,0.047618,0.000864,0.013472,0.160199,0.002592,0.001024,0.000352,0.891971
0.416720,0.017473,0.202792,0.004992,0.047522,0.000768,0.013537,0.169446,0.002720,0.001248,0.000353,0.886147
0.416561,0.017952,0.202151,0.004865,0.047394,0.000800,0.013440,0.176519,0.002816,0.001056,0.000352,0.892099
0.417040,0.017921,0.202120,0.005056,0.047970,0.000832,0.013537,0.210664,0.002848,0.001184,0.000384,0.928868
0.416465,0.017632,0.202440,0.005313,0.048034,0.000800,0.013376,0.177063,0.002208,0.001568,0.000384,0.893411
0.417297,0.017505,0.202056,0.005056,0.048322,0.000864,0.013600,0.177831,0.002848,0.001504,0.000320,0.895908
0.416240,0.017665,0.203336,0.005376,0.050658,0.000832,0.013633,0.170502,0.002528,0.000992,0.000352,0.890755
0.434321,0.017729,0.202696,0.005056,0.049026,0.000800,0.013504,0.175239,0.002944,0.001152,0.000352,0.911780
0.416241,0.017952,0.202376,0.005281,0.047905,0.000800,0.013472,0.170759,0.002912,0.001056,0.000352,0.887779
0.416144,0.017729,0.202664,0.005216,0.047266,0.000800,0.013633,0.170183,0.002880,0.001152,0.000320,0.886787
0.415632,0.017889,0.202568,0.005152,0.064675,0.000864,0.013728,0.168071,0.002880,0.001216,0.000352,0.901315
0.416624,0.017729,0.202696,0.005248,0.048674,0.001056,0.013473,0.179015,0.002624,0.001184,0.000576,0.897219
0.416016,0.017601,0.202504,0.005024,0.048226,0.000800,0.013473,0.170822,0.002305,0.001120,0.000320,0.886499
0.416592,0.017440,0.203528,0.005248,0.047714,0.000832,0.013409,0.169607,0.002656,0.001120,0.000384,0.886915
0.435025,0.017729,0.202440,0.005088,0.048130,0.000800,0.013696,0.173062,0.002496,0.001313,0.000384,0.908644
0.416177,0.017856,0.203624,0.005249,0.048002,0.000800,0.013440,0.169927,0.002592,0.001056,0.000320,0.886883
0.416720,0.017537,0.203368,0.004992,0.048226,0.000832,0.013409,0.179975,0.002944,0.001408,0.000352,0.898851
0.417712,0.017889,0.202728,0.004992,0.070083,0.000832,0.013505,0.175750,0.002624,0.001184,0.000352,0.916004
0.418128,0.017473,0.202568,0.004992,0.048834,0.000800,0.013473,0.164902,0.002400,0.001280,0.000352,0.884194
0.416529,0.017568,0.201960,0.005313,0.047521,0.000800,0.013504,0.181223,0.002656,0.001120,0.000384,0.896611
0.417456,0.017697,0.203048,0.005248,0.048418,0.000800,0.014209,0.162406,0.002688,0.001184,0.000384,0.882306
0.432689,0.018113,0.203016,0.005312,0.049154,0.000800,0.014016,0.168231,0.002624,0.001248,0.000352,0.903811
0.416816,0.017441,0.202344,0.005248,0.048610,0.000832,0.013984,0.166599,0.002688,0.000960,0.000384,0.884418
0.416657,0.017761,0.202696,0.005024,0.049346,0.000864,0.013728,0.172903,0.002720,0.001056,0.000384,0.891523
0.416881,0.017408,0.221225,0.005152,0.047586,0.000544,0.013505,0.169222,0.002592,0.001249,0.000384,0.905508
0.415921,0.017664,0.202248,0.005281,0.049506,0.000832,0.013664,0.169095,0.002464,0.001280,0.000384,0.886691
0.416337,0.018144,0.202344,0.005281,0.047489,0.000896,0.013409,0.182567,0.002432,0.001344,0.000384,0.899203
0.417585,0.017504,0.203463,0.005377,0.047362,0.000800,0.013472,0.170759,0.002432,0.001120,0.000384,0.888131
0.433105,0.017856,0.202664,0.005057,0.047137,0.000865,0.013568,0.178407,0.002496,0.001216,0.000352,0.912259
0.416624,0.017953,0.202120,0.005216,0.047202,0.000768,0.013729,0.168422,0.002528,0.001024,0.000384,0.884067
0.416592,0.017537,0.202088,0.005312,0.047810,0.001056,0.013441,0.168038,0.002625,0.000960,0.000320,0.884419
0.415952,0.017376,0.221129,0.005184,0.047842,0.000800,0.013665,0.174951,0.002656,0.000992,0.000384,0.909476
0.416145,0.017568,0.204456,0.004961,0.047201,0.000832,0.013441,0.161446,0.002528,0.000896,0.000384,0.877315
0.417329,0.017728,0.202600,0.005472,0.046946,0.000992,0.013537,0.175335,0.002656,0.001056,0.000416,0.892259
0.415984,0.017473,0.202792,0.005280,0.047330,0.001024,0.013441,0.171943,0.002112,0.000864,0.000352,0.886467
0.432433,0.017953,0.202440,0.005312,0.047042,0.000832,0.013441,0.157766,0.002688,0.000960,0.000416,0.888995
0.416081,0.017440,0.202248,0.005057,0.047009,0.000800,0.013409,0.157414,0.003040,0.001088,0.000352,0.872194
0.415889,0.017696,0.202280,0.005024,0.046817,0.000800,0.013409,0.162950,0.002624,0.001057,0.000384,0.876483
0.416304,0.017697,0.202248,0.005184,0.064387,0.000864,0.013440,0.164967,0.002080,0.001056,0.000608,0.896963
0.416816,0.021249,0.202248,0.005344,0.046882,0.000576,0.013345,0.166438,0.002145,0.000896,0.000384,0.883619
0.416433,0.017825,0.202087,0.005345,0.047234,0.000576,0.013344,0.165895,0.002656,0.000960,0.000384,0.882243
0.415921,0.017633,0.201959,0.005121,0.046882,0.000768,0.013376,0.157190,0.002560,0.000960,0.000320,0.870499
0.432273,0.017665,0.202247,0.004865,0.046914,0.000576,0.013408,0.169671,0.001952,0.000992,0.000352,0.898371
0.416336,0.017569,0.202440,0.005344,0.046946,0.000832,0.013569,0.165030,0.002752,0.000992,0.000352,0.880386
0.416337,0.017504,0.202728,0.005280,0.047522,0.000800,0.013409,0.169159,0.002464,0.001056,0.000384,0.883747
0.419312,0.017953,0.203816,0.005088,0.048418,0.000768,0.013921,0.229321,0.002816,0.001632,0.000384,0.953285
0.416176,0.017729,0.202408,0.005280,0.049538,0.000832,0.013889,0.180007,0.002656,0.001184,0.000352,0.898275
0.416752,0.017921,0.202248,0.005280,0.047586,0.001024,0.013632,0.174183,0.003072,0.001440,0.000352,0.891298
0.417041,0.017920,0.202535,0.004993,0.047746,0.000864,0.013376,0.182087,0.002240,0.001120,0.000384,0.898372
0.433841,0.017857,0.202536,0.005120,0.047394,0.001024,0.013409,0.171174,0.002529,0.001088,0.000352,0.904420
0.417041,0.017536,0.202568,0.005248,0.047361,0.001024,0.013473,0.176871,0.002464,0.001248,0.000384,0.894435
0.417936,0.017600,0.202376,0.005280,0.047490,0.000992,0.013505,0.165510,0.002657,0.000896,0.000320,0.882947
0.416529,0.018017,0.203336,0.004992,0.069507,0.000864,0.013568,0.174983,0.002304,0.001504,0.000320,0.915300
0.417264,0.017921,0.202568,0.005344,0.047010,0.000832,0.013440,0.173542,0.002464,0.001569,0.000416,0.890787
0.415824,0.017985,0.202696,0.005024,0.047522,0.000832,0.013440,0.183943,0.002497,0.001152,0.000384,0.899940
0.416240,0.017505,0.202504,0.005152,0.047938,0.000832,0.013408,0.180519,0.002656,0.001089,0.000352,0.896323
0.434449,0.017761,0.202152,0.004992,0.047938,0.000800,0.013344,0.184872,0.002752,0.001024,0.000352,0.919268
0.416432,0.017729,0.203112,0.005312,0.049346,0.000800,0.013345,0.177127,0.003008,0.001152,0.000352,0.895651
0.417296,0.017921,0.203560,0.005056,0.047554,0.000832,0.013441,0.184519,0.002752,0.001152,0.000608,0.903075
0.418512,0.017921,0.222377,0.005408,0.048674,0.000864,0.013856,0.189640,0.003648,0.001408,0.000576,0.931940
0.417136,0.017921,0.203240,0.005248,0.048770,0.000896,0.014273,0.180071,0.002912,0.001280,0.000352,0.901251
0.416529,0.017697,0.202759,0.005056,0.048514,0.000768,0.013600,0.188552,0.002848,0.001152,0.000352,0.905732
0.417040,0.017889,0.202824,0.004992,0.047778,0.000832,0.013633,0.175814,0.002304,0.001120,0.000352,0.893283
0.416848,0.017697,0.202568,0.005024,0.047682,0.000800,0.014272,0.179559,0.002753,0.001280,0.000320,0.897155
0.416144,0.017633,0.202376,0.005088,0.048578,0.000800,0.014080,0.185000,0.002944,0.001120,0.000352,0.902723
0.416017,0.017889,0.202344,0.005248,0.048226,0.000832,0.013696,0.184583,0.002720,0.001408,0.000384,0.901828
0.416784,0.034754,0.202408,0.005056,0.048386,0.000832,0.013824,0.177319,0.002560,0.001120,0.000352,0.912292
0.416497,0.017984,0.202344,0.005249,0.047585,0.000801,0.013792,0.174535,0.002912,0.001120,0.000608,0.891427
0.416561,0.017696,0.202376,0.005408,0.047810,0.000768,0.013569,0.173479,0.002464,0.001184,0.000352,0.889891
0.416496,0.017761,0.202376,0.005312,0.048738,0.000768,0.013569,0.176295,0.002720,0.001120,0.000320,0.893539
0.417105,0.017568,0.202472,0.005057,0.047937,0.000833,0.013888,0.179463,0.002592,0.001216,0.000544,0.898243
0.416816,0.017792,0.204936,0.004928,0.048417,0.000928,0.013729,0.182343,0.002688,0.001376,0.000352,0.902339
0.417936,0.017504,0.203016,0.005088,0.048066,0.000800,0.014081,0.180039,0.002848,0.001152,0.000320,0.900003
0.435537,0.018432,0.202760,0.005408,0.048610,0.000800,0.013985,0.172327,0.003008,0.001056,0.000576,0.910628
0.416944,0.017473,0.202632,0.005088,0.048514,0.000768,0.013633,0.167558,0.002720,0.001184,0.000320,0.885250
0.416625,0.017824,0.202440,0.005281,0.048097,0.000769,0.014080,0.172071,0.002592,0.000992,0.000320,0.889091
0.416400,0.017505,0.202280,0.005056,0.049314,0.000768,0.013984,0.173639,0.002816,0.001344,0.000352,0.892067
0.416944,0.017729,0.202600,0.005120,0.048162,0.000800,0.013568,0.170215,0.002688,0.001056,0.000352,0.887202
0.416080,0.017761,0.201960,0.005408,0.048002,0.000896,0.013793,0.168614,0.002400,0.001024,0.000353,0.884291
0.416272,0.017697,0.202920,0.005024,0.048482,0.000768,0.013697,0.162598,0.002880,0.000992,0.000320,0.879842
0.440978,0.017504,0.203144,0.005089,0.047905,0.000800,0.013505,0.177991,0.003360,0.001152,0.000608,0.921284
0.417073,0.017984,0.202504,0.005345,0.048449,0.000800,0.013889,0.171335,0.002880,0.001024,0.000608,0.889795
0.416336,0.017920,0.202632,0.005344,0.047298,0.000800,0.013377,0.175847,0.002464,0.000992,0.000352,0.891715
0.417616,0.017697,0.202312,0.005056,0.048450,0.000800,0.013633,0.194727,0.003008,0.001248,0.000576,0.913188
0.416241,0.018432,0.202280,0.005025,0.048449,0.000801,0.013440,0.176647,0.002720,0.001120,0.000544,0.894371
0.417073,0.017600,0.202120,0.005025,0.048802,0.000800,0.013440,0.174183,0.002624,0.001184,0.000608,0.891523
0.416913,0.017664,0.202376,0.005249,0.048417,0.000833,0.013472,0.187079,0.002913,0.001248,0.000608,0.905092
0.432368,0.017792,0.202408,0.005312,0.048994,0.000800,0.013505,0.178119,0.002720,0.001056,0.000576,0.911716
0.416816,0.017409,0.202728,0.005248,0.048418,0.000832,0.013473,0.170022,0.002400,0.000992,0.000416,0.887363
0.416720,0.017792,0.202056,0.005024,0.048642,0.000800,0.013313,0.167302,0.002977,0.000992,0.000352,0.884643
0.416592,0.017921,0.202184,0.005216,0.048162,0.001056,0.013441,0.192903,0.002848,0.001088,0.000576,0.911587
0.416369,0.017728,0.202632,0.005025,0.048193,0.000577,0.013440,0.172391,0.002368,0.001408,0.000576,0.889251
0.417233,0.017664,0.202504,0.005313,0.047809,0.000832,0.013664,0.177415,0.002688,0.000960,0.000384,0.895427
0.416976,0.017505,0.202152,0.005056,0.047554,0.000832,0.013441,0.174279,0.002656,0.001088,0.000384,0.890179
0.446609,0.017761,0.202120,0.005280,0.047970,0.000832,0.013473,0.175079,0.002528,0.000928,0.000384,0.922212
0.417264,0.017249,0.202184,0.005408,0.048418,0.000864,0.013440,0.179495,0.003393,0.001152,0.000320,0.897860
0.416080,0.017697,0.202504,0.004960,0.048194,0.000800,0.013440,0.180455,0.002817,0.000992,0.000384,0.897379
0.416081,0.017632,0.202088,0.005345,0.048385,0.001024,0.013344,0.210984,0.003009,0.001088,0.000352,0.927525
0.416400,0.017888,0.202248,0.005248,0.047970,0.000800,0.013409,0.174055,0.002880,0.001056,0.000352,0.891043
0.416592,0.017760,0.202120,0.005088,0.047746,0.000864,0.013409,0.161798,0.003008,0.000992,0.000352,0.878051
0.416720,0.017856,0.202632,0.005344,0.047906,0.000832,0.013569,0.170119,0.002560,0.001056,0.000320,0.888675
0.434705,0.017729,0.202216,0.005280,0.048482,0.000800,0.014337,0.176295,0.002720,0.001184,0.000320,0.912708
0.416720,0.017761,0.202344,0.005344,0.047906,0.000832,0.013569,0.172966,0.002496,0.001120,0.000320,0.890723
0.416880,0.017537,0.202312,0.004864,0.048258,0.000800,0.013472,0.171367,0.002880,0.001248,0.000320,0.888610
0.417232,0.017728,0.202280,0.005248,0.047074,0.000800,0.013281,0.259818,0.002656,0.001088,0.000352,0.977606
0.416688,0.018016,0.202312,0.004864,0.047746,0.000800,0.013409,0.173383,0.002592,0.001280,0.000384,0.889731
0.416944,0.017985,0.202408,0.005056,0.047746,0.000928,0.013409,0.175495,0.003072,0.001312,0.000352,0.893795
0.415792,0.017857,0.202408,0.005024,0.048418,0.001056,0.013344,0.178855,0.002368,0.001376,0.000384,0.895267
0.431153,0.018145,0.202088,0.005248,0.047842,0.000800,0.013504,0.174375,0.002688,0.001120,0.000384,0.905379
0.416592,0.017856,0.203016,0.005024,0.047554,0.001024,0.013473,0.160774,0.002848,0.001056,0.000608,0.877827
0.417041,0.017793,0.202535,0.005025,0.047426,0.001024,0.013504,0.175847,0.003072,0.001120,0.000608,0.893187
0.416145,0.017888,0.223945,0.005152,0.049282,0.000768,0.013761,0.173831,0.002528,0.001120,0.000320,0.913828
0.417009,0.017824,0.202536,0.005121,0.048642,0.000768,0.013440,0.178215,0.002528,0.001088,0.000608,0.896099
0.416177,0.017504,0.202280,0.005025,0.048545,0.000800,0.013376,0.176263,0.002560,0.001152,0.000608,0.893379
0.417168,0.017697,0.202376,0.004960,0.047618,0.000832,0.013345,0.178375,0.002880,0.000896,0.000576,0.894531
0.435185,0.017729,0.202504,0.004992,0.048386,0.000800,0.013441,0.179175,0.002816,0.001184,0.000576,0.916324
0.416112,0.017729,0.203080,0.005024,0.048322,0.000832,0.013888,0.174087,0.002560,0.001184,0.000384,0.891747
0.416145,0.017664,0.203048,0.004897,0.048066,0.000832,0.013408,0.177511,0.002528,0.001120,0.000320,0.894371
0.416624,0.017761,0.218729,0.005376,0.048450,0.000832,0.013696,0.169575,0.002624,0.001056,0.000352,0.903427
0.416753,0.017632,0.202536,0.005089,0.051042,0.000768,0.014240,0.172583,0.002944,0.001056,0.000576,0.895139
0.416656,0.017760,0.202472,0.005280,0.048514,0.000800,0.013601,0.166886,0.002816,0.001120,0.000608,0.885123
0.415856,0.017921,0.202824,0.005184,0.048482,0.000832,0.013856,0.178887,0.002432,0.001120,0.000576,0.897315
0.416913,0.017728,0.202728,0.005024,0.048193,0.000832,0.014145,0.170471,0.002816,0.001280,0.000608,0.889027
0.416208,0.017505,0.202344,0.005024,0.047682,0.000832,0.013505,0.176967,0.002720,0.001152,0.000416,0.893059
0.415696,0.018209,0.202216,0.005088,0.047618,0.000800,0.013472,0.174279,0.002400,0.001120,0.000384,0.889794
0.417809,0.017793,0.222792,0.005088,0.047842,0.000768,0.013409,0.262954,0.002400,0.001152,0.000608,1.001928
0.416080,0.017761,0.202536,0.005184,0.048642,0.000800,0.013377,0.178311,0.002528,0.000960,0.000608,0.894819
0.416560,0.017696,0.203496,0.005088,0.047330,0.000800,0.013441,0.180039,0.002464,0.001440,0.000352,0.898179
0.416336,0.017824,0.202280,0.005024,0.048194,0.000992,0.013473,0.171495,0.002976,0.001088,0.000352,0.887875
0.416016,0.017505,0.202152,0.004832,0.047618,0.000832,0.013408,0.171559,0.002752,0.000992,0.000352,0.887203
0.415792,0.017953,0.202344,0.005312,0.047842,0.001024,0.013408,0.173670,0.002848,0.001121,0.000416,0.890659
0.416496,0.017345,0.202088,0.005024,0.047650,0.000768,0.013344,0.163911,0.002816,0.001088,0.000288,0.878306
0.416240,0.017729,0.221993,0.005312,0.047106,0.001024,0.013472,0.175879,0.002688,0.001056,0.000384,0.911619
0.416560,0.017633,0.202216,0.005248,0.046754,0.000576,0.013440,0.174247,0.002112,0.000768,0.000384,0.887138
0.415952,0.017728,0.201896,0.005056,0.046946,0.000992,0.013409,0.167718,0.002625,0.001024,0.000320,0.881315
0.416592,0.017633,0.202216,0.004992,0.046850,0.000768,0.013377,0.163526,0.002624,0.001056,0.000352,0.878530
0.416529,0.017760,0.202184,0.005248,0.047042,0.000736,0.013377,0.217512,0.002689,0.001056,0.000384,0.932677
0.416400,0.017793,0.202504,0.004832,0.047394,0.000800,0.013313,0.168550,0.002560,0.000896,0.000384,0.883234
0.415888,0.017889,0.202280,0.005088,0.046914,0.000800,0.013313,0.159846,0.002624,0.001056,0.000352,0.873762
0.417232,0.017473,0.216680,0.005376,0.047682,0.000800,0.013377,0.172999,0.002464,0.000992,0.000384,0.905316
0.417425,0.017600,0.202503,0.005057,0.048002,0.000768,0.013344,0.166151,0.002688,0.001152,0.000352,0.882723
0.416816,0.017569,0.202440,0.005280,0.048866,0.000672,0.013633,0.170694,0.002592,0.000896,0.000352,0.887587
0.418608,0.017729,0.203720,0.005216,0.048482,0.000864,0.013889,0.178439,0.002656,0.001184,0.000384,0.899299
0.448593,0.017888,0.202344,0.005216,0.048130,0.000800,0.014177,0.165606,0.002369,0.001024,0.000352,0.914532
0.417712,0.017601,0.202248,0.005248,0.049634,0.000800,0.013537,0.178567,0.002624,0.001056,0.000416,0.896867
0.416112,0.017665,0.204616,0.004928,0.047970,0.000832,0.013696,0.167911,0.002432,0.000928,0.000384,0.884706
0.416240,0.017793,0.221609,0.004960,0.047330,0.000576,0.013408,0.179751,0.002560,0.000896,0.000384,0.913828
0.416113,0.017760,0.202184,0.004865,0.047329,0.001025,0.013312,0.160582,0.002337,0.000896,0.000352,0.874467
0.415952,0.017537,0.202088,0.004896,0.046946,0.000832,0.013376,0.173223,0.002624,0.000896,0.000384,0.886402
0.416241,0.017600,0.203336,0.005025,0.048033,0.000864,0.013472,0.176807,0.002784,0.001056,0.000416,0.894787
0.434545,0.018017,0.202408,0.005440,0.047362,0.000896,0.013377,0.170630,0.002625,0.000992,0.000320,0.904132
0.415985,0.017729,0.202311,0.004961,0.047234,0.000800,0.013376,0.180359,0.002720,0.000992,0.000352,0.894307
0.416496,0.017857,0.202760,0.005120,0.048066,0.001024,0.013344,0.172871,0.002560,0.001088,0.000384,0.889538
0.416368,0.017793,0.202632,0.005056,0.047298,0.000640,0.013505,0.204264,0.003232,0.000992,0.000416,0.920068
0.417104,0.017857,0.202856,0.005152,0.047394,0.000864,0.013313,0.167494,0.002688,0.000864,0.000384,0.883331
0.415728,0.017921,0.202632,0.004864,0.047298,0.000864,0.013345,0.172230,0.002785,0.000896,0.000352,0.886691
0.416848,0.017729,0.202120,0.004928,0.047170,0.001024,0.013313,0.173350,0.002752,0.000928,0.000384,0.887715
0.434001,0.017729,0.202568,0.004768,0.047074,0.000608,0.013344,0.172263,0.002880,0.001088,0.000384,0.904643
0.416016,0.017441,0.202664,0.004864,0.047106,0.000640,0.013313,0.172454,0.002273,0.000928,0.000352,0.885827
0.416784,0.017633,0.202056,0.004864,0.047202,0.000768,0.013313,0.178983,0.002592,0.000928,0.000352,0.895395
0.416049,0.017408,0.202376,0.005089,0.046945,0.000992,0.013441,0.203112,0.002496,0.001024,0.000608,0.917124
0.416464,0.017568,0.202344,0.004800,0.046786,0.000832,0.013409,0.172839,0.002464,0.000992,0.000384,0.886787
0.418833,0.017792,0.202632,0.005216,0.047105,0.001056,0.013409,0.168903,0.002688,0.001120,0.000384,0.887171
0.415857,0.017600,0.203048,0.004897,0.047329,0.001024,0.013440,0.163974,0.002848,0.001024,0.000416,0.878915
0.435857,0.017633,0.202600,0.004992,0.047426,0.000800,0.013440,0.184551,0.002688,0.001216,0.000576,0.921060
0.417745,0.017665,0.203432,0.005216,0.047298,0.000832,0.013568,0.189064,0.002528,0.001216,0.000384,0.907268
0.417296,0.017793,0.202568,0.005312,0.047874,0.000800,0.013569,0.176551,0.002304,0.000960,0.000384,0.893827
0.417008,0.017729,0.202792,0.005184,0.047586,0.000800,0.013473,0.196103,0.003073,0.001216,0.000608,0.914596
0.416720,0.017857,0.202216,0.005280,0.048258,0.000832,0.013472,0.169383,0.003488,0.001056,0.000608,0.887202
0.416305,0.018048,0.202696,0.005121,0.048930,0.000832,0.013376,0.179911,0.002752,0.001184,0.000608,0.898755
0.416689,0.017792,0.202248,0.005249,0.048417,0.000832,0.013537,0.183431,0.002656,0.000928,0.000384,0.900387
0.434993,0.017760,0.202504,0.005313,0.047393,0.000800,0.013825,0.176231,0.002496,0.001056,0.000576,0.911812
0.417520,0.017665,0.202184,0.005312,0.047714,0.000832,0.013761,0.182695,0.002464,0.001248,0.000416,0.900003
0.420944,0.017697,0.203816,0.005088,0.048674,0.001024,0.014273,0.223945,0.003040,0.002496,0.000512,0.954661
0.416784,0.017761,0.223945,0.005280,0.048386,0.000832,0.014209,0.178023,0.002432,0.001312,0.000608,0.918244
0.419057,0.018016,0.203848,0.005281,0.048386,0.000800,0.013952,0.228393,0.002784,0.002048,0.000544,0.953637
0.417104,0.017793,0.203240,0.005472,0.048578,0.000800,0.013696,0.177991,0.002689,0.001280,0.000384,0.896995
0.416496,0.017665,0.202536,0.005088,0.048834,0.000800,0.014112,0.185320,0.002848,0.001152,0.000352,0.903491
0.417136,0.017664,0.202664,0.005312,0.047714,0.000800,0.014081,0.172167,0.002624,0.001184,0.000352,0.889987
0.416080,0.017920,0.202472,0.005056,0.049858,0.000832,0.013697,0.169415,0.002560,0.001056,0.000384,0.887683
