Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-8],Layer[9],Layer[10],classifier
0.416816,0.017665,0.202984,0.005056,0.048770,0.203304,0.001984,0.000416,0.904419
0.417649,0.017728,0.202728,0.005217,0.048417,0.207145,0.001504,0.000416,0.908196
0.416304,0.017921,0.202664,0.005088,0.048002,0.230633,0.001376,0.000384,0.929444
0.416593,0.017536,0.202856,0.005249,0.048385,0.200456,0.001568,0.000640,0.900931
0.417104,0.017665,0.202664,0.005248,0.048898,0.204264,0.001568,0.000608,0.904931
0.416465,0.017632,0.202312,0.005280,0.047649,0.206216,0.001344,0.000416,0.904356
0.435217,0.017569,0.202856,0.005024,0.048066,0.200488,0.001408,0.000352,0.918148
0.418640,0.017633,0.202984,0.005056,0.048546,0.205416,0.001568,0.000416,0.907907
0.419248,0.017985,0.202184,0.005120,0.048354,0.196423,0.001472,0.000352,0.898307
0.417584,0.017761,0.202056,0.005088,0.048386,0.223721,0.001344,0.000576,0.923876
0.416720,0.017569,0.202568,0.005280,0.049122,0.217992,0.001408,0.000384,0.918820
0.417040,0.017825,0.203208,0.005216,0.048578,0.201256,0.001280,0.000416,0.901987
0.417808,0.017761,0.202632,0.005312,0.048162,0.207368,0.001408,0.000352,0.907363
0.434033,0.017761,0.202632,0.005120,0.047906,0.231689,0.001504,0.000352,0.948805
0.417680,0.017697,0.202248,0.005312,0.048354,0.199400,0.001344,0.000352,0.899171
0.416880,0.017505,0.201960,0.005376,0.048354,0.203624,0.001344,0.000384,0.902947
0.416816,0.018017,0.223401,0.005216,0.048098,0.192839,0.001312,0.000384,0.913604
0.416944,0.017601,0.202312,0.005440,0.049186,0.205736,0.001568,0.000384,0.906531
0.417713,0.017792,0.202504,0.005185,0.048034,0.204296,0.001408,0.000640,0.904292
0.418000,0.017761,0.202600,0.005312,0.047874,0.206728,0.001408,0.000576,0.907715
0.419185,0.017857,0.204104,0.005280,0.048322,0.213000,0.001376,0.000384,0.917124
0.418320,0.017761,0.203656,0.005024,0.048354,0.200904,0.001376,0.000416,0.903043
0.417872,0.017633,0.202984,0.005312,0.048386,0.198696,0.001536,0.000384,0.899907
0.417040,0.017856,0.227369,0.005312,0.049186,0.196648,0.001472,0.000352,0.922564
0.416209,0.017760,0.202408,0.004992,0.048289,0.198184,0.001312,0.000320,0.896387
0.416240,0.017473,0.202376,0.005216,0.048002,0.209064,0.001408,0.000352,0.907459
0.417425,0.017344,0.202919,0.005377,0.047906,0.199431,0.001441,0.000416,0.899460
0.415920,0.017729,0.202280,0.005120,0.048162,0.200072,0.001312,0.000352,0.898531
0.415888,0.017793,0.201800,0.005024,0.048130,0.202248,0.001312,0.000416,0.899811
0.416241,0.017728,0.202920,0.005249,0.048513,0.207817,0.001248,0.000352,0.907012
0.433137,0.017793,0.203176,0.005216,0.047714,0.201384,0.001312,0.000608,0.918564
0.415697,0.017824,0.202632,0.005025,0.048193,0.200296,0.001184,0.000416,0.898467
0.415825,0.017408,0.201992,0.005056,0.048194,0.205928,0.001312,0.000352,0.903172
0.416081,0.017601,0.202695,0.005056,0.047170,0.216360,0.001344,0.000384,0.914052
0.416432,0.017857,0.202984,0.005280,0.048258,0.205288,0.001280,0.000384,0.904643
0.416624,0.017760,0.203464,0.005056,0.047522,0.202728,0.001248,0.000384,0.901667
0.416720,0.017345,0.202856,0.005280,0.048002,0.205096,0.001376,0.000384,0.904163
0.448433,0.017761,0.203080,0.005280,0.047778,0.199496,0.001472,0.000448,0.931364
0.415440,0.017505,0.202376,0.005184,0.048578,0.194952,0.001600,0.000448,0.892835
0.415568,0.017537,0.202728,0.005024,0.048098,0.205640,0.001504,0.000352,0.903779
0.417937,0.017569,0.204648,0.005280,0.048162,0.229193,0.001440,0.000384,0.931941
0.416656,0.017857,0.203112,0.005280,0.048034,0.200648,0.001376,0.000608,0.900803
0.418192,0.017537,0.203368,0.005312,0.047650,0.201768,0.001504,0.000448,0.903171
0.416337,0.017728,0.202791,0.005217,0.048066,0.198247,0.001376,0.000416,0.897348
0.433457,0.017633,0.202600,0.005280,0.047938,0.198023,0.001440,0.000384,0.914020
0.417168,0.017537,0.202472,0.005280,0.048226,0.202024,0.001792,0.000416,0.901763
0.416305,0.017600,0.202600,0.005025,0.047810,0.199079,0.001408,0.000416,0.897187
0.415888,0.017505,0.202568,0.005216,0.078371,0.194760,0.001344,0.000384,0.923428
0.415856,0.017505,0.202568,0.005184,0.047490,0.194952,0.001376,0.000448,0.892483
0.415920,0.017441,0.202216,0.005280,0.047874,0.185319,0.001216,0.000384,0.882242
0.416688,0.018016,0.202312,0.005312,0.047618,0.201864,0.001440,0.000352,0.900995
0.432113,0.017569,0.203048,0.005184,0.047266,0.188552,0.001152,0.000352,0.902212
0.415792,0.017505,0.202600,0.005344,0.046946,0.191176,0.001216,0.000352,0.887235
0.415440,0.017665,0.202504,0.005056,0.046754,0.199912,0.001184,0.000256,0.895043
0.416753,0.017472,0.202248,0.005441,0.064034,0.192200,0.001216,0.000320,0.906980
0.415632,0.017281,0.202344,0.005280,0.046850,0.217897,0.001152,0.000352,0.913060
0.416401,0.017825,0.202247,0.005345,0.046914,0.206024,0.001248,0.000384,0.903268
0.415664,0.017505,0.202408,0.005280,0.046850,0.188903,0.001088,0.000576,0.884642
0.434929,0.017696,0.202632,0.005217,0.047361,0.208905,0.001216,0.000352,0.925060
0.414800,0.017505,0.202856,0.005248,0.047266,0.193768,0.001344,0.000352,0.890275
0.416016,0.017953,0.202664,0.004992,0.047458,0.199880,0.001280,0.000416,0.897379
0.416272,0.017761,0.202248,0.005344,0.047874,0.221769,0.001312,0.000416,0.920484
0.416849,0.017568,0.202632,0.005057,0.048162,0.207816,0.001248,0.000352,0.906084
0.416273,0.017281,0.201927,0.005313,0.047586,0.183079,0.001248,0.000352,0.880291
0.416624,0.017569,0.202792,0.005024,0.047746,0.193831,0.001248,0.000288,0.891363
0.431793,0.017473,0.203208,0.005280,0.047074,0.197672,0.001216,0.000352,0.909796
0.416880,0.017633,0.202408,0.005056,0.047874,0.193704,0.001408,0.000672,0.893059
0.416817,0.017664,0.202312,0.005057,0.047297,0.198504,0.001344,0.000352,0.895491
0.416464,0.017537,0.202792,0.005280,0.047042,0.221865,0.001248,0.000384,0.919044
0.417584,0.017697,0.203304,0.005056,0.048226,0.189384,0.001472,0.000416,0.890275
0.416336,0.017409,0.202440,0.005216,0.048034,0.190567,0.001344,0.000384,0.888066
0.416336,0.017409,0.202216,0.005216,0.047938,0.215944,0.001248,0.000352,0.912900
0.436081,0.017825,0.202632,0.005216,0.048066,0.186952,0.001248,0.000352,0.904196
0.418321,0.017504,0.202248,0.005057,0.048097,0.199304,0.001248,0.000352,0.898659
0.417232,0.017345,0.202920,0.005056,0.048034,0.186631,0.001120,0.000352,0.885474
0.416176,0.017441,0.202344,0.005312,0.048066,0.218664,0.001184,0.000321,0.916036
0.415664,0.017505,0.202600,0.005056,0.048002,0.199720,0.001216,0.000416,0.897667
0.416016,0.017440,0.203560,0.005248,0.048098,0.191144,0.001152,0.000352,0.889475
0.416272,0.017537,0.202408,0.005472,0.048290,0.199432,0.001344,0.000416,0.897379
0.433073,0.017728,0.202408,0.005216,0.048610,0.187848,0.001344,0.000576,0.904131
0.416240,0.017665,0.203080,0.005280,0.049410,0.196488,0.001248,0.000352,0.896291
0.415952,0.017761,0.202856,0.005280,0.048322,0.184391,0.001216,0.000352,0.882178
0.416240,0.017473,0.203560,0.005376,0.048034,0.219720,0.001120,0.000416,0.918083
0.416176,0.017505,0.202152,0.005024,0.048098,0.202728,0.001120,0.000608,0.900099
0.417585,0.017472,0.202856,0.005281,0.048769,0.199176,0.001184,0.000352,0.898563
0.416433,0.017601,0.202343,0.005089,0.047938,0.190631,0.001216,0.000352,0.888163
0.435153,0.017728,0.202888,0.005408,0.048162,0.189384,0.001280,0.000384,0.906916
0.416112,0.017569,0.202440,0.005184,0.048386,0.186375,0.001281,0.000640,0.884227
0.417425,0.017792,0.203080,0.005089,0.048481,0.193096,0.001344,0.000352,0.893123
0.416464,0.017409,0.202023,0.004992,0.048834,0.201576,0.001312,0.000352,0.899876
0.416177,0.017408,0.202536,0.005120,0.048610,0.191528,0.001152,0.000416,0.889411
0.417745,0.017697,0.202184,0.004896,0.048258,0.202056,0.001312,0.000608,0.900292
0.416048,0.017793,0.201992,0.004896,0.048066,0.182087,0.001280,0.000384,0.879042
0.415537,0.017536,0.217033,0.005312,0.048290,0.191720,0.001184,0.000352,0.903748
0.417200,0.017889,0.202152,0.004960,0.048546,0.190247,0.001184,0.000320,0.888994
0.416912,0.017504,0.202600,0.005024,0.047970,0.194792,0.001216,0.000384,0.892643
0.416305,0.017664,0.202280,0.005313,0.048033,0.195944,0.001184,0.000384,0.894051
0.415952,0.017569,0.202664,0.005056,0.048034,0.189479,0.001216,0.000384,0.887650
0.417457,0.017312,0.202632,0.005313,0.048514,0.206088,0.001184,0.000352,0.905444
0.416848,0.017504,0.203816,0.005312,0.046978,0.209321,0.001504,0.000416,0.909316
0.418449,0.017600,0.223337,0.005376,0.047362,0.194472,0.001280,0.000384,0.915620
0.417232,0.017729,0.202984,0.005088,0.048610,0.202312,0.001312,0.000416,0.902947
0.415952,0.017633,0.202312,0.004992,0.047874,0.196328,0.001312,0.000416,0.894051
0.416528,0.017601,0.203048,0.005088,0.047682,0.195687,0.001185,0.000384,0.894019
0.415792,0.017665,0.203240,0.005312,0.048610,0.191143,0.001216,0.000544,0.890434
0.416336,0.017345,0.202280,0.004992,0.047714,0.191911,0.001152,0.000416,0.888899
0.417136,0.017505,0.202568,0.005216,0.047874,0.205224,0.001216,0.000384,0.904099
0.416656,0.017633,0.220904,0.005280,0.047906,0.211688,0.001504,0.000384,0.929380
0.416112,0.017505,0.202760,0.005248,0.047970,0.202120,0.001216,0.000352,0.900195
0.417520,0.017569,0.203144,0.005280,0.047938,0.193415,0.001536,0.000672,0.894371
0.419345,0.017792,0.203080,0.005089,0.048257,0.236937,0.001376,0.000608,0.939173
0.417873,0.017825,0.202567,0.005249,0.049826,0.200840,0.001376,0.000608,0.902468
0.416881,0.017568,0.203271,0.005121,0.048034,0.195079,0.001280,0.000576,0.894723
0.420016,0.017728,0.202472,0.005120,0.047778,0.194408,0.001344,0.000416,0.895875
0.416272,0.017633,0.220424,0.005377,0.047298,0.204744,0.001472,0.000416,0.921732
0.418800,0.017696,0.202728,0.005120,0.046978,0.207208,0.001280,0.000353,0.906980
0.416976,0.017633,0.202696,0.005248,0.046914,0.205288,0.001216,0.000448,0.903363
0.417232,0.017729,0.202792,0.005344,0.047394,0.206088,0.001248,0.000384,0.904739
0.418064,0.017473,0.202760,0.005120,0.047202,0.205160,0.001184,0.000384,0.904035
0.418352,0.017697,0.202472,0.005312,0.046978,0.205608,0.001344,0.000608,0.905155
0.416912,0.017569,0.202408,0.005056,0.047138,0.191399,0.001344,0.000416,0.889218
0.415696,0.017601,0.223688,0.005312,0.047106,0.203368,0.001152,0.000384,0.920804
0.416592,0.017569,0.202984,0.005312,0.047202,0.198568,0.001184,0.000384,0.896515
0.418288,0.017601,0.202696,0.005184,0.046914,0.208008,0.001184,0.000384,0.906756
0.419024,0.017601,0.202568,0.005024,0.047266,0.212584,0.001440,0.000448,0.912611
0.416049,0.017536,0.202632,0.005088,0.047650,0.197160,0.001184,0.000416,0.894723
0.416592,0.017601,0.202664,0.005056,0.047266,0.192647,0.001248,0.000384,0.890083
0.416944,0.017665,0.202792,0.005248,0.046978,0.208488,0.001376,0.000384,0.906787
0.417008,0.017665,0.220169,0.005344,0.047298,0.194920,0.001312,0.000576,0.911428
0.417104,0.018017,0.203528,0.005024,0.047426,0.190887,0.001409,0.000640,0.891107
0.415857,0.017600,0.202760,0.005281,0.047969,0.191463,0.001248,0.000384,0.889443
0.417104,0.017537,0.202472,0.005056,0.047458,0.199400,0.001184,0.000352,0.896899
0.433393,0.017761,0.202408,0.005056,0.047010,0.211208,0.001185,0.000384,0.925445
0.416304,0.017697,0.202632,0.005056,0.047618,0.213992,0.001248,0.000385,0.912228
0.418321,0.020993,0.202407,0.005153,0.048930,0.196391,0.001280,0.000576,0.901219
0.418609,0.017504,0.221641,0.005632,0.048034,0.212904,0.001440,0.000416,0.933957
0.416912,0.017920,0.202760,0.005024,0.048066,0.191592,0.001440,0.000640,0.892035
0.418128,0.018049,0.202664,0.005024,0.048066,0.214344,0.001472,0.000576,0.915555
0.416176,0.017537,0.202568,0.005056,0.048546,0.212136,0.001536,0.000608,0.911652
0.417617,0.017696,0.203144,0.005025,0.048289,0.200519,0.001664,0.000608,0.902372
0.417776,0.017601,0.203144,0.005216,0.048578,0.215944,0.001344,0.000416,0.916739
0.418896,0.017697,0.203016,0.005248,0.048130,0.212552,0.001376,0.000608,0.914307
0.418609,0.017536,0.221161,0.005472,0.048290,0.212328,0.001632,0.000608,0.933029
0.417169,0.017568,0.202152,0.005089,0.048097,0.204712,0.001505,0.000640,0.903876
0.418417,0.017632,0.201960,0.005056,0.048610,0.196008,0.001600,0.000608,0.897059
0.417520,0.017761,0.203624,0.005056,0.048322,0.205064,0.001536,0.000480,0.906883
0.419473,0.017504,0.202983,0.005121,0.047874,0.203080,0.001440,0.000480,0.905508
0.417936,0.017985,0.203016,0.005152,0.049218,0.202344,0.001504,0.000608,0.905379
0.417776,0.017792,0.203016,0.005280,0.048290,0.198344,0.001600,0.000352,0.900291
0.437841,0.017825,0.202248,0.005056,0.049250,0.199464,0.001504,0.000448,0.921316
0.419312,0.017377,0.202536,0.005088,0.048066,0.198184,0.001408,0.000352,0.899459
0.419696,0.017281,0.203592,0.005024,0.049090,0.195560,0.001184,0.000416,0.898787
0.417840,0.017633,0.202696,0.005280,0.047394,0.232393,0.001728,0.000416,0.932388
0.419441,0.017761,0.201991,0.005057,0.048130,0.188647,0.001504,0.000384,0.889539
0.416912,0.017761,0.202440,0.005216,0.048386,0.199496,0.001152,0.000640,0.898819
0.418416,0.017568,0.202696,0.005280,0.049026,0.184552,0.001056,0.000384,0.886083
0.436337,0.017729,0.202728,0.005152,0.047874,0.192680,0.001312,0.000384,0.911332
0.417617,0.017664,0.202823,0.004993,0.048962,0.200135,0.001377,0.000416,0.900772
0.440913,0.024289,0.206120,0.005312,0.049282,0.200520,0.001568,0.000352,0.936996
0.417073,0.017313,0.203944,0.005056,0.048322,0.208136,0.001216,0.000384,0.908676
0.416881,0.017408,0.204296,0.005345,0.049602,0.196455,0.001408,0.000384,0.898724
0.415952,0.017377,0.202632,0.005056,0.048994,0.199368,0.001440,0.000384,0.898051
0.415568,0.018145,0.203176,0.004992,0.048386,0.203336,0.001344,0.000384,0.901891
0.433777,0.017729,0.202920,0.005248,0.048450,0.187464,0.001344,0.000352,0.904452
0.415793,0.017568,0.202792,0.005057,0.048290,0.190823,0.001376,0.000352,0.888803
0.416272,0.017569,0.202792,0.005280,0.048386,0.191367,0.001248,0.000385,0.890371
0.416272,0.017377,0.202536,0.005216,0.047554,0.216520,0.001408,0.000384,0.914595
0.416464,0.017792,0.202536,0.005280,0.047906,0.185256,0.001216,0.000352,0.883843
0.416400,0.017793,0.203240,0.005280,0.047778,0.190824,0.001280,0.000416,0.890627
0.414800,0.017505,0.203784,0.005280,0.047650,0.192583,0.001216,0.000352,0.889922
0.434705,0.017633,0.203016,0.005248,0.047394,0.181127,0.001312,0.000384,0.898179
0.415568,0.017249,0.202792,0.005344,0.047650,0.207080,0.001280,0.000384,0.904515
0.415665,0.017537,0.202695,0.005089,0.047106,0.197223,0.001184,0.000384,0.894019
0.416144,0.017473,0.204008,0.005376,0.047586,0.178663,0.001184,0.000672,0.877634
0.416176,0.017729,0.202696,0.005248,0.047138,0.188967,0.001248,0.000353,0.886179
0.415984,0.017729,0.202920,0.005056,0.047266,0.199816,0.001472,0.000416,0.898339
0.415824,0.017601,0.202024,0.005248,0.047042,0.190503,0.001280,0.000384,0.886978
0.432529,0.017696,0.202728,0.005281,0.046881,0.194504,0.001408,0.000384,0.908643
0.416113,0.017505,0.203080,0.005312,0.047010,0.189927,0.001248,0.000576,0.888195
0.415152,0.017665,0.202824,0.005472,0.049378,0.201704,0.001248,0.000384,0.900771
0.417616,0.017473,0.202664,0.005216,0.049090,0.191912,0.001568,0.000384,0.893091
0.415248,0.017601,0.202632,0.004992,0.047138,0.210728,0.001184,0.000384,0.906275
0.416304,0.017409,0.202472,0.005376,0.046978,0.187271,0.001376,0.000416,0.884738
0.416848,0.017377,0.202632,0.005056,0.047042,0.188552,0.001184,0.000384,0.885827
0.417329,0.033441,0.203240,0.005280,0.047074,0.209960,0.001280,0.000416,0.925092
0.418832,0.017760,0.202952,0.005024,0.046850,0.199176,0.001632,0.000416,0.900195
0.418352,0.017761,0.202728,0.005056,0.048450,0.193192,0.001344,0.000608,0.894435
0.417361,0.017441,0.202888,0.005088,0.048482,0.195975,0.001312,0.000416,0.896516
0.416849,0.017376,0.202920,0.005153,0.047617,0.194120,0.001248,0.000384,0.892995
0.418672,0.017569,0.203432,0.005120,0.047810,0.197064,0.001216,0.000384,0.898595
0.416593,0.017696,0.202248,0.005056,0.048450,0.192616,0.001312,0.000416,0.891107
0.417808,0.017472,0.223785,0.005312,0.047234,0.193000,0.001344,0.000352,0.913444
0.415728,0.017313,0.201928,0.005248,0.047554,0.186663,0.001152,0.000384,0.883011
0.417489,0.017281,0.201991,0.005409,0.046881,0.184839,0.001216,0.000576,0.882499
0.416752,0.017729,0.202664,0.005248,0.046818,0.191816,0.001280,0.000384,0.889219
0.417968,0.018049,0.202984,0.005152,0.046946,0.202120,0.001536,0.000352,0.903427
0.418641,0.017696,0.202824,0.005089,0.047842,0.204712,0.001216,0.000384,0.905412
0.417841,0.017665,0.204008,0.005056,0.047298,0.194151,0.001504,0.000352,0.895299
0.416464,0.017793,0.223561,0.005568,0.047874,0.198887,0.001280,0.000640,0.919140
0.415344,0.017536,0.202248,0.005056,0.047778,0.188776,0.001312,0.000416,0.884931
0.415536,0.017216,0.203976,0.004800,0.048514,0.161606,0.001024,0.000384,0.859234
0.416177,0.017472,0.202247,0.004769,0.047361,0.185639,0.001056,0.000416,0.881251
0.428496,0.017217,0.202600,0.004832,0.049410,0.206920,0.001248,0.000416,0.917315
0.416017,0.017472,0.202600,0.005025,0.048002,0.189191,0.001056,0.000288,0.885891
0.415280,0.017633,0.202088,0.004864,0.047362,0.204584,0.001280,0.000352,0.899363
0.415344,0.017505,0.202888,0.005312,0.047042,0.210184,0.001537,0.000384,0.907620
0.415984,0.017569,0.202792,0.005216,0.046914,0.182407,0.001056,0.000608,0.879042
0.415984,0.017344,0.203016,0.005024,0.047554,0.189416,0.001152,0.000352,0.886851
0.417264,0.017505,0.202632,0.004832,0.047778,0.189799,0.001312,0.000384,0.888514
0.429264,0.017472,0.202984,0.005216,0.048130,0.191816,0.001248,0.000288,0.904483
0.415664,0.017409,0.202760,0.004928,0.047618,0.214344,0.001184,0.000512,0.911299
0.417456,0.017505,0.202952,0.005312,0.048066,0.215848,0.001184,0.000352,0.916195
0.415056,0.017729,0.202504,0.005024,0.048002,0.204200,0.000992,0.000288,0.899491
0.415952,0.017985,0.202472,0.005248,0.048162,0.187719,0.001120,0.000320,0.885826
0.415120,0.017249,0.202248,0.005248,0.047330,0.180647,0.001152,0.000384,0.875970
0.417489,0.017889,0.202536,0.005216,0.048002,0.205096,0.001344,0.000384,0.906340
0.430257,0.017696,0.202568,0.004897,0.048097,0.199912,0.001152,0.000352,0.911395
0.415888,0.017696,0.202440,0.005280,0.048130,0.183432,0.001280,0.000320,0.881219
0.415761,0.017568,0.202632,0.005057,0.048610,0.214408,0.001312,0.000352,0.912932
0.415601,0.017664,0.202760,0.005089,0.047809,0.196776,0.001248,0.000576,0.893731
0.415920,0.017473,0.202440,0.005024,0.047394,0.189639,0.001376,0.000384,0.885570
0.415408,0.017633,0.202440,0.004832,0.047458,0.200840,0.001152,0.000352,0.895939
0.415728,0.017409,0.202632,0.005280,0.047394,0.183431,0.001184,0.000384,0.879042
0.416304,0.017600,0.217769,0.005408,0.046946,0.183687,0.001248,0.000352,0.896995
0.415696,0.017472,0.202792,0.005248,0.047074,0.190280,0.001312,0.000384,0.887075
0.415088,0.017409,0.202664,0.005024,0.046850,0.189255,0.001120,0.000352,0.884515
0.417169,0.017440,0.202728,0.005281,0.046849,0.167335,0.001056,0.000352,0.864706
0.432721,0.017633,0.203016,0.005024,0.046946,0.222057,0.001344,0.000384,0.936453
0.417489,0.017344,0.202888,0.004832,0.047010,0.207496,0.001312,0.000416,0.905508
0.416337,0.017345,0.202343,0.005281,0.046818,0.216584,0.001184,0.000384,0.912804
0.416016,0.017409,0.202408,0.004768,0.062050,0.206313,0.001120,0.000352,0.916644
0.415088,0.018016,0.202248,0.005280,0.047554,0.186856,0.001248,0.000608,0.883939
0.415376,0.017441,0.202408,0.004768,0.047202,0.167974,0.001120,0.000352,0.862721
0.415600,0.017505,0.202408,0.005024,0.047330,0.190791,0.001216,0.000352,0.887458
0.435217,0.017537,0.205704,0.005216,0.047010,0.190056,0.001312,0.000576,0.909956
0.416464,0.017249,0.202760,0.004800,0.046850,0.184519,0.001312,0.000704,0.881666
0.415664,0.017665,0.202856,0.004992,0.046946,0.199560,0.001184,0.000352,0.895491
0.416657,0.017792,0.202664,0.005249,0.047233,0.227785,0.001217,0.000384,0.926085
0.415344,0.017697,0.203144,0.004992,0.047586,0.208488,0.001312,0.000609,0.907460
0.416401,0.017824,0.203335,0.005057,0.047874,0.204552,0.001248,0.000608,0.904228
0.416977,0.017728,0.202984,0.005089,0.048450,0.204968,0.001248,0.000608,0.904804
0.433329,0.017569,0.203144,0.005024,0.047874,0.186247,0.001152,0.000320,0.901411
0.415920,0.017473,0.202824,0.005056,0.047650,0.189415,0.001184,0.000352,0.886306
0.416176,0.017793,0.202600,0.005312,0.048578,0.197320,0.001152,0.000352,0.896131
0.416497,0.017664,0.202376,0.005088,0.047202,0.205384,0.001345,0.000384,0.902884
0.415888,0.017377,0.202696,0.004992,0.047810,0.190631,0.001184,0.000352,0.887938
0.416657,0.017568,0.202600,0.005185,0.049698,0.198727,0.001152,0.000352,0.899172
0.416400,0.017568,0.202312,0.005184,0.047938,0.185576,0.001184,0.000384,0.883747
0.434897,0.017601,0.202632,0.005312,0.047618,0.209128,0.001280,0.000416,0.925956
0.416208,0.017345,0.202568,0.005344,0.047874,0.205608,0.001248,0.000384,0.902979
0.417201,0.017344,0.202631,0.005249,0.047746,0.191879,0.001280,0.000320,0.890083
0.415664,0.017473,0.202440,0.005216,0.048002,0.192103,0.001280,0.000352,0.889250
0.416016,0.017697,0.202920,0.005056,0.047682,0.193256,0.001408,0.000320,0.890755
0.416081,0.017760,0.202600,0.005024,0.047074,0.190120,0.001312,0.000352,0.886659
0.416560,0.017600,0.202568,0.004992,0.047202,0.188776,0.001344,0.000352,0.886595
0.458610,0.017729,0.202216,0.005312,0.047522,0.202408,0.001344,0.000352,0.942949
0.416400,0.017536,0.202344,0.005056,0.047170,0.197384,0.001184,0.000352,0.894179
0.416272,0.017601,0.202312,0.005312,0.047106,0.202888,0.001152,0.000352,0.899971
0.417137,0.017728,0.202472,0.005280,0.047393,0.197128,0.001280,0.000416,0.895843
0.416017,0.017889,0.203111,0.005025,0.047266,0.200487,0.001473,0.000448,0.898660
0.416848,0.017664,0.203176,0.005312,0.047458,0.192136,0.001152,0.000384,0.891043
0.416881,0.017760,0.202568,0.004993,0.047009,0.192392,0.001120,0.000384,0.889635
0.416240,0.035233,0.203464,0.005056,0.047010,0.175431,0.001184,0.000320,0.890787
0.415216,0.017920,0.202664,0.005248,0.047106,0.195464,0.001152,0.000448,0.892131
0.417969,0.017665,0.202696,0.005248,0.047106,0.200328,0.001664,0.000384,0.900676
0.416496,0.017729,0.202440,0.005024,0.047042,0.197352,0.001312,0.000384,0.894947
0.417041,0.017536,0.202568,0.004865,0.047137,0.187783,0.001376,0.000416,0.885539
0.416304,0.017601,0.202568,0.005312,0.046914,0.190375,0.001312,0.000320,0.887778
0.417649,0.017344,0.202568,0.005216,0.046978,0.193992,0.001056,0.000576,0.891907
0.415696,0.017697,0.215176,0.005216,0.047074,0.178183,0.001248,0.000608,0.887170
0.417136,0.017409,0.202280,0.004992,0.047234,0.197383,0.001377,0.000608,0.894691
0.415280,0.017601,0.202056,0.004800,0.046818,0.172167,0.001376,0.000384,0.866050
0.416016,0.017729,0.202632,0.005248,0.047106,0.184103,0.001024,0.000384,0.881155
0.430416,0.017505,0.202600,0.005120,0.047938,0.182695,0.001312,0.000352,0.894275
0.417360,0.017569,0.203560,0.005248,0.048130,0.202824,0.001408,0.000384,0.904323
0.417200,0.017760,0.203784,0.005120,0.047266,0.214249,0.001280,0.000640,0.913572
0.417776,0.017505,0.203592,0.005184,0.047618,0.225673,0.001280,0.000352,0.925668
0.418768,0.017313,0.202824,0.005344,0.047618,0.194056,0.001536,0.000608,0.895267
0.416592,0.017600,0.203048,0.005120,0.048162,0.199560,0.001312,0.000416,0.899075
0.416912,0.017985,0.204456,0.005024,0.048738,0.189128,0.001376,0.000608,0.891011
0.435377,0.017601,0.202536,0.005120,0.047618,0.197192,0.001280,0.000384,0.914052
0.416368,0.017313,0.202344,0.005088,0.047458,0.199719,0.001216,0.000352,0.896419
0.416496,0.017857,0.203208,0.005056,0.047394,0.201288,0.001472,0.000416,0.901123
0.417360,0.017633,0.203432,0.005024,0.047970,0.239593,0.001696,0.000704,0.941380
0.417296,0.017729,0.202632,0.005280,0.048066,0.194536,0.001792,0.000352,0.895331
0.417296,0.017793,0.202568,0.005120,0.048834,0.203848,0.001664,0.000352,0.904387
0.417553,0.017793,0.202599,0.005376,0.048514,0.211080,0.001792,0.000352,0.912964
0.431441,0.017856,0.202824,0.005217,0.048897,0.193831,0.001472,0.000608,0.910307
0.416048,0.017985,0.203144,0.005056,0.048482,0.201512,0.001536,0.000384,0.901603
0.420465,0.017953,0.203720,0.005248,0.048194,0.197704,0.001440,0.000608,0.902116
0.417905,0.017568,0.203368,0.005249,0.048225,0.222280,0.001600,0.000608,0.924228
0.419025,0.017792,0.202664,0.005153,0.048930,0.195559,0.001408,0.000384,0.898179
0.416368,0.017633,0.202536,0.005152,0.048546,0.194728,0.001216,0.000384,0.894115
0.418417,0.017696,0.202664,0.005089,0.048450,0.201287,0.001569,0.000640,0.902180
0.438801,0.018112,0.202760,0.005312,0.048258,0.204840,0.001568,0.000352,0.928389
0.416880,0.017825,0.202440,0.005280,0.048418,0.192904,0.001568,0.000384,0.892803
0.418289,0.017664,0.202664,0.005313,0.049090,0.210568,0.001472,0.000384,0.913092
0.418321,0.017536,0.203112,0.005057,0.049218,0.221544,0.001376,0.000608,0.924324
0.419376,0.017472,0.203272,0.005120,0.048482,0.192840,0.001280,0.000384,0.895939
0.417424,0.017760,0.202664,0.005280,0.048674,0.205000,0.001440,0.000609,0.905988
0.416209,0.017536,0.203463,0.005217,0.048674,0.192167,0.001248,0.000640,0.892995
0.433873,0.017696,0.202696,0.005345,0.048322,0.198375,0.001472,0.000352,0.916548
0.420592,0.017729,0.203080,0.005056,0.048642,0.210057,0.001536,0.000384,0.914404
0.417041,0.017600,0.202344,0.005313,0.047937,0.196392,0.001472,0.000384,0.895907
0.417424,0.017825,0.204040,0.005088,0.048354,0.214312,0.001600,0.000608,0.917284
0.419505,0.017633,0.203047,0.005313,0.048450,0.204424,0.001472,0.000384,0.907588
0.416785,0.017697,0.202632,0.005216,0.047938,0.204616,0.001600,0.000416,0.905476
0.417328,0.017537,0.203688,0.005280,0.049506,0.198792,0.001856,0.000608,0.902467
0.441553,0.017793,0.203304,0.005056,0.047586,0.206184,0.001920,0.000608,0.932004
