Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-8],Layer[9],Layer[10],classifier
0.417296,0.017569,0.202376,0.005216,0.048930,0.197768,0.001376,0.000352,0.897859
0.437201,0.017921,0.202344,0.005280,0.049154,0.201128,0.001408,0.000320,0.921796
0.416720,0.017505,0.202952,0.004992,0.047714,0.201832,0.001536,0.000384,0.901347
0.416304,0.017569,0.202088,0.005024,0.048194,0.201672,0.001440,0.000448,0.900355
0.427697,0.017793,0.202152,0.005248,0.050306,0.223945,0.001440,0.000416,0.936101
0.415984,0.017409,0.202600,0.005216,0.048642,0.194760,0.001248,0.000384,0.894115
0.416176,0.017633,0.202376,0.005216,0.049506,0.207176,0.001376,0.000352,0.907203
0.416720,0.017504,0.202632,0.005312,0.049570,0.196616,0.001184,0.000384,0.897507
0.438705,0.017569,0.203080,0.005280,0.049506,0.216457,0.001248,0.000384,0.939461
0.416305,0.017440,0.202536,0.005153,0.049058,0.196679,0.001344,0.000416,0.896931
0.415633,0.017280,0.202408,0.005216,0.048546,0.207176,0.001248,0.000384,0.904772
0.415632,0.018016,0.203496,0.005312,0.049473,0.220713,0.001248,0.000384,0.921284
0.414672,0.017249,0.202696,0.005312,0.049122,0.205544,0.001312,0.000384,0.903363
0.416336,0.017568,0.201992,0.005280,0.049890,0.194696,0.001280,0.000608,0.894979
0.416080,0.017601,0.202184,0.005312,0.048706,0.194855,0.001249,0.000384,0.893091
0.434929,0.017377,0.202408,0.005024,0.049858,0.198792,0.001280,0.000320,0.917028
0.415985,0.017376,0.202248,0.005345,0.048449,0.205704,0.001216,0.000352,0.905572
0.416080,0.017505,0.202120,0.004992,0.049250,0.191816,0.001184,0.000384,0.890307
0.416048,0.017664,0.202056,0.005056,0.049570,0.216425,0.001248,0.000384,0.914980
0.415792,0.017505,0.202120,0.005056,0.049794,0.212872,0.001280,0.000608,0.911812
0.415825,0.017344,0.202184,0.005248,0.049378,0.201480,0.001248,0.000384,0.900163
0.416241,0.017472,0.202088,0.004993,0.049282,0.208040,0.001280,0.000352,0.906212
0.431056,0.017600,0.202568,0.005216,0.049890,0.200616,0.001344,0.000384,0.915747
0.415088,0.017601,0.202664,0.005248,0.048706,0.198312,0.001312,0.000288,0.896515
0.416208,0.017409,0.202664,0.005056,0.048994,0.210056,0.001248,0.000384,0.910339
0.415440,0.017345,0.202056,0.005312,0.049858,0.223881,0.001280,0.000384,0.922308
0.415344,0.017345,0.202312,0.005280,0.049250,0.200136,0.001312,0.000288,0.899491
0.416176,0.017281,0.202472,0.004992,0.048962,0.209128,0.001281,0.000352,0.907492
0.415696,0.017505,0.202184,0.004992,0.049410,0.208776,0.001120,0.000352,0.907459
0.429457,0.017537,0.202312,0.004992,0.048802,0.190759,0.001472,0.000640,0.903395
0.415728,0.017377,0.202024,0.005056,0.049538,0.211784,0.001312,0.000704,0.910851
0.415664,0.017217,0.201992,0.005248,0.049538,0.193959,0.001248,0.000352,0.891330
0.416368,0.017409,0.203400,0.005120,0.048770,0.206216,0.001408,0.000448,0.906979
0.415376,0.017313,0.201736,0.005248,0.048514,0.191496,0.001152,0.000288,0.888003
0.415889,0.017537,0.201799,0.005025,0.049506,0.188903,0.001280,0.000384,0.887235
0.415728,0.017345,0.203080,0.005248,0.048066,0.192071,0.001152,0.000352,0.889858
0.431761,0.017377,0.202856,0.005056,0.048002,0.191880,0.001216,0.000384,0.907108
0.415440,0.017345,0.202440,0.005056,0.050242,0.192039,0.001408,0.000416,0.890882
0.415857,0.017569,0.201960,0.005024,0.050786,0.211944,0.001216,0.000384,0.912996
0.418097,0.017409,0.205928,0.004864,0.050498,0.216872,0.001568,0.000416,0.923429
0.417136,0.017313,0.203528,0.004896,0.049474,0.225897,0.001216,0.000352,0.926884
0.415697,0.017408,0.202759,0.005313,0.049122,0.194695,0.001376,0.000384,0.893155
0.415728,0.017377,0.202696,0.005312,0.049698,0.199016,0.001280,0.000384,0.898211
0.433425,0.017377,0.202408,0.005184,0.048098,0.202824,0.001216,0.000352,0.917284
0.415377,0.017760,0.202440,0.004993,0.048289,0.213673,0.001184,0.000352,0.910820
0.416369,0.017216,0.202344,0.005057,0.048642,0.192391,0.001184,0.000384,0.890531
0.415728,0.017953,0.202248,0.005440,0.064899,0.212360,0.001312,0.000384,0.928068
0.417200,0.017569,0.201832,0.004992,0.048994,0.192552,0.001088,0.000352,0.890755
0.415825,0.017568,0.202375,0.004993,0.049506,0.211176,0.001344,0.000384,0.911076
0.415728,0.017537,0.202312,0.005248,0.049346,0.197896,0.001344,0.000352,0.896931
0.433073,0.017281,0.202856,0.004992,0.049154,0.199528,0.001216,0.000352,0.916292
0.415056,0.017440,0.202440,0.005248,0.049314,0.199624,0.001152,0.000320,0.897443
0.416880,0.017345,0.202760,0.005184,0.049794,0.199400,0.001248,0.000640,0.900355
0.415888,0.017441,0.201959,0.005313,0.068706,0.244906,0.001216,0.000352,0.962598
0.415184,0.017761,0.202504,0.005280,0.049058,0.205896,0.001280,0.000352,0.904355
0.416720,0.017505,0.201896,0.005280,0.050338,0.193575,0.001120,0.000288,0.893859
0.416944,0.017472,0.202056,0.005024,0.048450,0.195496,0.001312,0.000416,0.894819
0.443825,0.017345,0.202024,0.005280,0.049762,0.201960,0.001152,0.000320,0.928100
0.415409,0.017505,0.202087,0.005089,0.049250,0.206952,0.001248,0.000352,0.905284
0.416560,0.017345,0.202472,0.005312,0.049890,0.211528,0.001376,0.000608,0.912387
0.415696,0.017281,0.222601,0.005184,0.050018,0.204680,0.001376,0.000416,0.924868
0.415696,0.017313,0.201864,0.005024,0.049186,0.204744,0.001248,0.000352,0.901603
0.415440,0.017377,0.201928,0.005120,0.048738,0.207816,0.001152,0.000352,0.904547
0.415760,0.017313,0.201768,0.005280,0.049250,0.192583,0.001184,0.000384,0.889570
0.418064,0.017505,0.201864,0.005280,0.049026,0.193160,0.001248,0.000416,0.894307
0.416177,0.017568,0.202504,0.005056,0.048674,0.197352,0.001408,0.000480,0.896451
0.415696,0.017632,0.201832,0.005216,0.048834,0.195688,0.001152,0.000416,0.894915
0.415824,0.017313,0.220361,0.005248,0.050018,0.192199,0.001280,0.000384,0.909763
0.414768,0.017537,0.202056,0.005024,0.049314,0.204424,0.001504,0.000416,0.901827
0.417233,0.017728,0.203784,0.005217,0.050786,0.202375,0.001440,0.000384,0.906980
0.416176,0.017505,0.205288,0.005280,0.049858,0.200008,0.001376,0.000416,0.903715
0.416497,0.017472,0.202632,0.005184,0.049794,0.191176,0.001248,0.000384,0.891299
0.416240,0.017505,0.202728,0.005056,0.048994,0.193960,0.001248,0.000416,0.893091
0.416208,0.020993,0.202248,0.005216,0.049506,0.193992,0.001216,0.000384,0.896899
0.416080,0.017281,0.222089,0.005312,0.048610,0.212712,0.001152,0.000416,0.932484
0.414896,0.017217,0.202184,0.005280,0.049538,0.196488,0.001376,0.000352,0.894019
0.415760,0.017345,0.202183,0.005216,0.048578,0.200231,0.001280,0.000864,0.898820
0.415600,0.017345,0.202376,0.004992,0.049186,0.189256,0.001216,0.000352,0.887331
0.415792,0.017505,0.202344,0.005024,0.050338,0.197576,0.001216,0.000352,0.897123
0.416048,0.017377,0.202216,0.005216,0.049506,0.201192,0.001376,0.000352,0.900611
0.415888,0.017473,0.202568,0.005312,0.049474,0.199432,0.001248,0.000384,0.898371
0.415760,0.017505,0.223240,0.005441,0.049282,0.191847,0.001248,0.000352,0.911843
0.415504,0.017313,0.201992,0.004896,0.049634,0.209224,0.001376,0.000352,0.907907
0.415632,0.017441,0.202216,0.005280,0.049602,0.200744,0.001280,0.000352,0.899363
0.415120,0.017313,0.202152,0.005312,0.048898,0.207432,0.001280,0.000320,0.905379
0.415952,0.017761,0.202216,0.005280,0.049250,0.212425,0.001248,0.000352,0.910788
0.416176,0.017568,0.202216,0.004800,0.050914,0.207017,0.001248,0.000352,0.907460
0.415920,0.017505,0.202088,0.005248,0.048514,0.212296,0.001152,0.000352,0.909667
0.415856,0.017344,0.221513,0.005472,0.049186,0.203048,0.001376,0.000384,0.923108
0.415696,0.017441,0.203016,0.004992,0.048898,0.202824,0.001312,0.000416,0.901315
0.415601,0.017472,0.201960,0.005249,0.048866,0.238953,0.001312,0.000352,0.936773
0.415792,0.017505,0.202184,0.005216,0.048450,0.190791,0.001216,0.000352,0.888195
0.416273,0.017536,0.202184,0.005280,0.049442,0.212777,0.001376,0.000352,0.912708
0.415889,0.017504,0.203272,0.005056,0.049698,0.191752,0.001280,0.000288,0.891363
0.415697,0.017601,0.201895,0.005249,0.049410,0.208072,0.001184,0.000288,0.906564
0.415889,0.017696,0.220329,0.005472,0.050178,0.206632,0.001345,0.000576,0.925989
0.419408,0.018272,0.204808,0.005249,0.048642,0.225992,0.002272,0.000544,0.937157
0.417553,0.017569,0.202376,0.005216,0.048482,0.213832,0.001504,0.000384,0.914404
0.418608,0.017761,0.204232,0.005248,0.048674,0.269707,0.002816,0.000576,0.979366
0.417105,0.017824,0.203016,0.005377,0.049250,0.206984,0.001728,0.000800,0.909796
0.415152,0.017697,0.203080,0.005280,0.047650,0.204104,0.001088,0.000320,0.901251
0.416657,0.017504,0.202887,0.005281,0.047394,0.187175,0.001184,0.000352,0.884995
0.435345,0.017761,0.203240,0.005056,0.048898,0.194216,0.001184,0.000352,0.913316
0.416272,0.017441,0.202696,0.005216,0.047650,0.190023,0.001152,0.000352,0.887203
0.417713,0.017728,0.203272,0.005313,0.047489,0.196616,0.001184,0.000352,0.896867
0.417264,0.017601,0.203208,0.005312,0.047490,0.216841,0.001312,0.000352,0.916484
0.416048,0.017473,0.202760,0.005056,0.047842,0.194408,0.001248,0.000384,0.891459
0.416240,0.017857,0.202824,0.005248,0.048258,0.196232,0.001184,0.000384,0.894755
0.416944,0.017697,0.203400,0.005248,0.048450,0.199048,0.001632,0.000384,0.900547
0.433873,0.017600,0.202792,0.005216,0.048705,0.205448,0.001344,0.000480,0.922948
0.415920,0.017441,0.202984,0.005280,0.047746,0.190567,0.001249,0.000384,0.887299
0.415696,0.017697,0.202888,0.005376,0.048290,0.202120,0.001280,0.000352,0.900323
0.416593,0.017761,0.205192,0.005248,0.047298,0.212296,0.001376,0.000384,0.913124
0.416241,0.017504,0.204360,0.005248,0.048610,0.183623,0.001312,0.000352,0.883971
0.416625,0.017600,0.203080,0.005121,0.047489,0.191016,0.001216,0.000352,0.889123
0.417008,0.017665,0.202344,0.005248,0.047138,0.190087,0.001408,0.000352,0.888706
0.444913,0.017729,0.203080,0.005184,0.047586,0.200104,0.001248,0.000416,0.927268
0.415473,0.017472,0.202824,0.005248,0.046914,0.197960,0.001088,0.000352,0.893891
0.417361,0.018336,0.203080,0.005313,0.047938,0.191527,0.001376,0.000352,0.892739
0.416368,0.017729,0.202248,0.005312,0.047842,0.216713,0.001280,0.000416,0.915076
0.416592,0.017505,0.202376,0.005344,0.047682,0.199016,0.001184,0.000384,0.896675
0.416049,0.017568,0.202535,0.005377,0.048066,0.184519,0.001280,0.000352,0.882595
0.415793,0.017568,0.202440,0.005248,0.047682,0.201608,0.001248,0.000480,0.898595
0.435601,0.017761,0.202120,0.005248,0.047522,0.195688,0.001152,0.000384,0.912548
0.416560,0.017697,0.202024,0.005248,0.047138,0.192519,0.001217,0.000384,0.889123
0.416304,0.017793,0.201960,0.005184,0.047586,0.181863,0.001216,0.000384,0.879106
0.416817,0.017312,0.202791,0.005121,0.047298,0.195399,0.001280,0.000416,0.892611
0.417393,0.017697,0.202343,0.004992,0.048418,0.198471,0.001216,0.000352,0.897444
0.417456,0.017665,0.203144,0.005280,0.047874,0.191080,0.001344,0.000320,0.891555
0.415824,0.017665,0.202344,0.005376,0.047938,0.191207,0.001088,0.000384,0.888131
0.431376,0.017632,0.203816,0.005280,0.048162,0.193672,0.001216,0.000352,0.908835
0.415536,0.017569,0.203112,0.005056,0.047842,0.191143,0.001248,0.000384,0.888546
0.415505,0.017793,0.202311,0.005249,0.049090,0.193159,0.001280,0.000384,0.891619
0.416432,0.017793,0.202824,0.005312,0.048098,0.195688,0.001120,0.000352,0.895171
0.415825,0.017632,0.202120,0.005249,0.048257,0.190504,0.001216,0.000384,0.887619
0.416561,0.017600,0.202472,0.005057,0.047937,0.187816,0.001312,0.000448,0.886275
0.416209,0.017825,0.202599,0.005281,0.048130,0.180711,0.001120,0.000352,0.878595
0.416433,0.017601,0.222728,0.005473,0.048097,0.194024,0.001152,0.000384,0.913284
0.418128,0.017761,0.204168,0.005248,0.048066,0.204552,0.001376,0.000416,0.907331
0.417040,0.017313,0.204808,0.005248,0.048034,0.194280,0.001248,0.000384,0.895299
0.417680,0.017761,0.203208,0.005088,0.048258,0.195336,0.001088,0.000384,0.895875
0.427857,0.017216,0.202984,0.004769,0.047457,0.181447,0.001248,0.000384,0.889827
0.417584,0.017473,0.202920,0.004800,0.047682,0.176839,0.001056,0.000320,0.874786
0.415921,0.017600,0.202984,0.005025,0.048097,0.197608,0.001248,0.000384,0.895651
0.415281,0.017344,0.204168,0.005057,0.064706,0.185000,0.001280,0.000384,0.899588
0.416688,0.017313,0.202663,0.004800,0.048130,0.180039,0.001088,0.000384,0.877091
0.417040,0.017345,0.202440,0.004832,0.047810,0.180679,0.001248,0.000352,0.877506
0.416464,0.017441,0.202792,0.004800,0.047394,0.187847,0.001216,0.000384,0.884194
0.431665,0.017665,0.203624,0.005312,0.047810,0.194024,0.001472,0.000416,0.909092
0.417169,0.017568,0.203304,0.005089,0.047521,0.184808,0.001088,0.000288,0.882787
0.416048,0.017761,0.202632,0.004832,0.047554,0.188039,0.001184,0.000448,0.884098
0.415696,0.017601,0.202280,0.004800,0.048002,0.166502,0.000961,0.000416,0.862306
0.415952,0.017441,0.202056,0.005056,0.047426,0.183399,0.000992,0.000416,0.878786
0.416048,0.017441,0.202408,0.004832,0.047650,0.175271,0.001120,0.000352,0.871010
0.416368,0.017505,0.202376,0.004896,0.046914,0.179303,0.001088,0.000352,0.874082
