Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-10],classifier
0.417553,0.017504,0.202248,0.004897,0.047745,0.000608,0.013760,0.000416,0.109796,0.880995
0.416272,0.017665,0.202248,0.004864,0.047714,0.000576,0.013697,0.000352,0.115204,0.890979
0.417073,0.017601,0.202119,0.004864,0.047426,0.000544,0.013440,0.000416,0.114245,0.896036
0.436561,0.017665,0.202024,0.004832,0.047170,0.000608,0.013472,0.000384,0.117989,0.910020
0.416464,0.017537,0.202600,0.004800,0.047362,0.000608,0.013408,0.000416,0.104484,0.875042
0.416592,0.017537,0.202376,0.004832,0.047106,0.000608,0.013441,0.000352,0.114564,0.893827
0.416496,0.017665,0.203176,0.004832,0.047042,0.000608,0.013408,0.000416,0.148550,0.927652
0.415857,0.017376,0.202408,0.004896,0.048738,0.000576,0.014721,0.000576,0.111588,0.888227
0.415761,0.017344,0.204424,0.004865,0.048609,0.000608,0.013440,0.000384,0.112165,0.895043
0.415760,0.017217,0.202440,0.004864,0.047458,0.000640,0.013408,0.000384,0.112261,0.885986
0.444658,0.017504,0.202471,0.004865,0.047426,0.000608,0.013472,0.000384,0.110308,0.911492
0.415825,0.017504,0.202248,0.004864,0.047297,0.000640,0.013441,0.000448,0.116805,0.889283
0.414673,0.017376,0.202504,0.004929,0.047201,0.000576,0.013409,0.000416,0.116677,0.892835
0.415120,0.017633,0.202760,0.004832,0.047074,0.000640,0.013696,0.000384,0.138630,0.927396
0.416656,0.017441,0.202248,0.004832,0.047202,0.000608,0.013440,0.000384,0.112101,0.881986
0.415376,0.017600,0.202312,0.004768,0.047266,0.000576,0.013409,0.000416,0.112516,0.888419
0.417169,0.017760,0.202440,0.004865,0.047681,0.000609,0.013696,0.000384,0.118277,0.892643
0.432529,0.017824,0.202439,0.004865,0.048194,0.000576,0.013664,0.000416,0.114949,0.902435
0.416432,0.017665,0.202344,0.004800,0.048034,0.000608,0.013793,0.000352,0.113668,0.898819
0.416081,0.017601,0.202183,0.004928,0.047266,0.000576,0.013504,0.000448,0.113381,0.884739
0.416016,0.017505,0.202184,0.004800,0.047266,0.000608,0.013504,0.000384,0.115813,0.915235
0.417041,0.017536,0.202024,0.004833,0.047457,0.000608,0.013409,0.000416,0.114181,0.891651
0.416497,0.017568,0.202440,0.004769,0.047233,0.000576,0.013409,0.000416,0.112996,0.882403
0.415376,0.017537,0.202248,0.004832,0.049218,0.000576,0.014017,0.000576,0.113828,0.888099
0.435793,0.017793,0.202216,0.004800,0.047010,0.000608,0.013729,0.000384,0.120709,0.910084
0.416848,0.017665,0.202856,0.004768,0.049794,0.000576,0.014369,0.000384,0.125573,0.910276
0.417040,0.017729,0.202664,0.004832,0.048802,0.000608,0.014145,0.000608,0.116676,0.899363
0.415440,0.017601,0.202632,0.004864,0.049954,0.000576,0.014529,0.000672,0.117444,0.915172
0.415760,0.017505,0.202279,0.004800,0.049218,0.000576,0.014016,0.000384,0.119589,0.892642
0.417489,0.017600,0.202536,0.004832,0.048065,0.000576,0.013569,0.000416,0.114468,0.887843
0.415856,0.017633,0.202216,0.004800,0.047650,0.000608,0.013536,0.000416,0.112452,0.889411
0.434961,0.017569,0.202280,0.004768,0.047394,0.000544,0.013344,0.000416,0.109445,0.904227
0.415921,0.017984,0.202536,0.004833,0.047137,0.000608,0.013441,0.000416,0.107844,0.882307
0.415376,0.017601,0.202568,0.004832,0.047330,0.000640,0.013505,0.000384,0.119460,0.899107
0.416592,0.017600,0.202184,0.004768,0.047522,0.000576,0.013793,0.000352,0.123557,0.923044
0.416784,0.017697,0.202344,0.004864,0.047330,0.000576,0.013441,0.000416,0.113284,0.886947
0.416624,0.017537,0.202632,0.004896,0.047138,0.000576,0.013728,0.000448,0.120581,0.893507
0.416432,0.017697,0.202760,0.004768,0.047106,0.000576,0.013376,0.000384,0.111653,0.884194
0.432689,0.017569,0.202216,0.004800,0.047106,0.000608,0.013377,0.000416,0.105956,0.890723
0.416912,0.017665,0.204552,0.004832,0.047106,0.000608,0.013537,0.000384,0.116292,0.897731
0.416017,0.017856,0.202632,0.004832,0.046946,0.000640,0.013505,0.000384,0.111012,0.892035
0.416721,0.017697,0.202375,0.004768,0.047042,0.000608,0.013408,0.000384,0.109892,0.887939
0.415664,0.017793,0.202408,0.004832,0.046914,0.000576,0.013472,0.000384,0.117957,0.899139
0.415377,0.017696,0.202984,0.004833,0.047041,0.000608,0.013313,0.000384,0.111972,0.885347
0.415792,0.017313,0.202440,0.004800,0.047234,0.000576,0.013377,0.000352,0.100708,0.869378
0.416176,0.028609,0.202952,0.004864,0.046978,0.000576,0.013441,0.000416,0.107748,0.886882
0.415856,0.017665,0.202344,0.004832,0.046946,0.000608,0.013344,0.000384,0.109988,0.886979
0.415056,0.018017,0.202728,0.004736,0.047042,0.000608,0.013344,0.000416,0.102661,0.872450
0.415664,0.017729,0.202920,0.004832,0.046914,0.000640,0.013313,0.000448,0.096324,0.862562
0.427505,0.017728,0.202184,0.004801,0.046977,0.000576,0.013313,0.000384,0.116997,0.900803
0.416304,0.017888,0.201992,0.004832,0.047202,0.000608,0.013441,0.000384,0.113508,0.894371
0.416048,0.017761,0.202280,0.004800,0.047522,0.000544,0.013344,0.000384,0.141414,0.921700
0.415920,0.017441,0.202184,0.004800,0.060835,0.000608,0.013408,0.000384,0.154278,0.969926
0.415345,0.017536,0.202664,0.004768,0.047234,0.000576,0.013377,0.000352,0.117349,0.893411
0.416017,0.017312,0.202088,0.004800,0.047138,0.000576,0.013345,0.000384,0.102596,0.876259
0.415344,0.017441,0.202759,0.004832,0.047490,0.000576,0.013344,0.000352,0.100132,0.866497
0.428560,0.017408,0.202728,0.004800,0.047202,0.000608,0.013601,0.000320,0.114116,0.902947
0.416625,0.017216,0.202376,0.004833,0.047041,0.000576,0.013408,0.000384,0.106724,0.880291
0.416528,0.017665,0.202408,0.004800,0.047170,0.000576,0.013409,0.000384,0.114852,0.894851
0.416240,0.017537,0.202536,0.004768,0.046946,0.000608,0.013505,0.000384,0.113860,0.915780
0.415952,0.017665,0.201992,0.004832,0.047042,0.000608,0.013440,0.000352,0.112549,0.887266
0.416528,0.017569,0.202568,0.004864,0.047202,0.000640,0.013504,0.000416,0.119365,0.899811
0.416592,0.017409,0.202280,0.004832,0.047138,0.000608,0.013376,0.000384,0.114629,0.890402
0.434353,0.017568,0.202440,0.005024,0.047009,0.000576,0.013537,0.000416,0.120581,0.912323
0.415665,0.017664,0.201960,0.004801,0.047137,0.000608,0.013441,0.000416,0.120901,0.902180
0.415984,0.017761,0.201960,0.004832,0.047042,0.000608,0.013408,0.000384,0.113125,0.890499
0.417745,0.017600,0.202311,0.004801,0.047137,0.000608,0.013376,0.000448,0.121253,0.917028
0.417008,0.017473,0.203304,0.004864,0.047266,0.000608,0.013408,0.000352,0.113541,0.892227
0.416048,0.017729,0.202056,0.004800,0.047042,0.000576,0.013441,0.000384,0.120068,0.898755
0.416176,0.017537,0.202440,0.004896,0.047170,0.000608,0.013440,0.000416,0.108932,0.880835
0.433713,0.017537,0.202376,0.004800,0.046978,0.000576,0.013441,0.000384,0.118212,0.918532
0.415600,0.017601,0.201991,0.004833,0.047074,0.000544,0.013504,0.000384,0.114181,0.891491
0.415505,0.017472,0.203240,0.004769,0.047169,0.000608,0.013504,0.000384,0.113861,0.887107
0.416048,0.017472,0.202632,0.004832,0.047010,0.000576,0.013441,0.000416,0.107524,0.876899
0.416176,0.017569,0.202248,0.004832,0.046914,0.000576,0.013409,0.000384,0.110404,0.882882
0.415792,0.017921,0.202504,0.004864,0.047266,0.000608,0.013696,0.000384,0.115557,0.889218
0.415472,0.017889,0.202376,0.004832,0.047650,0.000608,0.013760,0.000384,0.110757,0.886754
0.434481,0.017825,0.202248,0.004800,0.047170,0.000640,0.013825,0.000352,0.115812,0.914692
0.415824,0.017537,0.202600,0.004832,0.047138,0.000608,0.013408,0.000416,0.112485,0.885602
0.415953,0.017408,0.202120,0.004865,0.047041,0.000576,0.013409,0.000352,0.112836,0.887971
0.416464,0.017281,0.202120,0.004768,0.046978,0.000576,0.013344,0.000384,0.107204,0.879746
0.415825,0.017409,0.202407,0.004833,0.046977,0.000608,0.013376,0.000352,0.109380,0.880835
0.415889,0.017664,0.202824,0.004800,0.047042,0.000608,0.013345,0.000384,0.111876,0.889091
0.416336,0.017569,0.202536,0.004832,0.046914,0.000608,0.013408,0.000385,0.112996,0.891875
0.415824,0.017729,0.219560,0.004961,0.047169,0.000608,0.013408,0.000352,0.113861,0.910019
0.417936,0.017504,0.202952,0.004800,0.047138,0.000608,0.013473,0.000384,0.116517,0.890147
0.414896,0.017505,0.202696,0.004768,0.048130,0.000640,0.013440,0.000416,0.113317,0.884706
0.415952,0.017569,0.203816,0.004864,0.047394,0.000608,0.013440,0.000416,0.111013,0.884547
0.432049,0.017569,0.202312,0.004768,0.047074,0.000608,0.013440,0.000416,0.107205,0.894755
0.415760,0.017505,0.203976,0.004800,0.047138,0.000608,0.013377,0.000384,0.128261,0.904484
0.415792,0.017281,0.202504,0.004864,0.046978,0.000576,0.013440,0.000384,0.107909,0.884450
0.415696,0.017761,0.203080,0.004800,0.064931,0.000704,0.013409,0.000384,0.112804,0.903683
0.416305,0.017568,0.202216,0.004864,0.047010,0.000576,0.013409,0.000384,0.108100,0.879043
0.415696,0.017665,0.202472,0.004832,0.047010,0.000576,0.013440,0.000416,0.116101,0.892450
0.416016,0.018209,0.202504,0.004736,0.047170,0.000608,0.013505,0.000352,0.111844,0.887267
0.432721,0.017889,0.202408,0.004800,0.047138,0.000576,0.013409,0.000416,0.116836,0.906500
0.415792,0.017569,0.204616,0.004832,0.047298,0.000640,0.013761,0.000352,0.112932,0.891747
0.415536,0.017697,0.202952,0.004832,0.047042,0.000608,0.013409,0.000384,0.101860,0.870818
0.415441,0.017536,0.203080,0.004833,0.047265,0.000576,0.013441,0.000352,0.128709,0.902980
0.417904,0.017793,0.202792,0.004800,0.047010,0.000640,0.013537,0.000448,0.112708,0.888355
0.419440,0.017633,0.203464,0.004832,0.048418,0.000576,0.014721,0.000416,0.134149,0.920324
0.417041,0.017505,0.203112,0.004800,0.049026,0.000608,0.013472,0.000352,0.114341,0.891523
0.435441,0.017569,0.202376,0.004768,0.049090,0.000576,0.013473,0.000384,0.111140,0.904132
0.417105,0.017504,0.201992,0.004833,0.048930,0.000576,0.013728,0.000384,0.106436,0.879203
0.417488,0.017536,0.202120,0.004864,0.048290,0.000576,0.013409,0.000352,0.106212,0.887363
0.416240,0.017537,0.203048,0.004800,0.047650,0.000576,0.013440,0.000320,0.137030,0.913027
0.417616,0.017505,0.202632,0.004832,0.047138,0.000576,0.013441,0.000352,0.110660,0.886467
0.416624,0.017761,0.202824,0.004896,0.047106,0.000608,0.013537,0.000384,0.113220,0.887811
0.415601,0.017504,0.202536,0.004865,0.047137,0.000608,0.013409,0.000416,0.109348,0.886595
0.434929,0.017633,0.202344,0.004768,0.047298,0.000640,0.013440,0.000384,0.114789,0.912836
0.415633,0.017504,0.202024,0.004833,0.048865,0.000545,0.014592,0.000416,0.110788,0.891331
0.414992,0.017857,0.202216,0.004864,0.047778,0.000576,0.013600,0.000416,0.109317,0.880450
0.416240,0.017665,0.202824,0.004800,0.047042,0.000608,0.013569,0.000352,0.110276,0.883235
0.416497,0.017568,0.201928,0.004800,0.047234,0.000608,0.013441,0.000416,0.111364,0.888099
0.415536,0.017761,0.202216,0.004800,0.047202,0.000608,0.013473,0.000352,0.108612,0.880930
0.416400,0.017793,0.202472,0.004864,0.047266,0.000576,0.013440,0.000416,0.120261,0.900355
0.435921,0.021665,0.201992,0.004768,0.050402,0.000576,0.014337,0.000416,0.110788,0.907907
0.415504,0.017473,0.202408,0.004800,0.048066,0.000608,0.013729,0.000352,0.109924,0.884227
0.416848,0.017793,0.202024,0.004768,0.047010,0.000608,0.013440,0.000384,0.110245,0.890626
0.416049,0.017600,0.201864,0.004769,0.047201,0.000608,0.013473,0.000384,0.111716,0.882179
0.415601,0.017536,0.202696,0.004801,0.047105,0.000576,0.013473,0.000384,0.117957,0.891107
0.415985,0.017888,0.202279,0.004801,0.047009,0.000672,0.013664,0.000352,0.108228,0.882563
0.415888,0.017729,0.202632,0.004896,0.047042,0.000576,0.013537,0.000384,0.112388,0.889315
0.415696,0.017441,0.218568,0.005025,0.047042,0.000608,0.013504,0.000384,0.111269,0.897123
0.415152,0.018177,0.202888,0.004832,0.046914,0.000576,0.013921,0.000416,0.113188,0.889635
0.416048,0.017505,0.202216,0.004896,0.047170,0.000608,0.013633,0.000352,0.112548,0.893859
0.416112,0.017953,0.202376,0.004864,0.047010,0.000576,0.013345,0.000416,0.110468,0.891459
0.432209,0.017537,0.202344,0.004800,0.046978,0.000576,0.013440,0.000352,0.107237,0.896611
0.415984,0.017697,0.202088,0.004800,0.047010,0.000608,0.013440,0.000384,0.110053,0.882018
0.416144,0.017665,0.201960,0.004800,0.047010,0.000640,0.013376,0.000352,0.108549,0.877954
0.415248,0.017761,0.201960,0.004864,0.047106,0.000608,0.028289,0.000480,0.109412,0.898979
0.415409,0.017696,0.202280,0.004768,0.046914,0.000576,0.013441,0.000352,0.108164,0.882819
0.415440,0.017953,0.203080,0.004832,0.046978,0.000576,0.013377,0.000416,0.113316,0.881282
0.414961,0.017600,0.202055,0.004801,0.047201,0.000576,0.013344,0.000416,0.112101,0.887299
