Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-10],classifier
0.415984,0.017729,0.203240,0.004896,0.047394,0.000576,0.013568,0.000384,0.112997,0.892707
0.416400,0.017793,0.202984,0.004800,0.047138,0.000608,0.013729,0.000448,0.120005,0.894947
0.417008,0.017761,0.202856,0.004768,0.066306,0.000640,0.014625,0.000448,0.115845,0.913923
0.416817,0.017632,0.203208,0.004865,0.048482,0.000576,0.014464,0.000352,0.115877,0.899428
0.416368,0.017537,0.202152,0.004832,0.049698,0.000608,0.014017,0.000384,0.110820,0.888963
0.416624,0.017601,0.202888,0.004864,0.048034,0.000608,0.014113,0.000416,0.116548,0.892643
0.433425,0.017505,0.202824,0.004864,0.048354,0.000576,0.013824,0.000384,0.115397,0.910851
0.415920,0.018592,0.202248,0.005120,0.048226,0.000640,0.013505,0.000352,0.119013,0.901859
0.415824,0.017825,0.202440,0.004800,0.049122,0.000608,0.015329,0.000544,0.120836,0.897667
0.416240,0.017569,0.202952,0.004832,0.066019,0.000704,0.014048,0.000416,0.127397,0.921860
0.417200,0.018336,0.202376,0.004800,0.049409,0.000608,0.014177,0.000416,0.129573,0.912356
0.415792,0.017633,0.202696,0.004768,0.048450,0.000576,0.013697,0.000384,0.121541,0.897251
0.416657,0.017600,0.202184,0.004768,0.050018,0.000608,0.014785,0.000352,0.117829,0.898883
0.418288,0.017825,0.203240,0.004768,0.050434,0.000576,0.014209,0.000480,0.113348,0.891811
0.417072,0.017888,0.202248,0.004864,0.048418,0.000608,0.013665,0.000416,0.116036,0.890051
0.416624,0.017793,0.202344,0.004800,0.048354,0.000608,0.013600,0.000416,0.114821,0.890819
0.417297,0.017504,0.220137,0.005056,0.048802,0.000608,0.013697,0.000384,0.120773,0.913572
0.416081,0.017824,0.203176,0.004929,0.048002,0.000576,0.013472,0.000384,0.119173,0.894243
0.416240,0.017505,0.202344,0.004832,0.048706,0.000608,0.014913,0.000608,0.118213,0.899459
0.418032,0.017601,0.202376,0.004832,0.047266,0.000608,0.013569,0.000352,0.112772,0.887075
0.416176,0.017505,0.203528,0.004800,0.047554,0.000576,0.013633,0.000352,0.121124,0.896643
0.416017,0.017665,0.202632,0.004832,0.047778,0.000576,0.013504,0.000416,0.119301,0.894883
0.415376,0.017569,0.202440,0.004768,0.049698,0.000576,0.014081,0.000352,0.121828,0.899459
0.416560,0.017697,0.221352,0.005025,0.049281,0.000577,0.014720,0.000544,0.113445,0.909380
0.426737,0.017985,0.203048,0.004768,0.048706,0.000576,0.013633,0.000352,0.114788,0.900420
0.415824,0.017697,0.202376,0.004832,0.048674,0.000608,0.013760,0.000384,0.116773,0.891939
0.416336,0.017537,0.202792,0.004832,0.047714,0.000608,0.013472,0.000416,0.116581,0.895171
0.416465,0.017824,0.202536,0.004833,0.047809,0.000640,0.013889,0.000416,0.115877,0.891331
0.416689,0.017792,0.202440,0.004769,0.047809,0.000608,0.013888,0.000416,0.116197,0.893155
0.415985,0.017793,0.202120,0.004800,0.047234,0.000544,0.013792,0.000384,0.119909,0.894179
0.417360,0.018177,0.217192,0.004929,0.047329,0.000608,0.013921,0.000384,0.117797,0.907715
0.416016,0.017601,0.202440,0.004800,0.049666,0.000576,0.013696,0.000416,0.115493,0.892963
0.416144,0.017729,0.202792,0.004800,0.048706,0.000576,0.013953,0.000384,0.119812,0.902531
0.416016,0.017697,0.201864,0.004800,0.049666,0.000608,0.013696,0.000384,0.114277,0.897667
0.430737,0.017568,0.202183,0.004833,0.048386,0.000576,0.013696,0.000416,0.119269,0.912356
0.415665,0.017697,0.201991,0.004801,0.048066,0.000608,0.013632,0.000384,0.113381,0.890787
0.416912,0.017761,0.202376,0.005248,0.047778,0.000608,0.013409,0.000384,0.115652,0.897507
0.415504,0.017504,0.222793,0.004992,0.047426,0.000640,0.013569,0.000384,0.113284,0.904612
0.416049,0.017633,0.202311,0.005217,0.047650,0.000608,0.013792,0.000416,0.116965,0.892931
0.415344,0.017665,0.202728,0.004800,0.048834,0.000544,0.013600,0.000384,0.117509,0.898211
0.415632,0.017345,0.202248,0.004896,0.047362,0.000544,0.013409,0.000416,0.115652,0.895587
0.433041,0.017632,0.202504,0.004832,0.047330,0.000576,0.013697,0.000384,0.117508,0.909700
0.416496,0.017569,0.202568,0.004832,0.049570,0.000608,0.013985,0.000384,0.117124,0.893795
0.416400,0.017601,0.202344,0.004800,0.048450,0.000544,0.013633,0.000384,0.112324,0.884579
0.415696,0.017601,0.202792,0.022209,0.049186,0.000576,0.013440,0.000352,0.113893,0.914724
0.416656,0.018081,0.202152,0.004800,0.048290,0.000608,0.013728,0.000352,0.111941,0.885858
0.416432,0.017792,0.202184,0.004832,0.048354,0.000576,0.013441,0.000352,0.115812,0.891427
0.415920,0.017537,0.202344,0.004768,0.047970,0.000576,0.013568,0.000416,0.115653,0.890178
0.432817,0.017696,0.202856,0.004801,0.047873,0.000576,0.013569,0.000384,0.113188,0.905411
0.416464,0.017793,0.201960,0.004800,0.047138,0.000576,0.013440,0.000416,0.121829,0.903363
0.415665,0.017696,0.202120,0.004768,0.047106,0.000544,0.013729,0.000384,0.116100,0.893635
0.416496,0.017665,0.202632,0.004768,0.066307,0.000608,0.013536,0.000384,0.117989,0.909700
0.415952,0.017921,0.202792,0.004864,0.049250,0.000608,0.014113,0.000416,0.119396,0.903587
0.415761,0.017696,0.202248,0.004801,0.048674,0.000576,0.013536,0.000384,0.116133,0.892323
0.415728,0.017632,0.202088,0.004800,0.048642,0.000608,0.013473,0.000416,0.112676,0.886211
0.433905,0.017761,0.201864,0.004800,0.047810,0.000640,0.013537,0.000352,0.116228,0.914820
0.416144,0.017601,0.202696,0.004800,0.047106,0.000608,0.013376,0.000384,0.113157,0.884866
0.416113,0.017536,0.202408,0.004769,0.047585,0.000608,0.013376,0.000416,0.112932,0.890403
0.416177,0.017536,0.201832,0.004832,0.047266,0.000608,0.029249,0.000544,0.140005,0.930533
0.416528,0.017793,0.202344,0.004864,0.047074,0.000576,0.013472,0.000384,0.114277,0.887587
0.416081,0.017536,0.202568,0.004865,0.047809,0.000609,0.013440,0.000416,0.110148,0.880515
0.415921,0.017696,0.202504,0.004865,0.047041,0.000576,0.013633,0.000416,0.116901,0.901924
0.432145,0.017536,0.202568,0.004769,0.048641,0.000609,0.014528,0.000544,0.117317,0.910563
0.416208,0.017729,0.202280,0.004928,0.048258,0.000608,0.013632,0.000416,0.114789,0.889186
0.417616,0.017729,0.202248,0.004768,0.048994,0.000608,0.013473,0.000416,0.117444,0.895043
0.416433,0.017696,0.202280,0.004865,0.047393,0.000576,0.013376,0.000352,0.134085,0.908292
0.416145,0.017472,0.202536,0.004865,0.047297,0.000608,0.013377,0.000384,0.113508,0.887779
0.416881,0.017825,0.202792,0.004800,0.048450,0.000608,0.013728,0.000384,0.117445,0.895427
0.416048,0.017760,0.202056,0.004832,0.048930,0.000576,0.013697,0.000416,0.115940,0.896995
0.433649,0.018080,0.202312,0.004801,0.048353,0.000576,0.013377,0.000352,0.104100,0.892803
0.416848,0.017760,0.202472,0.004832,0.047586,0.000640,0.013441,0.000384,0.117829,0.895811
0.416400,0.017536,0.202856,0.004832,0.048802,0.000576,0.013761,0.000352,0.113764,0.888419
0.415952,0.017537,0.201960,0.004832,0.047458,0.000608,0.013409,0.000384,0.109124,0.902051
0.415024,0.017569,0.202248,0.004800,0.047298,0.000608,0.013377,0.000448,0.105316,0.877218
0.415696,0.017601,0.201992,0.004800,0.047234,0.000576,0.013345,0.000384,0.109284,0.881859
0.416656,0.018081,0.202056,0.004832,0.047266,0.000608,0.013344,0.000384,0.116517,0.893250
0.431345,0.017729,0.202248,0.004800,0.047426,0.000608,0.013441,0.000384,0.112772,0.902308
0.415952,0.017697,0.202312,0.004800,0.047426,0.000640,0.013408,0.000384,0.114085,0.885346
0.416401,0.017536,0.202183,0.004801,0.047265,0.000544,0.013376,0.000416,0.112037,0.886083
0.415568,0.017505,0.201800,0.004800,0.047170,0.000576,0.013504,0.000416,0.112261,0.882146
0.416208,0.017921,0.202312,0.004800,0.048130,0.000608,0.013793,0.000384,0.116292,0.891491
0.416176,0.017729,0.202632,0.004800,0.050082,0.000608,0.013825,0.000416,0.116773,0.899619
0.415984,0.017633,0.202024,0.004832,0.048034,0.000576,0.013920,0.000384,0.115461,0.889730
0.415600,0.039713,0.202344,0.005248,0.048738,0.000608,0.013569,0.000352,0.112452,0.907012
0.416272,0.017761,0.202248,0.004768,0.047746,0.000576,0.013504,0.000416,0.114917,0.895043
0.415824,0.017761,0.202376,0.004768,0.048098,0.000576,0.013441,0.000384,0.116484,0.889443
0.415856,0.017761,0.202888,0.004864,0.047426,0.000608,0.013408,0.000416,0.115109,0.886242
0.416272,0.017697,0.202888,0.004800,0.047266,0.000608,0.013569,0.000384,0.116772,0.898595
0.416528,0.017633,0.202600,0.004800,0.047362,0.000608,0.013472,0.000417,0.113124,0.886562
0.416433,0.017504,0.202024,0.004833,0.047009,0.000544,0.013473,0.000384,0.113924,0.893667
0.417425,0.017665,0.218504,0.004992,0.047234,0.000576,0.013697,0.000416,0.114724,0.913412
0.415792,0.017985,0.202248,0.004832,0.049858,0.000576,0.014433,0.000384,0.115716,0.891043
0.417232,0.017696,0.202408,0.004800,0.048898,0.000576,0.013633,0.000320,0.113188,0.887203
0.418128,0.017537,0.201960,0.004832,0.048226,0.000576,0.013377,0.000384,0.116516,0.898563
0.415152,0.017889,0.202248,0.004800,0.047170,0.000576,0.013376,0.000385,0.111012,0.881890
0.415568,0.017985,0.202216,0.004896,0.048098,0.000576,0.013440,0.000352,0.118277,0.892291
0.415952,0.017921,0.202504,0.004896,0.049090,0.000608,0.013664,0.000416,0.112645,0.890402
0.415600,0.017505,0.221352,0.005409,0.048802,0.000640,0.013632,0.000352,0.112645,0.906179
0.416145,0.017632,0.202120,0.004832,0.047842,0.000608,0.013345,0.000416,0.114180,0.886755
0.416880,0.017729,0.202408,0.005248,0.048322,0.000608,0.013665,0.000384,0.112548,0.891971
0.415952,0.017569,0.202632,0.005056,0.048930,0.000576,0.013697,0.000384,0.114052,0.884995
0.415568,0.018272,0.202440,0.005088,0.048930,0.000608,0.013633,0.000384,0.119557,0.892739
0.415729,0.017824,0.201992,0.005312,0.048033,0.000608,0.013409,0.000416,0.112132,0.891715
0.414608,0.018016,0.202440,0.004928,0.047970,0.000608,0.013377,0.000416,0.114180,0.894627
0.422513,0.018081,0.241129,0.005312,0.048162,0.000832,0.013729,0.000416,0.152774,0.978855
0.418704,0.017985,0.203912,0.005088,0.048098,0.000832,0.013729,0.000384,0.148038,0.932772
0.420113,0.017825,0.203752,0.005312,0.050402,0.000800,0.014209,0.000416,0.134949,0.927397
0.416272,0.017697,0.203048,0.005312,0.048354,0.000864,0.013761,0.000352,0.114596,0.918916
0.415856,0.017632,0.202792,0.005312,0.049986,0.000800,0.014369,0.000384,0.106340,0.895683
0.416401,0.017856,0.202248,0.004801,0.048929,0.000833,0.013760,0.000384,0.116869,0.892643
0.416400,0.017825,0.202632,0.005216,0.048674,0.000800,0.013889,0.000416,0.112324,0.886850
0.433393,0.017729,0.202311,0.004865,0.048418,0.000768,0.013696,0.000352,0.115269,0.907427
0.417008,0.017793,0.203144,0.005152,0.048098,0.000800,0.013504,0.000352,0.115365,0.895427
0.416721,0.017632,0.202536,0.005121,0.047938,0.000800,0.013440,0.000352,0.114085,0.896035
0.417104,0.017793,0.202408,0.004864,0.047874,0.000800,0.013697,0.000384,0.114276,0.929380
0.415537,0.017856,0.202664,0.004865,0.048897,0.000768,0.013664,0.000384,0.114117,0.892707
0.415984,0.017569,0.202056,0.004832,0.047746,0.000800,0.013440,0.000416,0.111333,0.881890
0.416304,0.017697,0.202344,0.004800,0.047106,0.000768,0.013536,0.000320,0.101604,0.868130
0.433297,0.018464,0.202824,0.004833,0.047137,0.000769,0.013408,0.000384,0.113157,0.903875
0.416368,0.017377,0.202792,0.004896,0.047362,0.000896,0.013664,0.000416,0.108709,0.883106
0.416240,0.017729,0.203272,0.004832,0.048290,0.000800,0.013696,0.000352,0.115461,0.900995
0.416368,0.017633,0.202760,0.005248,0.048546,0.000832,0.014273,0.000448,0.113316,0.889443
0.416944,0.017793,0.203208,0.005216,0.048674,0.000800,0.014081,0.000384,0.112932,0.892099
0.415761,0.017408,0.202504,0.005088,0.048130,0.000768,0.013697,0.000384,0.111268,0.882787
0.414736,0.017697,0.202536,0.004800,0.048546,0.000736,0.013728,0.000384,0.109957,0.883426
0.414705,0.033953,0.202728,0.005280,0.048290,0.000800,0.013729,0.000416,0.116900,0.907556
0.415728,0.017985,0.202472,0.004864,0.048162,0.000768,0.013729,0.000384,0.112772,0.892067
0.415504,0.017505,0.202088,0.004896,0.048290,0.000960,0.013536,0.000384,0.114693,0.892419
0.416784,0.017537,0.202152,0.004832,0.048258,0.000768,0.013473,0.000384,0.114660,0.896163
0.417264,0.018016,0.202984,0.004864,0.047490,0.000864,0.013441,0.000352,0.116196,0.888963
0.418001,0.017728,0.202056,0.004865,0.048321,0.000769,0.013440,0.000352,0.117509,0.893667
0.417616,0.017728,0.203176,0.004768,0.048098,0.000832,0.013665,0.000320,0.114628,0.888995
0.417937,0.017536,0.221448,0.005184,0.048386,0.000800,0.014177,0.000352,0.116549,0.910500
0.415920,0.017505,0.202056,0.004832,0.048578,0.000800,0.013729,0.000384,0.116004,0.895971
0.417457,0.017761,0.203335,0.004896,0.048514,0.000800,0.013568,0.000384,0.115205,0.891267
0.416752,0.017633,0.202408,0.004832,0.047778,0.000800,0.013536,0.000416,0.118053,0.896611
0.416560,0.017569,0.202728,0.004800,0.047330,0.000832,0.013568,0.000352,0.111525,0.883394
0.418064,0.017825,0.206824,0.004832,0.047650,0.000864,0.013665,0.000384,0.116740,0.902883
0.418928,0.017569,0.203400,0.004800,0.047714,0.001024,0.013504,0.000416,0.116773,0.899460
0.418833,0.017760,0.217929,0.005280,0.047810,0.000768,0.013793,0.000384,0.116548,0.909316
0.417681,0.017505,0.203400,0.004800,0.049026,0.000768,0.013696,0.000352,0.116453,0.899076
0.417488,0.017728,0.202984,0.004992,0.049506,0.000832,0.014401,0.000352,0.113252,0.889731
0.417617,0.017504,0.202568,0.004801,0.048001,0.000800,0.013920,0.000384,0.115845,0.896931
0.416017,0.017984,0.202536,0.004801,0.048609,0.000800,0.013504,0.000416,0.111844,0.890723
0.416209,0.017568,0.203784,0.004801,0.047458,0.000800,0.013632,0.000448,0.115877,0.888067
0.416592,0.017825,0.202696,0.005216,0.047682,0.000800,0.013728,0.000416,0.113957,0.890594
0.416400,0.017729,0.219241,0.005120,0.048034,0.000768,0.013696,0.000384,0.110405,0.900323
0.414896,0.017889,0.202216,0.004800,0.047426,0.000736,0.013665,0.000384,0.113380,0.886467
0.416240,0.017569,0.202440,0.004832,0.047746,0.000736,0.013665,0.000416,0.111204,0.884739
0.415728,0.017633,0.202600,0.005280,0.047490,0.000800,0.013696,0.000384,0.116389,0.889666
0.434065,0.017537,0.203016,0.005248,0.048866,0.000800,0.013569,0.000352,0.116484,0.906468
0.415408,0.017504,0.202664,0.004832,0.048130,0.000768,0.013697,0.000416,0.111300,0.895331
0.415985,0.017632,0.202119,0.004897,0.047649,0.000768,0.013696,0.000416,0.113221,0.886659
0.416592,0.021120,0.234666,0.005184,0.047650,0.000800,0.013408,0.000416,0.107044,0.914308
0.416144,0.017473,0.202600,0.004896,0.047138,0.000768,0.013408,0.000352,0.111845,0.884098
0.415888,0.017888,0.202216,0.004832,0.047266,0.000736,0.013473,0.000352,0.114052,0.892643
0.416144,0.017888,0.202600,0.004832,0.047138,0.000800,0.013441,0.000416,0.111620,0.887139
0.433361,0.018401,0.202792,0.004800,0.047074,0.000768,0.013600,0.000384,0.111493,0.903619
0.415697,0.017504,0.202440,0.004929,0.047393,0.000769,0.013696,0.000384,0.106404,0.878947
0.417168,0.017665,0.203112,0.004800,0.048258,0.000800,0.013729,0.000416,0.108516,0.884355
0.416912,0.017472,0.203080,0.005184,0.047586,0.000832,0.013441,0.000384,0.144710,0.922148
0.415761,0.017952,0.203144,0.005248,0.048161,0.000800,0.013601,0.000352,0.110244,0.888867
0.415984,0.017664,0.202152,0.005248,0.048162,0.000800,0.013377,0.000384,0.109700,0.883427
0.416112,0.018113,0.202504,0.005248,0.049218,0.000800,0.013441,0.000384,0.112548,0.893219
0.434545,0.017793,0.202984,0.004832,0.048194,0.000800,0.013376,0.000352,0.110373,0.903267
0.416241,0.017728,0.202344,0.004833,0.047714,0.000832,0.013408,0.000352,0.112005,0.883875
0.415473,0.017665,0.202119,0.004897,0.048066,0.000832,0.013440,0.000320,0.109988,0.889667
0.416241,0.017792,0.202824,0.004801,0.047393,0.000800,0.013473,0.000384,0.109988,0.907364
0.415664,0.017473,0.201992,0.004896,0.048034,0.000832,0.013537,0.000384,0.106948,0.877794
0.416177,0.017761,0.202631,0.004801,0.048290,0.000800,0.013664,0.000448,0.114341,0.896003
0.416464,0.018113,0.202408,0.004800,0.047746,0.000768,0.013313,0.000416,0.111108,0.886339
0.434577,0.017440,0.202152,0.004832,0.047074,0.000800,0.013441,0.000352,0.109956,0.901315
0.416048,0.017921,0.202152,0.004800,0.047074,0.000800,0.013408,0.000416,0.109445,0.882018
0.416145,0.017856,0.202344,0.004865,0.047041,0.000737,0.013408,0.000352,0.109732,0.888643
0.415793,0.017601,0.202471,0.004865,0.046850,0.000800,0.013440,0.000416,0.112485,0.887491
0.416048,0.017857,0.202440,0.004832,0.047170,0.000832,0.013441,0.000384,0.112708,0.890723
0.415888,0.017537,0.202280,0.004864,0.047394,0.000736,0.013473,0.000384,0.109220,0.880642
0.415696,0.017633,0.202536,0.004832,0.047074,0.000768,0.013441,0.000384,0.110180,0.882114
0.417649,0.017473,0.221832,0.005088,0.047426,0.000960,0.013377,0.000416,0.102436,0.897348
0.417776,0.017504,0.202824,0.004768,0.047330,0.000832,0.013441,0.000320,0.116452,0.890915
0.417488,0.017793,0.203048,0.004800,0.048386,0.000768,0.013473,0.000352,0.115428,0.892451
0.417328,0.017953,0.203016,0.004800,0.047938,0.000832,0.013664,0.000320,0.112356,0.890627
0.417072,0.017633,0.202280,0.004832,0.048162,0.000832,0.013441,0.000352,0.113956,0.888643
0.416209,0.017792,0.202952,0.004864,0.048257,0.000832,0.013665,0.000352,0.113636,0.890083
0.416336,0.017633,0.202888,0.004896,0.047202,0.000800,0.013664,0.000416,0.139110,0.925508
0.416464,0.017473,0.222377,0.005376,0.047426,0.000800,0.013696,0.000384,0.114181,0.909892
0.415728,0.017761,0.202760,0.004832,0.047650,0.000768,0.013761,0.000416,0.113636,0.885474
0.416464,0.018241,0.202408,0.004896,0.047298,0.000832,0.013633,0.000384,0.113828,0.894755
0.416208,0.017569,0.202760,0.004832,0.046914,0.000800,0.013408,0.000384,0.116869,0.896291
0.416848,0.017921,0.203080,0.004896,0.047202,0.000832,0.013569,0.000448,0.114212,0.892803
0.415984,0.017633,0.202856,0.005280,0.048386,0.000800,0.013984,0.000352,0.116900,0.897443
0.417105,0.017600,0.203144,0.005281,0.048354,0.000800,0.013760,0.000416,0.112645,0.895523
0.416721,0.017632,0.222185,0.005376,0.047906,0.000800,0.013633,0.000384,0.120228,0.915460
0.414864,0.017665,0.203080,0.004864,0.048002,0.000768,0.013345,0.000384,0.113092,0.885059
0.418384,0.017569,0.202568,0.005024,0.048194,0.000800,0.013665,0.000384,0.115556,0.897219
0.418288,0.017601,0.202344,0.004768,0.049378,0.000800,0.013441,0.000352,0.113380,0.889603
0.415920,0.017728,0.202728,0.004800,0.047970,0.000992,0.013345,0.000352,0.111780,0.886435
0.417456,0.017761,0.202376,0.004992,0.048770,0.000800,0.013633,0.000416,0.114372,0.889667
0.418320,0.017505,0.202888,0.004800,0.047778,0.000960,0.013665,0.000416,0.113092,0.890467
0.417616,0.017664,0.222441,0.005312,0.047554,0.000992,0.013601,0.000352,0.115332,0.908580
0.416912,0.017665,0.202920,0.005024,0.049282,0.000832,0.013729,0.000384,0.116068,0.904099
0.415761,0.017472,0.202376,0.005089,0.047681,0.000801,0.014208,0.000320,0.114437,0.887235
0.416432,0.017729,0.202216,0.005280,0.047970,0.000832,0.013409,0.000384,0.115588,0.895555
0.447154,0.017952,0.203080,0.004801,0.048097,0.000768,0.013697,0.000352,0.115493,0.928068
0.416240,0.017601,0.202504,0.005216,0.047746,0.000800,0.013600,0.000416,0.114245,0.891523
0.417616,0.017729,0.202344,0.004800,0.047330,0.001024,0.013633,0.000416,0.117092,0.893091
0.415760,0.017569,0.219144,0.005216,0.047554,0.000832,0.013632,0.000352,0.113445,0.903107
0.416464,0.017953,0.202312,0.004800,0.047490,0.000832,0.013633,0.000384,0.110820,0.884323
0.418064,0.017505,0.203624,0.005216,0.047906,0.000768,0.013697,0.000416,0.122181,0.905059
0.415760,0.017505,0.204488,0.005312,0.048994,0.000800,0.013697,0.000576,0.119268,0.903331
0.434449,0.018112,0.202824,0.004801,0.048001,0.000800,0.013920,0.000576,0.114469,0.906595
0.416305,0.017888,0.202856,0.005281,0.048801,0.000833,0.013824,0.000384,0.115333,0.898243
0.417104,0.017473,0.202536,0.004768,0.048546,0.000832,0.013825,0.000352,0.114628,0.896259
0.418064,0.017729,0.233257,0.005408,0.050562,0.001024,0.013920,0.000384,0.114405,0.921636
0.416976,0.017761,0.202600,0.004768,0.047682,0.000832,0.013921,0.000384,0.115748,0.896707
0.416656,0.017664,0.202632,0.004800,0.047746,0.000800,0.013441,0.000384,0.117380,0.897347
0.417617,0.018113,0.202695,0.004960,0.048514,0.000832,0.013312,0.000384,0.114693,0.889315
0.432240,0.017696,0.203304,0.004768,0.047874,0.000832,0.013729,0.000608,0.115781,0.906979
0.417872,0.017697,0.202472,0.005248,0.047522,0.000896,0.013633,0.000416,0.117124,0.899747
0.418641,0.017601,0.202567,0.005280,0.047202,0.000992,0.013888,0.000416,0.114533,0.897987
0.418128,0.017537,0.222568,0.005185,0.048834,0.000832,0.013600,0.000416,0.118309,0.915300
0.415729,0.017504,0.202504,0.004768,0.047297,0.000800,0.013313,0.000384,0.106308,0.879203
0.415536,0.017729,0.202312,0.004864,0.047170,0.000736,0.013377,0.000384,0.114020,0.890371
0.417712,0.021153,0.202280,0.004832,0.047106,0.000576,0.013409,0.000384,0.138469,0.916772
0.435921,0.017633,0.202504,0.004800,0.047618,0.000832,0.013409,0.000352,0.120228,0.913316
0.415280,0.017665,0.202408,0.004800,0.047778,0.000800,0.013505,0.000384,0.112612,0.885475
0.416656,0.017473,0.202088,0.005056,0.047298,0.000800,0.013409,0.000384,0.111268,0.889091
0.416880,0.017537,0.202536,0.005216,0.066787,0.001024,0.013376,0.000352,0.115813,0.909699
0.416529,0.017824,0.202408,0.005089,0.047297,0.000993,0.013376,0.000416,0.115525,0.887171
0.419152,0.017664,0.202984,0.005248,0.047874,0.000768,0.013633,0.000416,0.110692,0.889027
0.417072,0.017665,0.202856,0.004800,0.047458,0.000832,0.014017,0.000352,0.109956,0.885475
0.436625,0.017697,0.202152,0.004832,0.047810,0.000800,0.013472,0.000416,0.119941,0.912772
0.417744,0.017697,0.202664,0.005024,0.048034,0.000800,0.013664,0.000384,0.114469,0.891266
0.416528,0.017761,0.202664,0.004800,0.047586,0.000768,0.013665,0.000416,0.120164,0.895811
0.417521,0.017665,0.201991,0.004865,0.047330,0.000736,0.013856,0.000384,0.126629,0.898180
0.416528,0.017473,0.201928,0.005088,0.047170,0.001024,0.013600,0.000384,0.116997,0.890114
0.416017,0.017632,0.202312,0.004736,0.047521,0.000800,0.013409,0.000352,0.113764,0.893571
0.415696,0.017633,0.202280,0.004832,0.047170,0.000800,0.013664,0.000384,0.112165,0.886178
0.430961,0.018081,0.202280,0.005024,0.047490,0.000992,0.013697,0.000416,0.115268,0.902532
0.416912,0.017537,0.202312,0.005024,0.048386,0.000800,0.014177,0.000352,0.120804,0.901923
0.417616,0.017697,0.202632,0.004832,0.049250,0.000832,0.013825,0.000320,0.116516,0.894243
0.417744,0.017761,0.202792,0.004768,0.048322,0.000832,0.014144,0.000384,0.113541,0.915747
0.415024,0.017441,0.201991,0.004865,0.048578,0.000800,0.013376,0.000320,0.111717,0.892322
0.416848,0.018017,0.202600,0.004800,0.049602,0.000800,0.013377,0.000416,0.115620,0.891395
0.417616,0.017409,0.202024,0.005280,0.048866,0.000800,0.013409,0.000384,0.107428,0.878978
0.437233,0.017537,0.202376,0.004768,0.048546,0.000768,0.014017,0.000352,0.112548,0.905412
0.417616,0.017601,0.202408,0.004768,0.049314,0.000832,0.013505,0.000384,0.120132,0.902563
0.417680,0.017729,0.202504,0.005024,0.048866,0.000800,0.013409,0.000352,0.113764,0.893187
0.416817,0.017632,0.202440,0.004897,0.049121,0.000800,0.013664,0.000416,0.116773,0.921476
0.416720,0.017760,0.202152,0.004800,0.048418,0.000800,0.013793,0.000448,0.117445,0.892163
0.417136,0.017761,0.202984,0.005120,0.048354,0.000768,0.013601,0.000384,0.112932,0.895427
0.416144,0.017664,0.202472,0.004768,0.047970,0.000800,0.013505,0.000416,0.116100,0.896835
0.450162,0.017761,0.202855,0.004833,0.047906,0.000800,0.013408,0.000384,0.116357,0.931493
0.415441,0.017568,0.202344,0.005313,0.048225,0.000800,0.013377,0.000384,0.111812,0.885219
0.416144,0.017441,0.202728,0.005248,0.047810,0.000800,0.013441,0.000352,0.111620,0.892643
0.418352,0.017633,0.202280,0.004768,0.047874,0.000800,0.013409,0.000384,0.108740,0.883395
0.417201,0.017569,0.202471,0.005313,0.048706,0.000800,0.013344,0.000448,0.112741,0.893763
0.415729,0.018177,0.202535,0.005056,0.047298,0.000768,0.013312,0.000384,0.117605,0.898340
0.417360,0.017569,0.203016,0.004800,0.048322,0.000768,0.013376,0.000384,0.114949,0.889762
0.434897,0.017697,0.202632,0.005376,0.048034,0.000768,0.013632,0.000352,0.121797,0.917732
0.415440,0.017601,0.202696,0.004800,0.048930,0.000576,0.013665,0.000384,0.112228,0.886083
0.416496,0.017633,0.202120,0.004768,0.049506,0.000800,0.013441,0.000384,0.116196,0.892419
0.416144,0.018369,0.203144,0.005280,0.047906,0.000800,0.013665,0.000416,0.115460,0.898147
0.416464,0.017601,0.202408,0.004832,0.048546,0.000832,0.013665,0.000352,0.115268,0.889827
0.416657,0.017664,0.203016,0.005281,0.048385,0.000768,0.013568,0.000384,0.112421,0.886819
0.416496,0.017505,0.202600,0.004832,0.049346,0.000992,0.013729,0.000448,0.112612,0.884419
0.418128,0.032994,0.202856,0.004992,0.047618,0.000832,0.013440,0.000352,0.116357,0.915428
0.415697,0.017664,0.202216,0.004801,0.047841,0.000993,0.013440,0.000448,0.112357,0.886115
0.418320,0.017633,0.202248,0.004800,0.047970,0.000864,0.013345,0.000416,0.112196,0.886819
0.417168,0.017505,0.202408,0.004800,0.047074,0.000768,0.013441,0.000416,0.111332,0.890115
0.417200,0.017537,0.202312,0.004832,0.047682,0.000768,0.013409,0.000384,0.109380,0.881730
0.416145,0.017760,0.202248,0.004865,0.047137,0.000800,0.013377,0.000416,0.111396,0.882979
0.415696,0.017633,0.202248,0.004800,0.047682,0.000864,0.013376,0.000416,0.113221,0.892963
0.415376,0.017921,0.224969,0.005024,0.047106,0.000768,0.013408,0.000384,0.109637,0.905763
0.416336,0.017601,0.204424,0.004896,0.047266,0.000576,0.013440,0.000416,0.114117,0.895875
0.416112,0.017729,0.202504,0.004832,0.047202,0.000736,0.014304,0.000384,0.103780,0.874498
0.417041,0.017568,0.202536,0.004801,0.047009,0.000576,0.014337,0.000352,0.106148,0.881443
0.430640,0.017344,0.202184,0.004768,0.046882,0.000768,0.014497,0.000384,0.117924,0.904643
