Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],TEE[10-10],classifier
0.416848,0.017280,0.202024,0.004864,0.047650,0.000800,0.013569,0.000352,0.001408,0.001024,0.112868,0.826368
0.439505,0.017569,0.201832,0.004800,0.047394,0.001024,0.013472,0.000352,0.001505,0.001056,0.109860,0.846977
0.421008,0.017345,0.201864,0.004832,0.048418,0.000800,0.013505,0.000384,0.001536,0.001056,0.110852,0.829376
0.416464,0.017441,0.202152,0.004800,0.048130,0.000576,0.013472,0.000384,0.001504,0.001120,0.110949,0.824768
0.421553,0.017248,0.202024,0.005216,0.048738,0.000768,0.013473,0.000384,0.001440,0.001120,0.110948,0.830817
0.420881,0.017408,0.202248,0.004801,0.048226,0.000768,0.013472,0.000448,0.001472,0.001056,0.105284,0.823872
0.421360,0.017473,0.201896,0.005248,0.048098,0.000832,0.013440,0.000352,0.001376,0.000928,0.107492,0.825920
0.420976,0.017408,0.202216,0.004832,0.047682,0.001024,0.013409,0.000416,0.001504,0.001184,0.115685,0.834273
0.416208,0.017601,0.202600,0.005312,0.047106,0.000832,0.014304,0.000352,0.001472,0.001152,0.142277,0.857089
0.415088,0.018465,0.202408,0.005248,0.048034,0.000576,0.013825,0.000384,0.001440,0.001152,0.108836,0.822944
0.415344,0.017505,0.202088,0.004832,0.048130,0.000608,0.013473,0.000384,0.001504,0.001120,0.107396,0.819456
0.415376,0.017569,0.203048,0.005248,0.047330,0.000800,0.013409,0.000384,0.001472,0.001024,0.109060,0.822208
0.420656,0.017921,0.223145,0.005024,0.047714,0.000800,0.013537,0.000384,0.001472,0.001152,0.110180,0.849889
0.415248,0.017313,0.202824,0.005216,0.047554,0.000608,0.013441,0.000352,0.001440,0.000992,0.108196,0.820416
0.416816,0.017505,0.202472,0.005184,0.047330,0.000832,0.013568,0.000352,0.001536,0.001056,0.109445,0.823617
0.416049,0.017696,0.202984,0.004864,0.046946,0.000832,0.013377,0.000384,0.001472,0.001024,0.108868,0.822208
0.436689,0.017953,0.202056,0.004928,0.047170,0.000608,0.013441,0.000352,0.001440,0.000992,0.115076,0.848481
0.420849,0.017824,0.202216,0.004833,0.047105,0.000609,0.013408,0.000352,0.001472,0.001056,0.107588,0.824608
0.416816,0.017697,0.202088,0.004832,0.047298,0.000576,0.013440,0.000352,0.001376,0.000992,0.106693,0.819744
0.420912,0.017313,0.202088,0.004992,0.047234,0.000576,0.013376,0.000384,0.001440,0.000961,0.106596,0.822752
0.421393,0.017536,0.202440,0.004800,0.047681,0.000576,0.013473,0.000320,0.001440,0.000992,0.115205,0.833505
0.416496,0.017568,0.202472,0.004800,0.047362,0.000832,0.013537,0.000384,0.001440,0.000928,0.109092,0.822816
0.416976,0.017953,0.202152,0.005024,0.047682,0.000576,0.013536,0.000352,0.001440,0.000992,0.110309,0.824512
0.420944,0.017697,0.202120,0.005056,0.047746,0.000608,0.013601,0.000352,0.001472,0.001088,0.129573,0.848737
0.422961,0.017345,0.204712,0.005344,0.047874,0.000864,0.013504,0.000384,0.001537,0.001312,0.114244,0.838561
0.417008,0.017889,0.203176,0.005280,0.049506,0.000800,0.013985,0.000352,0.001472,0.001056,0.112356,0.831488
0.417040,0.018177,0.202664,0.005248,0.047714,0.000832,0.013633,0.000384,0.001600,0.001120,0.111556,0.827264
0.444210,0.018144,0.203400,0.005057,0.048418,0.000832,0.013536,0.000352,0.001504,0.001056,0.110693,0.855938
0.415952,0.017249,0.202568,0.005088,0.048962,0.000768,0.013472,0.000353,0.001472,0.001056,0.106436,0.821056
