Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],TEE[9-9],Layer[10],classifier
0.416689,0.017249,0.220584,0.005120,0.047714,0.000672,0.013505,0.000384,0.001504,0.184743,0.001056,0.917732
0.415408,0.017345,0.202024,0.004800,0.047682,0.000608,0.013536,0.000416,0.001440,0.178406,0.001056,0.890627
0.416240,0.017281,0.202311,0.004864,0.047042,0.000576,0.013472,0.000384,0.001504,0.180679,0.001056,0.893443
0.416560,0.017281,0.202472,0.004832,0.046850,0.000608,0.013441,0.000384,0.001504,0.185159,0.000832,0.897795
0.417200,0.017473,0.202312,0.005024,0.047458,0.000608,0.013440,0.000352,0.001536,0.177511,0.000864,0.891714
0.416624,0.017473,0.202536,0.004768,0.047522,0.000640,0.013601,0.000352,0.001472,0.179911,0.000832,0.893507
0.417041,0.017312,0.202439,0.005057,0.047106,0.000608,0.013664,0.000352,0.001472,0.177383,0.000832,0.891875
0.416017,0.017280,0.229545,0.005153,0.046977,0.000609,0.013408,0.000384,0.001472,0.174343,0.000960,0.914724
0.416048,0.017345,0.202120,0.005312,0.046946,0.000608,0.013473,0.000384,0.001536,0.186567,0.000640,0.898883
0.416048,0.017377,0.202152,0.005248,0.048290,0.000640,0.013792,0.000384,0.001568,0.174310,0.000961,0.888739
0.416368,0.017281,0.202120,0.005312,0.047938,0.000576,0.013729,0.000384,0.001536,0.171783,0.000736,0.886019
0.416304,0.017313,0.202152,0.005088,0.047522,0.000608,0.013569,0.000384,0.001472,0.174055,0.000736,0.887107
0.416912,0.017313,0.202568,0.005056,0.047394,0.000608,0.013504,0.000352,0.001536,0.175591,0.000960,0.889442
0.415984,0.017281,0.202792,0.004832,0.046946,0.000608,0.013504,0.000352,0.001536,0.158695,0.000768,0.871586
0.416816,0.017280,0.223977,0.005216,0.047426,0.000608,0.013441,0.000320,0.001408,0.172487,0.001024,0.908068
0.419664,0.017505,0.202216,0.005216,0.047138,0.000608,0.013376,0.000353,0.001440,0.178759,0.001056,0.895875
0.416465,0.017344,0.202696,0.005025,0.049026,0.000576,0.013888,0.000352,0.001408,0.180103,0.000992,0.896131
0.417488,0.017473,0.203752,0.004992,0.048002,0.000640,0.013440,0.000352,0.001440,0.171623,0.000704,0.887586
0.415920,0.017249,0.202952,0.005216,0.048130,0.000576,0.013440,0.000384,0.001568,0.185768,0.000768,0.899651
0.416560,0.017217,0.202536,0.004768,0.049090,0.000608,0.013697,0.000352,0.001440,0.182855,0.001120,0.898499
0.418096,0.017537,0.203048,0.005120,0.048258,0.000576,0.013440,0.000384,0.001472,0.175111,0.001088,0.892130
0.417392,0.017313,0.222473,0.005280,0.047938,0.000576,0.013472,0.000384,0.001472,0.173734,0.000672,0.908739
0.416592,0.017441,0.203496,0.004768,0.047746,0.000576,0.013344,0.000384,0.001408,0.175526,0.001025,0.890243
0.417968,0.017536,0.202248,0.005248,0.047426,0.000576,0.013345,0.000384,0.001472,0.184327,0.001088,0.899555
0.415760,0.017569,0.203080,0.005280,0.047490,0.000608,0.013440,0.000384,0.001472,0.162855,0.000832,0.877122
0.418480,0.017569,0.202184,0.005280,0.048418,0.000608,0.013537,0.000384,0.001664,0.179879,0.001024,0.897731
0.416528,0.017537,0.202248,0.005088,0.048642,0.000576,0.013313,0.000320,0.001408,0.177799,0.000704,0.892579
0.416784,0.017249,0.202440,0.005024,0.047938,0.000640,0.013473,0.000352,0.001376,0.173703,0.001056,0.887875
0.416528,0.017537,0.240586,0.005152,0.048098,0.000640,0.013600,0.000384,0.001504,0.176007,0.000736,0.930084
0.416272,0.017281,0.203048,0.004832,0.049794,0.000576,0.014561,0.000352,0.001504,0.176583,0.000768,0.893763
0.415249,0.017248,0.202407,0.004833,0.049346,0.000640,0.013824,0.000352,0.001440,0.181671,0.000800,0.895812
0.416080,0.017569,0.203272,0.004960,0.048386,0.000608,0.013600,0.000352,0.001440,0.165383,0.000896,0.881346
0.416497,0.017184,0.203112,0.004993,0.047329,0.000608,0.013537,0.000352,0.001408,0.175399,0.000864,0.889795
0.416208,0.017377,0.202472,0.004864,0.047874,0.000608,0.013537,0.000384,0.001504,0.207592,0.001024,0.921028
0.417840,0.017537,0.202696,0.004832,0.047458,0.000640,0.013441,0.000352,0.001376,0.176903,0.000992,0.891683
0.418129,0.017600,0.223944,0.005249,0.048641,0.000608,0.013985,0.000384,0.001504,0.187335,0.000896,0.928485
0.418577,0.017409,0.202951,0.004800,0.048386,0.000608,0.013952,0.000352,0.001408,0.166887,0.000800,0.884163
0.417264,0.017377,0.202728,0.004864,0.049506,0.000608,0.014177,0.000352,0.001504,0.170599,0.000608,0.887683
0.416657,0.017504,0.202408,0.004832,0.047969,0.000608,0.013665,0.000384,0.001536,0.175047,0.000960,0.889315
0.416881,0.017440,0.202312,0.004833,0.047521,0.000704,0.013473,0.000352,0.001504,0.163399,0.000896,0.877347
0.416625,0.017505,0.202087,0.005025,0.047618,0.000608,0.013536,0.000416,0.001472,0.178247,0.001056,0.892099
0.416560,0.017281,0.202216,0.004896,0.047362,0.000640,0.013569,0.000384,0.001440,0.171046,0.000704,0.884354
0.417936,0.017537,0.214504,0.004961,0.047010,0.000608,0.013696,0.000352,0.001472,0.177127,0.000928,0.904259
0.417072,0.017377,0.202376,0.004800,0.047202,0.000608,0.013537,0.000352,0.001440,0.179655,0.001088,0.893635
0.416048,0.017313,0.203016,0.005216,0.046914,0.000640,0.013632,0.000384,0.001473,0.177895,0.000960,0.891363
0.416016,0.017377,0.205512,0.004992,0.046914,0.000576,0.013536,0.000384,0.001473,0.171942,0.001056,0.889154
0.416240,0.017345,0.202664,0.005216,0.050146,0.000576,0.013729,0.000352,0.001472,0.173031,0.000800,0.889699
0.415824,0.017377,0.201960,0.005248,0.050018,0.000608,0.013697,0.000352,0.001472,0.181351,0.000928,0.896547
0.415632,0.017313,0.202376,0.005280,0.047362,0.000608,0.013697,0.000352,0.001408,0.182343,0.000928,0.895011
0.416208,0.017473,0.221321,0.005184,0.047138,0.000576,0.013664,0.000384,0.001472,0.172935,0.001024,0.905731
0.415856,0.017313,0.202568,0.004800,0.047234,0.000640,0.013600,0.000352,0.001376,0.176935,0.000864,0.889538
0.416816,0.017409,0.202280,0.004800,0.046882,0.000640,0.013600,0.000352,0.001440,0.182087,0.001024,0.895907
0.416688,0.017505,0.202120,0.004960,0.046946,0.000576,0.013473,0.000384,0.001504,0.172391,0.000992,0.885219
0.419056,0.017313,0.202536,0.004832,0.047202,0.000608,0.013440,0.000385,0.001472,0.177031,0.000800,0.892451
0.418576,0.017409,0.202248,0.004768,0.046978,0.000608,0.013409,0.000416,0.001568,0.173094,0.000865,0.888579
0.417360,0.017377,0.202856,0.004864,0.046882,0.000608,0.013505,0.000384,0.001536,0.173383,0.001024,0.887907
0.417137,0.017504,0.222441,0.005184,0.048322,0.000576,0.013601,0.000416,0.001600,0.173863,0.000960,0.909668
0.415952,0.017505,0.202120,0.005248,0.048802,0.000576,0.013376,0.000320,0.001504,0.174151,0.001120,0.888450
0.416976,0.017505,0.202152,0.005216,0.048930,0.000608,0.013697,0.000384,0.001536,0.180519,0.001088,0.896131
0.418480,0.017697,0.205896,0.005088,0.048226,0.000608,0.014209,0.000384,0.001568,0.201416,0.000736,0.923940
0.418672,0.017889,0.203336,0.004864,0.048578,0.000608,0.014081,0.000352,0.001568,0.187751,0.000800,0.906563
0.417777,0.017697,0.203048,0.004960,0.048898,0.000576,0.013920,0.000384,0.001504,0.185192,0.000800,0.903236
0.416497,0.017888,0.203336,0.004769,0.048577,0.000641,0.013504,0.000352,0.001408,0.180487,0.000864,0.896387
0.436369,0.017729,0.203880,0.005248,0.050338,0.000576,0.013601,0.000352,0.001440,0.175943,0.000832,0.914852
0.417072,0.017761,0.202920,0.004832,0.047266,0.000576,0.013536,0.000384,0.001472,0.183240,0.001056,0.898243
0.416720,0.017665,0.202248,0.004864,0.047970,0.000608,0.013505,0.000416,0.001568,0.171047,0.000800,0.886467
0.417584,0.017761,0.203048,0.005024,0.049666,0.000576,0.013728,0.000352,0.001441,0.196903,0.000768,0.915107
0.417072,0.017569,0.202184,0.004768,0.049538,0.000608,0.013504,0.000352,0.001504,0.176743,0.000736,0.892802
0.417777,0.017472,0.202952,0.005057,0.047905,0.000608,0.013472,0.000384,0.001504,0.181127,0.001056,0.897507
0.417873,0.017537,0.202440,0.005024,0.047778,0.000576,0.013472,0.000352,0.001568,0.186184,0.000960,0.902116
0.433713,0.017505,0.202344,0.004768,0.047426,0.000608,0.013472,0.000416,0.001472,0.179079,0.000832,0.910147
0.416496,0.017665,0.202408,0.004832,0.048930,0.000608,0.013473,0.000384,0.001504,0.178631,0.000704,0.894339
0.417041,0.017857,0.202311,0.005217,0.047490,0.000608,0.013472,0.000320,0.001504,0.176583,0.000864,0.891107
0.417584,0.017344,0.202728,0.004768,0.047138,0.000576,0.013569,0.000320,0.001440,0.199240,0.000992,0.914244
0.416400,0.017697,0.202344,0.004800,0.047330,0.000608,0.013504,0.000384,0.001504,0.177223,0.000960,0.891106
0.416945,0.017504,0.202344,0.004897,0.047073,0.000672,0.013537,0.000384,0.001472,0.184231,0.000640,0.898979
0.418032,0.017633,0.202536,0.004768,0.048258,0.000640,0.013537,0.000352,0.001472,0.180679,0.000832,0.897379
0.434417,0.017696,0.202536,0.005024,0.048994,0.000608,0.013921,0.000352,0.001440,0.178247,0.000800,0.912804
0.416752,0.017313,0.202600,0.004800,0.048194,0.000576,0.013504,0.000352,0.001504,0.183464,0.001152,0.898275
0.415249,0.017664,0.203720,0.004800,0.047649,0.000608,0.013537,0.000352,0.001472,0.180423,0.001024,0.894915
