Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],TEE[9-9],Layer[10],classifier
0.415664,0.017697,0.202568,0.004800,0.049954,0.000640,0.013632,0.000384,0.001408,0.195816,0.000896,0.911363
0.415632,0.017761,0.202856,0.005248,0.047938,0.000576,0.013889,0.000352,0.001472,0.179559,0.000704,0.894915
0.415984,0.018561,0.202408,0.005312,0.047938,0.000608,0.013984,0.000352,0.001473,0.173158,0.000800,0.888866
0.416368,0.017792,0.202408,0.005024,0.048674,0.000576,0.013601,0.000352,0.001472,0.169799,0.000704,0.885251
0.416944,0.017313,0.221001,0.005248,0.048322,0.000608,0.013793,0.000352,0.001440,0.163750,0.000992,0.898563
0.415792,0.017761,0.202280,0.004832,0.047746,0.000640,0.013569,0.000352,0.001504,0.171686,0.000768,0.884931
0.415473,0.017536,0.202920,0.005281,0.049441,0.000609,0.013632,0.000352,0.001472,0.180295,0.001088,0.896835
0.417744,0.017793,0.201896,0.005280,0.048322,0.000640,0.013569,0.000416,0.001536,0.186823,0.001120,0.904291
0.416657,0.017761,0.202023,0.004864,0.049826,0.000608,0.013952,0.000352,0.001472,0.182888,0.000736,0.900068
0.415504,0.017857,0.201960,0.005024,0.047394,0.000640,0.013696,0.000352,0.001536,0.177063,0.000832,0.890082
0.416497,0.017984,0.201928,0.005056,0.048450,0.000640,0.013697,0.000384,0.001472,0.188775,0.000704,0.903940
0.415793,0.017216,0.219305,0.005376,0.048738,0.000576,0.013537,0.000384,0.001472,0.175719,0.001120,0.908260
0.417649,0.018048,0.202311,0.004993,0.048642,0.000608,0.013408,0.000352,0.001440,0.176231,0.000896,0.892899
0.417137,0.017440,0.202376,0.005025,0.049505,0.000608,0.013600,0.000352,0.001376,0.173735,0.001088,0.890275
0.417072,0.017761,0.202504,0.004832,0.048162,0.000608,0.013601,0.000384,0.001472,0.176807,0.001088,0.892483
0.418481,0.020896,0.202216,0.005057,0.049281,0.000577,0.013504,0.000352,0.001376,0.184999,0.000992,0.906340
0.417200,0.017761,0.202408,0.004992,0.048034,0.000640,0.013537,0.000384,0.001440,0.181191,0.001088,0.896707
0.417520,0.020961,0.202824,0.004768,0.047938,0.000608,0.013473,0.000384,0.001440,0.166599,0.001088,0.886435
0.416848,0.017953,0.219113,0.005248,0.047618,0.000576,0.013952,0.000320,0.001536,0.176391,0.000864,0.909283
0.417264,0.017409,0.202696,0.004768,0.049314,0.000608,0.013537,0.000384,0.001440,0.173479,0.000800,0.889923
0.419184,0.017441,0.202376,0.005024,0.048226,0.000608,0.013441,0.000384,0.001408,0.181927,0.000672,0.898851
0.415792,0.017473,0.202888,0.005056,0.048002,0.000608,0.014144,0.000352,0.001536,0.171527,0.000928,0.886658
0.431441,0.017281,0.201992,0.005024,0.049538,0.000640,0.014049,0.000352,0.001504,0.179847,0.001088,0.911076
0.417296,0.020833,0.202824,0.004992,0.049410,0.000576,0.013697,0.000384,0.001472,0.172359,0.000896,0.892899
0.415824,0.017345,0.202440,0.005056,0.047650,0.000576,0.013697,0.000416,0.001504,0.176743,0.001056,0.890659
0.416272,0.017217,0.216264,0.005153,0.047841,0.000608,0.013472,0.000384,0.001472,0.167719,0.001120,0.895747
0.415760,0.017921,0.202504,0.005216,0.047522,0.000640,0.013537,0.000384,0.001472,0.180967,0.000736,0.894851
0.415824,0.017377,0.201960,0.004768,0.048418,0.000544,0.013377,0.000352,0.001568,0.181479,0.001056,0.895107
0.415953,0.017376,0.202024,0.004897,0.049442,0.000608,0.013376,0.000352,0.001504,0.175047,0.000896,0.889635
0.446097,0.017760,0.202280,0.005184,0.049794,0.000512,0.013377,0.000320,0.001376,0.182695,0.000704,0.927556
0.416112,0.017537,0.203112,0.005312,0.048866,0.000608,0.013696,0.000416,0.001408,0.176519,0.000800,0.892290
0.415665,0.017216,0.202120,0.004801,0.049890,0.000608,0.013728,0.000352,0.001472,0.158790,0.000992,0.873091
0.415120,0.017217,0.202184,0.005440,0.048322,0.000608,0.031233,0.000448,0.001632,0.176551,0.000992,0.908483
0.416209,0.017825,0.202215,0.005249,0.047842,0.000608,0.013440,0.000352,0.001440,0.168967,0.001120,0.882659
0.415856,0.017600,0.201928,0.005248,0.048482,0.000608,0.013441,0.000384,0.001536,0.177511,0.000928,0.891267
0.415761,0.017792,0.202792,0.004833,0.049441,0.000513,0.013632,0.000352,0.001504,0.163463,0.001120,0.878563
0.434641,0.017632,0.202087,0.005025,0.048642,0.000608,0.013504,0.000352,0.001408,0.180871,0.001152,0.914499
0.415952,0.017409,0.202152,0.005280,0.048098,0.000480,0.013440,0.000384,0.001504,0.176711,0.000832,0.891299
0.415408,0.017537,0.203496,0.005248,0.047874,0.000608,0.013441,0.000384,0.001472,0.179655,0.001024,0.894211
0.415888,0.017825,0.202344,0.005248,0.047906,0.000608,0.013633,0.000352,0.001568,0.226217,0.001120,0.941413
0.415857,0.017888,0.201992,0.004800,0.049378,0.000608,0.013537,0.000384,0.001440,0.183079,0.001344,0.899011
0.418417,0.017696,0.202504,0.004768,0.049634,0.000480,0.013857,0.000416,0.001440,0.164999,0.001024,0.883235
0.417136,0.017921,0.202248,0.004832,0.048162,0.000608,0.013505,0.000384,0.001536,0.179111,0.000768,0.894339
0.431889,0.018016,0.202984,0.004865,0.047713,0.000608,0.013441,0.000384,0.001408,0.175847,0.000928,0.906179
0.416529,0.017792,0.202536,0.004801,0.048417,0.000577,0.013440,0.000384,0.001536,0.177031,0.000800,0.891907
0.415761,0.017632,0.202439,0.004833,0.047233,0.000608,0.013600,0.000384,0.001504,0.166567,0.000672,0.878595
0.416816,0.017729,0.202024,0.005024,0.047426,0.000608,0.013441,0.000352,0.001536,0.198247,0.000992,0.913092
0.417073,0.017792,0.202184,0.004833,0.048386,0.000512,0.013440,0.000416,0.001536,0.177959,0.000832,0.892867
0.415888,0.017601,0.202216,0.004864,0.047682,0.000672,0.013504,0.000352,0.001408,0.183496,0.000832,0.897027
0.417104,0.017696,0.202184,0.004992,0.047842,0.000608,0.013409,0.000352,0.001472,0.173959,0.001024,0.889059
0.435153,0.017729,0.202920,0.005088,0.048578,0.000608,0.013537,0.000384,0.001600,0.174983,0.001056,0.909956
0.416720,0.017953,0.202344,0.005120,0.048194,0.000640,0.013377,0.000416,0.001440,0.178695,0.000896,0.893475
0.416496,0.017793,0.202792,0.005024,0.047138,0.000576,0.013504,0.000384,0.001505,0.178567,0.000864,0.892931
0.418225,0.017664,0.202152,0.005120,0.047394,0.000512,0.013409,0.000416,0.001408,0.203464,0.000864,0.918244
0.417488,0.017665,0.205064,0.005024,0.046914,0.000608,0.013409,0.000352,0.001472,0.180007,0.000992,0.897251
0.417808,0.017825,0.202408,0.004864,0.047074,0.000608,0.013536,0.000352,0.001408,0.200488,0.001056,0.915075
0.416688,0.017857,0.202184,0.004768,0.046914,0.000608,0.013408,0.000352,0.001473,0.175462,0.000897,0.889635
0.435793,0.017665,0.201991,0.005281,0.047842,0.000608,0.013984,0.000320,0.001408,0.173063,0.000960,0.906563
0.415248,0.017729,0.202408,0.005024,0.048706,0.000576,0.013473,0.000384,0.001504,0.175463,0.000960,0.889699
0.415152,0.020960,0.202248,0.005440,0.048577,0.000512,0.013441,0.000384,0.001504,0.171943,0.000576,0.888675
0.416112,0.017920,0.202088,0.005248,0.048962,0.000608,0.013441,0.000416,0.001536,0.175719,0.000768,0.891555
0.416177,0.017728,0.202696,0.005089,0.048866,0.000608,0.013568,0.000352,0.001408,0.162791,0.000960,0.879043
0.416144,0.017761,0.202440,0.005280,0.047394,0.000640,0.013472,0.000384,0.001473,0.180487,0.001024,0.895331
0.417936,0.017441,0.202184,0.005056,0.048066,0.000832,0.014625,0.000384,0.001408,0.198280,0.001056,0.916548
0.435313,0.020832,0.202471,0.005249,0.048098,0.000768,0.014368,0.000352,0.001472,0.176071,0.000832,0.915108
0.416400,0.017761,0.214024,0.005248,0.048418,0.000608,0.014113,0.000352,0.001472,0.178567,0.001024,0.907491
0.417168,0.017665,0.203944,0.005280,0.047554,0.000608,0.014401,0.000352,0.001376,0.173447,0.000992,0.892355
0.415952,0.017505,0.202248,0.005312,0.048194,0.000576,0.013600,0.000352,0.001408,0.210697,0.001088,0.925700
0.415952,0.017825,0.202440,0.005248,0.048354,0.000736,0.014336,0.000352,0.001504,0.173574,0.000896,0.889955
0.417745,0.017728,0.202568,0.004992,0.048289,0.000736,0.013985,0.000384,0.001440,0.174407,0.001024,0.891267
0.416592,0.017921,0.202504,0.004992,0.047362,0.000608,0.013601,0.000352,0.001536,0.171655,0.000832,0.886531
0.431569,0.017889,0.202664,0.005248,0.049058,0.000608,0.013665,0.000384,0.001440,0.177575,0.001088,0.909988
0.417392,0.017697,0.202248,0.005280,0.049218,0.000608,0.013856,0.000384,0.001473,0.179111,0.001088,0.896867
0.418096,0.017729,0.201768,0.005280,0.047842,0.000608,0.013696,0.000384,0.001536,0.186824,0.000960,0.902755
0.417969,0.017601,0.201863,0.005025,0.066178,0.000704,0.014561,0.000384,0.001504,0.171399,0.000736,0.906724
0.416913,0.021088,0.202632,0.005249,0.048578,0.000576,0.013856,0.000384,0.001504,0.179719,0.001088,0.899491
0.417008,0.017537,0.202056,0.005024,0.049218,0.000608,0.013601,0.000384,0.001440,0.184071,0.000832,0.900643
0.417008,0.017377,0.202120,0.005024,0.049090,0.000608,0.013537,0.000352,0.001504,0.181031,0.001056,0.896963
0.436081,0.017313,0.202215,0.005025,0.047970,0.000608,0.013440,0.000416,0.001472,0.184743,0.000960,0.919204
0.416913,0.017824,0.202216,0.004992,0.050498,0.000608,0.013505,0.000352,0.001536,0.180295,0.001056,0.897955
0.417392,0.017889,0.202024,0.004800,0.049410,0.000608,0.013505,0.000352,0.001472,0.222921,0.000992,0.939621
0.417361,0.017952,0.219145,0.005376,0.048034,0.000608,0.013665,0.000384,0.001536,0.207560,0.001088,0.941381
0.418128,0.017409,0.203176,0.005024,0.048258,0.000608,0.013472,0.000384,0.001472,0.179047,0.001056,0.896195
0.417745,0.017376,0.202600,0.005216,0.047778,0.000608,0.013537,0.000352,0.001440,0.179911,0.001120,0.895971
0.416944,0.017345,0.202216,0.005024,0.047874,0.000608,0.013505,0.000384,0.001472,0.172998,0.000736,0.887683
0.417456,0.017505,0.202248,0.005280,0.048770,0.000608,0.013537,0.000384,0.001472,0.175303,0.001024,0.892003
0.416880,0.021216,0.202312,0.004800,0.047586,0.000576,0.013601,0.000352,0.001472,0.176519,0.001024,0.895363
0.416849,0.017953,0.202312,0.004832,0.047394,0.000800,0.014144,0.000384,0.001504,0.182183,0.000960,0.897572
0.416721,0.017792,0.221289,0.005184,0.049410,0.000608,0.013537,0.000352,0.001504,0.172711,0.001056,0.908740
0.415056,0.017472,0.202440,0.004768,0.047810,0.000800,0.013697,0.000416,0.001472,0.182663,0.000832,0.895619
0.416145,0.017729,0.202343,0.005121,0.048226,0.000640,0.013760,0.000384,0.001504,0.183943,0.000992,0.899236
0.417233,0.017537,0.202119,0.005313,0.048098,0.000608,0.013568,0.000416,0.001408,0.180679,0.000800,0.895683
0.415472,0.018241,0.202408,0.005248,0.048546,0.000576,0.013472,0.000320,0.001440,0.180359,0.000768,0.895267
0.415408,0.017345,0.202055,0.005280,0.047746,0.000544,0.013472,0.000384,0.001504,0.176423,0.000832,0.888674
0.418160,0.017568,0.202312,0.005216,0.047618,0.000608,0.014177,0.000352,0.001472,0.177639,0.000768,0.894595
0.415920,0.017729,0.220072,0.005216,0.048354,0.000608,0.013633,0.000384,0.001472,0.178279,0.001184,0.911235
0.416176,0.017569,0.202088,0.004832,0.048674,0.000608,0.013408,0.000353,0.001376,0.173254,0.000896,0.887938
0.415824,0.017729,0.202312,0.005344,0.048450,0.000576,0.013345,0.000384,0.001504,0.173959,0.001056,0.888131
0.415888,0.017696,0.202408,0.005088,0.048514,0.000576,0.013313,0.000416,0.001504,0.169991,0.000928,0.884003
0.415953,0.017921,0.202567,0.005089,0.048194,0.000576,0.013344,0.000416,0.001536,0.175207,0.001024,0.889539
0.415760,0.017633,0.202312,0.005248,0.047554,0.000576,0.013409,0.000352,0.001440,0.180679,0.000736,0.894787
0.415504,0.017600,0.202184,0.004832,0.047234,0.000608,0.013473,0.000384,0.001472,0.163750,0.000800,0.875554
0.415056,0.017761,0.221288,0.005217,0.047394,0.000576,0.013344,0.000352,0.001504,0.179623,0.000928,0.912579
0.416016,0.017697,0.202376,0.005440,0.047234,0.000608,0.013440,0.000384,0.001376,0.171623,0.000992,0.885730
0.415536,0.017377,0.202184,0.005216,0.046946,0.000608,0.013408,0.000352,0.001504,0.174887,0.001120,0.887746
0.415825,0.017856,0.202184,0.005281,0.046945,0.000544,0.013376,0.000352,0.001536,0.170023,0.001056,0.882979
0.432305,0.017569,0.203272,0.005248,0.047010,0.000608,0.013377,0.000416,0.001504,0.169830,0.001024,0.901476
0.415952,0.017761,0.202312,0.005280,0.047842,0.000608,0.013409,0.000352,0.001408,0.169574,0.001120,0.883299
0.415792,0.017345,0.202056,0.005024,0.050338,0.000608,0.013345,0.000416,0.001472,0.164518,0.001120,0.880226
0.415952,0.017377,0.217416,0.005216,0.047553,0.000608,0.013409,0.000384,0.001504,0.178791,0.000800,0.907715
0.415344,0.017281,0.201960,0.005312,0.047458,0.000608,0.013441,0.000352,0.001472,0.170598,0.000768,0.882979
0.415536,0.017473,0.202120,0.005472,0.047298,0.000672,0.013377,0.000384,0.001536,0.172774,0.000992,0.885827
0.415152,0.017185,0.202024,0.005280,0.048002,0.000640,0.013345,0.000416,0.001408,0.174887,0.001088,0.887683
0.436241,0.017697,0.202248,0.004800,0.048962,0.000608,0.013440,0.000352,0.001473,0.172614,0.001120,0.907043
0.415409,0.017824,0.201832,0.005248,0.048674,0.000640,0.013281,0.000352,0.001408,0.167495,0.001056,0.881827
0.415824,0.020801,0.201960,0.005280,0.049186,0.000576,0.013408,0.000352,0.001408,0.163430,0.000960,0.881858
0.415377,0.017760,0.202088,0.005345,0.048769,0.000608,0.013409,0.000352,0.001376,0.200040,0.000832,0.914916
0.415888,0.017313,0.202856,0.005312,0.048066,0.000576,0.013440,0.000416,0.001376,0.189928,0.001088,0.904099
0.416368,0.017281,0.202472,0.005312,0.048642,0.000576,0.013312,0.000384,0.001536,0.166855,0.001024,0.882178
0.416369,0.017344,0.202184,0.005280,0.048449,0.000576,0.013377,0.000384,0.001440,0.178343,0.001024,0.892611
0.437650,0.017600,0.202728,0.005249,0.048673,0.000608,0.013313,0.000352,0.001536,0.165511,0.001088,0.902724
0.416560,0.017985,0.202376,0.005056,0.048930,0.000576,0.013472,0.000320,0.001440,0.161222,0.000704,0.876162
0.415568,0.017537,0.202184,0.005280,0.047586,0.000576,0.013312,0.000384,0.001472,0.174758,0.000833,0.887971
0.415792,0.017857,0.202632,0.004992,0.047298,0.000640,0.013408,0.000384,0.001504,0.198056,0.000896,0.912195
0.415376,0.018177,0.201992,0.005312,0.047106,0.000576,0.013409,0.000352,0.001440,0.176903,0.000992,0.890531
0.415152,0.017537,0.202056,0.005024,0.047010,0.000672,0.013377,0.000352,0.001504,0.175335,0.001120,0.887587
0.416304,0.017665,0.202024,0.005120,0.049474,0.000640,0.013441,0.000384,0.001536,0.181255,0.001088,0.898787
0.435153,0.017601,0.204904,0.005248,0.048546,0.000608,0.013313,0.000352,0.001504,0.171654,0.000960,0.907172
0.415408,0.017313,0.202312,0.005248,0.048514,0.000768,0.014016,0.000352,0.001504,0.183176,0.000736,0.897411
0.417745,0.017504,0.203176,0.005281,0.048418,0.000800,0.014400,0.000384,0.001568,0.192424,0.000896,0.912548
0.415952,0.017857,0.202280,0.005248,0.069603,0.000864,0.014337,0.000320,0.001536,0.172678,0.000800,0.911524
0.415408,0.017665,0.202279,0.005313,0.048642,0.000640,0.013792,0.000352,0.001536,0.172807,0.000896,0.886947
0.415888,0.017761,0.202632,0.005056,0.048578,0.000608,0.013345,0.000416,0.001504,0.158534,0.000672,0.873090
0.415889,0.017792,0.202376,0.004992,0.048545,0.000608,0.013441,0.000352,0.001440,0.177063,0.000992,0.890915
0.433393,0.017313,0.203144,0.005088,0.048290,0.000608,0.013409,0.000384,0.001504,0.174375,0.001088,0.906436
0.415888,0.017536,0.202312,0.005280,0.047874,0.000640,0.013505,0.000448,0.001440,0.179879,0.001152,0.893795
0.416433,0.017632,0.202119,0.005281,0.047938,0.000832,0.013568,0.000384,0.001440,0.167527,0.001024,0.883395
0.415472,0.017697,0.202440,0.005344,0.048386,0.000768,0.013569,0.000384,0.001376,0.189031,0.000832,0.902147
0.415888,0.017249,0.202184,0.005056,0.048386,0.000608,0.013697,0.000384,0.001440,0.178823,0.001152,0.893155
0.415633,0.017537,0.202184,0.005024,0.048738,0.000576,0.013536,0.000416,0.001504,0.181671,0.001120,0.897700
0.418096,0.017824,0.202088,0.005312,0.048834,0.000576,0.013697,0.000384,0.001504,0.171943,0.000928,0.890467
0.435281,0.017664,0.202568,0.004864,0.048962,0.000608,0.013377,0.000320,0.001504,0.176231,0.000992,0.910820
0.418161,0.017920,0.202280,0.004865,0.048450,0.000608,0.013408,0.000352,0.001504,0.166087,0.000992,0.882723
0.415569,0.017216,0.202408,0.005185,0.047681,0.000576,0.013472,0.000352,0.001472,0.179943,0.001152,0.893315
0.417552,0.017441,0.202312,0.004800,0.048706,0.000608,0.013697,0.000416,0.001440,0.186023,0.000800,0.902563
0.417041,0.017792,0.202920,0.004833,0.047809,0.000640,0.013537,0.000384,0.001408,0.166183,0.000896,0.881539
0.415760,0.017953,0.202056,0.005024,0.048610,0.000832,0.013440,0.000416,0.001472,0.181735,0.000992,0.897539
0.417168,0.017793,0.202248,0.004832,0.048898,0.000608,0.013472,0.000384,0.001440,0.182184,0.000736,0.898595
0.432753,0.017729,0.202248,0.005056,0.048642,0.000576,0.013697,0.000352,0.001472,0.174631,0.001024,0.906500
0.416848,0.017889,0.202536,0.005088,0.048706,0.000608,0.013473,0.000320,0.001472,0.173223,0.000768,0.890019
0.417008,0.017825,0.202696,0.005280,0.047714,0.000576,0.013409,0.000416,0.001504,0.172902,0.000704,0.888195
0.417489,0.017888,0.201800,0.004961,0.047361,0.000736,0.013537,0.000352,0.001408,0.203880,0.000832,0.918884
0.416304,0.017761,0.202216,0.004800,0.047426,0.000736,0.013888,0.000384,0.001504,0.171591,0.001056,0.886498
0.416304,0.017697,0.202344,0.005024,0.048578,0.000736,0.013569,0.000384,0.001440,0.181831,0.000672,0.897059
0.416176,0.017825,0.202504,0.004800,0.047874,0.000608,0.013409,0.000384,0.001504,0.177415,0.000992,0.893059
0.436305,0.017921,0.202568,0.004800,0.047458,0.000768,0.013536,0.000352,0.001504,0.181607,0.001024,0.917668
0.418001,0.017729,0.202344,0.005024,0.048930,0.000800,0.013536,0.000384,0.001472,0.173383,0.000864,0.891587
0.416401,0.017472,0.202056,0.005025,0.049729,0.000608,0.013440,0.000416,0.001440,0.179111,0.000992,0.895267
0.416368,0.017281,0.202184,0.005344,0.066115,0.000704,0.013568,0.000384,0.001504,0.203496,0.000864,0.936869
0.416528,0.017281,0.202120,0.005056,0.047714,0.000640,0.013761,0.000352,0.001408,0.182183,0.000736,0.896099
0.417104,0.017825,0.202184,0.004992,0.047426,0.000608,0.013472,0.000384,0.001441,0.172230,0.000736,0.886882
0.415376,0.017761,0.202248,0.005056,0.046946,0.000608,0.013472,0.000384,0.001376,0.197352,0.000736,0.909699
0.436562,0.017600,0.202152,0.004993,0.046881,0.000576,0.013441,0.000384,0.001440,0.172103,0.000992,0.905508
0.415856,0.017825,0.202120,0.005056,0.046978,0.000576,0.013505,0.000352,0.001472,0.178983,0.000896,0.892355
0.415537,0.017472,0.202120,0.005313,0.047201,0.000576,0.013537,0.000320,0.001472,0.182087,0.000992,0.895395
0.415888,0.017633,0.221545,0.005184,0.049794,0.000640,0.013409,0.000384,0.001536,0.181063,0.000960,0.917060
0.416080,0.021185,0.202120,0.005248,0.049026,0.000576,0.013345,0.000352,0.001504,0.174055,0.001024,0.891907
0.415664,0.017697,0.201768,0.005056,0.048258,0.000608,0.013345,0.000384,0.001440,0.170471,0.000736,0.884003
0.416496,0.017569,0.202568,0.005248,0.048130,0.000576,0.013408,0.000416,0.001409,0.169030,0.000928,0.883842
0.432433,0.017376,0.202120,0.005312,0.047458,0.000608,0.013377,0.000352,0.001504,0.172007,0.000832,0.901892
0.415920,0.017537,0.202760,0.005088,0.047554,0.000576,0.013441,0.000352,0.001472,0.170758,0.000897,0.885219
0.415473,0.017600,0.202216,0.005249,0.047457,0.000609,0.013472,0.000384,0.001472,0.171335,0.000864,0.886211
0.415889,0.017472,0.202152,0.005280,0.062467,0.000736,0.013473,0.000384,0.001440,0.182535,0.000800,0.911204
0.415280,0.017473,0.202632,0.005056,0.046850,0.000640,0.013376,0.000384,0.001504,0.177735,0.000832,0.890403
0.415600,0.017761,0.202472,0.005280,0.046946,0.000640,0.013377,0.000384,0.001504,0.180295,0.000704,0.893283
0.415889,0.017985,0.202023,0.005281,0.047842,0.000576,0.013504,0.000352,0.001440,0.182375,0.001057,0.897860
0.429489,0.017537,0.202184,0.005312,0.048034,0.000576,0.013409,0.000320,0.001472,0.172998,0.001024,0.900644
0.415536,0.017889,0.201768,0.005056,0.048610,0.000640,0.013409,0.000352,0.001408,0.171846,0.001057,0.885667
0.415248,0.017313,0.202632,0.005056,0.048610,0.000576,0.013344,0.000384,0.001440,0.166983,0.001056,0.880194
0.415761,0.017569,0.202887,0.004992,0.049090,0.000608,0.032417,0.000512,0.001664,0.177223,0.001024,0.912676
0.416945,0.017312,0.202696,0.005057,0.048162,0.000640,0.013376,0.000352,0.001408,0.179943,0.000992,0.894723
0.415760,0.017345,0.202120,0.005248,0.048258,0.000576,0.013344,0.000384,0.001473,0.176102,0.000801,0.890435
0.415952,0.017281,0.202120,0.005024,0.048386,0.000608,0.013408,0.000352,0.001441,0.175974,0.001025,0.889283
0.437745,0.017793,0.202280,0.005216,0.049634,0.000576,0.013313,0.000384,0.001504,0.170854,0.000897,0.908548
0.416912,0.017761,0.202248,0.005248,0.048514,0.000640,0.013377,0.000384,0.001504,0.175046,0.000896,0.890883
0.415856,0.017473,0.202856,0.005312,0.047650,0.000608,0.013920,0.000352,0.001408,0.176359,0.000800,0.891394
0.416368,0.017697,0.201768,0.005024,0.048898,0.000576,0.013569,0.000384,0.001408,0.189511,0.001120,0.904355
0.416848,0.017313,0.202504,0.005056,0.048418,0.000800,0.013408,0.000384,0.001505,0.169830,0.001056,0.886306
0.416880,0.017345,0.202312,0.005024,0.047970,0.000608,0.013376,0.000384,0.001472,0.169127,0.000672,0.882850
0.418417,0.017313,0.202056,0.005280,0.047842,0.000640,0.013472,0.000352,0.001504,0.176679,0.001056,0.893059
0.458578,0.017729,0.202184,0.005024,0.048578,0.000608,0.013345,0.000384,0.001504,0.173927,0.000928,0.930789
0.416176,0.017408,0.202760,0.004800,0.049250,0.000608,0.013313,0.000416,0.001504,0.177959,0.001056,0.894243
0.417201,0.017761,0.202408,0.004832,0.048194,0.000608,0.013792,0.000352,0.001472,0.179943,0.001152,0.895171
0.415472,0.017569,0.205288,0.004992,0.048002,0.000576,0.013312,0.000352,0.001440,0.199591,0.001089,0.916036
0.417521,0.017505,0.202120,0.005024,0.048034,0.000608,0.013440,0.000416,0.001440,0.182119,0.000769,0.897092
0.416784,0.017537,0.202024,0.004800,0.047746,0.000640,0.013601,0.000416,0.001472,0.165286,0.001024,0.880130
0.416944,0.017857,0.202312,0.004768,0.047714,0.000608,0.014176,0.000352,0.001408,0.168871,0.000992,0.884130
0.460562,0.017953,0.202664,0.005280,0.047778,0.000576,0.013760,0.000352,0.001472,0.182856,0.001024,0.942117
0.415632,0.017761,0.202152,0.005248,0.048290,0.000640,0.013473,0.000352,0.001408,0.174599,0.000768,0.888259
0.415632,0.017505,0.201896,0.005280,0.048034,0.000608,0.013761,0.000352,0.001504,0.171943,0.001024,0.886403
0.418033,0.017760,0.203592,0.005217,0.047937,0.000608,0.013441,0.000352,0.001536,0.205928,0.001088,0.924068
0.416497,0.017825,0.203176,0.005056,0.047810,0.000608,0.014080,0.000384,0.001600,0.169607,0.000928,0.886339
0.416240,0.017569,0.203016,0.005248,0.047266,0.000480,0.013473,0.000384,0.001440,0.171271,0.000736,0.884259
0.416656,0.018337,0.201832,0.005632,0.047682,0.000576,0.013440,0.000384,0.001408,0.167335,0.000960,0.882466
0.429680,0.018240,0.202856,0.005408,0.048514,0.000640,0.013441,0.000320,0.001440,0.165222,0.000864,0.893859
0.415569,0.021345,0.202504,0.005568,0.047394,0.000640,0.013952,0.000352,0.001504,0.173287,0.000832,0.891491
0.416049,0.018336,0.202184,0.005089,0.047329,0.000608,0.014017,0.000384,0.001440,0.173959,0.000864,0.887459
0.416241,0.018176,0.202056,0.005537,0.048033,0.000576,0.013537,0.000352,0.001472,0.171975,0.000960,0.887075
0.416177,0.018400,0.201992,0.005441,0.049793,0.000609,0.014144,0.000352,0.001376,0.175399,0.000992,0.893251
0.417808,0.017665,0.202248,0.005184,0.047970,0.001024,0.013472,0.000384,0.001440,0.173958,0.000833,0.890275
0.417136,0.017921,0.202216,0.005056,0.048034,0.000576,0.013568,0.000352,0.001408,0.169191,0.001056,0.884674
0.436305,0.018017,0.201960,0.004832,0.048418,0.000576,0.013601,0.000384,0.001472,0.169254,0.000864,0.904227
0.416496,0.021153,0.201928,0.005024,0.048098,0.000736,0.013537,0.000384,0.001312,0.173607,0.000896,0.890723
0.416144,0.017729,0.202088,0.004928,0.048130,0.000608,0.013376,0.000384,0.001344,0.166503,0.000832,0.879682
0.416273,0.018112,0.202376,0.004833,0.047681,0.000864,0.013409,0.000384,0.001408,0.170279,0.001024,0.884611
0.415984,0.017569,0.202536,0.005056,0.048482,0.000576,0.013408,0.000352,0.001536,0.185672,0.000640,0.901443
0.416753,0.017760,0.202440,0.004801,0.048705,0.000609,0.013376,0.000416,0.001376,0.174247,0.001024,0.889347
0.418449,0.017793,0.202440,0.005184,0.049602,0.000608,0.013760,0.000384,0.001408,0.181032,0.001056,0.899908
0.416240,0.017665,0.220841,0.005344,0.048130,0.000576,0.014272,0.000385,0.001472,0.179559,0.001056,0.914308
0.417776,0.017665,0.202696,0.004736,0.048450,0.000640,0.014401,0.000352,0.001664,0.212840,0.001248,0.933540
0.417648,0.017441,0.202504,0.004768,0.047554,0.000608,0.014656,0.000384,0.001665,0.167206,0.000896,0.883426
0.416272,0.017697,0.202376,0.004768,0.047778,0.000608,0.013920,0.000352,0.001440,0.179399,0.000832,0.894243
0.417809,0.018304,0.202536,0.005025,0.048833,0.000577,0.013792,0.000352,0.001504,0.174023,0.000768,0.891459
0.416177,0.017633,0.203240,0.005024,0.048354,0.000608,0.013664,0.000384,0.001344,0.170919,0.000800,0.886211
0.415984,0.017473,0.202184,0.005024,0.048514,0.000608,0.013664,0.000416,0.001408,0.171015,0.000672,0.885250
0.417776,0.017569,0.224489,0.005280,0.048994,0.000640,0.013473,0.000352,0.001376,0.175879,0.000768,0.916548
0.417488,0.017728,0.202376,0.004864,0.049026,0.000608,0.013825,0.000384,0.001312,0.173191,0.000832,0.889443
0.420561,0.017504,0.201896,0.004800,0.047490,0.000576,0.013921,0.000352,0.001408,0.176711,0.000896,0.894115
0.415376,0.017505,0.202824,0.004800,0.048290,0.000640,0.013504,0.000352,0.001344,0.178727,0.000800,0.891907
0.416304,0.017472,0.203336,0.004800,0.047298,0.000576,0.013409,0.000352,0.001440,0.175463,0.000896,0.890243
0.415281,0.017536,0.201992,0.005024,0.047746,0.000608,0.013633,0.000384,0.001408,0.173447,0.000768,0.885571
0.416656,0.017601,0.202440,0.004992,0.047682,0.000800,0.013441,0.000384,0.001440,0.173319,0.000832,0.887619
