Layer[0],Layer[1],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415504,0.017633,0.740733,0.000640,0.002176,0.001120,0.000384,1.185935
0.420369,0.017440,0.745085,0.000704,0.002080,0.001152,0.000384,1.194479
0.415153,0.017441,0.765470,0.000672,0.002080,0.001152,0.000384,1.209456
0.415632,0.017312,0.731005,0.000608,0.002176,0.001056,0.000320,1.175630
0.415664,0.017569,0.745533,0.000704,0.001984,0.001088,0.000384,1.190543
0.437297,0.017537,0.740733,0.000672,0.002336,0.001120,0.000416,1.206767
0.420305,0.017441,0.742397,0.000672,0.002720,0.001184,0.000384,1.192719
0.415152,0.017569,0.727004,0.000896,0.002048,0.001120,0.000384,1.171214
0.420560,0.017441,0.734525,0.000704,0.001888,0.001088,0.000352,1.183182
0.415952,0.017536,0.747134,0.000736,0.002784,0.001152,0.000320,1.192655
0.416112,0.017632,0.759390,0.000704,0.002112,0.001024,0.000352,1.206032
0.415824,0.017441,0.748381,0.000640,0.002241,0.001120,0.000416,1.193327
0.416144,0.017569,0.742429,0.000640,0.002273,0.001056,0.000384,1.187343
0.415344,0.017697,0.760542,0.000608,0.001952,0.001088,0.000384,1.204431
0.421040,0.017697,0.740253,0.000640,0.001984,0.001024,0.000384,1.189742
0.420080,0.017473,0.744957,0.000608,0.002113,0.001280,0.000352,1.194351
0.452273,0.017568,0.748158,0.000672,0.001952,0.001152,0.000384,1.230416
0.415504,0.017729,0.745310,0.000640,0.002016,0.001120,0.000384,1.189423
0.415792,0.017761,0.747805,0.000705,0.002176,0.001248,0.000384,1.192431
0.438097,0.017761,0.736445,0.000704,0.002176,0.001056,0.000384,1.202799
0.420497,0.017985,0.745949,0.000672,0.002240,0.001056,0.000416,1.196687
0.416048,0.017921,0.737597,0.000736,0.019009,0.001216,0.000352,1.200847
0.415473,0.017472,0.739454,0.000672,0.002816,0.001184,0.000352,1.184623
0.415825,0.017729,0.735517,0.000640,0.002144,0.001088,0.000352,1.179919
0.416528,0.017696,0.763454,0.000704,0.002337,0.001120,0.000320,1.209232
0.415537,0.017857,0.739677,0.000640,0.002208,0.001088,0.000352,1.184463
0.419889,0.017760,0.731293,0.000672,0.002368,0.000928,0.000384,1.180367
0.420400,0.017537,0.777023,0.001024,0.003392,0.001152,0.000320,1.227600
0.415888,0.017504,0.750782,0.000704,0.002080,0.000960,0.000384,1.195727
0.420689,0.017313,0.747517,0.000672,0.002176,0.001024,0.000352,1.197103
0.441137,0.017889,0.764062,0.000800,0.002432,0.001600,0.000384,1.237296
0.421392,0.017505,0.751038,0.000672,0.002912,0.001216,0.000448,1.202671
0.416689,0.017377,0.736221,0.000704,0.003104,0.001120,0.000416,1.182959
0.420240,0.017728,0.746782,0.000704,0.001952,0.001152,0.000384,1.195343
0.416433,0.017697,0.749341,0.000640,0.002080,0.001120,0.000384,1.195663
0.420977,0.017504,0.774078,0.000672,0.002176,0.001248,0.000384,1.224272
0.421808,0.017889,0.745309,0.000672,0.003008,0.001120,0.000416,1.197711
0.418449,0.017600,0.737022,0.000736,0.002336,0.001120,0.000384,1.184623
0.415793,0.017409,0.765854,0.000672,0.003200,0.001152,0.000352,1.211568
0.415760,0.017281,0.725405,0.000672,0.003072,0.001248,0.000320,1.169966
0.421457,0.017441,0.737053,0.000768,0.003104,0.001280,0.000320,1.190447
0.438097,0.017376,0.749694,0.000768,0.002208,0.001120,0.000416,1.216624
0.420529,0.017697,0.748189,0.000736,0.002208,0.001056,0.000352,1.198319
0.416080,0.017857,0.742269,0.000704,0.003072,0.001088,0.000416,1.188655
0.420625,0.017504,0.736413,0.000672,0.001952,0.001088,0.000384,1.185423
0.416336,0.017697,0.748958,0.000736,0.002112,0.001216,0.000352,1.194703
0.415760,0.017313,0.773790,0.000704,0.002080,0.001025,0.000384,1.217744
0.415856,0.017537,0.742461,0.000672,0.002176,0.001056,0.000384,1.187374
0.415473,0.017441,0.747485,0.000672,0.002368,0.001120,0.000416,1.192175
0.420176,0.017505,0.784511,0.000864,0.002528,0.001088,0.000384,1.237296
0.416625,0.017409,0.748669,0.000672,0.002016,0.001088,0.000384,1.194127
0.416784,0.017857,0.741501,0.001024,0.003424,0.001152,0.000352,1.189230
0.438194,0.017728,0.751870,0.000800,0.001920,0.001024,0.000384,1.219344
0.417073,0.017857,0.733725,0.000672,0.002048,0.001152,0.000352,1.180015
0.415920,0.017760,0.731773,0.000672,0.002304,0.001088,0.000384,1.178254
0.433425,0.017473,0.758238,0.000672,0.002080,0.001152,0.000416,1.220144
0.421393,0.017473,0.744605,0.000672,0.001920,0.000992,0.000384,1.194831
0.420241,0.017409,0.753469,0.000640,0.002081,0.001088,0.000384,1.202448
0.421072,0.017633,0.744125,0.000641,0.001920,0.001120,0.000352,1.194159
0.416496,0.017569,0.750110,0.000640,0.002080,0.001120,0.000352,1.196559
0.415760,0.017729,0.773406,0.000640,0.002080,0.001056,0.000384,1.218673
0.420464,0.017217,0.745694,0.000640,0.002112,0.000896,0.000320,1.193487
0.421200,0.017600,0.740733,0.000704,0.002240,0.000896,0.000352,1.190287
0.435570,0.017472,0.751230,0.000608,0.002080,0.001088,0.000384,1.214544
0.420240,0.017536,0.748670,0.000640,0.002240,0.001152,0.000352,1.198415
0.419920,0.017473,0.746461,0.000672,0.002208,0.001056,0.000384,1.195087
0.434193,0.017761,0.740829,0.000640,0.002112,0.000960,0.000384,1.203119
0.415312,0.017729,0.744893,0.000640,0.001984,0.001120,0.000385,1.188719
0.420337,0.017921,0.742653,0.000608,0.003008,0.001184,0.000448,1.193071
0.420529,0.017472,0.750686,0.000704,0.002304,0.001120,0.000384,1.200655
0.420593,0.017697,0.737117,0.000704,0.003392,0.001056,0.000352,1.187247
0.415952,0.017505,0.768094,0.000672,0.003137,0.001088,0.000416,1.214192
0.415696,0.017697,0.741789,0.000672,0.002848,0.001216,0.000384,1.187567
0.420209,0.017537,0.733469,0.000800,0.002208,0.000992,0.000352,1.182831
0.415696,0.017409,0.776031,0.001056,0.003264,0.001216,0.000416,1.222704
0.421008,0.017728,0.750430,0.000704,0.002112,0.001088,0.000352,1.200527
0.415537,0.017504,0.733021,0.000736,0.002816,0.001121,0.000384,1.178095
0.435569,0.017409,0.765502,0.000992,0.003616,0.001216,0.000320,1.231760
0.415601,0.017248,0.739037,0.000672,0.003072,0.001056,0.000416,1.183279
0.415344,0.017729,0.749917,0.000800,0.003297,0.001088,0.000416,1.195471
0.415537,0.017473,0.746333,0.000672,0.002944,0.001184,0.000384,1.190575
0.425360,0.017569,0.809728,0.000672,0.003168,0.001120,0.000384,1.265137
0.420625,0.017569,0.768926,0.001088,0.003328,0.001120,0.000352,1.219760
0.421008,0.017697,0.749310,0.000800,0.002400,0.001056,0.000384,1.200463
0.415793,0.017505,0.746589,0.000672,0.002208,0.001088,0.000384,1.191695
0.416529,0.017665,0.783359,0.000864,0.002592,0.001440,0.000384,1.230449
0.421009,0.017761,0.738685,0.000704,0.002304,0.001344,0.000352,1.189807
0.420945,0.017792,0.754398,0.000704,0.002272,0.001216,0.000352,1.205455
0.435761,0.017729,0.755102,0.000672,0.002368,0.001248,0.000352,1.221200
0.420017,0.017537,0.755358,0.000736,0.002144,0.001248,0.000352,1.206000
0.415473,0.017761,0.749661,0.000704,0.002144,0.001216,0.000352,1.194319
0.420017,0.017697,0.754557,0.000736,0.002112,0.001216,0.000352,1.204656
0.420049,0.017440,0.737821,0.000768,0.002400,0.001152,0.000384,1.187119
0.420689,0.018209,0.777022,0.000704,0.002368,0.001376,0.000384,1.228497
0.415600,0.017537,0.739965,0.000704,0.002336,0.001313,0.000352,1.185071
0.416304,0.017728,0.751518,0.000736,0.002336,0.001152,0.000320,1.197999
0.419952,0.017665,0.761118,0.000704,0.002272,0.001152,0.000352,1.211567
0.420337,0.017569,0.740061,0.000736,0.002528,0.001152,0.000352,1.189519
0.421552,0.017792,0.753278,0.000704,0.002336,0.001312,0.000384,1.205647
0.439281,0.017537,0.756638,0.000736,0.002528,0.001344,0.000384,1.226736
0.416305,0.017569,0.747869,0.000704,0.002016,0.001408,0.000352,1.193647
0.416080,0.017345,0.771038,0.001025,0.002400,0.001312,0.000448,1.218000
0.420465,0.017792,0.768543,0.000768,0.002464,0.001312,0.000384,1.218608
0.416049,0.017377,0.739389,0.000736,0.002240,0.001184,0.000352,1.185391
0.422416,0.017665,0.769630,0.000737,0.002368,0.001216,0.000352,1.222256
0.420336,0.017697,0.740605,0.000800,0.002177,0.001184,0.000352,1.190639
0.421073,0.017536,0.750046,0.000672,0.002208,0.001088,0.000352,1.200079
0.440434,0.017952,0.738846,0.000704,0.002272,0.001280,0.000352,1.209744
0.420720,0.017761,0.748158,0.000640,0.002304,0.001248,0.000352,1.198319
0.420785,0.017632,0.757246,0.000640,0.002305,0.001408,0.000384,1.208464
0.416336,0.017760,0.760990,0.000608,0.002337,0.001216,0.000384,1.207312
0.420753,0.017696,0.735549,0.000672,0.001985,0.001216,0.000384,1.185423
0.416177,0.017473,0.771934,0.000704,0.002304,0.001312,0.000352,1.216944
0.420593,0.017409,0.754013,0.000768,0.002208,0.001120,0.000384,1.204208
0.420688,0.017505,0.748670,0.000640,0.002240,0.001184,0.000352,1.198895
0.420561,0.017569,0.770622,0.000704,0.002432,0.001248,0.000384,1.222000
0.420145,0.017473,0.738877,0.000608,0.002144,0.001120,0.000384,1.187951
0.416112,0.017313,0.730173,0.000736,0.001856,0.001184,0.000384,1.174126
0.438450,0.017248,0.758238,0.000704,0.005441,0.001216,0.000320,1.227793
0.420529,0.017569,0.743229,0.000704,0.002304,0.001152,0.000384,1.193520
0.415857,0.017345,0.742589,0.000704,0.002208,0.001216,0.000320,1.186831
0.420401,0.017536,0.746398,0.000608,0.002272,0.001152,0.000256,1.194639
0.415985,0.017601,0.748445,0.000704,0.002144,0.001216,0.000320,1.194799
0.416176,0.017728,0.773247,0.000736,0.002272,0.001216,0.000352,1.220048
0.421841,0.017505,0.746461,0.000736,0.002432,0.001312,0.000352,1.197935
0.421136,0.017665,0.754430,0.000736,0.002240,0.001248,0.000352,1.205391
0.420273,0.017537,0.758461,0.000864,0.002240,0.001280,0.000352,1.209072
0.420592,0.017537,0.752286,0.000704,0.002400,0.001312,0.000384,1.202863
0.415856,0.017537,0.751166,0.000736,0.002176,0.001184,0.000352,1.197487
0.438417,0.017536,0.753630,0.000736,0.002528,0.001184,0.000320,1.222192
0.420849,0.017665,0.750461,0.000672,0.002273,0.001280,0.000352,1.201776
0.420560,0.017569,0.750910,0.000704,0.002272,0.001216,0.000384,1.200911
0.419761,0.017760,0.747774,0.000800,0.002304,0.001536,0.000384,1.197871
0.421680,0.017825,0.749214,0.000736,0.002336,0.001280,0.000320,1.201775
0.420817,0.017505,0.763902,0.000800,0.002688,0.001376,0.000352,1.215600
0.421425,0.017921,0.746845,0.000864,0.002305,0.001280,0.000416,1.200304
0.418481,0.017824,0.760350,0.000672,0.002304,0.001248,0.000320,1.208336
0.421041,0.017729,0.780798,0.000672,0.002625,0.001344,0.000352,1.232401
0.416529,0.017665,0.748893,0.000704,0.002272,0.001248,0.000352,1.195375
0.416048,0.017697,0.750845,0.000672,0.002497,0.001152,0.000352,1.196463
0.439761,0.017793,0.750686,0.000704,0.002208,0.001216,0.000352,1.220080
0.420337,0.017473,0.774462,0.000672,0.002432,0.001249,0.000352,1.223985
0.420241,0.017473,0.739581,0.000768,0.002016,0.001184,0.000608,1.206704
0.416176,0.017504,0.746142,0.000704,0.002080,0.001216,0.000352,1.191983
0.420945,0.017472,0.742782,0.000768,0.001984,0.001312,0.000352,1.192783
0.418193,0.017569,0.807264,0.000704,0.002944,0.001632,0.000608,1.260626
0.416432,0.017697,0.736925,0.000704,0.003360,0.001280,0.000704,1.184494
0.420624,0.017729,0.746653,0.000768,0.002304,0.001216,0.000608,1.197391
0.439985,0.017761,0.754398,0.000768,0.002624,0.001184,0.000352,1.225424
0.416144,0.017632,0.748702,0.000672,0.002240,0.001280,0.000640,1.194575
0.420017,0.017697,0.745917,0.000672,0.002464,0.001216,0.000640,1.196559
0.421264,0.017697,0.738589,0.000736,0.002497,0.001280,0.000608,1.190479
0.416464,0.017537,0.743549,0.000672,0.002752,0.001440,0.000608,1.191086
0.419952,0.017665,0.770398,0.000672,0.002176,0.001280,0.000352,1.219536
0.415697,0.017472,0.734653,0.000673,0.002144,0.001216,0.000352,1.179759
0.420400,0.017505,0.749950,0.000640,0.002752,0.001248,0.000352,1.200431
0.415921,0.017505,0.766270,0.000704,0.002112,0.001184,0.000352,1.211792
0.421008,0.017729,0.743549,0.000704,0.002432,0.001121,0.000576,1.194447
0.416433,0.017665,0.739325,0.000672,0.002432,0.001376,0.000384,1.186895
0.435825,0.017792,0.736925,0.000672,0.001953,0.001248,0.000384,1.202192
0.420721,0.017793,0.742301,0.000704,0.002272,0.001248,0.000352,1.192943
0.415889,0.017537,0.736733,0.000672,0.002112,0.001216,0.000384,1.182511
0.417680,0.017473,0.749629,0.000672,0.002465,0.001216,0.000608,1.198319
0.415824,0.017537,0.747165,0.000704,0.002432,0.001120,0.000352,1.192143
0.422192,0.017665,0.787167,0.001120,0.002720,0.001216,0.000608,1.242865
0.416912,0.017601,0.770463,0.000832,0.002144,0.001088,0.000352,1.215824
0.414609,0.017537,0.733629,0.000672,0.002336,0.001056,0.000640,1.176399
0.416240,0.017281,0.754173,0.000737,0.002528,0.001184,0.000672,1.199888
0.415729,0.017344,0.734301,0.000577,0.002176,0.001088,0.000416,1.179279
0.415569,0.017504,0.722269,0.000640,0.001984,0.001056,0.000384,1.165902
0.438705,0.017409,0.749854,0.000576,0.002112,0.001056,0.000352,1.216720
0.419569,0.017536,0.741310,0.000640,0.002080,0.001024,0.000352,1.188943
0.414800,0.017761,0.768702,0.000800,0.002176,0.000992,0.000384,1.213168
0.419856,0.017505,0.748574,0.000608,0.001984,0.001184,0.000352,1.196431
0.419889,0.017504,0.745374,0.000672,0.002272,0.001216,0.000384,1.193871
0.420113,0.017601,0.762974,0.000672,0.001984,0.001120,0.000384,1.212144
0.420305,0.017505,0.732764,0.000640,0.001985,0.001120,0.000480,1.181807
0.416464,0.017505,0.742653,0.000960,0.002304,0.001024,0.000384,1.187983
0.414768,0.017441,0.766334,0.000608,0.002016,0.000992,0.000352,1.210863
0.415056,0.017409,0.741309,0.000576,0.002240,0.001184,0.000384,1.184366
0.419888,0.017217,0.729949,0.000576,0.002080,0.001216,0.000384,1.178190
0.415409,0.017281,0.751485,0.000608,0.001952,0.000960,0.000416,1.194672
0.421297,0.017569,0.748861,0.000673,0.002784,0.001184,0.000544,1.201584
0.415568,0.017505,0.752413,0.001120,0.002817,0.001248,0.000416,1.198416
0.434481,0.017505,0.770782,0.000704,0.002144,0.001120,0.000320,1.234256
0.415920,0.017728,0.749918,0.000640,0.002368,0.001056,0.000576,1.195247
0.415665,0.017504,0.731773,0.000704,0.002209,0.001056,0.000416,1.176975
0.416432,0.017697,0.750910,0.000704,0.002176,0.001088,0.000448,1.197135
0.416625,0.017633,0.748957,0.000768,0.002048,0.000928,0.000256,1.194479
0.416145,0.017665,0.757149,0.000672,0.002208,0.000896,0.000320,1.201680
0.416433,0.017600,0.742078,0.000608,0.002304,0.000992,0.000256,1.187023
0.420464,0.017952,0.751902,0.000832,0.002400,0.001056,0.000416,1.202703
0.415888,0.017569,0.760254,0.000576,0.002208,0.001152,0.000256,1.205263
0.414705,0.017697,0.736701,0.000992,0.003424,0.001120,0.000384,1.182991
0.416497,0.017600,0.740798,0.000800,0.003296,0.001056,0.000384,1.186575
0.428753,0.017953,0.730269,0.000704,0.002144,0.000864,0.000352,1.187407
0.415376,0.017761,0.727676,0.001184,0.003328,0.001152,0.000416,1.173934
0.415408,0.017888,0.721853,0.000704,0.002144,0.001056,0.000384,1.165294
0.434418,0.017568,0.740862,0.000640,0.001952,0.000992,0.000608,1.204272
0.416593,0.018017,0.754813,0.000960,0.003137,0.001248,0.000352,1.201360
0.415953,0.017728,0.742686,0.000768,0.002912,0.001024,0.000288,1.187855
0.415825,0.017921,0.717340,0.000768,0.002080,0.000896,0.000352,1.162638
0.415665,0.017729,0.730204,0.000704,0.002273,0.001120,0.000352,1.174351
0.419697,0.017665,0.776126,0.000704,0.002432,0.001152,0.000352,1.224977
0.415408,0.017505,0.716444,0.000640,0.002080,0.001280,0.000224,1.159853
0.415793,0.017633,0.726972,0.000768,0.002529,0.000992,0.000256,1.171855
0.414128,0.017473,0.742845,0.001056,0.003296,0.000928,0.000608,1.187375
0.415601,0.017793,0.742621,0.000704,0.001856,0.000960,0.000384,1.186159
0.415985,0.017761,0.720028,0.000768,0.001984,0.001056,0.000384,1.163630
0.415409,0.021025,0.759838,0.000736,0.002080,0.000800,0.000288,1.206320
0.416080,0.017537,0.722141,0.000832,0.001920,0.000896,0.000320,1.165774
0.416081,0.017344,0.719261,0.000768,0.002144,0.000928,0.000352,1.162478
0.415760,0.017505,0.761854,0.001056,0.002880,0.001025,0.000352,1.209232
0.415216,0.017729,0.728509,0.000736,0.001952,0.000896,0.000352,1.171342
0.416080,0.017441,0.720476,0.000704,0.001857,0.000992,0.000288,1.163566
0.429072,0.017504,0.727197,0.000672,0.001792,0.000992,0.000288,1.182798
0.415152,0.017377,0.727421,0.000832,0.002080,0.000928,0.000384,1.169934
0.414992,0.017281,0.721692,0.000768,0.002528,0.001025,0.000416,1.164814
0.432113,0.017632,0.721405,0.000736,0.002336,0.000896,0.000352,1.181294
0.415152,0.017441,0.748670,0.000800,0.002944,0.001120,0.000352,1.192207
0.416144,0.017665,0.751390,0.001120,0.002752,0.001088,0.000352,1.196687
0.416913,0.017569,0.763390,0.000704,0.002240,0.001408,0.000608,1.212240
0.418032,0.017537,0.751038,0.000704,0.002368,0.001184,0.000320,1.198447
0.420817,0.017921,0.785407,0.000768,0.002464,0.001248,0.000640,1.236977
0.416529,0.017633,0.741245,0.000704,0.001984,0.001344,0.000384,1.187151
0.420017,0.017729,0.739037,0.000704,0.002336,0.001120,0.000352,1.189199
0.416113,0.017729,0.781918,0.000768,0.002209,0.001184,0.000576,1.228049
0.420849,0.017760,0.752446,0.000736,0.002368,0.001216,0.000640,1.204399
0.420369,0.017504,0.750526,0.000704,0.002016,0.001152,0.000352,1.200239
0.434929,0.017729,0.748957,0.000704,0.002048,0.001280,0.000352,1.213744
0.415728,0.017600,0.749694,0.000672,0.002400,0.001440,0.000384,1.195375
0.416464,0.017473,0.748669,0.000736,0.002240,0.001281,0.000576,1.195215
0.420656,0.017505,0.748894,0.000736,0.002368,0.001184,0.000576,1.199247
0.420113,0.017408,0.760222,0.000833,0.002976,0.001312,0.000416,1.210768
0.416432,0.017537,0.772926,0.000705,0.002464,0.001280,0.000384,1.219696
0.421776,0.017697,0.752126,0.000704,0.002400,0.001184,0.000352,1.203823
0.417712,0.017920,0.761502,0.000673,0.002464,0.001376,0.000800,1.214064
0.438129,0.017921,0.754718,0.000768,0.002400,0.001184,0.000800,1.223568
0.416689,0.017632,0.743294,0.000704,0.003136,0.001184,0.000384,1.190511
0.415921,0.017569,0.748637,0.000704,0.002176,0.001120,0.000384,1.193583
0.434929,0.017697,0.742877,0.000832,0.002240,0.001152,0.000641,1.207984
0.415760,0.017761,0.746333,0.000768,0.002081,0.001120,0.000352,1.191887
0.415920,0.017728,0.777311,0.000704,0.002144,0.001152,0.000352,1.222544
0.421041,0.017761,0.737661,0.000736,0.002112,0.001120,0.000320,1.187791
0.417456,0.017729,0.748318,0.000736,0.002272,0.001248,0.000576,1.196079
0.417200,0.017505,0.780127,0.000736,0.002176,0.001216,0.000352,1.225616
0.417937,0.017472,0.746046,0.000640,0.002016,0.001152,0.000352,1.192847
0.420624,0.017473,0.748734,0.000672,0.002080,0.001344,0.000608,1.199215
0.440754,0.017537,0.749149,0.000736,0.002720,0.001216,0.000320,1.220048
0.416656,0.017633,0.731901,0.000704,0.002112,0.001184,0.000352,1.178094
0.421776,0.017473,0.747870,0.000672,0.002144,0.001248,0.000320,1.198607
0.416241,0.017472,0.739806,0.000704,0.002144,0.001152,0.000384,1.185455
0.420593,0.017665,0.748637,0.000736,0.002720,0.001280,0.000384,1.199087
0.419856,0.017664,0.764542,0.000736,0.002209,0.001120,0.000384,1.214064
0.416016,0.017633,0.733981,0.000800,0.002336,0.001120,0.000608,1.179598
0.416049,0.017569,0.736029,0.000704,0.001952,0.001248,0.000608,1.180975
0.420817,0.017536,0.770623,0.000704,0.001952,0.001184,0.000640,1.221296
0.415985,0.017633,0.750717,0.000736,0.002208,0.001184,0.000385,1.196912
0.420049,0.017504,0.748318,0.000672,0.003008,0.001376,0.000352,1.198671
0.441298,0.017697,0.751229,0.000704,0.002337,0.001184,0.000384,1.222161
0.416241,0.017729,0.744669,0.000704,0.002208,0.001152,0.000352,1.190319
0.416144,0.017728,0.751998,0.000704,0.002272,0.001216,0.000352,1.198511
0.420944,0.017857,0.748989,0.001024,0.002368,0.001248,0.000384,1.200431
0.419920,0.017504,0.737469,0.000672,0.002273,0.001248,0.000416,1.187119
0.420816,0.017472,0.754526,0.000768,0.002144,0.001248,0.000352,1.204143
0.420560,0.017537,0.748190,0.000736,0.003104,0.001280,0.000640,1.198831
0.416240,0.017760,0.751006,0.000832,0.002368,0.001120,0.000608,1.197519
0.420977,0.017665,0.758142,0.000800,0.002080,0.001280,0.000608,1.210288
0.420912,0.017312,0.747198,0.000672,0.002272,0.001120,0.000608,1.197135
0.416753,0.017280,0.745886,0.000736,0.002464,0.001184,0.000384,1.192303
0.433554,0.017536,0.746014,0.000960,0.002656,0.001248,0.000352,1.209840
0.416081,0.017441,0.740509,0.000704,0.002752,0.001216,0.000448,1.186767
0.415665,0.017569,0.747325,0.000672,0.002176,0.001152,0.000352,1.191727
0.416657,0.017409,0.738973,0.000640,0.002208,0.001152,0.000576,1.184879
0.415728,0.017537,0.742845,0.000704,0.002144,0.001120,0.000352,1.188078
0.421425,0.017633,0.772990,0.001088,0.003040,0.001152,0.000640,1.225777
0.420144,0.017473,0.743261,0.000704,0.002336,0.001248,0.000353,1.192815
0.416272,0.017665,0.738685,0.000736,0.003104,0.001152,0.000352,1.185774
0.419857,0.017664,0.767359,0.000672,0.002144,0.001088,0.000416,1.215888
0.418641,0.017761,0.745501,0.000736,0.002176,0.001120,0.000352,1.192879
0.420176,0.017696,0.746686,0.000736,0.002208,0.001216,0.000608,1.195567
0.432657,0.017824,0.751934,0.000768,0.002080,0.000960,0.000352,1.213295
0.415600,0.017568,0.748958,0.000736,0.002048,0.001056,0.000384,1.193487
0.421265,0.017569,0.754077,0.000672,0.002080,0.001025,0.000576,1.204240
0.431569,0.017505,0.768862,0.000704,0.002080,0.001056,0.000353,1.228209
0.421520,0.017345,0.747870,0.000832,0.002240,0.001152,0.000352,1.198511
0.416112,0.017536,0.769471,0.000704,0.002080,0.000992,0.000320,1.215056
0.415633,0.017856,0.740574,0.000768,0.002144,0.000832,0.000288,1.184815
0.416368,0.017217,0.726205,0.000768,0.002016,0.000768,0.000256,1.170030
0.420497,0.017824,0.759646,0.000736,0.002561,0.001024,0.000352,1.210736
0.415632,0.017601,0.740925,0.000640,0.002177,0.000960,0.000384,1.184943
0.415600,0.017633,0.741149,0.000608,0.002720,0.001024,0.000320,1.185070
0.415569,0.017665,0.764990,0.000608,0.002432,0.001024,0.000320,1.209200
0.415824,0.018049,0.738397,0.000672,0.002944,0.001121,0.000352,1.183887
0.415569,0.017568,0.763678,0.000736,0.002048,0.000992,0.000352,1.208464
0.428529,0.017473,0.761406,0.000672,0.002272,0.000864,0.000384,1.218512
0.420880,0.017857,0.746654,0.000768,0.002048,0.000928,0.000448,1.196911
0.416432,0.017985,0.743101,0.000608,0.002144,0.001152,0.000352,1.188431
0.428753,0.017697,0.770751,0.000576,0.003264,0.000960,0.000352,1.228881
0.416144,0.017665,0.743677,0.000576,0.002049,0.000960,0.000384,1.187919
0.416049,0.017505,0.729500,0.000672,0.002177,0.001024,0.000352,1.173263
0.421936,0.017505,0.756702,0.000672,0.001984,0.001216,0.000608,1.208240
0.415409,0.017473,0.749341,0.000704,0.002176,0.001088,0.000384,1.193903
0.416305,0.017504,0.771167,0.000704,0.002272,0.001248,0.000640,1.217424
0.415920,0.017760,0.744382,0.000704,0.002176,0.001120,0.000576,1.189935
0.416272,0.017313,0.746909,0.000672,0.002272,0.001152,0.000640,1.191919
0.420912,0.017633,0.757726,0.000704,0.002304,0.001184,0.000416,1.209199
0.418096,0.017665,0.754654,0.000800,0.002944,0.001216,0.000416,1.203823
0.421232,0.017537,0.737533,0.000736,0.002144,0.001057,0.000608,1.188975
0.439313,0.017505,0.751774,0.000704,0.002240,0.001184,0.000384,1.221040
0.421360,0.017568,0.744446,0.000768,0.003136,0.001248,0.000384,1.196527
0.416656,0.017664,0.767967,0.000768,0.002272,0.001248,0.000608,1.214416
0.415440,0.017665,0.746173,0.000704,0.002241,0.001152,0.000352,1.191279
0.420848,0.017376,0.739261,0.000704,0.002272,0.001152,0.000320,1.188687
0.415568,0.017153,0.755646,0.001056,0.002496,0.001280,0.000480,1.200431
0.416336,0.017761,0.741181,0.000704,0.002176,0.001184,0.000448,1.186511
0.419952,0.017473,0.745213,0.000769,0.002240,0.001184,0.000640,1.195215
0.415920,0.036610,0.751325,0.000704,0.002240,0.001280,0.000416,1.214960
0.420753,0.017633,0.732573,0.000768,0.002336,0.001152,0.000576,1.182095
0.417041,0.017473,0.755773,0.000769,0.002432,0.001408,0.000352,1.203280
0.439825,0.017536,0.751486,0.000704,0.002208,0.001088,0.000384,1.220944
0.421297,0.017632,0.743710,0.000704,0.002272,0.001056,0.000576,1.195183
0.420912,0.017313,0.779743,0.000704,0.001984,0.001088,0.000576,1.228656
0.420177,0.017441,0.741981,0.000704,0.002208,0.001056,0.000416,1.190351
0.415792,0.017281,0.742845,0.000672,0.001953,0.001056,0.000640,1.186319
0.420369,0.017440,0.753726,0.000672,0.002080,0.001088,0.000416,1.202735
0.419921,0.017249,0.742781,0.000736,0.002080,0.001056,0.000416,1.191663
0.416785,0.017313,0.742173,0.000672,0.002176,0.001184,0.000384,1.187023
0.415088,0.017280,0.745118,0.000640,0.002080,0.001184,0.000384,1.188015
0.420529,0.017473,0.745213,0.000640,0.002208,0.001184,0.000640,1.195279
0.420049,0.017632,0.741694,0.000704,0.002048,0.001248,0.000416,1.191503
0.433297,0.017729,0.742685,0.000768,0.002112,0.001248,0.000352,1.205807
0.415248,0.017601,0.739773,0.000672,0.002048,0.001184,0.000448,1.183726
0.420593,0.017280,0.742910,0.000672,0.002144,0.001280,0.000352,1.192111
0.420113,0.017184,0.744094,0.000640,0.002176,0.001088,0.000384,1.192431
0.416017,0.017505,0.732189,0.000704,0.002176,0.001152,0.000416,1.177071
0.415120,0.017632,0.771615,0.000864,0.003008,0.001280,0.000416,1.218512
0.415312,0.017729,0.744797,0.000672,0.002016,0.001152,0.000609,1.189359
0.416240,0.017281,0.740189,0.000672,0.002560,0.001216,0.000544,1.185774
0.415249,0.017344,0.766655,0.000768,0.002144,0.001088,0.000384,1.210288
0.416336,0.017761,0.740797,0.000736,0.001984,0.001024,0.000608,1.186318
0.415952,0.017697,0.741725,0.000736,0.002048,0.001152,0.000384,1.187534
0.440017,0.017888,0.726269,0.000704,0.002112,0.001056,0.000288,1.195599
0.414448,0.017601,0.743165,0.000608,0.002240,0.000992,0.000384,1.186382
0.420976,0.017697,0.744349,0.000672,0.002720,0.001152,0.000384,1.194895
0.415952,0.017696,0.731837,0.000736,0.002272,0.001088,0.000320,1.177198
0.416176,0.017729,0.739005,0.000704,0.002048,0.001056,0.000384,1.185102
0.415952,0.017696,0.764926,0.000640,0.002113,0.001088,0.000384,1.209744
