Layer[0],Layer[1],TEE[2-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416016,0.017633,0.733885,0.014529,0.000448,0.001472,0.001184,0.000352,1.192911
0.415728,0.018081,0.720892,0.014369,0.000480,0.001504,0.001120,0.000384,1.179790
0.415312,0.017569,0.743709,0.015105,0.000448,0.001408,0.001056,0.000384,1.201647
0.417329,0.017697,0.804863,0.015521,0.000480,0.001504,0.001984,0.000608,1.270386
0.416369,0.017633,0.741565,0.015329,0.000448,0.001824,0.001312,0.000384,1.203280
0.416560,0.017921,0.740157,0.014689,0.000480,0.001856,0.001152,0.000384,1.201423
0.417200,0.017505,0.750782,0.014912,0.000448,0.001600,0.001184,0.000352,1.212175
0.416145,0.017568,0.732509,0.014401,0.000448,0.001696,0.001056,0.000320,1.191375
0.415921,0.017440,0.719997,0.014720,0.000448,0.001568,0.001088,0.000416,1.179151
0.434737,0.017697,0.739389,0.014880,0.000448,0.001600,0.001120,0.000352,1.219280
0.416656,0.017825,0.747646,0.014816,0.000672,0.001792,0.001408,0.000352,1.209200
0.416881,0.017537,0.732796,0.014816,0.000736,0.001536,0.001184,0.000384,1.193487
0.416400,0.017504,0.744382,0.014624,0.000640,0.001536,0.001248,0.000352,1.205520
0.417104,0.017825,0.739453,0.014689,0.000480,0.001696,0.001120,0.000416,1.200719
0.416529,0.017696,0.764959,0.014848,0.000448,0.001440,0.001376,0.000384,1.225745
0.417232,0.017536,0.745310,0.014944,0.000480,0.001696,0.001248,0.000384,1.207664
0.416625,0.017697,0.731965,0.016032,0.000704,0.001600,0.001185,0.000352,1.194128
0.416560,0.017505,0.749982,0.017121,0.000672,0.001664,0.001088,0.000352,1.212816
0.417617,0.017536,0.744189,0.014881,0.000672,0.001888,0.001184,0.000416,1.206000
0.415857,0.017697,0.723356,0.015009,0.000736,0.001664,0.001152,0.000384,1.183503
0.434129,0.017537,0.740637,0.014721,0.000672,0.001696,0.001216,0.000384,1.219632
0.417329,0.017537,0.762430,0.014976,0.000672,0.001504,0.000960,0.000352,1.223281
0.415824,0.017633,0.735869,0.014432,0.000672,0.001792,0.001184,0.000384,1.194543
0.418289,0.017985,0.747261,0.014657,0.000512,0.001568,0.001280,0.000384,1.210896
0.418065,0.017665,0.740637,0.014592,0.000481,0.001920,0.001088,0.000352,1.203088
0.416337,0.017697,0.766814,0.014945,0.000448,0.001760,0.001024,0.000384,1.228465
0.416689,0.017505,0.757085,0.014912,0.000640,0.001664,0.000864,0.000352,1.218640
0.417552,0.017568,0.728381,0.015009,0.000416,0.001504,0.001280,0.000384,1.190415
0.417681,0.017664,0.746206,0.015329,0.000448,0.001568,0.001056,0.000384,1.208816
0.416849,0.017760,0.723932,0.014881,0.000640,0.001600,0.001120,0.000384,1.184879
0.416624,0.017633,0.745181,0.014560,0.000608,0.001728,0.001248,0.000416,1.206511
0.429361,0.017921,0.730716,0.015009,0.000704,0.001600,0.000896,0.000352,1.204239
0.417040,0.017537,0.747901,0.014881,0.000416,0.001856,0.001088,0.000352,1.208560
0.416272,0.017697,0.737373,0.014689,0.000352,0.001664,0.001088,0.000352,1.197423
0.416304,0.017729,0.746846,0.014368,0.000416,0.001536,0.001120,0.000352,1.207407
0.415473,0.017537,0.751485,0.014848,0.000512,0.001600,0.001152,0.000384,1.212592
0.417200,0.017601,0.748862,0.015040,0.000416,0.001504,0.000960,0.000416,1.209519
0.416240,0.017537,0.736957,0.014753,0.000608,0.001632,0.001120,0.000416,1.197647
0.418225,0.017633,0.744893,0.015009,0.000480,0.001536,0.001216,0.000384,1.207504
0.415888,0.017505,0.787455,0.014977,0.000448,0.001440,0.001152,0.000320,1.248017
0.415664,0.017633,0.730141,0.014657,0.000416,0.001504,0.001280,0.000384,1.190383
0.416432,0.017537,0.743709,0.014785,0.000672,0.001536,0.001152,0.000352,1.204496
0.430961,0.017664,0.731869,0.014465,0.000480,0.001600,0.001024,0.000320,1.206255
0.415633,0.017569,0.738685,0.014368,0.000416,0.001505,0.001088,0.000384,1.197552
0.416624,0.017760,0.722845,0.014400,0.000448,0.001601,0.001120,0.000384,1.182831
0.416208,0.017761,0.743805,0.014689,0.000448,0.001568,0.001056,0.000352,1.205231
0.417712,0.017569,0.740765,0.014881,0.000480,0.001920,0.001184,0.000352,1.202895
0.416944,0.017729,0.769886,0.014976,0.000448,0.001824,0.001088,0.000352,1.231152
0.416688,0.017632,0.736701,0.015297,0.000480,0.001568,0.001184,0.000416,1.197295
0.417168,0.017569,0.752638,0.014432,0.000448,0.001633,0.001216,0.000384,1.214032
0.416817,0.017568,0.761246,0.014912,0.000640,0.001696,0.001120,0.000416,1.222160
0.417392,0.017505,0.727709,0.014944,0.000448,0.002208,0.001152,0.000416,1.189839
0.416209,0.017760,0.752222,0.015233,0.000448,0.001984,0.001088,0.000416,1.214160
0.430033,0.017569,0.751870,0.015168,0.000640,0.001600,0.001024,0.000384,1.226352
0.416433,0.017825,0.731068,0.014817,0.000480,0.001632,0.001184,0.000384,1.191535
0.416593,0.017569,0.737533,0.014784,0.000513,0.001536,0.001120,0.000416,1.198608
0.417009,0.017601,0.732605,0.014624,0.000416,0.001696,0.001217,0.000384,1.193424
0.416849,0.017505,0.728636,0.014881,0.000672,0.001568,0.001088,0.000416,1.188815
0.774175,0.077891,0.898211,0.017057,0.000448,0.001856,0.001344,0.000288,1.780294
0.419344,0.018816,0.749790,0.014913,0.000480,0.001536,0.001120,0.000352,1.215184
0.417681,0.017632,0.764511,0.015008,0.000480,0.001696,0.001056,0.000384,1.226929
0.417072,0.017792,0.744670,0.014848,0.000640,0.001568,0.001216,0.000384,1.206832
0.417649,0.017569,0.759422,0.014944,0.000640,0.001440,0.001024,0.000384,1.220881
0.416144,0.017536,0.761854,0.014945,0.000448,0.001600,0.001184,0.000416,1.222448
0.417040,0.017600,0.747838,0.014688,0.000448,0.001633,0.001120,0.000352,1.209072
0.417104,0.017729,0.738877,0.014625,0.000448,0.001504,0.001120,0.000384,1.200687
0.435442,0.017664,0.740926,0.014528,0.000480,0.001536,0.001056,0.000384,1.219793
0.417328,0.017408,0.740989,0.014688,0.000640,0.001568,0.001024,0.000384,1.202255
0.416208,0.017536,0.745694,0.014688,0.000608,0.001600,0.001121,0.000416,1.205808
0.433649,0.017824,0.745214,0.014592,0.000480,0.001632,0.001249,0.000384,1.223537
0.416496,0.017728,0.732445,0.014817,0.000512,0.001568,0.001120,0.000384,1.193231
0.417104,0.017441,0.754590,0.015073,0.000480,0.001632,0.001120,0.000384,1.216592
0.416720,0.017505,0.741917,0.014561,0.000512,0.001632,0.001152,0.000384,1.202991
0.415824,0.017537,0.744637,0.014560,0.000448,0.001504,0.001152,0.000384,1.204175
0.416080,0.017569,0.775711,0.015200,0.000512,0.001632,0.001088,0.000384,1.237521
0.416496,0.017664,0.733885,0.014881,0.000672,0.001568,0.001152,0.000384,1.194351
0.416336,0.017569,0.742237,0.014369,0.000448,0.001504,0.001152,0.000416,1.202031
0.432145,0.017857,0.737885,0.014656,0.000448,0.001504,0.001153,0.000832,1.214672
0.416240,0.017696,0.742558,0.014400,0.000448,0.001664,0.001120,0.000384,1.203184
0.415920,0.017697,0.727645,0.014912,0.000448,0.001568,0.001248,0.000800,1.188270
0.416625,0.017601,0.742781,0.014785,0.000672,0.001664,0.001216,0.000416,1.203536
0.415761,0.017761,0.742077,0.014913,0.000416,0.001536,0.000992,0.000352,1.202672
0.416304,0.017761,0.785119,0.015713,0.000448,0.001568,0.001056,0.000416,1.246545
0.417009,0.017504,0.750526,0.014945,0.000704,0.001728,0.001152,0.000384,1.210768
0.416112,0.017920,0.749246,0.014976,0.000641,0.001760,0.001088,0.000352,1.210800
0.415985,0.017985,0.782495,0.014752,0.000448,0.001760,0.001089,0.000352,1.243442
0.416496,0.017601,0.740829,0.014689,0.000448,0.001760,0.001056,0.000320,1.200879
0.416016,0.017793,0.738621,0.015009,0.000608,0.001568,0.001088,0.000416,1.198703
0.433617,0.017761,0.736733,0.015264,0.000480,0.001505,0.001056,0.000352,1.215952
0.416720,0.017600,0.728573,0.015041,0.000672,0.001664,0.001248,0.000384,1.190991
0.416944,0.017569,0.737309,0.014977,0.000640,0.001568,0.001120,0.000352,1.198511
0.416240,0.017633,0.743966,0.014848,0.000352,0.001536,0.001088,0.000416,1.203567
0.416048,0.017537,0.742397,0.014465,0.000480,0.001504,0.001056,0.000416,1.201647
0.416176,0.017569,0.767422,0.014785,0.000480,0.001632,0.001216,0.000384,1.228272
0.420176,0.017632,0.792896,0.016416,0.000672,0.001600,0.001857,0.000576,1.261554
0.419568,0.017889,0.779519,0.016641,0.000640,0.001632,0.002176,0.000544,1.248177
0.435249,0.017729,0.738493,0.016353,0.000448,0.001792,0.001248,0.000416,1.219984
0.417360,0.017761,0.738877,0.015585,0.000736,0.001728,0.001184,0.000448,1.201455
0.416881,0.017504,0.742014,0.015776,0.000512,0.001920,0.001056,0.000352,1.203696
0.415857,0.017536,0.747582,0.015361,0.000448,0.001792,0.001120,0.000352,1.207856
0.416817,0.017569,0.747773,0.015329,0.000448,0.001696,0.001152,0.000384,1.208912
0.417169,0.017569,0.766078,0.015649,0.000704,0.001920,0.001088,0.000352,1.228209
0.417456,0.017601,0.742429,0.015328,0.000448,0.001568,0.001120,0.000416,1.204047
0.416624,0.017697,0.741565,0.015201,0.000448,0.001600,0.001088,0.000352,1.202671
0.416880,0.017601,0.767422,0.014977,0.000448,0.001440,0.001152,0.000416,1.229040
0.417904,0.017696,0.740990,0.014720,0.000480,0.001696,0.001056,0.000320,1.203087
0.416816,0.017441,0.740893,0.015169,0.000672,0.001632,0.001152,0.000416,1.201775
0.435473,0.017569,0.736925,0.014944,0.000448,0.001600,0.001120,0.000320,1.216144
0.416304,0.017600,0.738909,0.014913,0.000448,0.001600,0.001152,0.000352,1.198959
0.416560,0.017761,0.731869,0.014817,0.000480,0.001632,0.001664,0.000384,1.193967
0.416849,0.017536,0.739454,0.014912,0.000640,0.001600,0.001120,0.000352,1.200560
0.416368,0.017537,0.737725,0.015969,0.000448,0.001568,0.001056,0.000352,1.198255
0.417136,0.017633,0.757118,0.014913,0.000448,0.001536,0.001088,0.000416,1.217840
0.416752,0.017473,0.739069,0.015201,0.000640,0.001504,0.000992,0.000384,1.198895
0.416080,0.017761,0.751134,0.014816,0.000704,0.001600,0.001152,0.000800,1.212976
0.416304,0.017409,0.756542,0.015681,0.000640,0.001600,0.001088,0.000416,1.217360
0.416528,0.017601,0.720797,0.016096,0.000544,0.001696,0.000896,0.000385,1.181807
0.416369,0.017697,0.741949,0.015169,0.000448,0.001632,0.001088,0.000384,1.202960
0.429745,0.017920,0.736605,0.015616,0.000672,0.001536,0.001088,0.000384,1.210287
0.417169,0.017856,0.744829,0.015105,0.000448,0.001664,0.001184,0.000384,1.206896
0.416464,0.017441,0.747550,0.014752,0.000448,0.001536,0.000960,0.000384,1.206351
0.416241,0.017760,0.778271,0.016577,0.000704,0.001536,0.001088,0.000608,1.241361
0.416464,0.017505,0.736125,0.015201,0.000736,0.001952,0.001088,0.000384,1.196911
0.415824,0.017537,0.754302,0.015232,0.000448,0.001600,0.001248,0.000416,1.213615
0.416433,0.017600,0.738334,0.015680,0.000672,0.001664,0.001185,0.000384,1.200336
0.417264,0.017537,0.728701,0.015168,0.000512,0.001600,0.000961,0.000608,1.189103
0.417201,0.017569,0.753085,0.015137,0.000448,0.001472,0.001216,0.000352,1.214320
0.417201,0.017568,0.721181,0.015777,0.000608,0.001856,0.000992,0.000448,1.182927
0.416145,0.017504,0.740158,0.015680,0.000672,0.001760,0.001281,0.000352,1.200336
0.434577,0.017601,0.733053,0.014400,0.000640,0.001600,0.001344,0.000416,1.211023
0.415824,0.017537,0.725501,0.015168,0.000736,0.001568,0.000768,0.000385,1.183727
0.416977,0.017761,0.748477,0.015521,0.000448,0.001632,0.001280,0.000320,1.210000
0.430609,0.017664,0.732253,0.015105,0.000704,0.001664,0.001024,0.000352,1.207856
0.417265,0.017633,0.745949,0.015361,0.000736,0.001664,0.001152,0.000384,1.208016
0.415312,0.017921,0.763838,0.016225,0.000416,0.001568,0.001184,0.000320,1.225264
0.416113,0.017472,0.740254,0.015040,0.000992,0.001632,0.001088,0.000416,1.200655
0.416944,0.017537,0.731869,0.015329,0.000480,0.001632,0.001152,0.000416,1.194127
0.417265,0.017505,0.758430,0.015552,0.000704,0.001600,0.001344,0.000384,1.221040
0.415985,0.017504,0.739902,0.015968,0.000704,0.001856,0.001184,0.000384,1.201616
0.417488,0.017761,0.743677,0.015136,0.000448,0.002176,0.001088,0.000384,1.206127
0.430321,0.018017,0.726045,0.015520,0.000672,0.001600,0.001056,0.000384,1.200976
0.416881,0.017536,0.732220,0.014881,0.000448,0.001920,0.001120,0.000384,1.193519
0.416496,0.017537,0.747326,0.015008,0.000448,0.001920,0.001120,0.000384,1.206863
0.425329,0.017665,0.741213,0.015585,0.000640,0.001824,0.001088,0.000576,1.213264
0.417072,0.017857,0.750206,0.015264,0.000481,0.001952,0.001184,0.000384,1.212976
0.416497,0.017504,0.753854,0.015137,0.000448,0.001504,0.001280,0.000352,1.214416
0.416433,0.017632,0.732893,0.014817,0.000736,0.001536,0.001248,0.000384,1.193647
0.419409,0.017728,0.736061,0.014816,0.000480,0.001664,0.001088,0.000352,1.199631
0.417328,0.017761,0.772382,0.015137,0.000640,0.001664,0.001216,0.000384,1.234800
0.416880,0.017761,0.745309,0.015168,0.000448,0.001728,0.000896,0.000352,1.206223
0.416977,0.017504,0.734141,0.015873,0.000704,0.001568,0.001088,0.000384,1.195503
0.451826,0.017632,0.741374,0.015200,0.000480,0.001504,0.001376,0.000320,1.237361
0.417104,0.017729,0.740413,0.014977,0.000480,0.001760,0.001088,0.000416,1.201199
0.416784,0.017857,0.734173,0.015137,0.000448,0.001664,0.001120,0.000416,1.195759
0.416976,0.017760,0.741502,0.015392,0.000640,0.001632,0.001120,0.000352,1.202767
0.417424,0.017473,0.733437,0.015745,0.000672,0.001568,0.000896,0.000352,1.194831
0.416881,0.017504,0.736733,0.015616,0.000448,0.001504,0.000864,0.000320,1.196975
0.414960,0.017473,0.742173,0.015105,0.000384,0.001664,0.001280,0.000384,1.200751
0.417200,0.017665,0.746014,0.014752,0.000640,0.001568,0.001312,0.000384,1.207695
0.416208,0.017665,0.763486,0.015169,0.000480,0.001408,0.000992,0.000320,1.223568
0.416080,0.017505,0.719869,0.014720,0.000480,0.001472,0.000896,0.000352,1.177966
0.416657,0.017633,0.742237,0.015073,0.000864,0.001664,0.001248,0.000384,1.203440
0.415440,0.036418,0.762750,0.015488,0.000705,0.001600,0.000992,0.000384,1.242449
0.416400,0.017505,0.746846,0.015264,0.000672,0.001696,0.001056,0.000416,1.208527
0.417712,0.017537,0.727869,0.015264,0.000704,0.001568,0.001152,0.000352,1.189806
0.435537,0.017537,0.730941,0.015393,0.000480,0.001664,0.001088,0.000352,1.210896
0.416273,0.017537,0.733565,0.015200,0.000608,0.001696,0.001089,0.000384,1.193488
0.416880,0.017569,0.763934,0.015969,0.000640,0.001760,0.001184,0.000416,1.226320
0.418064,0.017760,0.721725,0.015232,0.000608,0.002176,0.001248,0.000384,1.185391
0.416656,0.017537,0.743229,0.015361,0.000608,0.001664,0.001120,0.000384,1.204463
0.416881,0.017665,0.752189,0.015905,0.000448,0.001600,0.001184,0.000384,1.214672
0.416049,0.017504,0.738494,0.015232,0.000544,0.001696,0.001120,0.000384,1.199055
0.416240,0.017633,0.742909,0.015521,0.000640,0.001696,0.001120,0.000416,1.205263
0.436913,0.017729,0.749502,0.015488,0.000672,0.001664,0.001024,0.000321,1.231793
0.417329,0.017761,0.736797,0.015104,0.000672,0.001984,0.001120,0.000416,1.198672
0.416817,0.017473,0.739581,0.015552,0.000448,0.002112,0.001120,0.000416,1.201200
0.434897,0.017729,0.745949,0.014561,0.000480,0.001824,0.001184,0.000416,1.225360
0.417489,0.017568,0.727037,0.015201,0.000640,0.001664,0.001184,0.000352,1.188495
0.418896,0.017889,0.792959,0.015680,0.000672,0.001632,0.001120,0.000352,1.259729
0.416880,0.017633,0.745310,0.015968,0.000448,0.001920,0.001120,0.000352,1.207536
0.415729,0.017761,0.729244,0.015232,0.000416,0.001568,0.001184,0.000352,1.189807
0.414833,0.017568,0.779358,0.016385,0.000480,0.001504,0.001088,0.000416,1.240081
0.416176,0.017665,0.742493,0.014816,0.000448,0.001504,0.001248,0.000384,1.202767
0.415889,0.017536,0.744926,0.014945,0.000448,0.001472,0.001216,0.000416,1.205488
0.433297,0.017601,0.738653,0.014784,0.000448,0.001632,0.001152,0.000384,1.216176
0.415697,0.017665,0.743901,0.014593,0.000480,0.001472,0.001152,0.000800,1.204048
0.415952,0.017633,0.743517,0.014721,0.000512,0.001536,0.001088,0.000416,1.202927
0.415088,0.017664,0.747134,0.014688,0.000480,0.001536,0.001344,0.000384,1.206384
0.416977,0.017601,0.743869,0.015233,0.000480,0.001568,0.000992,0.000352,1.205584
0.416080,0.017633,0.761598,0.014945,0.000480,0.001504,0.000992,0.000384,1.222192
0.415856,0.017665,0.729277,0.014657,0.000448,0.001440,0.001088,0.000352,1.189263
0.415952,0.017697,0.738397,0.015425,0.000448,0.001664,0.001088,0.000384,1.198895
0.416721,0.017761,0.772446,0.015521,0.000448,0.001728,0.001120,0.000384,1.232881
0.418192,0.017505,0.732349,0.015745,0.000768,0.001664,0.001088,0.000416,1.196303
0.418384,0.017600,0.740702,0.015584,0.000672,0.001600,0.001120,0.000416,1.203823
0.433393,0.017665,0.765694,0.015585,0.000672,0.001568,0.001152,0.000384,1.243281
0.416528,0.017633,0.732957,0.015424,0.000673,0.001568,0.001280,0.000416,1.193743
0.416529,0.017600,0.739038,0.014944,0.000448,0.001536,0.001152,0.000384,1.199887
0.417329,0.017696,0.752062,0.014913,0.000480,0.001536,0.001056,0.000832,1.214448
0.416080,0.017633,0.739677,0.014657,0.000448,0.001504,0.001056,0.000352,1.199663
0.416048,0.017697,0.763614,0.014465,0.000512,0.001472,0.001024,0.000800,1.223249
0.415824,0.017601,0.746110,0.014496,0.000480,0.001600,0.001056,0.000384,1.204720
0.417744,0.017825,0.735613,0.014721,0.000512,0.001632,0.001120,0.000352,1.198191
0.417201,0.017537,0.764190,0.015328,0.000480,0.001440,0.001121,0.000384,1.226417
0.416496,0.017568,0.740413,0.014880,0.000448,0.001632,0.001152,0.000384,1.201423
0.415633,0.017761,0.737853,0.015168,0.000672,0.001633,0.001152,0.000352,1.198544
0.435633,0.017569,0.733981,0.015200,0.000672,0.001761,0.001248,0.000416,1.215120
0.416433,0.017569,0.748157,0.015969,0.000448,0.001536,0.001056,0.000384,1.209840
0.417168,0.017569,0.731389,0.015009,0.000480,0.001568,0.001184,0.000384,1.193007
0.417073,0.017568,0.741182,0.014816,0.000640,0.001568,0.001120,0.000416,1.202384
0.417200,0.017921,0.732829,0.014881,0.000640,0.001888,0.001088,0.000352,1.194575
0.416145,0.017665,0.749181,0.014913,0.000448,0.001536,0.001024,0.000384,1.208816
0.415856,0.017825,0.738141,0.015201,0.000480,0.001504,0.001088,0.000416,1.198703
0.418000,0.017729,0.735869,0.015169,0.000448,0.001536,0.001152,0.000416,1.199215
0.416592,0.017473,0.767294,0.014785,0.000448,0.001600,0.001408,0.000416,1.227888
0.416880,0.017729,0.739453,0.014593,0.000448,0.001440,0.001216,0.000416,1.199759
0.416752,0.017473,0.732157,0.014817,0.000480,0.001632,0.001120,0.000416,1.192847
0.434321,0.017696,0.747230,0.015232,0.000480,0.001473,0.001056,0.000384,1.226129
0.416432,0.017601,0.734397,0.014625,0.000480,0.001536,0.001088,0.000384,1.194319
0.416689,0.017696,0.738013,0.014784,0.000704,0.001952,0.001088,0.000384,1.199055
0.416369,0.017568,0.739422,0.014912,0.000448,0.001504,0.001024,0.000320,1.199248
0.416881,0.017632,0.742526,0.014912,0.000640,0.001409,0.001120,0.000416,1.203856
0.417360,0.017440,0.749758,0.015456,0.000480,0.001376,0.000992,0.000448,1.212048
0.418417,0.017505,0.732349,0.014912,0.000480,0.001632,0.000960,0.000384,1.194735
0.418000,0.017633,0.754462,0.015104,0.000448,0.001568,0.001056,0.000448,1.215888
0.417393,0.017505,0.776990,0.014945,0.000448,0.001536,0.001216,0.000384,1.239089
0.416944,0.017505,0.744061,0.014753,0.000544,0.001568,0.001152,0.000384,1.205039
0.416176,0.017536,0.730301,0.014849,0.000512,0.001568,0.001184,0.000384,1.190703
0.436433,0.017921,0.768478,0.014817,0.000480,0.001504,0.001120,0.000352,1.249233
0.415409,0.017472,0.734813,0.014785,0.000480,0.001504,0.001088,0.000320,1.193391
0.415952,0.017825,0.743357,0.014785,0.000704,0.001568,0.001120,0.000352,1.203151
0.415441,0.017504,0.742398,0.014656,0.000512,0.001505,0.001088,0.000416,1.201168
0.416305,0.017536,0.742654,0.014944,0.000512,0.001473,0.001024,0.000384,1.201936
0.415889,0.017505,0.760158,0.014784,0.000480,0.001440,0.000992,0.000352,1.220144
0.416401,0.017793,0.735069,0.014464,0.000480,0.001440,0.001152,0.000384,1.194479
0.416176,0.017665,0.726013,0.014848,0.000480,0.001472,0.001120,0.000384,1.185870
0.415568,0.017665,0.769566,0.014849,0.000448,0.001440,0.000928,0.000352,1.228496
0.416305,0.017505,0.728188,0.014977,0.000960,0.001568,0.000992,0.000416,1.189007
0.416113,0.017504,0.741406,0.014944,0.000480,0.001536,0.000993,0.000384,1.201264
0.433489,0.017761,0.742397,0.014689,0.000480,0.001504,0.001056,0.000384,1.220368
0.415729,0.017633,0.740733,0.014400,0.000736,0.001505,0.000992,0.000384,1.200016
0.416752,0.017569,0.742525,0.014593,0.000416,0.001440,0.000992,0.000384,1.201679
0.417104,0.017633,0.737693,0.014721,0.000928,0.001664,0.000960,0.000384,1.199759
0.417808,0.017568,0.741534,0.015168,0.000640,0.001568,0.000992,0.000352,1.203247
0.416593,0.017536,0.757118,0.015361,0.000480,0.001664,0.001088,0.000384,1.217840
0.417649,0.017473,0.741117,0.015104,0.000480,0.001601,0.000992,0.000352,1.202128
0.416913,0.018017,0.751229,0.014561,0.000736,0.001472,0.000992,0.000448,1.212240
0.418161,0.017633,0.760990,0.015200,0.000448,0.001601,0.001056,0.000352,1.223473
0.417937,0.017600,0.744542,0.014817,0.000480,0.001568,0.001088,0.000384,1.206416
0.416497,0.017697,0.744861,0.015009,0.000416,0.001696,0.001024,0.000384,1.205840
0.436978,0.017697,0.733629,0.015136,0.000480,0.001568,0.001024,0.000416,1.215696
0.417104,0.017537,0.736061,0.015425,0.000448,0.001856,0.001024,0.000352,1.197871
0.415696,0.017376,0.747326,0.015072,0.000481,0.001632,0.001088,0.000416,1.207440
0.418225,0.017472,0.739070,0.015328,0.000672,0.001856,0.001056,0.000384,1.201871
0.417073,0.017761,0.731005,0.015136,0.000448,0.001696,0.001024,0.000416,1.192399
0.417425,0.017504,0.749789,0.015297,0.000704,0.001888,0.001024,0.000384,1.212272
0.416177,0.017537,0.754077,0.015009,0.000928,0.001600,0.001120,0.000384,1.215024
0.416240,0.017665,0.746878,0.014848,0.000448,0.001632,0.001056,0.000384,1.207503
0.418896,0.017761,0.758782,0.015297,0.000448,0.001504,0.001088,0.000384,1.222544
0.416560,0.017633,0.741181,0.014817,0.000672,0.001568,0.001088,0.000384,1.201999
0.417616,0.018273,0.740701,0.014881,0.000704,0.001536,0.001056,0.000384,1.203119
0.431473,0.017888,0.726045,0.014913,0.000928,0.001536,0.001184,0.000384,1.202544
0.417904,0.017472,0.748062,0.015072,0.000416,0.001696,0.001152,0.000384,1.210736
0.417008,0.018048,0.742238,0.015008,0.000640,0.001440,0.001280,0.000384,1.203888
0.418417,0.017825,0.737981,0.015265,0.000480,0.001568,0.001088,0.000352,1.200880
0.416657,0.017473,0.729276,0.014817,0.000480,0.001504,0.001184,0.000384,1.189199
0.415825,0.017409,0.771710,0.014625,0.000480,0.001664,0.001120,0.000320,1.230673
0.416976,0.017793,0.745374,0.014912,0.000416,0.001632,0.001024,0.000608,1.207439
0.417264,0.018369,0.744349,0.015617,0.000448,0.001696,0.001120,0.000352,1.207695
0.417584,0.018337,0.767550,0.015617,0.000448,0.001824,0.001184,0.000352,1.231760
0.417712,0.018561,0.734685,0.015105,0.000480,0.001792,0.001248,0.000384,1.198351
0.416241,0.017793,0.739677,0.015617,0.000448,0.001952,0.001472,0.000384,1.201392
0.433073,0.017856,0.736925,0.015649,0.000704,0.001632,0.001312,0.000384,1.216176
0.416497,0.017729,0.741565,0.015424,0.000448,0.001600,0.001216,0.000384,1.203184
0.419376,0.017664,0.742174,0.015584,0.000672,0.001888,0.001216,0.000416,1.206768
0.416688,0.017569,0.746206,0.016064,0.000640,0.001600,0.001088,0.000353,1.207856
0.416432,0.017729,0.745405,0.015617,0.000448,0.001952,0.001120,0.000576,1.207535
0.415952,0.017697,0.789887,0.015105,0.000608,0.001888,0.001120,0.000384,1.250289
0.416688,0.017697,0.735133,0.015073,0.000640,0.001664,0.001152,0.000352,1.195535
0.421713,0.017889,0.812448,0.017025,0.000672,0.001856,0.002848,0.000576,1.286867
0.432945,0.018017,0.749533,0.016033,0.000448,0.001696,0.000896,0.000352,1.228304
0.418064,0.018017,0.784031,0.016321,0.000640,0.001696,0.002432,0.000608,1.255186
0.417616,0.017920,0.756158,0.016609,0.000544,0.001536,0.001760,0.000384,1.222160
0.416560,0.017472,0.744670,0.016096,0.000448,0.001728,0.001056,0.000544,1.206000
0.416017,0.017761,0.741021,0.016673,0.000512,0.001472,0.001024,0.000416,1.202928
0.416272,0.017569,0.746366,0.015296,0.000448,0.001568,0.001056,0.000384,1.207023
0.417137,0.017825,0.751741,0.014849,0.000704,0.001632,0.001376,0.000384,1.214032
0.416688,0.017505,0.727164,0.014400,0.000704,0.001472,0.000960,0.000384,1.186158
0.416528,0.017633,0.765118,0.015169,0.000448,0.001472,0.000928,0.000384,1.225552
0.417073,0.017536,0.754462,0.014753,0.000448,0.001696,0.001056,0.000384,1.214832
0.418001,0.017664,0.726269,0.014945,0.000480,0.001472,0.000928,0.000384,1.187247
0.428977,0.017505,0.746462,0.015200,0.000416,0.001504,0.001056,0.000384,1.219248
0.416944,0.017761,0.741885,0.014592,0.000448,0.001568,0.001056,0.000384,1.202735
0.417489,0.017632,0.749214,0.014497,0.000480,0.001664,0.001152,0.000448,1.209296
0.416176,0.017633,0.746558,0.014848,0.000448,0.001440,0.000960,0.000416,1.205551
0.415633,0.017505,0.758846,0.014816,0.000448,0.001504,0.001184,0.000384,1.218160
0.416273,0.017504,0.751294,0.015105,0.000448,0.001600,0.001184,0.000352,1.212048
0.417137,0.017665,0.731613,0.014720,0.000448,0.001440,0.000960,0.000384,1.191631
0.416208,0.018177,0.739677,0.014625,0.000864,0.001696,0.001088,0.000352,1.199791
0.417616,0.017761,0.830337,0.019329,0.000448,0.001472,0.000992,0.000384,1.296147
0.415921,0.017440,0.779711,0.014849,0.000448,0.001440,0.000896,0.000384,1.238609
0.416145,0.017440,0.733693,0.015393,0.000448,0.001440,0.000992,0.000352,1.193039
0.431313,0.017505,0.729629,0.014560,0.000448,0.001536,0.000992,0.000384,1.203471
0.414801,0.017697,0.719676,0.014401,0.000416,0.001824,0.000896,0.000384,1.177295
0.415888,0.017537,0.705052,0.014560,0.000448,0.001568,0.000992,0.000352,1.163790
0.431057,0.017537,0.742941,0.014721,0.000480,0.001472,0.000992,0.000384,1.216400
0.417457,0.018209,0.744893,0.014881,0.000448,0.001952,0.000992,0.000352,1.207728
0.416912,0.017441,0.752254,0.015072,0.000448,0.001472,0.000960,0.000384,1.212495
0.416560,0.017505,0.733917,0.015105,0.000448,0.001440,0.000832,0.000352,1.193135
