Layer[0],Layer[1],TEE[2-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415953,0.017664,0.744830,0.014336,0.000513,0.001600,0.001088,0.000352,1.204752
0.416753,0.017633,0.750109,0.014528,0.000448,0.001568,0.001152,0.000384,1.211248
0.418097,0.017473,0.765694,0.014464,0.000416,0.001473,0.001120,0.000352,1.227697
0.417040,0.017696,0.739613,0.014624,0.000480,0.001408,0.001120,0.000352,1.199855
0.415953,0.017729,0.757278,0.014784,0.000480,0.001536,0.001184,0.000352,1.217841
0.452402,0.018209,0.749053,0.014497,0.000448,0.001536,0.001088,0.000384,1.245457
0.417201,0.017696,0.746877,0.014625,0.000480,0.001472,0.001632,0.000384,1.208816
0.416625,0.017472,0.767647,0.014368,0.000448,0.001505,0.001088,0.000416,1.226801
0.416144,0.017569,0.738365,0.014273,0.000480,0.001536,0.001120,0.000384,1.197455
0.416656,0.017537,0.735869,0.014337,0.000448,0.001568,0.001088,0.000384,1.196687
0.416689,0.017505,0.754429,0.014656,0.000480,0.001504,0.001184,0.000384,1.215184
0.415952,0.017409,0.741117,0.014497,0.000480,0.001504,0.001152,0.000416,1.200463
0.417200,0.017633,0.742205,0.014273,0.000448,0.001536,0.000992,0.000416,1.201935
0.416209,0.017793,0.782143,0.014464,0.000544,0.001440,0.001056,0.000320,1.242098
0.416016,0.017664,0.729693,0.014529,0.000480,0.001568,0.001088,0.000416,1.188847
0.415985,0.017505,0.739869,0.014336,0.000448,0.001409,0.001056,0.000384,1.198928
0.435665,0.017729,0.748958,0.014720,0.000512,0.001537,0.001056,0.000352,1.230097
0.416305,0.017473,0.725916,0.014401,0.000480,0.001536,0.001120,0.000416,1.184463
0.415249,0.017505,0.721692,0.014369,0.000480,0.001600,0.001600,0.000416,1.180111
0.416273,0.017601,0.719388,0.014305,0.000480,0.001472,0.001120,0.000384,1.178287
0.415505,0.017728,0.733852,0.014464,0.000480,0.001472,0.001056,0.000352,1.192655
0.416208,0.017409,0.768510,0.014625,0.000512,0.001504,0.001120,0.000320,1.229264
0.416113,0.017569,0.742525,0.014753,0.000480,0.001472,0.000992,0.000384,1.201424
0.416305,0.017600,0.743198,0.014336,0.000416,0.001664,0.001152,0.000352,1.202544
0.416177,0.017441,0.766078,0.015681,0.000416,0.001504,0.001056,0.000416,1.226641
0.416144,0.017568,0.726685,0.014625,0.000448,0.001600,0.001184,0.000384,1.186511
0.416560,0.017729,0.751966,0.014432,0.000448,0.001600,0.001088,0.000416,1.213328
0.432273,0.017601,0.733917,0.014592,0.000480,0.001600,0.000960,0.000352,1.209807
0.416144,0.017601,0.733469,0.014433,0.000416,0.001696,0.001088,0.000384,1.193391
0.415985,0.017504,0.740414,0.014624,0.000512,0.001600,0.001088,0.000384,1.199439
0.415953,0.017473,0.741245,0.014369,0.000480,0.001600,0.001056,0.000384,1.200464
0.415664,0.017601,0.752254,0.014433,0.000448,0.001504,0.001152,0.000384,1.212112
0.416016,0.017472,0.752606,0.015617,0.000416,0.001600,0.001120,0.000384,1.213200
0.417360,0.017504,0.748862,0.014433,0.000448,0.001568,0.001248,0.000352,1.210256
0.416177,0.017537,0.730428,0.014560,0.000448,0.001664,0.001184,0.000384,1.190063
0.416369,0.017729,0.769726,0.014369,0.000448,0.001600,0.001152,0.000384,1.229329
0.418417,0.018465,0.747453,0.014689,0.000448,0.001632,0.001152,0.000384,1.211856
0.416049,0.017601,0.751677,0.014433,0.000480,0.001664,0.001056,0.000448,1.211472
0.435761,0.017729,0.739805,0.014465,0.000480,0.001600,0.001024,0.000384,1.220112
0.416849,0.017665,0.746109,0.014177,0.000448,0.001568,0.001120,0.000384,1.206416
0.415824,0.017600,0.750750,0.014497,0.000448,0.001472,0.001088,0.000384,1.210640
0.416113,0.017665,0.749213,0.014497,0.000416,0.001600,0.001088,0.000384,1.209104
0.416497,0.017537,0.743709,0.014913,0.000448,0.001536,0.001056,0.000384,1.204336
0.416241,0.017473,0.755229,0.014497,0.000480,0.001472,0.001056,0.000384,1.215440
0.416721,0.017793,0.740797,0.014529,0.000448,0.001536,0.001088,0.000352,1.201488
0.416176,0.017664,0.750110,0.014337,0.000448,0.001536,0.001184,0.000384,1.209744
0.417105,0.017568,0.766559,0.014688,0.000544,0.001504,0.001089,0.000352,1.228721
0.416593,0.017761,0.735965,0.014560,0.000448,0.001536,0.001184,0.000352,1.196655
0.415697,0.017472,0.746333,0.014497,0.000480,0.001504,0.001184,0.000448,1.205648
0.438257,0.017504,0.743678,0.014208,0.000480,0.001664,0.001088,0.000384,1.225265
0.415920,0.017633,0.768447,0.014400,0.000448,0.001536,0.001216,0.000384,1.228304
0.415760,0.017473,0.745725,0.014112,0.000480,0.001568,0.001152,0.000416,1.204943
0.417489,0.018272,0.747294,0.014593,0.000672,0.001632,0.001216,0.000416,1.210640
0.416721,0.017761,0.735165,0.014464,0.000480,0.001569,0.001152,0.000384,1.195344
0.416048,0.017665,0.790335,0.014273,0.000480,0.001504,0.001120,0.000352,1.250065
0.416369,0.017664,0.733853,0.014272,0.000512,0.001536,0.001024,0.000384,1.194063
0.416400,0.017665,0.749278,0.014592,0.000448,0.001696,0.001120,0.000416,1.210575
0.416081,0.017568,0.760895,0.014592,0.000480,0.001568,0.001088,0.000448,1.221040
0.416880,0.017889,0.735773,0.015745,0.000448,0.001600,0.001120,0.000384,1.198223
0.416369,0.017729,0.747485,0.014465,0.000480,0.001440,0.000992,0.000352,1.207440
0.436689,0.017633,0.734237,0.014528,0.000480,0.001568,0.001088,0.000384,1.214992
0.415025,0.017504,0.746173,0.014657,0.000512,0.001504,0.001056,0.000416,1.204784
0.416912,0.017601,0.772063,0.014528,0.000416,0.001440,0.001120,0.000384,1.232528
0.416145,0.017409,0.731453,0.014560,0.000448,0.001536,0.001120,0.000384,1.190831
0.416080,0.017921,0.747422,0.014432,0.000480,0.001632,0.001184,0.000384,1.207760
0.414961,0.017440,0.782975,0.014721,0.000448,0.001472,0.001248,0.000416,1.242225
0.416464,0.017537,0.757758,0.014881,0.000416,0.001600,0.001376,0.000384,1.219536
0.416528,0.017505,0.743101,0.015681,0.000416,0.001536,0.001184,0.000384,1.205903
0.437105,0.017537,0.742301,0.015809,0.000448,0.001536,0.001408,0.000384,1.224816
0.415889,0.017729,0.740765,0.015104,0.000545,0.001568,0.001120,0.000384,1.200752
0.416529,0.018145,0.735549,0.014977,0.000480,0.001600,0.001120,0.000384,1.197744
0.415824,0.017409,0.746589,0.014593,0.000480,0.001600,0.001088,0.000384,1.205775
0.416080,0.017504,0.742558,0.014368,0.000448,0.001568,0.001120,0.000416,1.202319
0.416112,0.017441,0.750526,0.014464,0.000512,0.001536,0.001184,0.000384,1.209231
0.415985,0.017760,0.741246,0.014368,0.000448,0.001569,0.001152,0.000384,1.200464
0.415920,0.017729,0.736701,0.014689,0.000512,0.001504,0.001152,0.000352,1.197103
0.416304,0.017569,0.757854,0.014593,0.000448,0.001568,0.001184,0.000384,1.216912
0.416849,0.017632,0.733149,0.014657,0.000480,0.001504,0.001152,0.000256,1.193487
0.414705,0.017409,0.726812,0.014433,0.000480,0.002304,0.001184,0.000416,1.185647
0.435473,0.017601,0.738749,0.014209,0.000608,0.001568,0.001088,0.000352,1.218160
0.416848,0.017568,0.746142,0.014560,0.000448,0.001569,0.001024,0.000384,1.206544
0.416048,0.017632,0.736317,0.014689,0.000480,0.001472,0.001088,0.000416,1.195215
0.415568,0.017632,0.749118,0.014592,0.000449,0.001440,0.001152,0.000384,1.208752
0.416144,0.017697,0.739677,0.014625,0.000480,0.001504,0.001152,0.000352,1.199599
0.415921,0.017440,0.771775,0.014625,0.000448,0.001504,0.001088,0.000384,1.231441
0.416432,0.017633,0.757054,0.014369,0.000448,0.001536,0.001376,0.000352,1.217744
0.416177,0.017729,0.748861,0.014561,0.000448,0.001504,0.001184,0.000384,1.209552
0.417169,0.017633,0.747037,0.014625,0.000512,0.001408,0.001120,0.000384,1.207792
0.415665,0.017664,0.735005,0.014529,0.000448,0.001536,0.000960,0.000352,1.193327
0.416561,0.017633,0.722428,0.014433,0.000448,0.001504,0.001088,0.000384,1.183055
0.430993,0.017472,0.742334,0.014464,0.000480,0.001504,0.001057,0.000384,1.216720
0.415952,0.017601,0.739005,0.014433,0.000512,0.001504,0.001184,0.000384,1.197807
0.415760,0.017601,0.737309,0.014433,0.000416,0.001536,0.001120,0.000320,1.196303
0.416240,0.017441,0.735453,0.014593,0.000448,0.001536,0.001152,0.000320,1.195663
0.416304,0.017537,0.727069,0.014304,0.000448,0.001569,0.001248,0.000416,1.186447
0.417008,0.017504,0.768511,0.014752,0.000448,0.001664,0.001120,0.000320,1.230064
0.416176,0.017665,0.743933,0.014497,0.000480,0.001536,0.001120,0.000384,1.203407
0.417040,0.017473,0.742589,0.014497,0.000480,0.001536,0.001216,0.000384,1.202959
0.416753,0.017473,0.759710,0.014496,0.000480,0.001504,0.001088,0.000384,1.219888
0.416337,0.017505,0.740957,0.014656,0.000736,0.001472,0.001248,0.000416,1.201168
0.416400,0.017697,0.742941,0.014465,0.000480,0.001536,0.001280,0.000384,1.203471
0.434289,0.017760,0.730301,0.014273,0.000512,0.001664,0.001120,0.000384,1.208144
0.415952,0.017473,0.739261,0.014497,0.000448,0.001568,0.001120,0.000448,1.197679
0.416017,0.017536,0.739325,0.014272,0.000480,0.001568,0.001409,0.000352,1.198032
0.419985,0.017536,0.745854,0.014465,0.000416,0.001568,0.001184,0.000384,1.207792
0.416368,0.017729,0.742237,0.014689,0.000416,0.001632,0.001088,0.000352,1.202991
0.415505,0.017536,0.756830,0.014529,0.000448,0.001600,0.001088,0.000320,1.216368
0.416368,0.017504,0.738653,0.014496,0.000480,0.001472,0.001088,0.000384,1.198191
0.415825,0.017473,0.735069,0.014560,0.000448,0.001537,0.001120,0.000384,1.195088
0.415697,0.017760,0.762366,0.014464,0.000480,0.001568,0.001024,0.000352,1.221936
0.415889,0.017473,0.748573,0.014497,0.000480,0.001472,0.001056,0.000384,1.208080
0.416272,0.017601,0.729021,0.014497,0.000448,0.001568,0.001152,0.000384,1.188815
0.434545,0.017889,0.732925,0.014688,0.000448,0.001537,0.001152,0.000384,1.211536
0.416240,0.017569,0.745565,0.014433,0.000416,0.001536,0.001248,0.000416,1.206159
0.415697,0.017632,0.726205,0.014401,0.000448,0.001504,0.001216,0.000384,1.185455
0.432625,0.018017,0.744445,0.014465,0.000512,0.001632,0.001056,0.000352,1.222320
0.416304,0.017313,0.742366,0.014720,0.000448,0.001472,0.001120,0.000384,1.201775
0.416593,0.017697,0.760990,0.014368,0.000448,0.001536,0.001056,0.000352,1.221040
0.415984,0.017472,0.738365,0.014497,0.000512,0.001568,0.001120,0.000384,1.197967
0.416817,0.017440,0.739774,0.014368,0.000480,0.001632,0.001120,0.000320,1.199727
0.416529,0.017665,0.764670,0.014656,0.000512,0.001536,0.001152,0.000320,1.226001
0.415600,0.017537,0.738141,0.014273,0.000448,0.001536,0.001216,0.000448,1.196847
0.415409,0.017632,0.719868,0.014369,0.000480,0.001472,0.001120,0.000416,1.178095
0.450258,0.018241,0.743165,0.014465,0.000448,0.001408,0.001216,0.000384,1.237841
0.416912,0.017473,0.726525,0.014272,0.000512,0.001600,0.001120,0.000384,1.186447
0.417521,0.017729,0.750749,0.014817,0.000512,0.001600,0.001120,0.000352,1.213712
0.434930,0.017856,0.737502,0.014496,0.000512,0.001600,0.001152,0.000416,1.216528
0.416273,0.017665,0.742749,0.014497,0.000480,0.001472,0.001184,0.000384,1.202288
0.415664,0.017761,0.767102,0.014529,0.000576,0.002048,0.001088,0.000352,1.226256
0.416113,0.017312,0.735709,0.014465,0.000480,0.001536,0.001088,0.000384,1.194895
0.417777,0.017569,0.736829,0.015969,0.000480,0.001536,0.001184,0.000384,1.200080
0.416433,0.017728,0.758334,0.015457,0.000512,0.001504,0.001120,0.000384,1.219728
0.416304,0.017441,0.739837,0.014337,0.000512,0.001568,0.001344,0.000416,1.199631
0.416368,0.017696,0.737661,0.014465,0.000448,0.001568,0.000992,0.000352,1.196911
0.433553,0.017601,0.736093,0.014688,0.000544,0.001505,0.001024,0.000384,1.212368
0.417137,0.017697,0.753438,0.014624,0.000480,0.001536,0.001088,0.000384,1.215824
0.416817,0.017505,0.740637,0.014400,0.000480,0.001472,0.001056,0.000352,1.200016
0.416593,0.017761,0.734941,0.014208,0.000512,0.001633,0.001152,0.000352,1.195536
0.415952,0.017761,0.720060,0.014209,0.000448,0.001504,0.001056,0.000384,1.179310
0.416560,0.017473,0.756926,0.015456,0.000448,0.001440,0.001056,0.000320,1.218096
0.417041,0.017504,0.743518,0.014432,0.000480,0.001504,0.001120,0.000352,1.203920
0.416369,0.017472,0.737822,0.014432,0.000448,0.001536,0.001056,0.000352,1.197455
0.415984,0.017504,0.763454,0.014529,0.000448,0.001408,0.001088,0.000416,1.222800
0.416337,0.017633,0.728252,0.014305,0.000448,0.001504,0.001120,0.000384,1.188079
0.415984,0.017537,0.727037,0.014240,0.000448,0.001472,0.001088,0.000384,1.186127
0.418257,0.039073,0.745086,0.014753,0.000480,0.001952,0.001152,0.000416,1.230897
0.415953,0.017537,0.737149,0.014368,0.000448,0.001568,0.001120,0.000416,1.196720
0.416081,0.017632,0.739389,0.014368,0.000448,0.001504,0.001089,0.000384,1.198672
0.438386,0.017664,0.723549,0.014753,0.000448,0.001600,0.001024,0.000416,1.206384
0.415984,0.017665,0.746717,0.014305,0.000480,0.001600,0.001152,0.000384,1.206895
0.415985,0.017504,0.770399,0.016833,0.000544,0.001504,0.001056,0.000352,1.232049
0.415600,0.017473,0.727005,0.014272,0.000512,0.001536,0.001056,0.000320,1.185167
0.416017,0.017601,0.741661,0.014337,0.000544,0.001600,0.001152,0.000384,1.201840
0.416017,0.017473,0.763710,0.016289,0.000448,0.001440,0.001088,0.000416,1.224977
0.416432,0.017472,0.749182,0.014657,0.000480,0.001664,0.001088,0.000416,1.210128
0.418320,0.017569,0.731357,0.014273,0.000480,0.001600,0.001120,0.000352,1.192719
0.416688,0.036834,0.740061,0.014369,0.000448,0.001536,0.001120,0.000384,1.219920
0.416049,0.017825,0.721340,0.014369,0.000480,0.001568,0.000992,0.000352,1.180111
0.415793,0.017600,0.739102,0.014272,0.000480,0.001536,0.001120,0.000385,1.198128
0.434097,0.017633,0.751805,0.016192,0.000544,0.001536,0.001056,0.000384,1.232080
0.415952,0.017440,0.741310,0.014592,0.000448,0.001536,0.001056,0.000352,1.200239
0.416112,0.017697,0.736317,0.034050,0.000608,0.001568,0.001088,0.000384,1.218288
0.415280,0.017537,0.740029,0.014593,0.000480,0.001504,0.001088,0.000384,1.199023
0.415760,0.017440,0.730237,0.014273,0.000480,0.001472,0.001120,0.000384,1.189199
0.416977,0.017761,0.740733,0.014401,0.000448,0.001440,0.001184,0.000320,1.202352
0.416369,0.017473,0.730269,0.015904,0.000448,0.001568,0.001120,0.000352,1.191695
0.415184,0.017601,0.740893,0.014497,0.000448,0.001600,0.001152,0.000416,1.199823
0.415984,0.017504,0.754046,0.014369,0.000480,0.001600,0.001056,0.000416,1.213840
0.415985,0.017728,0.739901,0.014560,0.000544,0.001632,0.001088,0.000384,1.199888
0.416113,0.017537,0.745021,0.014625,0.000480,0.001472,0.001248,0.000384,1.205520
0.433554,0.017536,0.737245,0.014432,0.000448,0.001408,0.001152,0.000384,1.214608
0.416561,0.017632,0.741502,0.014464,0.000448,0.001537,0.001120,0.000384,1.202000
0.416049,0.017536,0.725757,0.014465,0.000448,0.001568,0.001120,0.000416,1.185327
0.416720,0.017601,0.743197,0.014465,0.000480,0.001568,0.001088,0.000352,1.203983
0.417296,0.018273,0.755230,0.014497,0.000512,0.001664,0.001152,0.000416,1.218032
0.416209,0.017473,0.763518,0.014369,0.000512,0.001536,0.001120,0.000416,1.223473
