Layer[0],TEE[1-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416401,0.765696,0.015616,0.000480,0.001376,0.001025,0.000352,1.209266
0.415953,0.793889,0.014561,0.000448,0.001440,0.001344,0.000352,1.235571
0.415761,0.757920,0.016992,0.000480,0.001441,0.001088,0.000320,1.201874
0.416049,0.780065,0.014528,0.000448,0.001408,0.001120,0.000352,1.221618
0.415794,0.762367,0.014529,0.000480,0.001472,0.001024,0.000352,1.203570
0.415921,0.753024,0.014528,0.000448,0.001440,0.001024,0.000320,1.193873
0.416369,0.774048,0.015329,0.000480,0.001440,0.001056,0.000384,1.216562
0.417169,0.750688,0.014304,0.000448,0.001472,0.001152,0.000320,1.193297
0.416273,0.770880,0.014529,0.000480,0.001536,0.001184,0.000384,1.212914
0.431954,0.751135,0.014497,0.000480,0.001536,0.001024,0.000320,1.208690
0.415025,0.757472,0.014496,0.000480,0.001568,0.001024,0.000384,1.197105
0.415474,0.757823,0.014497,0.000480,0.001504,0.001056,0.000352,1.198130
0.431954,0.759136,0.014272,0.000448,0.001504,0.001024,0.000352,1.215602
0.417137,0.782849,0.015712,0.000448,0.001408,0.000992,0.000352,1.225299
0.416754,0.792705,0.014400,0.000448,0.001344,0.000992,0.000352,1.233747
0.417009,0.754943,0.014177,0.000480,0.001472,0.000960,0.000320,1.196145
0.415249,0.745439,0.014496,0.000448,0.001408,0.000929,0.000352,1.185265
0.416241,0.788705,0.014753,0.000448,0.001376,0.000800,0.000416,1.230611
0.415538,0.765567,0.014657,0.000480,0.001440,0.001088,0.000384,1.206578
0.415793,0.751135,0.014273,0.000448,0.001408,0.001088,0.000384,1.191153
0.435122,0.788160,0.014433,0.000544,0.001440,0.001088,0.000384,1.248691
0.415217,0.756479,0.017153,0.000448,0.001408,0.001024,0.000352,1.198769
0.415857,0.756063,0.014273,0.000448,0.001536,0.001088,0.000352,1.197265
0.430162,0.801249,0.014145,0.000448,0.001440,0.001024,0.000352,1.256052
0.415537,0.753919,0.014305,0.000448,0.001568,0.001024,0.000384,1.194705
0.415889,0.773024,0.015649,0.000448,0.001504,0.000992,0.000416,1.215634
0.415345,0.758559,0.014305,0.000448,0.001440,0.001120,0.000416,1.198514
0.415890,0.767455,0.014688,0.000480,0.001472,0.001056,0.000352,1.209330
