label,mean,max,min,std,count
TEE[1],0.0308882005,0.063586,0.025185,0.006597407043009043,2000
REE[1],0.00028407000000000004,0.007136,0.000192,0.00020892376042191662,2000
TEE[3],0.031213154,0.05910599999999999,0.025249,0.006381537711072609,1000
REE[3],0.00030190100000000004,0.00528,0.000192,0.00016165824627153294,1000
TEE[4],0.03133123350000001,0.05885,0.025729000000000002,0.0063037195785694946,2000
REE[4],0.0005316365000000001,0.011552,0.000384,0.00031087901062531336,2000
TEE[5],0.037854671,0.074178,0.026463999999999998,0.007910228793677672,1000
REE[5],0.0007891560000000001,0.006657,0.000704,0.00019531082402668312,1000
TEE[6],0.039171118,0.064194,0.027201,0.00842310420406328,1000
REE[6],0.001174125,0.0070079999999999995,0.001056,0.00018871599588297258,1000
TEE[7],0.031391829999999996,0.063362,0.027617000000000003,0.005776111226768751,1000
REE[7],0.0016019690000000004,0.005952000000000001,0.001504,0.00014164737914631193,1000
TEE[8],0.037184406,0.066563,0.028481,0.008291588256243163,2000
REE[8],0.0021806770000000002,0.007809,0.002048,0.00022394071848079987,2000
REE[9],0.002769259,0.015297,0.002656,0.00042124060293918076,1000
TEE[9],0.039872271,0.072002,0.030241000000000004,0.006409558674508016,1000
REE[10],0.003468884,0.012192,0.00336,0.00031193029197410606,1000
TEE[10],0.038323513000000003,0.068675,0.031041000000000003,0.0061494899911278805,1000
REE[11],0.004279969000000001,0.013633000000000001,0.004192,0.00033613775245816655,1000
TEE[11],0.037287018,0.069698,0.032737,0.0075368475268057745,1000
REE[12],0.00520319,0.0176,0.005056000000000001,0.0005174382632317175,1000
TEE[12],0.049589054,0.08768300000000001,0.034945,0.010467513525020185,1000
REE[13],0.0061988419999999995,0.017377,0.0060479999999999996,0.00039869890123983266,1000
TEE[13],0.055665334000000004,0.092003,0.036641,0.011493253969405239,1000
REE[14],0.007328298,0.018113,0.007168000000000001,0.0005730572570134819,1000
TEE[14],0.052814168,0.083011,0.038914,0.008645202857088792,1000
REE[15],0.008497178,0.021697,0.008320999999999999,0.0006085335219717672,1000
TEE[15],0.046465089,0.089283,0.040641000000000004,0.00934548865802834,1000
REE[16],0.009736431000000002,0.023073,0.009568,0.0005451691865466903,2000
TEE[16],0.0536824645,0.092132,0.043393,0.010652322690713669,2000
REE[17],0.011152480999999999,0.023681,0.010944,0.0008784697004755791,1000
TEE[17],0.056047061,0.096419,0.046465,0.008095195525858587,1000
TEE[18],0.06344361700000001,0.100387,0.048962,0.010533877017286955,1000
REE[18],0.012631684999999998,0.028193,0.012384000000000001,0.0009703848476390835,1000
REE[19],0.014134253000000001,0.022177000000000002,0.013952,0.0002815619827695871,1000
TEE[19],0.06397157099999999,0.10842,0.052162,0.009303549045165225,1000
REE[20],0.015859925,0.028993,0.015552000000000002,0.001154469023448053,1000
TEE[20],0.060295989,0.10441900000000001,0.054722,0.008433689720352426,1000
TEE[21],0.07486409100000001,0.11456400000000001,0.05901,0.009012430939550058,1000
REE[21],0.017499001,0.029057,0.017249,0.0005807117883943637,1000
TEE[22],0.06711649800000001,0.110756,0.06157000000000001,0.00845136356513587,1000
REE[22],0.019354227,0.031169,0.019104,0.0006928011149354884,1000
TEE[23],0.079409336,0.129956,0.066274,0.009170111503580101,1000
REE[23],0.021332731000000004,0.032897,0.020993,0.0010394409902496685,1000
REE[24],0.023322991,0.034337,0.02304,0.0007555279925101825,1000
TEE[24],0.076500263,0.11315599999999999,0.069635,0.007872136165720372,1000
TEE[25],0.091078829,0.134949,0.075427,0.009360262795528786,1000
