REE[94],TEE[94]
0.497041,0.835101
0.477169,0.867069
0.392942,0.809851
0.402957,0.810235
0.392973,0.799355
0.392526,0.820892
0.392685,0.817180
0.392461,0.828892
0.392941,0.805819
0.392845,0.810747
0.392365,0.820572
0.393517,0.802811
0.392685,0.810427
0.393166,0.809308
0.392429,0.863741
0.392589,0.813467
0.392430,0.805404
0.392366,0.827324
0.404750,0.819836
0.392461,0.803643
0.392109,0.848381
0.392429,0.821372
0.392749,0.823996
0.392237,0.806044
0.392654,0.820860
0.405326,0.814715
0.393805,0.820604
0.392685,0.803131
0.392398,0.823196
0.392493,0.839100
0.392334,0.818012
0.392270,0.812348
0.393326,0.820156
0.405294,0.800507
0.392526,0.801691
0.392430,0.816124
0.393838,0.808091
0.392398,0.817884
0.392429,0.807964
0.392718,0.804443
0.404558,0.802491
0.392653,0.809340
0.392365,0.829276
0.393037,0.806043
0.393102,0.808572
0.392333,0.800283
0.392877,0.805627
0.404942,0.798043
0.393197,0.827484
0.393453,0.828700
0.392750,0.804731
0.392877,0.819547
0.393038,0.815804
0.392622,0.823324
0.392718,0.803900
0.392685,0.798075
0.393262,0.821211
0.392749,0.803227
0.392462,0.810364
0.392365,0.822076
0.392461,0.824124
0.393006,0.810523
0.403406,0.820476
0.392622,0.804667
0.392397,0.813820
0.392461,0.827580
0.392525,0.812796
0.392621,0.799835
0.394125,0.824124
0.402221,0.807643
0.392685,0.799451
0.392334,0.810428
0.390989,0.805467
0.391310,0.830140
0.392206,0.830781
0.393773,0.812027
0.392429,0.819708
0.392685,0.797531
0.393069,0.855965
0.392557,0.824604
0.393134,0.824700
0.392877,0.817147
0.392942,0.821948
0.393229,0.807707
0.404270,0.813052
0.394221,0.809532
0.392525,0.803675
0.393293,0.821852
0.392270,0.814939
0.392590,0.804348
0.392718,0.815387
0.405549,0.798619
0.394349,0.802459
0.392429,0.822972
0.393069,0.803739
0.393038,0.829820
0.390893,0.839804
0.393006,0.828092
0.393165,0.813308
0.392621,0.819516
0.392813,0.809883
0.392558,0.804988
0.392845,0.829468
0.392398,0.807836
0.392813,0.843421
0.392398,0.814875
0.404462,0.821820
0.392685,0.797564
0.392269,0.827004
0.392494,0.808891
0.393262,0.834717
0.392653,0.836540
0.392685,0.813339
0.393165,0.803611
0.393101,0.820444
0.392717,0.815484
0.392334,0.818652
0.392589,0.831708
0.392941,0.808155
0.392622,0.803932
0.392589,0.854813
