REE[316],TEE[316]
5.305556,8.985042
5.253491,8.957841
4.581372,8.952784
4.572828,8.951056
4.581435,8.963345
4.578427,8.989234
4.573180,8.962993
4.582300,8.989170
4.584124,8.956560
4.579580,8.960656
4.574107,8.978769
4.584348,8.967601
4.591612,8.956945
4.584348,8.964497
4.576091,8.943728
4.577691,8.962481
4.581948,8.960112
4.580156,8.956785
4.576859,8.945968
4.578267,8.978385
4.574171,8.975857
4.573467,8.962865
4.578620,8.989298
4.563099,9.038388
4.576603,8.956592
4.573563,8.954256
4.578139,8.953328
4.583260,8.972977
4.586012,8.962481
4.577244,8.950641
4.567932,8.964081
4.579068,8.977841
4.573020,8.963697
4.580412,8.950224
4.579163,8.960017
4.576796,9.010130
4.583292,9.044627
4.576444,8.951921
4.581019,8.988145
4.582492,8.962640
4.576572,8.950736
4.587771,8.977041
4.583612,9.006130
4.611261,8.963313
4.584060,8.948593
4.578043,8.975089
4.585436,8.947824
4.581884,8.963472
4.578396,8.998866
4.585820,8.951952
4.580444,8.968209
4.576028,8.975313
4.588604,8.965489
4.574747,8.960496
4.578268,8.961648
4.585116,8.953744
4.582556,8.951632
4.575579,8.987281
4.574492,8.952752
4.580892,8.961137
4.578780,8.976721
4.583356,8.974961
4.574619,8.961936
4.570780,8.954416
4.581340,8.959185
4.575804,8.960144
4.576220,9.000114
4.576892,8.954640
4.578108,8.954704
4.571420,8.957936
4.584156,8.955185
4.588284,8.962992
4.575675,8.987985
4.575163,8.967537
4.587260,8.970833
4.568987,8.974129
4.569979,8.955217
4.603516,8.955537
4.573019,8.958129
4.572059,8.953873
4.576923,9.003634
4.578972,8.962993
4.579995,8.976913
4.587388,8.949328
4.577659,8.961937
4.581052,8.962833
4.580251,8.950544
4.572891,8.978481
4.575547,8.979857
4.573339,8.979889
4.575195,8.957520
4.575356,8.949232
4.579516,8.994193
4.574395,8.970384
4.585532,8.980305
4.575740,9.007218
4.569403,8.967921
4.582204,8.971089
4.578331,8.959089
4.580028,8.966769
4.572860,9.027059
4.582268,8.947664
4.590588,8.950640
4.581116,9.029522
4.567099,8.957328
4.587164,8.984273
4.578780,8.960176
4.579740,8.951856
4.573403,8.948144
4.579132,8.948624
4.578620,8.954416
4.579835,8.957489
4.573275,8.956017
4.574588,8.972401
4.581371,8.957104
4.582908,8.952336
4.575804,8.978449
4.576251,8.972337
4.575196,8.996018
4.570651,8.967409
4.579484,8.949616
4.575740,8.963504
4.580091,8.959184
4.581948,8.957872
4.580892,8.980305
4.577787,8.954033
4.579355,8.982865
4.583483,8.965617
4.574972,8.975889
4.576476,8.969072
4.576699,8.974961
4.570907,8.980913
4.587836,8.955889
4.583036,8.956176
4.581691,8.953296
4.586555,8.973009
4.597597,8.974257
4.582332,8.951728
4.589148,8.963025
4.573980,8.950992
4.570619,8.953776
4.576380,8.975697
4.584604,8.969456
4.585051,8.956496
4.580380,8.967889
4.578908,8.947312
4.570427,8.954736
4.579420,8.973968
4.563995,9.041523
4.590652,8.973905
4.573467,8.989521
4.583580,9.013010
4.581084,8.959953
4.575036,8.954704
4.571899,8.970001
4.572571,8.970321
4.577595,8.945392
4.575195,8.951184
4.576219,9.027571
4.575676,8.963057
4.581564,8.946064
4.576476,8.968496
4.581500,8.972849
4.580060,8.958449
4.581788,8.957392
4.576156,8.962960
4.570748,8.963568
4.572987,8.957745
4.572027,8.954224
4.581596,8.992562
4.576635,8.951408
4.577084,8.964497
4.577212,8.960081
4.577147,8.992242
4.576700,8.964657
4.572027,8.951536
4.577372,8.982161
4.574395,8.987250
4.572955,8.958288
4.577243,8.995729
4.585596,8.975633
4.586236,8.953872
4.587068,8.984497
4.559675,8.973745
4.582652,8.971152
4.584795,8.940432
4.590172,8.968657
4.585083,8.962641
4.574012,8.956432
4.574652,8.999250
4.579356,8.952721
4.575260,8.962193
4.571419,8.962833
4.578907,8.949648
4.577659,8.975025
4.582363,8.954896
4.577148,8.952368
4.587068,8.976145
4.579772,8.947152
4.572891,8.958768
4.572988,8.973457
4.576252,8.962384
4.582172,8.967089
4.571451,8.961969
4.581308,8.965873
4.574299,8.945712
4.583803,8.977681
4.584412,8.952720
4.584124,8.977009
4.586972,8.973169
4.579452,8.963281
4.582428,8.951056
4.575420,8.979057
4.576092,8.950672
4.571067,8.950992
4.583740,8.972081
4.581788,8.974321
4.580348,8.953456
4.578619,8.978129
4.581788,8.956912
4.585308,9.006386
4.579003,8.978353
4.573915,8.956817
4.566044,8.960465
4.574619,8.981745
4.578876,8.962544
4.577787,8.982482
4.572027,8.992018
4.570619,8.946192
4.573787,8.936592
4.588604,8.985777
4.571228,8.947184
4.588700,8.953456
4.578299,8.961425
4.576124,8.961712
4.580443,9.051924
4.581596,8.971505
4.585116,8.970769
4.572988,8.983730
4.576731,8.958256
4.575100,8.967985
4.574684,8.946672
4.569243,8.962769
4.582588,8.974481
4.572284,8.956752
4.585115,8.955793
4.585564,8.982418
4.578204,8.955600
4.584508,8.978385
4.572796,8.950672
4.574011,8.945168
4.576603,8.970993
4.573948,8.962417
4.574332,8.962065
4.568923,9.058804
4.574043,8.958864
4.585083,8.978065
4.571803,8.937455
4.580220,8.978898
4.584123,8.972145
4.569339,9.001393
4.578555,8.993618
4.578076,8.959440
4.580508,8.971665
4.574139,8.960497
4.579420,8.954384
4.571995,8.949392
4.576411,8.948400
4.575963,8.963953
4.580476,8.967537
4.575355,8.942384
4.586300,8.965424
4.577596,8.970161
4.570108,8.955632
4.579292,8.968657
4.570875,8.968688
4.575707,8.968657
4.573404,8.992273
4.574524,8.947152
4.576508,8.945168
4.579900,8.957777
4.575195,8.944048
4.594141,8.954640
4.587227,8.948560
4.590652,8.985553
4.578715,8.972816
4.572859,8.965777
4.579548,8.951152
4.575388,9.015539
4.580412,8.971985
4.574715,8.957008
4.574684,8.970833
4.581116,8.949392
4.574524,8.956528
