REE[180],TEE[180]
1.886656,2.938180
1.780188,2.901187
1.468594,2.911491
1.466034,2.908995
1.468049,2.908419
1.469170,2.908418
1.477682,2.921507
1.482418,2.916035
1.478098,2.911747
1.482707,2.908067
1.479474,2.916355
1.466642,2.894179
1.468786,2.897218
1.461425,2.897443
1.468434,2.913123
1.468114,2.908483
1.467922,2.907459
1.468114,2.935268
1.479954,2.920644
1.477586,2.907363
1.480434,2.918019
1.478994,2.914595
1.467282,2.898306
1.470258,2.910402
1.468402,2.896290
1.467570,2.927108
1.467922,2.934500
1.467442,2.911299
1.468050,2.921348
1.477107,2.919908
1.480914,2.918020
1.479538,2.930244
1.480435,2.903235
1.480818,2.920196
1.467794,2.899266
1.466962,2.895811
1.467858,2.894946
1.468337,2.910179
1.468562,2.919139
1.467826,2.913603
1.466929,2.939428
1.478291,2.918851
1.480626,2.932355
1.477010,2.933955
1.481138,2.932963
1.466482,2.908770
1.467538,2.895778
1.466194,2.896131
1.468786,2.896227
1.468018,2.912355
1.466802,2.910595
1.469362,2.909955
1.467122,2.919267
1.482451,2.911171
1.476946,2.908227
1.482418,2.918340
1.479122,2.910755
1.467986,2.898403
1.469010,2.897187
1.468146,2.901763
1.467122,2.921251
1.468690,2.928515
1.467890,2.935108
1.468146,2.924835
1.477330,2.920931
1.475634,2.911587
1.477874,2.914947
1.481330,2.913923
1.470194,2.907587
1.470674,2.896259
1.467698,2.895523
1.466994,2.909219
1.468722,2.918307
1.468082,2.918660
1.467826,2.919523
1.477138,2.916387
1.481715,2.907523
1.477618,2.907395
1.482418,2.909634
1.468434,2.907907
1.466802,2.893858
1.468306,2.895298
1.468850,2.896770
1.467282,2.912195
1.470642,2.913987
1.469330,2.911683
1.466961,2.939620
1.481682,2.919875
1.478194,2.933283
1.480370,2.909411
1.477810,2.919556
1.469298,2.894787
1.469458,2.895779
1.468050,2.899107
1.468338,2.908291
1.466898,2.920323
1.469234,2.950564
1.467570,2.908355
1.478418,2.908419
1.481330,2.909507
1.477234,2.917411
1.482451,2.912387
1.477618,2.931108
1.468210,2.898850
1.467281,2.893410
1.467826,2.896611
1.468050,2.920483
1.466322,2.909251
1.467666,2.905955
1.479123,2.920228
1.482611,2.920963
1.500787,2.934787
1.481458,2.908610
1.479251,2.909475
1.469234,2.896291
1.467858,2.895906
1.467410,2.914787
1.468018,2.910307
1.469042,2.918980
1.468562,2.924292
1.467186,2.905219
1.478514,2.910115
1.479858,2.918051
1.478930,2.920195
1.481715,2.907651
1.466641,2.921571
1.467602,2.896259
1.468306,2.900130
1.467474,2.907331
1.469266,2.912643
1.469010,2.909827
1.468818,2.908835
1.468818,2.909539
1.480402,2.909379
1.478706,2.922980
1.482162,2.912483
1.481139,2.909315
1.468145,2.902626
1.467602,2.895075
1.466898,2.894882
1.467698,2.916387
1.468498,2.938243
1.470130,2.905474
1.467058,2.909923
1.466770,2.913763
1.477618,2.920035
1.480786,2.909058
1.478482,2.915299
1.481490,2.905954
1.467058,2.895427
1.467858,2.908099
1.469490,2.898211
1.468338,2.912611
1.469362,2.912003
1.467602,2.920644
1.467986,2.922084
1.477778,2.946436
1.483795,2.922787
1.482386,2.913539
1.482067,2.918883
1.468306,2.935204
1.467570,2.921059
1.470162,2.895426
1.469842,2.899299
1.469362,2.923299
1.470002,2.912579
1.470418,2.906658
1.470578,2.934180
1.480914,2.902851
1.481266,2.926659
1.482034,2.918340
1.480755,2.928771
1.467794,2.897059
1.468210,2.895299
1.469906,2.898179
1.470098,2.913731
1.466610,2.907011
1.466033,2.912771
1.468178,2.904803
1.476467,2.913795
1.481138,2.906690
1.479027,2.915747
1.480914,2.908995
1.467922,2.902435
1.468466,2.896418
1.467858,2.905571
1.468081,2.912547
1.468946,2.913731
1.467570,2.909731
1.468338,2.932803
1.479987,2.913187
1.481810,2.918531
1.482450,2.934596
1.484403,2.917539
1.477586,2.905027
1.467826,2.894370
1.467634,2.897474
1.459986,2.895587
1.465522,2.914915
1.467986,2.908963
1.469074,2.940996
1.468242,2.917667
1.483154,2.910979
1.482162,2.907043
1.484819,2.907459
1.481491,2.908131
1.471154,2.904450
1.469362,2.899619
1.467762,2.901026
1.470802,2.913731
1.468210,2.923267
1.469234,2.944740
1.467761,2.946532
1.467634,2.909475
1.479058,2.909411
1.477842,2.911747
1.481586,2.910307
1.480178,2.910947
1.468562,2.896610
1.467186,2.902499
1.468210,2.895938
1.467826,2.923619
1.468338,2.907139
1.468658,2.908355
1.466194,2.913251
1.480178,2.908579
1.481938,2.918755
1.481906,2.911299
1.484819,2.914819
1.467762,2.934564
1.468465,2.899043
1.468850,2.907106
1.470642,2.899779
1.468370,2.928516
1.467570,2.921092
1.468082,2.922371
1.468882,2.909059
1.476178,2.919971
1.481586,2.914211
1.478674,2.923619
1.481298,2.914179
1.468561,2.899043
1.466962,2.897890
1.467762,2.897730
1.467858,2.897091
1.467218,2.906531
1.468050,2.911618
1.468434,2.910019
1.468530,2.937668
1.481682,2.907363
1.477938,2.908899
1.479923,2.908515
1.480211,2.910595
1.467826,2.928611
1.470194,2.906946
1.470514,2.908419
1.468242,2.914051
1.466706,2.914915
1.467665,2.917571
1.468114,2.914499
1.476722,2.910115
1.481619,2.909955
1.478546,2.910371
1.481970,2.910019
1.467697,2.906243
1.468338,2.921731
1.468146,2.894274
1.468242,2.908451
1.468114,2.909155
1.468306,2.914307
1.462929,2.913347
1.477522,2.908579
1.480466,2.908611
1.479667,2.920931
1.480178,2.916003
1.480147,2.922692
1.468594,2.910595
1.468658,2.906787
1.469554,2.899394
1.469746,2.915203
1.466546,2.933155
1.468594,2.909443
1.467826,2.917315
1.480466,2.911811
1.483603,2.910403
1.478738,2.908834
1.483251,2.913251
1.468818,2.893827
1.468178,2.900738
1.468050,2.906979
1.469490,2.898979
1.469042,2.907906
1.467186,2.913347
1.466514,2.909475
1.478514,2.924260
1.481811,2.922115
1.479346,2.915875
1.483090,2.912066
1.478131,2.918147
1.468242,2.902146
1.470066,2.897346
1.467601,2.897091
1.468242,2.909763
1.469138,2.911235
1.467537,2.908067
1.468274,2.942244
1.478450,2.909955
1.484882,2.906370
1.478995,2.909762
1.482835,2.910531
1.470514,2.899394
1.469809,2.897987
1.469074,2.894434
1.468498,2.912547
1.467058,2.908451
1.467538,2.908835
1.469298,2.908067
1.478002,2.909379
1.481906,2.930724
1.479954,2.907555
1.482578,2.906371
1.479058,2.921155
1.467762,2.901923
1.469714,2.896002
1.470578,2.909827
1.468978,2.908739
1.469362,2.907715
1.467986,2.911586
1.468817,2.907266
1.478163,2.911555
1.484691,2.908451
1.482323,2.913699
1.480210,2.907235
1.468722,2.907619
1.469394,2.908387
1.467826,2.897923
1.467570,2.917475
1.467922,2.925892
1.469874,2.933475
1.468882,2.907907
1.479346,2.911139
1.478226,2.907555
1.480370,2.948165
1.483411,2.932132
1.478386,2.951652
1.467634,2.938820
1.468178,2.913539
1.468434,2.898147
1.467762,2.910179
1.467986,2.936228
1.468754,2.909251
1.469042,2.943332
1.479218,2.908419
1.485427,2.910723
1.477106,2.910499
1.482867,2.917027
1.468914,2.923140
1.470898,2.909923
1.470578,2.897602
1.469553,2.897154
1.468498,2.912739
1.470706,2.937827
1.470162,2.910339
1.471186,2.910851
1.482067,2.919011
1.480434,2.923075
1.483794,2.908899
1.479154,2.910563
1.467666,2.911491
1.469041,2.896035
1.468114,2.896034
1.469714,2.931684
1.468466,2.910851
1.468210,2.926212
1.468658,2.908515
1.479986,2.911395
1.483987,2.914691
1.479474,2.909091
1.483506,2.911683
1.470994,2.894178
1.467634,2.899011
1.468210,2.909347
1.468242,2.900931
1.468338,2.924964
1.469554,2.920451
1.468018,2.914627
1.466258,2.907747
1.480562,2.928100
1.477042,2.924419
1.481554,2.909539
1.478962,2.913891
1.467858,2.913411
1.467570,2.896290
1.468370,2.900643
1.466994,2.945124
1.468177,2.910371
1.467986,2.916035
1.468658,2.931972
1.476946,2.912771
1.480947,2.926627
1.483922,2.908131
1.478034,2.922787
1.481555,2.930019
1.467634,2.909059
1.466738,2.897826
1.468370,2.923171
1.468690,2.912259
1.466450,2.908163
1.467410,2.921475
1.471666,2.908259
1.482195,2.916611
1.478387,2.925507
1.481843,2.907170
1.480562,2.914051
1.467666,2.897411
1.468498,2.896611
1.467154,2.914851
1.468242,2.924676
1.467122,2.926915
1.467666,2.915331
1.468785,2.911138
1.475026,2.911427
1.482451,2.907555
1.478322,2.923428
1.477202,2.908451
1.467602,2.935204
1.468306,2.912419
1.469490,2.899491
1.468402,2.906435
1.469650,2.920707
1.467282,2.938756
1.467858,2.906882
1.469522,2.940388
1.483250,2.909826
1.479827,2.923171
1.484178,2.911363
1.481138,2.909667
1.468594,2.897859
1.470770,2.904835
1.471026,2.902306
1.469457,2.909955
1.470610,2.910627
1.471250,2.915779
1.468562,2.922436
1.476722,2.935812
1.481074,2.925444
1.479090,2.946340
1.480114,2.917571
1.467122,2.919459
1.467986,2.906947
1.469138,2.897251
1.467794,2.899874
1.467921,2.907875
1.467634,2.919811
1.467537,2.938532
1.468018,2.910819
1.481234,2.922531
1.477458,2.911843
1.481491,2.907043
1.478322,2.912931
1.467954,2.895618
1.467986,2.899491
1.467666,2.906146
1.473170,2.911043
1.468754,2.910595
1.468562,2.932452
1.467762,2.930756
1.476818,2.914403
1.499443,2.919107
1.478387,2.910627
1.481394,2.920804
1.468658,2.895490
1.468850,2.898275
1.469138,2.906819
1.468274,2.908035
1.467634,2.919939
1.467474,2.914307
1.467282,2.911907
1.477779,2.926531
1.482002,2.907458
1.476306,2.922179
1.479794,2.910435
1.479506,2.928964
1.468530,2.910851
1.467122,2.900482
1.467890,2.897922
1.467889,2.924291
1.467601,2.912867
1.470130,2.908131
1.467570,2.919459
1.477618,2.911299
1.481010,2.939972
1.479090,2.908451
1.483698,2.910114
1.471410,2.901475
1.470290,2.907074
1.469106,2.901251
1.469522,2.908675
1.469010,2.915683
1.469650,2.911395
1.469554,2.923747
1.470226,2.908803
1.480787,2.906946
1.483538,2.914339
1.479795,2.914947
1.481202,2.913891
1.468626,2.902850
1.467569,2.906307
1.469042,2.896258
1.470834,2.940548
1.467826,2.908323
1.467474,2.918691
1.467730,2.909891
1.478514,2.914371
1.479890,2.930212
1.476851,2.936708
1.482514,2.909091
1.467602,2.922948
1.467666,2.896354
1.469713,2.899650
1.468082,2.914915
1.469874,2.907747
1.467634,2.912355
1.470098,2.908163
1.467314,2.910947
1.480883,2.910915
1.483154,2.909923
1.484563,2.905859
1.480754,2.939140
1.470514,2.903491
1.467954,2.901282
1.467186,2.895907
1.468658,2.908515
1.468914,2.909251
1.467634,2.906659
1.466770,2.937156
1.479506,2.917316
1.477042,2.909955
1.480818,2.909187
1.482067,2.920836
1.468914,2.895330
1.466898,2.892482
1.468177,2.907363
1.468786,2.928035
1.467730,2.923908
1.468530,2.915299
1.469074,2.907651
1.474066,2.914659
1.482770,2.919844
1.479730,2.933956
1.482707,2.906723
1.468306,2.912067
1.468434,2.898306
1.468370,2.894371
1.468466,2.912323
1.468146,2.910307
1.468722,2.923779
1.467762,2.939396
1.480306,2.921571
1.482322,2.909507
1.479634,2.909859
1.483827,2.918691
1.479890,2.924003
1.469778,2.894946
1.468402,2.895395
1.468370,2.930148
1.467762,2.910147
1.466705,2.933380
1.467057,2.906210
1.467761,2.916611
1.478066,2.913635
1.483442,2.910531
1.478258,2.907266
1.480338,2.909923
1.468370,2.895906
1.470354,2.900098
1.470001,2.896578
1.467602,2.909987
1.469618,2.909795
1.470354,2.910435
1.470994,2.908099
1.477682,2.911747
1.481811,2.916867
1.476978,2.911299
1.482002,2.906243
1.468402,2.908739
1.462961,2.901602
1.467505,2.899171
1.469330,2.906595
1.468018,2.907523
1.468626,2.915779
1.467378,2.913699
1.467121,2.934915
1.480595,2.925475
1.479890,2.910627
1.482962,2.930180
1.477650,2.936580
1.467985,2.894147
1.467986,2.894146
1.468466,2.897826
1.468658,2.909347
1.468946,2.910467
1.470130,2.911267
1.470514,2.910147
1.481267,2.912291
1.478834,2.909667
1.484882,2.940932
1.483251,2.931140
1.481906,2.908866
1.470962,2.909571
1.468754,2.907523
1.467410,2.904707
1.468114,2.910819
1.467122,2.920835
1.468210,2.914531
1.467954,2.914339
1.476786,2.924547
1.483378,2.921635
1.477682,2.909347
1.481042,2.910147
1.468338,2.911459
1.467474,2.905955
1.468690,2.911875
1.469682,2.920707
1.467793,2.932612
1.467826,2.930500
