REE[239],TEE[239]
3.402387,5.218161
3.301936,5.163536
2.599640,5.178224
2.602105,5.149551
2.616473,5.172688
2.609913,5.150703
2.604985,5.148463
2.606968,5.147567
2.606040,5.156463
2.608632,5.146383
2.605113,5.167695
2.610105,5.179888
2.607832,5.170800
2.599993,5.144719
2.598456,5.210641
2.601273,5.176911
2.589656,5.152911
2.603545,5.196016
2.605497,5.149583
2.612248,5.194481
2.605400,5.142223
2.608824,5.160528
2.611097,5.161136
2.606040,5.146863
2.606009,5.210705
2.606521,5.165327
2.599128,5.157199
2.599352,5.147471
2.598617,5.149807
2.598777,5.193649
2.607033,5.189040
2.610713,5.154063
2.608184,5.180048
2.608281,5.161903
2.611033,5.151343
2.597720,5.159823
2.610681,5.202833
2.610136,5.158543
2.609305,5.151311
2.602169,5.161616
2.601945,5.161295
2.601752,5.194000
2.601496,5.177456
2.599449,5.173552
2.606744,5.163440
2.606553,5.169711
2.607385,5.162575
2.607129,5.171088
2.607033,5.160655
2.595640,5.173968
2.606169,5.157776
2.605561,5.150191
2.600153,5.196080
2.598392,5.165872
2.597336,5.189968
2.600184,5.195984
2.598712,5.169232
2.605080,5.156496
2.606617,5.162735
2.604793,5.154415
2.604345,5.200177
2.608025,5.152431
2.609465,5.166096
2.612761,5.153519
2.609081,5.161135
2.602168,5.161200
2.601881,5.217458
2.599417,5.197649
2.603449,5.195025
2.598072,5.202865
2.605753,5.172560
2.621434,5.193872
2.606489,5.155792
2.608025,5.162032
2.602201,5.192784
2.609304,5.165359
2.607609,5.161936
2.607064,5.146479
2.599000,5.156367
2.597656,5.161903
2.601368,5.178256
2.600760,5.186833
2.611737,5.167151
2.605080,5.163375
2.608441,5.179344
2.607673,5.155119
2.608728,5.158191
2.606744,5.146351
2.609176,5.165839
2.607353,5.152559
2.607097,5.174223
2.592504,5.160751
2.598488,5.149423
2.598552,5.185328
2.598233,5.159279
2.600632,5.173456
2.603352,5.187568
2.607864,5.199728
2.610680,5.170576
2.612089,5.165871
2.610105,5.171503
2.610361,5.167439
2.609688,5.175984
2.608696,5.164848
2.606809,5.163151
2.599320,5.169552
2.597816,5.155631
2.601944,5.167215
2.599193,5.212305
2.614552,5.191984
2.610457,5.155056
2.608537,5.148015
2.607352,5.185489
2.606328,5.202032
2.607641,5.152495
2.607000,5.161232
