REE[149],TEE[149]
1.286571,2.002820
1.212233,2.014596
1.001986,2.002788
1.001410,2.010596
1.002498,2.016261
1.001570,2.015460
1.002018,2.018916
1.001314,2.010404
1.004130,2.010948
1.001858,2.014884
1.001954,2.024517
1.002242,2.012484
1.000930,2.012036
1.000450,2.057286
1.012386,2.040069
1.013187,2.010756
1.013058,1.997732
1.021955,2.015461
1.017602,2.005508
1.000866,2.024357
1.000546,2.049222
1.002210,2.034405
1.000770,2.013189
1.000802,2.012260
1.001218,2.003076
1.001506,2.014053
1.001122,2.034469
1.002274,2.017733
1.001058,2.032485
1.003298,2.011556
1.001922,2.034085
1.003491,2.035045
1.000642,2.023012
1.001826,2.043205
1.000642,2.021509
1.015266,2.010436
1.011074,2.014757
1.018051,2.009380
1.014883,2.005189
1.017506,2.012228
1.000482,2.018468
1.000610,1.999140
1.001570,1.997700
1.000642,2.006180
1.001730,2.019653
1.001634,2.022373
1.002754,2.023301
1.001666,2.024389
1.002498,2.028901
1.001635,2.013989
1.000930,2.032741
1.003234,2.025701
1.001026,2.043430
1.001794,2.011908
1.001282,2.023813
1.001795,2.028068
1.013987,2.025157
1.011395,2.023205
1.015010,2.000228
1.013635,2.021029
1.015586,2.009988
1.000258,2.016933
1.001282,2.022245
1.001122,1.998852
1.001826,2.033093
1.001538,2.001316
1.000866,2.007204
1.002146,2.017700
1.002562,2.020933
1.001154,2.030053
1.001186,2.032902
1.001922,2.061830
1.000738,2.024484
1.002338,2.027781
1.000578,2.055141
1.001538,2.030501
1.002211,2.014725
1.015939,2.015236
1.010146,2.010884
1.013570,2.003236
1.016290,2.011109
1.014531,1.998948
1.002275,2.011013
1.001890,2.045157
1.001058,2.033637
1.001890,2.014276
1.002242,2.019812
1.001954,2.008356
1.000546,1.998148
1.000930,2.009348
1.002978,2.014756
1.001538,2.033573
1.000802,2.061542
1.001282,2.015173
1.002722,2.044134
1.001218,2.017509
1.002882,2.032709
1.003650,2.024133
1.013474,2.013413
1.012003,2.053638
1.015522,2.008421
1.014338,2.015588
1.016163,2.015301
1.001218,2.015172
1.001666,1.999268
1.001378,2.020613
1.002274,2.017861
1.001762,1.998852
1.000802,2.013156
1.002850,2.010661
1.000866,2.033413
1.001570,2.024740
1.000578,2.030501
1.000738,2.007716
1.002818,2.014021
1.000898,2.048198
1.001186,2.014629
1.001282,2.028901
1.001666,2.031749
1.014467,2.021412
1.011330,2.021892
1.012867,2.000932
1.033763,2.012325
1.016099,2.007492
1.000354,2.046277
1.001954,2.013957
1.002882,1.998532
1.002146,2.018308
1.001186,1.998084
1.001090,2.013220
1.000770,2.020324
1.000674,1.998788
1.000770,2.028741
1.001731,2.019492
1.001218,2.028421
1.002242,2.033509
1.001730,2.008388
1.001314,2.022532
1.002178,2.009252
1.001282,2.025541
1.001026,2.027429
1.011650,2.011972
1.014563,2.006373
1.013571,2.021381
1.016578,2.021156
1.016771,2.020677
1.001058,2.013604
1.001698,2.021668
1.002114,2.026052
1.001698,2.036645
1.000546,2.004484
1.002978,2.006468
1.002146,2.016228
1.001987,2.037893
1.002082,2.021316
1.001186,2.033925
1.001026,2.016709
1.001666,2.014692
1.001794,2.015588
1.000834,2.021573
1.001666,2.032581
1.014755,2.026405
1.011298,2.015973
1.013411,2.000804
1.015619,2.001220
1.015011,2.008004
1.016515,2.007908
1.003266,2.022469
1.001827,2.002116
1.001378,2.015780
1.001634,2.025381
1.002275,2.020773
1.002242,2.020709
1.001122,2.019397
1.002082,2.056645
1.002818,2.020612
1.000994,2.017572
1.001282,2.015556
1.001570,2.010948
1.000354,2.026341
1.001378,2.019204
1.000674,2.037925
1.001218,2.009637
1.015395,2.011012
1.013347,2.009668
1.015555,1.998659
1.013858,2.012804
1.017475,2.016677
1.016098,2.005828
1.001378,2.008772
1.000162,2.000708
1.000514,2.020453
1.001506,2.000132
1.001762,2.004516
1.001954,2.007524
1.001698,2.010948
1.000994,2.005988
1.001090,2.015013
1.002530,2.031141
1.001250,2.058694
1.001858,2.033509
1.000962,2.017317
1.002114,2.058566
1.000802,2.027077
1.001058,2.049830
1.013539,2.027077
1.011747,2.028677
1.015298,2.007204
1.016290,2.012068
1.018627,2.018949
1.001474,1.997156
1.001730,2.002372
1.001954,1.998308
1.001506,2.006692
1.000898,2.032581
1.003779,1.998276
1.000194,2.045990
1.000962,2.002436
1.001506,2.041477
1.001698,2.034917
1.002562,2.030789
1.001570,2.035110
1.002146,2.032997
1.002434,2.022725
1.002626,2.018916
1.000514,2.014149
1.001347,2.032645
1.010339,2.020133
1.013219,2.009701
1.011043,2.010693
1.016290,2.001508
1.014147,1.999395
1.000322,1.996835
1.001154,2.015973
1.000994,2.004068
1.001026,2.006149
1.000994,2.020932
1.001474,2.015173
1.000514,2.012612
1.001026,2.003876
1.000738,2.012580
1.000482,2.031205
1.002370,2.014757
1.000962,2.031813
1.003426,2.011108
1.003522,2.008612
1.001250,2.035109
1.001122,2.021349
1.001251,2.023813
1.010851,2.025157
1.013922,2.012804
1.010690,2.011684
1.018659,1.998531
1.018370,2.016676
1.001250,2.026757
1.001442,1.997635
1.002498,2.011300
1.001346,2.017061
1.002498,1.997092
1.000706,2.012740
1.000290,2.025669
1.001154,2.003556
1.001890,2.028261
1.001218,2.046021
1.003106,2.014757
1.001890,2.016069
1.001602,2.037221
1.001762,2.020708
1.001090,2.022500
1.000962,2.024229
1.001794,2.018724
1.011714,2.022500
1.011202,2.038790
1.014530,2.009253
1.016291,2.003332
1.014850,2.020677
1.000962,2.044805
1.000994,2.017540
1.001186,2.001764
1.001090,2.018309
1.000930,2.004452
1.000706,2.004069
1.000738,2.009828
1.001763,2.027845
1.002210,2.030821
1.001762,2.026309
1.004066,2.030757
1.002146,2.031589
1.001378,2.016132
1.002402,2.008580
1.002626,2.009732
