REE[331],TEE[331]
5.909896,9.911953
5.839494,9.880304
5.023019,9.897392
5.010507,9.901744
5.032075,9.957778
5.040811,9.905040
5.029771,9.883888
5.019883,9.887760
5.015658,9.880592
5.019946,9.895952
5.046123,9.900496
5.039211,9.890768
5.026282,9.982259
5.033099,9.952018
5.023850,9.889200
5.022282,9.882704
5.028459,9.897072
5.015019,9.872911
5.017418,9.889296
5.023467,9.890800
5.018251,9.881392
5.021547,9.878384
5.022987,9.937585
5.024106,9.907441
5.023915,9.886416
5.024331,9.872783
5.023946,9.889520
5.022571,9.909489
5.030635,9.874480
5.034443,9.919281
5.017546,9.895664
5.017962,9.914609
5.031403,9.920529
5.019595,9.889648
5.029899,9.893616
5.020458,9.937330
5.032523,9.910544
5.027627,9.891376
5.017387,9.905521
5.017546,9.951154
5.034539,9.903408
5.030955,9.913521
5.026410,9.906672
5.027115,9.875632
5.034155,9.877040
5.010539,9.899089
5.028491,9.881584
5.022858,9.874896
5.021675,9.889616
5.016331,9.913937
5.019371,9.921969
5.044396,9.879344
5.032139,9.872560
5.022219,9.868592
5.014794,9.868271
5.017323,9.918161
5.018187,9.868304
5.032971,9.905489
5.029835,9.907472
5.030539,9.872976
5.020522,9.901041
5.018635,9.897200
5.023051,9.912465
5.029995,9.892049
5.025707,9.898704
5.017003,9.885488
5.024651,9.884432
5.014538,9.883280
5.018411,9.939826
5.033387,9.912817
5.029835,9.885840
5.018219,9.882319
5.014251,9.903217
5.021547,9.884912
5.021291,9.871920
5.030187,9.936338
5.021739,9.893553
5.017194,9.865935
5.020586,9.880592
5.027883,10.000819
5.020619,9.896497
5.034027,9.930226
5.030475,9.882000
5.024235,9.924657
5.021867,9.886000
5.018987,9.897616
5.037836,9.887920
5.023946,9.910320
5.020843,9.926417
5.017323,9.907793
5.015819,9.923601
5.031275,9.891664
5.022795,9.890128
5.024683,9.879984
5.017130,9.906096
5.022091,9.876143
5.026283,9.927537
5.016618,9.985108
5.018283,9.910001
5.019434,9.878800
5.026699,9.865647
5.013707,9.877200
5.018442,9.957363
5.030475,9.919377
5.024618,9.892272
5.021195,9.905265
5.021291,9.891824
5.022826,9.880015
5.027082,9.883919
5.027243,9.895920
5.016523,9.866159
5.016106,9.898417
5.024811,9.916273
5.028907,9.876143
5.030987,9.907121
5.022282,9.912049
5.016363,9.882192
5.009994,9.895344
